Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601011011,Thursday,Pre-Asia,14.27,0.32,40.18,11.72,6,30,0,3.36,62.50,32.00,36.84,51.11,45,80.00,50.00
2601012239,Friday,EU-NA,14.59,-0.10,41.12,10.27,4,26,0,3.64,60.61,42.50,20.59,45.45,44,40.00,26.48
2601020057,Friday,Pre-NA,14.48,0.09,42.61,9.96,9,36,1,4.04,61.91,41.98,28.30,42.67,75,58.33,50.93
2601031038,Saturday,Pre-Asia,14.57,-0.18,42.31,10.65,3,28,0,4.46,70.27,35.29,29.41,30.30,66,33.33,42.18
2601041141,Sunday,Pre-Asia,14.39,-0.19,42.24,10.70,4,24,0,4.00,70.83,37.04,31.58,36.73,49,33.33,34.30
2601041434,Sunday,Post-Asia,14.20,0.19,46.07,14.34,8,24,0,3.39,77.78,36.11,26.92,65.85,41,70.00,80.89
2601071400,Wednesday,Post-Asia,14.39,-0.29,42.57,12.48,6,20,0,3.91,52.00,47.92,25.00,44.19,43,20.00,42.90
2601131037,Tuesday,Pre-Asia,14.10,-0.29,56.60,13.74,6,15,0,3.53,75.00,43.48,61.11,43.33,30,0.00,52.69
2602231123,Monday,Pre-Asia,13.81,0.00,41.36,9.84,6,30,1,4.10,55.10,33.80,38.09,37.31,67,33.33,32.62
2602242110,Wednesday,Post-EU,13.81,-0.42,36.15,9.82,11,26,0,3.45,45.71,33.33,31.43,53.19,47,16.67,16.37
2602250917,Wednesday,Pre-Asia,13.39,0.21,44.31,11.36,9,30,0,4.13,73.53,40.23,30.43,32.43,74,83.33,78.46
2603011742,Monday,Pre-EU,13.60,-0.28,38.33,9.69,4,24,0,3.76,57.58,32.14,29.03,47.83,46,20.00,9.60
2603021923,Tuesday,Pre-EU,13.32,-0.01,32.24,7.71,5,19,1,4.14,66.67,25.33,18.18,36.73,49,50.00,31.64
2603030900,Tuesday,Pre-Asia,13.31,-0.20,43.09,12.42,8,23,0,3.83,65.71,40.00,26.32,41.51,53,33.33,63.84
2603041445,Wednesday,Post-Asia,13.11,0.07,35.47,9.88,11,27,1,4.08,57.50,36.36,18.18,44.26,61,58.33,50.09
2603050950,Thursday,Pre-Asia,13.18,0.01,39.84,10.10,7,24,0,3.75,62.07,38.18,25.64,38.78,49,50.00,41.94
2603052048,Friday,Post-EU,13.19,0.09,43.02,8.89,7,29,1,4.33,70.00,37.37,30.00,36.36,77,58.33,62.10
2603081005,Sunday,Pre-Asia,13.28,-0.01,31.78,6.68,2,12,1,4.71,48.57,29.63,20.00,31.71,41,50.00,25.94
2603091909,Tuesday,Pre-EU,13.28,0.17,42.34,10.41,8,28,0,3.98,61.29,37.50,35.29,39.66,58,66.67,88.84
2603101904,Wednesday,Pre-EU,13.44,-0.46,44.74,10.26,4,14,0,4.53,57.14,42.59,37.50,31.37,51,8.33,45.62
2603111035,Wednesday,Pre-Asia,12.98,0.18,46.15,9.31,5,17,0,4.77,66.67,44.07,35.29,21.21,66,66.67,71.44
2603122228,Friday,Post-EU,13.16,0.18,39.66,13.18,11,24,0,3.70,60.71,35.29,29.73,47.83,46,66.67,72.08
2603151901,Monday,Pre-EU,13.34,-0.16,47.20,10.74,3,19,0,4.63,59.52,45.28,33.33,30.51,59,33.33,58.02
2603161608,Tuesday,Asia-EU,13.18,0.18,43.14,8.95,7,27,0,4.12,61.77,40.30,34.62,39.39,66,66.67,65.87
2603161905,Tuesday,Pre-EU,13.36,-0.54,41.18,7.83,2,14,0,4.84,65.62,30.00,37.04,24.49,49,0.00,12.42
2603171003,Tuesday,Pre-Asia,12.82,0.08,35.94,10.19,9,25,0,3.78,69.44,25.00,20.45,45.65,46,58.33,58.93
