Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601020057,Friday,Pre-NA,4.61,0.10,33.33,4.86,3,13,0,5.02,47.50,25.00,31.11,21.28,47,58.33,50.00
2601020800,Friday,NA-Asia,4.71,-0.39,25.58,2.04,0,1,1,6.12,46.67,17.24,21.95,3.03,33,10.00,7.62
2601030526,Saturday,Post-NA,4.33,0.03,26.38,4.32,1,12,0,4.81,32.43,22.54,27.27,20.93,43,50.00,65.29
2601050032,Monday,Pre-NA,4.36,0.21,29.69,3.99,1,9,0,4.82,35.71,18.97,40.48,18.42,38,66.67,67.72
2601110220,Sunday,Pre-NA,4.57,0.21,31.20,5.41,4,13,0,4.69,50.00,24.07,19.36,30.77,39,66.67,81.81
2601111925,Monday,Pre-EU,4.78,0.20,33.08,6.11,3,14,0,4.74,51.28,18.52,35.13,25.58,43,66.67,87.22
2601170037,Saturday,Pre-NA,4.98,-0.03,25.17,3.77,2,10,0,4.70,38.46,19.12,22.50,21.62,37,50.00,19.18
2601172250,Sunday,EU-NA,4.95,0.39,29.68,4.52,2,13,0,4.80,55.26,17.81,27.27,17.39,46,83.33,74.71
2601180507,Sunday,Post-NA,5.34,-0.10,25.86,4.60,2,12,0,4.10,40.00,21.05,23.53,36.67,30,40.00,28.96
2601200030,Tuesday,Pre-NA,5.24,0.00,28.67,5.44,4,13,1,4.78,36.36,25.00,25.58,29.27,41,50.00,55.54
2601222213,Friday,Post-EU,5.25,0.01,27.12,5.02,2,13,0,4.31,45.45,23.21,22.50,21.88,32,50.00,41.91
2601260005,Monday,EU-NA,5.26,0.38,22.52,2.38,0,3,0,5.48,34.62,14.29,23.26,12.00,25,83.33,34.91
2601261925,Tuesday,Pre-EU,5.64,0.29,38.84,8.09,1,14,0,4.62,41.38,39.58,34.62,22.50,40,80.00,83.07
2601270246,Tuesday,Post-NA,5.93,0.27,30.30,4.53,3,8,0,5.05,55.17,23.33,23.26,10.00,40,75.00,62.93
2601290015,Thursday,EU-NA,6.20,0.01,23.53,4.38,6,10,0,4.53,34.88,20.83,15.79,30.56,36,50.00,23.52
2601301932,Saturday,Post-EU,6.21,-0.19,25.83,4.40,1,12,0,4.68,43.75,20.37,17.65,19.35,31,33.33,14.49
2601312317,Sunday,EU-NA,6.02,0.19,30.77,5.44,3,13,0,4.89,58.33,21.54,21.43,25.00,44,66.67,82.05
2602032022,Wednesday,Post-EU,6.21,0.01,28.45,5.18,1,11,0,4.51,50.00,24.00,20.00,27.27,33,50.00,41.33
