Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601020800,Friday,NA-Asia,19.94,0.21,74.14,20.43,6,43,0,4.00,64.71,79.25,75.86,39.53,86,70.00,50.00
2601041434,Sunday,Post-Asia,20.14,0.33,72.41,23.60,16,38,0,3.35,70.37,78.95,63.64,53.97,63,80.00,63.71
2601120530,Monday,NA-Asia,20.47,-0.10,72.41,24.13,10,50,0,3.32,75.00,88.00,52.38,53.57,84,40.00,47.13
2601151844,Friday,Pre-EU,20.37,0.31,67.12,21.66,14,55,0,3.27,67.57,76.19,54.35,55.10,98,75.00,50.31
2601180726,Sunday,NA-Asia,20.68,0.01,64.17,25.42,11,48,0,3.22,65.22,71.43,50.00,58.44,77,50.00,33.06
2601191349,Monday,Post-Asia,20.69,0.20,59.66,21.67,22,45,0,3.08,61.29,56.92,65.22,64.79,71,66.67,36.59
2601221429,Thursday,Post-Asia,20.88,-0.40,64.29,20.85,23,44,0,3.06,54.05,76.60,57.14,65.28,72,16.67,15.79
2601241100,Saturday,Pre-Asia,20.48,-0.01,59.48,18.06,10,36,0,3.67,65.52,57.90,56.67,42.03,69,50.00,11.48
2601270546,Tuesday,NA-Asia,20.47,-0.10,63.70,22.14,22,61,0,3.21,70.00,73.77,37.14,59.14,93,41.67,43.50
2601291310,Thursday,Post-Asia,20.38,-0.12,62.31,21.04,9,55,0,3.26,50.00,76.81,42.86,64.20,81,41.67,17.70
2601291637,Friday,Asia-EU,20.26,-0.42,62.86,20.79,19,43,0,3.06,72.73,62.79,57.50,65.15,66,10.00,17.56
2602032022,Wednesday,Post-EU,19.84,0.19,59.69,20.77,15,55,0,2.97,56.67,70.49,44.74,62.34,77,66.67,39.08
2602051504,Friday,Post-Asia,20.02,0.01,65.41,20.27,13,47,0,3.99,71.43,70.97,56.45,45.19,104,50.00,55.96
2602111343,Wednesday,Post-Asia,20.03,0.20,68.84,24.16,12,48,0,3.74,63.33,71.21,69.05,37.89,95,66.67,83.60
2602151918,Monday,Pre-EU,20.23,0.01,70.49,25.11,26,56,0,2.95,70.83,67.19,76.47,63.95,86,50.00,87.33
2602220742,Sunday,NA-Asia,20.23,0.01,59.03,21.77,17,45,0,3.66,48.57,66.15,56.82,50.59,85,50.00,59.63
