Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601020057,Friday,Pre-NA,5.60,0.01,22.14,4.86,3,13,0,4.34,29.41,16.95,23.68,34.48,29,50.00,50.00
2601020800,Friday,NA-Asia,5.61,0.09,25.93,3.74,0,7,0,5.21,50.00,17.54,25.81,10.71,28,60.00,51.04
2601030030,Saturday,Pre-NA,5.70,-0.20,23.13,5.08,6,9,0,4.48,21.43,14.54,37.84,25.81,31,33.33,51.83
2601030526,Saturday,Post-NA,5.50,-0.01,28.48,5.78,6,15,0,4.67,38.71,20.83,32.73,26.67,45,50.00,82.57
2601060529,Tuesday,Post-NA,5.50,0.00,25.95,4.84,3,10,0,4.93,45.45,13.51,31.37,21.95,41,50.00,61.01
2601070149,Wednesday,Pre-NA,5.50,-0.01,22.48,5.30,5,14,0,4.10,31.43,16.07,23.68,41.38,29,50.00,49.91
2601100227,Saturday,Pre-NA,5.49,0.09,24.69,5.05,1,7,0,4.75,36.84,12.82,34.78,25.00,20,66.67,52.64
2601120530,Monday,NA-Asia,5.58,-0.19,18.75,3.01,1,3,2,5.14,25.00,17.86,15.62,19.05,21,30.00,5.95
2601141731,Thursday,Pre-EU,5.39,0.10,34.96,8.02,6,16,1,4.12,59.38,23.53,30.00,30.23,43,60.00,87.80
2601151844,Friday,Pre-EU,5.49,-0.18,23.13,4.12,2,9,0,4.68,28.95,17.81,27.78,20.59,34,33.33,23.26
2601160828,Friday,NA-Asia,5.31,0.00,29.75,5.92,2,12,2,5.00,32.43,22.22,38.78,17.02,47,50.00,73.44
2601161832,Saturday,Pre-EU,5.31,-0.10,24.78,5.37,2,10,0,4.18,33.33,15.69,31.71,25.00,28,40.00,34.77
2601170037,Saturday,Pre-NA,5.21,-0.02,28.57,4.09,1,12,1,4.67,43.59,19.12,30.00,16.67,42,50.00,53.17
2601170538,Saturday,NA-Asia,5.19,0.19,23.53,5.61,1,6,0,4.40,8.33,24.00,30.43,35.00,20,75.00,56.53
2601171039,Saturday,Pre-Asia,5.38,-0.11,25.35,2.78,4,17,0,3.89,28.95,19.70,31.58,41.67,36,41.67,39.13
2601172250,Sunday,EU-NA,5.27,0.17,22.86,4.18,3,10,0,4.56,39.29,16.92,21.28,31.25,32,66.67,46.41
2601180507,Sunday,Post-NA,5.44,-0.28,27.27,4.56,4,12,0,4.60,42.86,15.38,33.33,26.67,30,20.00,37.70
2601181029,Sunday,Pre-Asia,5.16,-0.10,20.64,3.19,1,6,1,5.04,31.25,16.39,18.18,15.38,26,40.00,12.33
2601181222,Sunday,Pre-Asia,5.06,-0.09,30.91,5.06,4,14,1,4.92,53.49,16.44,32.65,25.49,51,41.67,69.17
