Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601012239,Friday,EU-NA,11.39,0.10,36.00,9.55,6,20,2,3.72,56.00,34.62,17.39,50.00,36,60.00,50.00
2601020057,Friday,Pre-NA,11.50,0.01,40.46,10.71,10,30,0,3.75,38.23,35.59,50.00,41.51,53,50.00,70.96
2601021357,Friday,Post-Asia,11.50,0.29,43.16,13.59,7,18,0,4.00,55.00,45.65,31.03,43.90,41,80.00,76.71
2601030030,Saturday,Pre-NA,11.79,0.18,38.40,10.63,9,21,0,3.77,29.27,44.23,40.62,43.75,48,66.67,50.82
2601051410,Monday,Post-Asia,11.97,-0.18,40.16,10.67,3,17,1,4.29,46.43,42.00,34.09,26.53,49,33.33,30.71
2601061413,Tuesday,Post-Asia,11.78,-0.19,36.48,9.13,7,19,0,4.79,42.10,37.33,30.43,25.86,58,33.33,24.48
2601070149,Wednesday,Pre-NA,11.59,-0.39,37.89,11.19,17,34,1,3.41,31.11,41.27,39.62,47.54,61,16.67,47.31
2601071400,Wednesday,Post-Asia,11.20,0.46,44.93,10.68,3,26,0,4.19,48.72,41.27,47.22,29.03,62,100.00,73.69
2601071634,Thursday,Asia-EU,11.66,0.35,39.71,10.35,6,25,0,3.96,22.22,46.38,45.16,40.74,54,83.33,58.79
2601091400,Friday,Post-Asia,12.01,0.17,38.36,9.61,6,22,0,4.45,52.94,35.71,30.95,19.64,56,66.67,46.80
2601110220,Sunday,Pre-NA,12.18,0.17,43.70,10.93,11,25,0,4.07,46.88,38.33,48.84,40.68,59,66.67,82.46
2601171640,Sunday,Asia-EU,12.35,0.00,39.13,6.96,2,14,0,4.89,29.27,42.37,44.74,22.22,54,40.00,21.15
2601171642,Sunday,Asia-EU,12.35,-0.09,39.13,6.96,2,14,0,4.89,29.27,42.37,44.74,22.22,54,40.00,18.27
2601200030,Tuesday,Pre-NA,12.26,0.00,35.66,8.63,6,23,0,4.24,29.55,39.29,37.21,41.18,51,50.00,19.48
2601201915,Wednesday,Pre-EU,12.27,-0.38,40.48,8.62,4,20,0,4.39,38.46,45.07,31.03,35.29,51,16.67,21.51
2601222213,Friday,Post-EU,11.89,0.46,46.49,12.69,10,31,0,3.42,47.83,49.18,40.00,50.94,53,80.00,85.18
2601231040,Friday,Pre-Asia,12.35,0.02,31.20,8.50,4,14,0,4.36,28.57,32.26,31.43,25.64,39,66.67,22.72
2601260005,Monday,EU-NA,12.37,0.36,37.84,10.07,6,21,0,3.95,46.15,30.95,39.53,38.10,42,83.33,62.97
2601261925,Tuesday,Pre-EU,12.73,0.27,45.63,12.89,7,19,0,4.17,55.17,41.67,42.31,34.04,47,80.00,79.86
2601271912,Wednesday,Pre-EU,13.01,-0.37,39.52,9.00,4,20,1,4.47,51.72,40.32,27.27,34.69,49,16.67,17.37
2601290015,Thursday,EU-NA,12.64,0.00,40.52,9.29,8,28,1,3.81,44.19,38.89,39.47,38.71,62,50.00,54.87
2601291310,Thursday,Post-Asia,12.64,0.18,40.32,8.99,3,20,0,4.44,47.83,43.08,30.56,28.00,50,66.67,51.91
2601312317,Sunday,EU-NA,12.82,0.18,43.36,9.22,3,25,0,4.31,38.89,49.23,38.09,32.26,62,66.67,61.53
2602020040,Monday,Pre-NA,13.00,0.01,32.85,6.80,3,13,0,4.60,45.45,31.34,24.32,31.11,45,50.00,13.54
2602021353,Monday,Post-Asia,13.02,0.01,42.03,12.01,6,25,1,4.29,50.00,37.68,43.90,37.93,58,50.00,62.79
2602022029,Tuesday,Post-EU,13.03,-0.18,36.96,9.15,1,16,1,4.75,39.39,38.98,32.61,27.45,51,33.33,16.12
2602032022,Wednesday,Post-EU,12.85,0.00,32.76,7.30,2,19,0,4.11,42.31,32.00,27.50,39.47,38,50.00,14.76
2602041207,Wednesday,Pre-Asia,12.85,-0.28,35.95,8.77,5,25,0,4.20,27.59,35.71,40.74,36.36,55,25.00,25.86
2602051504,Friday,Post-Asia,12.57,-0.19,40.67,8.29,4,14,0,5.00,32.35,37.68,51.06,26.23,61,33.33,44.60
2602052053,Friday,Post-EU,12.38,-0.17,46.51,12.80,4,32,0,3.73,41.94,47.76,48.39,46.67,60,33.33,65.37
2602061813,Saturday,Pre-EU,12.22,0.50,52.89,14.04,3,30,0,3.98,51.43,52.94,54.29,32.81,64,100.00,89.37
2602062111,Saturday,Post-EU,12.71,-0.10,33.77,6.57,0,7,1,4.85,62.50,33.33,17.86,15.38,26,33.33,10.09
2602072212,Sunday,Post-EU,12.62,0.17,38.06,9.43,5,26,0,4.00,30.30,37.33,44.68,40.68,59,66.67,64.20
2602091853,Tuesday,Pre-EU,12.79,0.10,33.90,6.82,1,12,0,4.28,41.18,34.69,25.71,25.00,40,60.00,32.08
2602111343,Wednesday,Post-Asia,12.90,-0.18,40.54,10.34,3,15,0,4.42,34.78,42.31,41.67,17.78,45,33.33,50.52
2602141404,Saturday,Post-Asia,12.71,-0.19,39.42,11.54,5,20,1,4.11,37.84,36.36,44.44,38.89,54,33.33,54.78
2602161820,Tuesday,Pre-EU,12.53,0.19,46.45,10.29,8,37,1,3.75,60.00,44.59,39.13,36.11,72,66.67,88.42
2602172105,Wednesday,Post-EU,12.72,-0.09,39.37,10.59,8,21,0,4.10,34.38,38.46,44.19,32.00,50,40.00,43.06
2602201401,Friday,Post-Asia,12.63,0.01,45.07,9.75,4,21,2,4.78,45.45,41.10,52.78,25.00,64,50.00,48.61
2602210956,Saturday,Pre-Asia,12.63,0.18,44.96,12.34,7,23,0,4.05,51.72,36.54,50.00,32.76,58,66.67,90.28
2602221723,Monday,Asia-EU,12.81,0.37,44.83,11.84,9,32,2,4.06,39.39,41.67,52.63,33.33,78,83.33,90.91
2602251119,Wednesday,Pre-Asia,13.18,-0.16,33.09,7.38,6,16,0,4.36,28.00,29.58,42.50,22.22,45,33.33,14.84
2602271913,Saturday,Pre-EU,13.02,0.27,39.62,9.02,2,16,0,4.57,45.83,39.22,35.48,23.81,42,80.00,39.96
2602281106,Saturday,Pre-Asia,13.29,0.08,45.24,11.03,5,26,2,4.51,51.16,43.04,43.48,36.84,76,58.33,75.49
2603021158,Monday,Pre-Asia,13.37,0.17,38.30,8.33,1,16,0,4.87,41.67,38.81,34.21,22.22,54,66.67,31.84
2603041445,Wednesday,Post-Asia,13.54,-0.00,40.54,10.60,8,27,0,4.12,46.15,44.62,29.55,41.67,60,50.00,49.19
2603070048,Saturday,Pre-NA,13.53,-0.02,45.14,11.14,4,28,0,4.15,52.50,39.44,48.48,30.77,65,50.00,63.00
2603071352,Saturday,Post-Asia,13.52,-0.27,39.85,11.65,7,28,0,3.96,35.71,45.45,34.09,49.09,55,20.00,38.48
2603150014,Sunday,EU-NA,13.25,0.00,45.00,12.09,8,29,0,4.19,48.57,35.38,57.50,41.27,63,40.00,71.06
2603151901,Monday,Pre-EU,13.25,0.20,47.79,14.03,5,22,0,3.85,50.00,46.81,47.37,35.19,54,66.67,75.67
2603181441,Wednesday,Post-Asia,13.45,-0.01,42.54,11.25,6,23,1,4.42,48.57,40.98,39.47,35.09,57,50.00,57.95
2603191900,Friday,Pre-EU,13.44,0.37,43.06,12.34,7,31,1,4.02,25.81,54.55,38.30,38.71,62,83.33,82.25
2603201913,Saturday,Pre-EU,13.81,0.27,42.68,9.02,5,16,0,4.91,53.33,35.90,46.43,22.86,70,75.00,55.31
2603211405,Saturday,Post-Asia,14.08,0.28,37.93,11.66,4,21,0,3.73,33.33,40.43,38.46,43.18,44,80.00,52.86
2603221422,Sunday,Post-Asia,14.36,0.09,33.06,9.48,9,23,0,3.61,20.00,33.33,40.48,48.78,41,60.00,34.07
2603231915,Tuesday,Pre-EU,14.45,0.27,41.32,10.58,6,24,0,3.94,36.67,41.07,45.71,26.00,50,80.00,44.64
2603241355,Tuesday,Post-Asia,14.72,0.19,33.33,7.27,8,27,0,3.80,32.56,33.33,34.21,42.86,49,66.67,36.12
2603251345,Wednesday,Post-Asia,14.91,0.18,44.44,13.34,7,29,0,4.20,57.90,39.34,40.00,39.06,64,66.67,75.41
2603281530,Sunday,Asia-EU,15.09,-0.36,46.28,11.14,6,24,0,4.39,57.58,46.00,36.84,41.07,56,16.67,50.76
2603300940,Monday,Pre-Asia,14.73,-0.01,43.04,8.60,0,19,0,4.79,47.62,42.25,40.00,8.82,68,50.00,37.71
2604011400,Wednesday,Post-Asia,14.72,0.36,42.03,12.38,3,25,0,4.40,48.15,44.26,36.00,31.03,58,83.33,77.87
2604021354,Thursday,Post-Asia,15.08,-0.18,38.76,12.47,6,22,1,3.84,33.33,38.98,42.50,46.00,50,33.33,34.03
2604021830,Friday,Pre-EU,14.90,0.08,47.58,10.16,4,15,0,4.63,60.00,49.23,35.29,25.42,59,60.00,53.83
2604031350,Friday,Post-Asia,14.98,-0.00,39.61,11.25,12,27,0,4.02,41.46,39.71,37.78,40.98,61,50.00,55.33
2604102138,Saturday,Post-EU,14.97,0.19,41.62,12.32,5,26,0,4.34,50.00,33.33,45.65,37.31,67,66.67,72.91
2604151003,Wednesday,Pre-Asia,15.16,-0.18,40.58,8.94,5,16,0,4.95,67.86,25.00,44.00,25.00,56,33.33,16.43
2604171403,Friday,Post-Asia,14.98,-0.27,40.16,9.55,7,29,0,3.37,44.44,32.76,48.65,53.06,49,20.00,16.86
2604181641,Sunday,Asia-EU,14.71,0.40,50.97,12.05,5,29,0,4.32,55.32,53.03,42.86,31.65,79,91.67,89.07
