Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601021357,Friday,Post-Asia,7.21,0.11,25.00,3.54,1,3,1,5.68,40.91,24.44,9.52,13.64,22,60.00,50.00
2601030526,Saturday,Post-NA,7.32,-0.01,19.62,3.68,2,10,2,4.77,41.94,11.11,18.18,22.58,31,50.00,40.04
2601171053,Saturday,Pre-Asia,7.31,0.66,23.60,3.91,1,9,0,5.50,56.82,11.11,15.09,16.67,42,100.00,79.87
2601181222,Sunday,Pre-Asia,7.98,0.46,26.47,3.41,1,9,0,5.28,52.63,19.70,9.38,22.22,36,83.33,71.08
2601221429,Thursday,Post-Asia,8.44,0.11,23.65,3.46,2,10,0,4.94,47.73,11.67,15.91,28.57,35,58.33,41.59
2601311622,Sunday,Asia-EU,8.55,-0.21,19.23,2.92,1,10,0,4.83,41.67,13.23,11.54,16.67,30,33.33,13.04
2602201401,Friday,Post-Asia,8.34,-0.53,22.54,2.21,0,3,0,5.97,34.38,17.57,22.22,0.00,32,8.33,20.54
2602220459,Sunday,Post-NA,7.81,0.21,29.92,6.61,3,14,0,4.18,50.00,21.15,21.62,28.95,38,66.67,89.16
2602220742,Sunday,NA-Asia,8.02,0.21,22.86,3.23,0,6,0,5.44,48.65,13.23,14.29,15.62,32,66.67,43.39
2602281808,Sunday,Pre-EU,8.23,0.01,28.82,4.70,3,20,0,4.25,63.64,14.47,20.00,34.69,49,50.00,69.39
2603071352,Saturday,Post-Asia,8.25,-0.21,27.56,4.15,2,7,1,5.34,54.84,19.30,17.95,11.43,35,30.00,49.27
2603161343,Monday,Post-Asia,8.04,0.00,23.70,2.99,1,6,0,5.09,46.15,16.67,20.41,15.62,32,50.00,21.41
2603191100,Thursday,Pre-Asia,8.04,-0.30,24.65,4.18,3,12,0,4.74,51.72,19.72,14.29,25.71,35,25.00,44.63
2603211405,Saturday,Post-Asia,7.74,0.10,28.06,5.73,1,13,0,4.62,78.12,12.31,14.29,25.64,39,60.00,84.12
2603241046,Tuesday,Pre-Asia,7.84,-0.40,22.14,3.80,2,8,0,4.87,54.55,12.70,11.36,19.35,31,16.67,17.93
2603280947,Saturday,Pre-Asia,7.44,-0.21,21.28,3.75,0,4,0,4.70,55.00,14.29,8.00,20.00,20,33.33,15.50
2603291008,Sunday,Pre-Asia,7.22,0.40,25.48,4.66,0,7,1,5.22,58.97,12.12,17.31,17.50,40,83.33,70.78
2604011400,Wednesday,Post-Asia,7.62,-0.20,23.62,3.43,0,4,0,5.87,51.52,15.09,12.20,13.33,30,33.33,17.37
2604031350,Friday,Post-Asia,7.42,0.19,21.32,3.72,1,8,0,4.97,50.00,12.96,8.70,20.69,29,66.67,41.53
2604061424,Monday,Post-Asia,7.61,0.00,17.54,2.50,0,5,0,5.10,46.15,7.50,11.54,13.33,30,50.00,32.34
2604111356,Saturday,Post-Asia,7.61,0.20,30.37,5.66,1,8,1,5.10,53.66,18.87,21.95,14.63,41,66.67,86.35
2604120456,Sunday,Post-NA,7.82,0.19,25.18,4.66,0,12,2,4.79,51.52,21.57,11.77,11.76,34,66.67,73.26
2604281408,Tuesday,Post-Asia,8.01,-0.01,20.49,3.13,1,5,4,5.00,36.67,13.72,17.07,16.00,25,50.00,16.31
2605010408,Friday,Post-NA,8.00,0.19,26.62,4.86,4,19,1,4.00,62.16,15.25,11.63,35.14,37,66.67,89.70
2605011447,Friday,Post-Asia,8.19,-0.19,17.60,3.19,1,8,0,4.82,44.83,10.53,7.69,27.27,22,33.33,14.71
2605111404,Monday,Post-Asia,8.00,-0.01,21.71,3.75,2,5,3,5.24,56.25,11.84,13.64,15.15,33,50.00,31.40
2605131344,Wednesday,Post-Asia,7.99,-0.38,23.77,3.92,2,5,1,5.52,61.29,10.91,11.11,13.79,29,16.67,39.29
2605160437,Saturday,Post-NA,7.62,-0.36,32.59,5.05,1,11,1,5.04,60.71,29.41,17.95,15.91,44,30.00,60.50
2605171514,Monday,Post-Asia,7.25,-0.37,28.57,4.57,0,11,1,5.46,59.52,23.61,8.51,19.57,46,16.67,56.94
2605281037,Thursday,Pre-Asia,6.88,-0.19,24.66,3.85,2,9,0,4.69,71.88,10.29,13.04,16.67,36,33.33,37.65
2606111401,Thursday,Post-Asia,6.70,-0.09,27.12,3.80,1,5,1,5.12,56.00,17.86,21.62,21.88,32,40.00,49.32
2606130712,Saturday,NA-Asia,6.60,0.29,27.04,4.33,1,7,2,5.74,48.00,15.94,20.00,13.95,43,80.00,80.69
2606162318,Wednesday,EU-NA,6.89,-0.18,20.83,4.29,2,8,0,4.56,51.85,13.21,10.00,32.00,25,30.00,34.31
2606271717,Sunday,Asia-EU,6.71,-0.19,29.92,5.62,2,10,0,4.82,52.63,14.89,26.19,15.79,38,33.33,72.27
2607040426,Saturday,Post-NA,6.52,-0.35,24.61,2.85,0,5,1,5.34,62.16,9.43,10.00,6.25,32,16.67,14.30
2607050914,Sunday,Pre-Asia,6.17,-1.17,29.68,5.60,1,15,1,4.67,68.42,16.90,17.39,28.26,46,50.00,67.81
2607121142,Sunday,Pre-Asia,5.00,0.17,30.72,4.19,1,15,1,4.82,76.47,15.29,25.53,19.61,51,58.33,73.03
