Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601031038,Saturday,Pre-Asia,16.70,0.42,61.15,19.28,10,41,1,3.89,65.00,67.19,45.71,37.65,85,83.33,50.00
2601091400,Friday,Post-Asia,17.12,0.20,59.59,18.70,12,41,0,3.90,61.77,65.71,47.62,37.93,87,66.67,35.90
2601220918,Thursday,Pre-Asia,17.32,0.22,60.38,17.78,13,47,0,3.76,66.67,57.14,59.09,52.08,96,66.67,41.23
2602021353,Monday,Post-Asia,17.54,-0.00,56.43,16.34,7,35,0,4.21,55.56,66.18,42.22,36.71,79,50.00,9.09
2602181622,Thursday,Asia-EU,17.53,0.00,55.00,14.25,8,43,0,3.91,62.86,57.14,45.83,43.18,88,50.00,17.73
2603091433,Monday,Post-Asia,17.54,-0.42,51.06,15.66,9,29,1,4.06,61.77,50.75,42.50,41.67,72,16.67,6.64
2603101021,Tuesday,Pre-Asia,17.12,0.02,57.72,16.42,13,41,0,3.94,71.43,58.33,48.98,44.19,86,50.00,44.30
2603111035,Wednesday,Pre-Asia,17.14,-0.20,55.81,13.30,2,31,0,4.12,72.73,53.45,44.74,27.78,72,33.33,11.64
2603161028,Monday,Pre-Asia,16.94,-0.31,54.12,10.93,5,25,0,4.83,60.71,53.03,47.92,20.65,92,25.00,17.98
2603211405,Saturday,Post-Asia,16.63,-0.10,53.29,14.14,6,34,0,4.07,56.76,51.28,54.05,37.04,81,40.00,13.72
2603221422,Sunday,Post-Asia,16.53,-0.11,47.41,11.83,7,33,0,3.83,55.88,45.90,42.50,45.31,64,40.00,15.81
2603241046,Tuesday,Pre-Asia,16.42,-0.40,54.29,14.56,7,41,0,3.70,66.67,57.14,40.91,48.68,76,16.67,29.69
2603251007,Wednesday,Pre-Asia,16.03,0.21,55.88,14.63,5,36,0,3.99,58.14,60.00,45.45,31.58,76,66.67,71.57
2603251345,Wednesday,Post-Asia,16.24,0.00,61.84,17.77,8,39,0,4.27,77.78,56.72,52.50,31.91,94,50.00,88.29
2603311011,Tuesday,Pre-Asia,16.24,-0.00,58.78,16.28,4,32,0,4.12,62.96,67.19,42.50,33.77,77,50.00,72.42
2604011400,Wednesday,Post-Asia,16.24,0.39,49.27,14.94,6,28,1,4.29,59.26,49.18,44.00,29.41,68,83.33,55.13
2604100734,Friday,NA-Asia,16.63,0.48,64.61,18.70,6,40,0,3.73,61.29,66.18,64.52,36.90,84,100.00,91.04
2604211013,Tuesday,Pre-Asia,17.11,-0.10,54.24,15.12,4,29,0,4.02,67.65,50.00,46.67,32.81,64,40.00,31.82
2604220615,Wednesday,NA-Asia,17.02,0.09,57.14,14.11,3,24,0,4.28,66.67,59.62,44.74,22.22,72,60.00,44.66
2604231037,Thursday,Pre-Asia,17.10,0.30,53.64,15.07,10,39,0,3.98,67.65,49.25,50.00,40.74,81,75.00,59.98
2605011447,Friday,Post-Asia,17.40,0.00,54.43,16.22,14,49,0,3.66,63.64,58.97,40.43,50.00,86,50.00,51.53
2605041350,Monday,Post-Asia,17.41,-0.17,49.33,15.79,8,37,0,3.72,52.78,44.26,52.83,40.54,74,33.33,22.53
2605051409,Tuesday,Post-Asia,17.24,-0.09,50.81,16.11,8,33,0,3.65,51.52,60.87,40.00,49.21,63,40.00,27.87
2605070715,Thursday,NA-Asia,17.15,0.10,58.66,17.75,11,59,0,3.66,60.00,62.64,50.94,46.67,105,58.33,77.82
2605091011,Saturday,Pre-Asia,17.25,-0.37,56.58,14.00,3,24,1,4.55,61.77,58.44,48.78,20.93,86,16.67,30.42
2605111404,Monday,Post-Asia,16.87,0.38,48.37,14.16,10,29,0,4.07,61.11,49.27,37.50,25.68,74,83.33,43.66
2605131344,Wednesday,Post-Asia,17.25,0.19,52.99,15.32,6,25,0,4.23,57.69,53.06,50.00,32.26,62,66.67,49.11
2605182153,Tuesday,Post-EU,17.44,0.00,56.96,15.09,14,48,0,3.72,64.29,63.49,43.40,43.33,90,50.00,56.59
2605202226,Thursday,Post-EU,17.45,0.01,51.59,14.94,12,56,0,2.95,52.63,56.52,44.00,66.67,81,50.00,35.41
2605230657,Saturday,NA-Asia,17.45,-0.28,57.94,14.59,5,26,0,4.25,67.74,61.82,45.00,30.14,73,20.00,26.90
2605260823,Tuesday,NA-Asia,17.17,0.08,62.26,16.90,4,44,3,4.11,72.97,62.69,54.55,38.38,99,58.33,75.25
2605271100,Wednesday,Pre-Asia,17.25,0.20,47.89,12.76,2,23,0,4.24,45.45,52.63,39.39,29.41,68,66.67,33.17
2605290743,Friday,NA-Asia,17.45,-0.18,54.68,15.55,15,52,0,3.03,65.52,55.07,46.34,60.53,76,33.33,46.03
2605300457,Saturday,Post-NA,17.27,-0.02,56.25,17.07,8,43,0,4.15,69.44,57.83,45.61,35.35,99,83.33,77.10
2605310642,Sunday,NA-Asia,17.25,0.29,58.79,14.78,5,38,0,4.56,65.31,60.23,48.89,30.84,107,41.67,57.04
2606050623,Friday,NA-Asia,17.55,0.19,62.74,19.03,4,43,0,4.13,65.79,65.22,56.52,36.46,96,66.67,82.11
2606070809,Sunday,NA-Asia,17.73,-0.04,56.68,13.92,5,29,0,4.71,60.42,52.50,59.32,22.64,106,50.00,35.16
2606100901,Wednesday,Pre-Asia,17.69,-0.08,60.81,17.39,9,41,0,3.97,67.57,63.16,53.70,41.11,90,41.67,65.95
2606130437,Saturday,Post-NA,17.61,0.28,59.84,15.86,3,27,0,4.62,50.00,63.33,62.50,23.29,73,80.00,64.03
2606130712,Saturday,NA-Asia,17.89,-0.09,62.09,15.58,3,32,0,4.76,76.09,65.45,46.15,29.47,95,40.00,42.91
2606201811,Sunday,Pre-EU,17.80,0.02,54.23,15.67,6,36,0,3.88,68.97,57.97,38.64,36.36,77,50.00,26.88
2606242018,Thursday,Post-EU,17.81,-0.18,57.25,15.00,9,39,0,3.76,60.00,60.34,51.16,41.33,75,33.33,21.69
2607051402,Sunday,Post-Asia,17.64,-0.14,60.63,17.14,6,40,0,3.78,71.43,57.90,57.14,44.16,77,33.33,50.54
2607061413,Monday,Post-Asia,17.50,-0.44,59.76,17.67,18,63,0,3.25,61.54,61.33,54.05,57.14,98,33.33,57.60
2607090723,Thursday,NA-Asia,17.06,0.00,58.91,11.52,7,39,0,3.72,64.29,64.52,46.15,50.00,76,50.00,39.45
2607121408,Sunday,Post-Asia,17.06,0.22,66.42,18.12,8,41,1,4.09,73.33,66.15,61.54,35.96,89,60.00,87.68
2607141418,Tuesday,Post-Asia,17.28,-0.39,64.19,19.84,14,49,0,3.72,85.71,56.94,62.50,42.11,95,33.33,65.63
2607200603,Monday,NA-Asia,16.89,0.79,61.27,16.48,9,32,0,4.13,51.28,68.25,60.00,33.33,87,83.33,79.66
2607220545,Wednesday,NA-Asia,17.67,-0.01,48.36,14.49,8,28,0,3.73,63.16,46.67,44.19,44.07,59,50.00,28.61
2607231033,Thursday,Pre-Asia,17.66,-0.16,71.07,17.91,10,39,0,3.86,81.48,72.13,60.61,44.19,86,40.00,65.56
2607241519,Saturday,Post-Asia,17.50,0.71,59.23,15.80,10,44,0,3.65,66.67,53.45,61.11,48.05,77,83.33,45.24
2607270721,Monday,NA-Asia,18.21,0.52,62.26,16.91,9,38,0,4.38,73.17,61.84,52.38,29.29,99,80.00,79.39
2607290713,Wednesday,NA-Asia,18.73,-0.19,62.04,17.69,4,33,0,3.76,65.52,63.46,55.56,34.33,67,40.00,39.48
2608020722,Sunday,NA-Asia,18.54,-0.01,61.11,18.09,8,34,0,4.01,75.86,60.42,53.06,40.26,77,50.00,40.27
2608031458,Monday,Post-Asia,18.53,-0.64,60.27,18.12,14,43,0,3.66,72.73,62.50,48.98,45.45,88,16.67,48.85
2608060005,Thursday,EU-NA,17.89,0.07,68.15,16.31,5,31,0,4.56,81.39,76.19,47.06,22.43,107,50.00,46.10
2608071509,Saturday,Post-Asia,17.96,-0.32,58.60,15.05,2,31,1,4.43,70.45,57.97,47.73,31.52,92,33.33,14.63
2608080706,Saturday,NA-Asia,17.65,-0.30,63.51,17.26,4,44,0,4.18,62.50,68.57,56.52,38.30,94,30.00,53.05
2608150614,Saturday,NA-Asia,17.35,0.43,61.21,15.18,5,29,0,4.32,74.19,60.87,51.28,29.58,71,80.00,39.58
2608150820,Saturday,NA-Asia,17.78,0.57,56.34,18.18,4,35,0,4.17,67.86,58.02,42.42,30.00,80,83.33,56.03
2608151728,Sunday,Asia-EU,18.35,0.13,59.21,17.64,12,48,0,3.81,70.00,58.90,53.06,34.44,90,58.33,70.96
2608161358,Sunday,Post-Asia,18.48,-0.60,48.06,14.87,12,35,2,3.61,56.41,48.08,39.47,51.61,62,16.67,11.60
2608181637,Wednesday,Asia-EU,17.88,-0.28,51.18,16.37,15,59,0,3.14,63.64,51.14,42.86,57.47,87,33.33,30.59
