Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601021357,Friday,Post-Asia,15.66,0.09,45.45,14.34,4,21,0,4.08,40.91,55.56,28.57,45.00,40,60.00,50.00
2601041141,Sunday,Pre-Asia,15.75,-0.19,45.69,12.99,9,25,0,3.89,45.83,55.56,31.58,37.74,53,33.33,39.43
2601051410,Monday,Post-Asia,15.56,-0.19,43.31,14.96,7,26,0,3.94,38.89,63.46,20.51,45.45,55,33.33,49.79
2601091400,Friday,Post-Asia,15.36,0.20,36.94,10.20,8,23,1,4.28,33.33,45.33,26.92,25.86,58,66.67,48.61
2601111925,Monday,Pre-EU,15.56,0.21,45.19,10.78,6,28,0,4.08,50.00,58.73,22.73,34.43,61,66.67,63.23
2601141731,Thursday,Pre-EU,15.77,-0.28,52.17,13.98,11,36,0,3.79,48.65,62.50,37.84,37.50,72,20.00,66.50
2601151844,Friday,Pre-EU,15.49,-0.18,44.90,11.51,5,32,0,3.82,52.63,52.05,22.22,28.79,66,33.33,31.15
2601161832,Saturday,Pre-EU,15.31,0.11,43.92,13.79,8,26,0,3.17,40.91,59.26,19.36,53.19,47,60.00,64.27
2603091909,Tuesday,Pre-EU,15.42,0.38,45.70,12.16,8,39,0,3.83,53.85,58.21,20.00,47.83,69,83.33,66.55
2603122228,Friday,Post-EU,15.80,-0.01,33.05,8.80,4,17,0,4.08,43.33,48.89,9.30,33.33,39,50.00,17.92
2603151012,Sunday,Pre-Asia,15.79,0.45,47.06,12.45,11,31,2,4.20,60.53,59.72,23.33,33.75,80,91.67,86.24
2603151901,Monday,Pre-EU,16.24,-0.02,36.84,10.93,3,4,0,4.21,38.46,42.86,27.27,28.57,14,50.00,12.02
2603161905,Tuesday,Pre-EU,16.22,0.19,45.38,14.07,7,32,0,3.80,59.46,52.54,17.65,49.15,59,66.67,81.87
2603191900,Friday,Pre-EU,16.41,-0.37,51.35,16.58,9,42,1,3.59,53.12,68.06,22.73,42.11,76,16.67,62.18
2603201913,Saturday,Pre-EU,16.05,-0.01,46.36,11.57,4,22,0,4.40,47.62,54.84,34.04,21.43,70,50.00,42.46
2603202204,Saturday,Post-EU,16.03,-0.17,46.98,11.64,12,40,0,3.69,61.91,54.80,11.77,47.14,70,33.33,47.35
2603211405,Saturday,Post-Asia,15.86,-0.47,43.59,9.22,2,26,0,4.59,55.88,55.22,21.82,23.53,68,0.00,23.86
2603231915,Tuesday,Pre-EU,15.39,-0.29,43.22,9.32,2,23,2,4.20,45.45,50.98,29.41,27.45,51,20.00,9.87
2603252225,Thursday,Post-EU,15.10,-0.01,46.38,13.37,4,27,1,4.03,50.00,60.00,20.51,26.56,64,50.00,76.57
2603271909,Saturday,Pre-EU,15.09,0.18,44.59,14.86,9,34,0,3.85,47.06,53.12,32.00,40.91,66,66.67,81.06
2603280947,Saturday,Pre-Asia,15.27,0.08,42.28,14.10,7,29,0,3.58,41.38,54.72,26.83,36.54,52,58.33,62.00
2603281530,Sunday,Asia-EU,15.35,0.01,39.18,10.12,7,31,1,4.19,45.65,49.27,21.43,32.84,67,50.00,44.35
2603282207,Sunday,Post-EU,15.37,0.27,47.24,13.12,5,28,0,3.95,58.33,54.55,25.00,36.67,60,80.00,75.62
2603291008,Sunday,Pre-Asia,15.64,0.36,43.31,14.25,8,25,0,4.24,46.15,54.55,26.92,32.35,68,83.33,79.54
2603302139,Tuesday,Post-EU,16.00,-0.00,50.00,12.62,11,34,1,3.80,52.78,59.32,30.30,48.44,64,50.00,75.21
2604021830,Friday,Pre-EU,16.00,-0.11,38.64,10.44,3,15,0,4.29,52.63,52.50,10.35,35.29,34,40.00,11.83
2604031350,Friday,Post-Asia,15.89,0.18,33.82,9.56,6,23,0,3.96,44.44,48.15,8.70,39.13,46,66.67,35.85
2604041052,Saturday,Pre-Asia,16.07,-0.18,31.33,9.77,5,21,3,4.08,28.57,44.62,17.54,40.43,47,33.33,4.07
2604050751,Sunday,NA-Asia,15.89,-0.18,41.33,13.55,3,29,0,4.05,43.18,46.97,30.00,27.42,62,33.33,48.92
2604051746,Monday,Pre-EU,15.71,-0.27,38.46,8.55,3,13,0,4.62,41.38,47.37,19.36,17.78,45,20.00,10.07
2604061424,Monday,Post-Asia,15.43,-0.18,40.94,13.91,12,45,0,3.24,47.06,51.22,21.82,50.00,70,33.33,61.78
2604061807,Tuesday,Pre-EU,15.26,0.00,42.03,11.43,4,27,1,4.10,34.21,59.02,23.08,39.66,58,50.00,51.73
2604091812,Friday,Pre-EU,15.26,0.10,46.81,14.89,4,22,0,3.27,42.86,58.97,35.29,61.36,44,60.00,73.13
2604102138,Saturday,Post-EU,15.36,0.19,38.85,10.46,3,17,0,4.24,50.00,47.69,18.18,24.07,54,66.67,47.78
2604110724,Saturday,NA-Asia,15.54,-0.35,43.66,9.73,1,18,1,4.66,42.50,52.11,25.81,17.74,62,16.67,35.03
2604111356,Saturday,Post-Asia,15.19,0.19,47.41,11.40,2,20,0,4.53,46.34,60.38,31.71,21.88,64,66.67,77.37
2604121013,Sunday,Pre-Asia,15.38,-0.10,45.90,13.99,5,26,0,4.04,55.17,60.34,14.29,35.71,56,40.00,67.43
2604130424,Monday,Post-NA,15.28,-0.18,42.10,11.82,4,23,0,4.38,40.62,48.33,34.15,37.50,56,33.33,31.34
2604131404,Monday,Post-Asia,15.10,-0.01,48.41,11.80,4,33,0,3.67,51.43,58.46,19.23,37.70,61,50.00,72.28
2604131902,Tuesday,Pre-EU,15.10,0.35,46.51,10.44,2,18,0,4.53,38.23,66.07,25.64,18.33,60,83.33,62.27
2604140505,Tuesday,Post-NA,15.45,0.00,46.88,14.67,4,25,0,3.53,35.00,58.70,36.67,40.00,45,40.00,58.89
2604141831,Wednesday,Pre-EU,15.45,0.28,50.70,13.32,7,30,1,4.11,59.09,58.93,30.95,31.94,72,83.33,90.77
2604161835,Friday,Pre-EU,15.73,0.08,47.02,14.18,6,32,0,3.75,46.15,56.92,26.67,49.21,63,58.33,81.50
2604171736,Saturday,Pre-EU,15.81,0.27,43.12,10.41,0,24,2,3.92,58.33,53.33,22.50,29.79,47,80.00,30.83
2604180738,Saturday,NA-Asia,16.08,0.18,44.87,12.99,2,27,0,4.49,41.38,56.67,18.92,30.00,70,66.67,63.21
2604181641,Sunday,Asia-EU,16.26,-0.37,44.53,10.91,6,20,0,4.36,54.29,59.68,12.50,40.98,61,16.67,27.27
2604182112,Sunday,Post-EU,15.89,-0.00,39.29,11.37,5,32,0,3.16,34.62,50.85,18.52,54.55,44,50.00,20.53
2604190732,Sunday,NA-Asia,15.89,-0.19,41.44,11.41,11,30,0,3.20,51.43,47.62,23.53,63.04,46,33.33,18.17
2604190937,Sunday,Pre-Asia,15.70,0.09,44.14,11.56,3,19,0,4.31,36.67,68.08,17.65,22.45,49,60.00,35.65
2604191428,Sunday,Post-Asia,15.80,0.01,36.75,11.11,6,24,0,3.81,32.00,46.55,23.53,41.86,43,50.00,22.13
2604201843,Tuesday,Pre-EU,15.81,0.19,49.15,13.30,9,30,1,3.81,44.83,59.65,34.38,43.10,58,66.67,88.37
2604211825,Wednesday,Pre-EU,16.00,-0.19,43.68,9.79,9,30,0,4.07,40.43,58.90,25.93,40.79,76,33.33,39.23
2604231037,Thursday,Pre-Asia,15.81,-0.37,40.54,10.22,4,19,0,4.20,43.33,60.98,17.50,26.67,45,16.67,10.33
2604250912,Saturday,Pre-Asia,15.45,-0.18,41.61,13.80,7,32,1,3.40,35.29,53.62,28.26,41.94,62,33.33,50.90
2604252135,Sunday,Post-EU,15.26,-0.17,46.28,12.10,9,29,0,3.75,56.52,49.12,36.59,44.64,56,33.33,68.89
2604271857,Tuesday,Pre-EU,15.09,-0.54,44.07,10.69,4,32,1,4.14,54.55,54.17,18.00,33.33,78,0.00,30.54
2604291816,Thursday,Pre-EU,14.55,-0.01,50.91,13.04,14,50,0,3.38,61.11,57.14,31.11,50.00,84,50.00,91.26
2605011141,Friday,Pre-Asia,14.55,0.26,40.88,11.32,9,32,0,3.57,53.12,53.57,18.37,41.07,56,75.00,47.29
2605012120,Saturday,Post-EU,14.80,-0.06,41.67,11.82,7,39,0,3.40,47.83,50.73,19.51,46.15,65,41.67,54.06
2605020939,Saturday,Pre-Asia,14.74,-0.01,45.31,11.77,6,21,0,4.41,50.00,64.58,20.45,32.76,58,50.00,55.47
2605022323,Sunday,EU-NA,14.73,0.35,45.83,14.38,13,35,0,3.24,50.00,56.25,21.88,58.18,55,90.00,82.23
2605041350,Monday,Post-Asia,15.08,0.18,45.45,13.59,10,26,0,3.95,56.67,56.36,25.53,35.00,60,66.67,78.86
2605041844,Tuesday,Pre-EU,15.26,-0.19,45.00,10.87,5,30,0,4.24,41.94,51.56,37.78,33.33,63,30.00,24.20
2605051837,Wednesday,Pre-EU,15.07,0.19,46.36,14.21,8,34,0,3.20,42.31,52.54,36.00,60.78,51,66.67,71.75
2605060545,Wednesday,NA-Asia,15.27,0.00,41.44,11.30,1,20,0,4.24,58.62,50.98,9.68,28.26,46,66.67,25.29
2605061846,Thursday,Pre-EU,15.27,0.17,42.34,10.27,5,29,0,3.93,51.28,52.63,19.51,34.48,58,50.00,23.17
2605062100,Thursday,Post-EU,15.43,-0.26,40.43,10.14,7,21,1,4.53,43.33,61.67,13.72,36.84,57,25.00,14.56
2605071418,Thursday,Post-Asia,15.17,0.19,49.12,12.39,9,35,0,4.17,62.50,58.57,24.53,36.90,84,66.67,86.27
2605081802,Saturday,Pre-EU,15.36,-0.26,34.17,6.99,1,15,0,4.37,44.44,41.18,19.05,31.71,41,20.00,6.28
2605091011,Saturday,Pre-Asia,15.09,0.44,49.45,12.69,6,25,1,4.77,60.00,61.18,21.15,23.33,90,91.67,86.12
2605092118,Sunday,Post-EU,15.54,0.23,41.18,14.30,5,33,3,3.62,43.33,55.56,18.61,46.43,56,66.67,52.64
2605101217,Sunday,Pre-Asia,15.77,-0.07,41.05,11.36,6,27,1,3.80,58.33,50.00,23.08,41.82,55,66.67,35.78
2605111811,Tuesday,Pre-EU,15.70,-0.17,50.33,12.65,5,31,0,4.14,61.77,65.79,12.20,22.37,76,33.33,62.64
2605121815,Wednesday,Pre-EU,15.53,-0.27,51.89,16.71,12,32,1,3.35,54.84,59.09,38.71,54.55,55,20.00,55.50
2605131603,Thursday,Asia-EU,15.27,0.08,43.48,11.29,5,24,0,4.23,51.35,49.18,27.50,43.33,60,58.33,39.95
2605142121,Friday,Post-EU,15.34,-0.08,50.00,11.65,1,18,2,4.78,57.14,55.38,34.21,26.09,69,40.00,42.10
2605151746,Saturday,Pre-EU,15.27,0.53,43.27,13.14,7,28,0,3.38,52.38,48.33,21.74,57.78,45,80.00,66.38
2605160437,Saturday,Post-NA,15.79,0.15,42.00,14.72,7,29,0,3.24,31.82,60.98,27.03,50.00,42,60.00,60.64
2605161016,Saturday,Pre-Asia,15.95,-0.68,46.58,12.81,5,29,0,4.24,48.48,58.11,23.08,33.82,68,16.67,36.27
2605161347,Saturday,Post-Asia,15.27,0.18,44.09,10.30,1,17,0,4.38,44.83,62.71,15.38,26.79,56,66.67,39.51
2605170937,Sunday,Pre-Asia,15.45,0.01,47.93,13.10,3,28,0,4.09,51.61,65.00,10.00,37.93,58,50.00,64.12
2605171514,Monday,Post-Asia,15.46,0.00,44.10,9.60,3,22,0,4.90,57.50,50.00,22.22,25.35,71,50.00,39.41
2605172131,Monday,Post-EU,15.46,0.02,39.05,12.12,8,23,0,3.51,37.93,57.45,10.35,51.22,41,50.00,35.57
2605181508,Tuesday,Post-Asia,15.47,0.33,53.95,15.92,10,41,0,3.79,57.14,64.47,31.71,42.68,82,83.33,94.24
2605201828,Thursday,Pre-EU,15.80,0.00,43.88,12.49,7,32,0,3.80,44.12,60.00,22.22,37.70,61,50.00,41.49
2605202226,Thursday,Post-EU,15.81,0.53,47.47,13.33,18,43,0,3.23,48.65,58.97,25.58,48.00,75,100.00,91.73
2605222104,Saturday,Post-EU,16.33,-0.09,41.52,9.81,5,21,0,4.20,69.70,40.91,19.51,36.73,49,40.00,11.23
2605230657,Saturday,NA-Asia,16.24,-0.46,45.38,11.70,5,20,1,4.28,39.39,66.04,18.18,35.19,54,0.00,17.06
2605260823,Tuesday,NA-Asia,15.78,-0.09,53.22,14.97,7,36,0,4.17,55.81,66.28,23.81,32.97,91,41.67,65.16
2605261830,Wednesday,Pre-EU,15.69,-0.18,50.00,14.16,9,32,0,4.00,51.16,56.67,37.14,42.03,69,33.33,65.21
2605271437,Wednesday,Post-Asia,15.52,-0.08,46.29,12.05,9,44,0,4.03,57.90,53.95,29.51,43.21,81,41.67,38.80
2605281609,Friday,Asia-EU,15.44,0.18,36.72,9.74,3,25,0,3.92,40.74,52.38,7.89,38.30,47,66.67,32.06
2605291824,Saturday,Pre-EU,15.62,0.01,44.22,11.30,5,30,0,3.97,39.39,59.70,25.53,36.92,65,50.00,22.13
2605302104,Sunday,Post-EU,15.62,-0.17,51.75,17.34,7,34,0,3.41,55.17,63.64,26.67,57.63,59,33.33,53.10
2605311111,Sunday,Pre-Asia,15.45,0.10,37.84,9.87,9,31,0,3.82,39.02,50.75,15.00,37.50,56,58.33,38.67
2606011346,Monday,Post-Asia,15.55,0.35,46.15,12.29,7,25,0,3.80,46.15,57.63,25.00,46.30,54,83.33,63.93
2606011821,Tuesday,Pre-EU,15.90,-0.16,55.03,17.41,16,44,0,3.56,51.52,72.22,29.55,45.12,82,33.33,70.24
2606031855,Thursday,Pre-EU,15.73,0.01,54.76,16.63,11,39,0,3.75,54.17,66.67,35.90,50.72,69,50.00,80.43
2606042357,Friday,EU-NA,15.74,0.19,39.38,11.84,12,35,1,3.49,45.24,51.47,18.00,50.79,63,66.67,41.14
2606051441,Friday,Post-Asia,15.93,-0.25,42.67,10.95,7,28,2,4.16,29.73,60.76,19.51,38.81,67,25.00,15.02
2606051750,Saturday,Pre-EU,15.68,0.18,38.46,10.85,5,23,0,3.45,29.41,55.10,21.05,52.50,40,60.00,32.09
2606060747,Saturday,NA-Asia,15.86,0.17,48.48,14.16,3,37,0,3.69,56.67,62.69,14.29,37.50,64,66.67,78.73
2606061412,Saturday,Post-Asia,16.02,-0.18,49.22,13.95,5,29,0,3.78,75.00,43.14,29.73,38.10,63,33.33,53.03
2606062227,Sunday,Post-EU,15.84,-0.01,35.25,10.35,8,23,1,3.79,48.39,37.29,18.75,41.86,43,50.00,16.00
2606070809,Sunday,NA-Asia,15.84,-0.35,41.85,8.95,1,21,0,5.03,47.37,52.81,21.05,20.78,77,16.67,17.34
2606091818,Wednesday,Pre-EU,15.49,-0.18,46.31,12.18,8,32,0,4.13,42.86,60.32,31.37,30.43,69,33.33,42.93
2606101804,Thursday,Pre-EU,15.31,-0.27,44.76,11.95,4,18,1,3.96,48.28,47.92,35.71,36.17,47,20.00,24.89
2606111819,Friday,Pre-EU,15.03,-0.10,49.54,11.78,6,23,1,3.89,48.48,57.14,37.04,29.63,54,40.00,52.69
2606121404,Friday,Post-Asia,14.94,0.18,47.79,12.05,4,27,2,4.22,48.28,64.29,30.95,38.89,54,70.00,69.62
2606130712,Saturday,NA-Asia,15.12,-0.09,45.75,9.10,1,19,4,5.16,65.22,52.73,21.15,12.86,70,40.00,34.62
2606131845,Sunday,Pre-EU,15.03,0.18,39.44,12.71,10,34,1,3.38,51.85,45.71,22.22,50.00,56,66.67,63.54
2606140619,Sunday,NA-Asia,15.20,-0.00,46.28,11.98,4,20,0,4.29,53.33,61.22,23.81,37.50,56,50.00,69.33
2606141419,Sunday,Post-Asia,15.20,0.18,53.28,12.46,3,23,1,4.55,61.77,59.65,39.13,28.77,73,66.67,84.58
2606180729,Thursday,NA-Asia,15.38,-0.18,45.81,11.69,4,22,0,4.45,64.52,53.33,29.69,19.72,71,33.33,49.22
2606181054,Thursday,Pre-Asia,15.20,-0.08,45.40,15.25,14,44,0,3.39,58.54,51.43,26.92,59.46,74,41.67,60.49
2606181424,Thursday,Post-Asia,15.12,0.00,49.32,13.63,12,40,0,3.70,52.94,62.12,29.17,39.73,73,50.00,85.73
2606190524,Friday,Post-NA,15.12,0.17,56.49,14.31,18,45,1,3.31,58.33,69.49,39.58,59.46,74,66.67,91.16
2606212216,Monday,Post-EU,15.29,0.10,40.88,12.13,5,25,0,3.93,43.33,52.05,14.71,41.07,56,60.00,32.88
2606222135,Tuesday,Post-EU,15.39,0.00,43.24,10.96,8,31,1,4.17,60.98,51.14,17.86,33.75,80,50.00,29.81
2606250018,Thursday,EU-NA,15.39,0.35,41.96,11.92,4,19,1,4.13,43.48,55.56,20.00,21.28,47,83.33,33.42
2606251415,Thursday,Post-Asia,15.75,-0.34,42.86,10.18,3,18,2,4.46,42.86,50.69,28.20,26.98,63,16.67,3.35
2606271717,Sunday,Asia-EU,15.41,-0.16,52.76,13.24,3,27,1,4.08,42.10,82.98,28.57,34.33,67,33.33,49.94
2606282143,Monday,Post-EU,15.24,0.09,48.05,10.68,1,5,1,5.19,58.82,66.67,23.33,8.11,37,66.67,44.67
2606302019,Wednesday,Post-EU,15.33,-0.08,61.33,15.01,4,22,0,3.72,64.71,64.86,52.38,36.96,46,33.33,53.06
2607012343,Thursday,EU-NA,15.25,-0.02,45.67,11.16,11,36,0,3.40,43.59,58.62,23.33,55.17,58,66.67,37.53
2606281510,Monday,Post-Asia,15.23,0.18,44.55,16.18,13,30,1,3.22,65.39,48.00,23.53,57.14,49,50.00,52.27
2607021834,Friday,Pre-EU,15.42,0.08,48.08,12.22,7,25,0,4.51,66.67,53.52,26.53,24.00,75,58.33,68.82
2607032132,Saturday,Post-EU,15.50,-0.26,46.21,12.02,9,26,1,4.16,47.37,60.00,13.79,42.62,61,25.00,32.36
2607041418,Saturday,Post-Asia,15.24,-0.02,45.98,11.87,4,27,1,4.25,44.74,60.38,30.43,28.57,63,50.00,38.11
2607050914,Sunday,Pre-Asia,15.22,0.28,45.81,12.15,6,34,0,3.97,47.37,61.97,19.57,40.85,71,50.00,55.55
2607061819,Tuesday,Pre-EU,15.50,-0.25,53.66,15.12,9,30,1,3.82,53.85,62.74,39.39,40.91,66,40.00,64.62
2607062111,Tuesday,Post-EU,15.25,-0.43,40.56,8.43,10,30,0,3.81,63.89,41.67,21.28,50.00,58,33.33,19.97
