Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601011011,Thursday,Pre-Asia,10.54,-0.11,24.56,7.71,6,19,1,3.36,22.22,29.41,19.44,50.00,28,40.00,50.00
2601012239,Friday,EU-NA,10.43,0.10,27.78,6.50,3,12,3,4.24,32.00,31.71,16.67,48.00,25,60.00,48.72
2601031038,Saturday,Pre-Asia,10.53,0.37,33.81,10.11,6,20,1,4.17,32.50,43.75,17.14,36.17,47,83.33,92.28
2601041141,Sunday,Pre-Asia,10.91,-0.00,30.71,9.40,5,24,2,3.49,31.03,36.51,20.00,46.15,39,50.00,61.20
2601051410,Monday,Post-Asia,10.90,-0.19,24.59,8.23,4,13,1,4.03,32.14,20.00,25.00,40.00,30,33.33,18.42
2601071400,Wednesday,Post-Asia,10.71,0.09,28.42,6.20,2,10,0,4.70,40.00,30.00,12.00,33.33,27,60.00,41.63
2601172250,Sunday,EU-NA,10.80,-0.37,33.08,8.29,7,20,0,3.77,48.72,27.45,25.58,40.91,44,16.67,62.08
2601181029,Sunday,Pre-Asia,10.43,0.09,29.66,11.48,13,22,1,3.20,29.63,30.51,28.12,51.43,35,60.00,78.98
2601241100,Saturday,Pre-Asia,10.52,0.37,32.50,8.38,1,19,0,3.87,35.71,40.74,18.42,30.77,39,83.33,73.30
2602011015,Sunday,Pre-Asia,10.89,-0.17,29.31,7.03,4,19,2,3.50,25.00,27.87,34.29,50.00,34,33.33,20.50
2602071029,Saturday,Pre-Asia,10.72,-0.19,26.15,8.25,10,19,0,3.68,27.27,29.09,22.64,47.06,34,33.33,28.83
2602072212,Sunday,Post-EU,10.53,-0.19,39.10,10.65,12,22,0,4.06,41.18,39.29,37.21,40.38,52,33.33,69.70
2602141404,Saturday,Post-Asia,10.34,-0.20,20.44,6.98,7,12,1,4.14,24.32,21.82,15.56,39.29,28,33.33,14.99
2602210956,Saturday,Pre-Asia,10.14,0.19,33.57,10.96,9,25,1,3.81,42.50,30.77,28.95,45.83,48,66.67,90.96
2602221723,Monday,Asia-EU,10.33,-0.19,34.69,10.20,6,28,1,3.84,40.91,38.09,24.39,45.10,51,33.33,60.31
2602271913,Saturday,Pre-EU,10.14,0.28,33.96,10.26,6,16,1,4.19,50.00,29.41,29.03,38.89,36,80.00,74.07
2603081005,Sunday,Pre-Asia,10.42,-0.01,27.13,6.71,4,11,0,4.60,25.71,22.22,35.00,34.29,35,50.00,20.79
2603101904,Wednesday,Pre-EU,10.41,-0.46,28.95,7.74,5,11,2,4.42,39.29,27.78,21.88,33.33,33,8.33,8.09
2603202204,Saturday,Post-EU,9.95,0.37,28.44,8.55,9,19,0,3.45,26.92,29.69,26.32,54.84,31,83.33,53.98
2603211405,Saturday,Post-Asia,10.32,0.27,30.95,9.96,6,20,0,3.95,35.71,40.00,13.16,48.72,39,80.00,75.86
2603231915,Tuesday,Pre-EU,10.60,0.28,32.63,9.64,6,17,1,3.77,33.33,39.47,24.24,45.16,31,80.00,70.47
2603281530,Sunday,Asia-EU,10.88,0.36,35.19,10.77,12,27,0,3.98,40.48,36.11,29.17,45.61,57,83.33,95.16
2603282207,Sunday,Post-EU,11.24,0.09,26.60,6.06,1,8,1,4.52,37.93,24.32,17.86,36.00,25,60.00,13.87
2603291008,Sunday,Pre-Asia,11.33,0.36,34.40,12.84,10,24,5,4.00,46.15,34.85,25.00,42.59,54,83.33,87.14
2604050751,Sunday,NA-Asia,11.69,0.55,33.80,10.69,3,20,0,4.17,41.94,36.62,22.50,20.83,48,100.00,85.66
2604051746,Monday,Pre-EU,12.25,-0.10,35.85,10.74,5,17,2,4.08,36.84,39.58,30.77,31.58,38,40.00,48.88
2604061424,Monday,Post-Asia,12.14,-0.02,24.17,6.91,7,12,2,4.17,40.00,22.81,12.12,44.83,29,50.00,12.40
2604091812,Friday,Pre-EU,12.13,0.10,32.98,11.78,5,19,0,3.06,33.33,43.59,20.59,51.61,31,60.00,50.20
2604102138,Saturday,Post-EU,12.22,-0.20,27.46,7.31,3,13,1,4.56,26.47,31.25,22.73,23.08,39,33.33,11.69
2604110724,Saturday,NA-Asia,12.03,0.19,27.07,8.38,6,13,3,4.47,35.29,20.83,33.33,33.33,36,66.67,27.09
2604111356,Saturday,Post-Asia,12.21,-0.02,30.97,9.38,4,12,0,4.20,24.14,36.36,27.59,28.57,35,50.00,31.48
2604171736,Saturday,Pre-EU,12.20,-0.19,24.75,6.62,3,11,0,3.72,36.84,29.17,11.77,32.00,25,30.00,11.00
2604181641,Sunday,Asia-EU,12.01,-0.37,34.31,8.70,8,15,1,4.49,37.14,38.71,25.00,31.91,47,16.67,45.99
2604250912,Saturday,Pre-Asia,11.63,0.19,34.71,9.80,5,17,0,3.93,39.13,38.71,25.00,35.71,42,66.67,88.63
