Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601012239,Friday,EU-NA,1.46,0.10,17.58,0.46,0,0,0,7.06,36.36,6.82,20.00,0.00,16,60.00,50.00
2601170037,Saturday,Pre-NA,1.57,-0.10,15.52,1.52,1,4,3,5.52,34.09,2.53,19.61,11.11,27,41.67,47.32
2601171640,Sunday,Asia-EU,1.47,0.00,16.00,1.98,0,2,3,5.60,14.89,14.00,21.43,15.00,20,40.00,47.05
2601171642,Sunday,Asia-EU,1.47,-0.11,16.00,1.98,0,2,3,5.60,14.89,14.00,21.43,15.00,20,40.00,44.03
2601221429,Thursday,Post-Asia,1.36,-0.41,11.61,1.16,1,1,1,5.69,18.92,10.64,3.57,7.69,13,16.67,19.37
2602020040,Monday,Pre-NA,0.94,-0.42,16.03,0.89,0,1,2,6.48,30.77,10.61,11.77,0.00,25,16.67,35.21
2602260109,Thursday,Pre-NA,0.52,-0.21,15.97,1.99,1,4,0,5.65,21.88,11.11,18.37,17.39,23,33.33,63.92
2603191423,Thursday,Post-Asia,0.30,-0.01,13.77,1.19,1,4,2,6.13,20.93,6.94,17.31,13.04,23,50.00,54.29
2603241355,Tuesday,Post-Asia,0.30,0.22,13.61,1.48,0,6,1,5.20,16.28,10.61,15.79,20.00,20,66.67,58.25
2604051746,Monday,Pre-EU,0.52,-0.31,17.95,2.18,0,3,0,5.76,20.69,14.04,22.58,14.29,21,20.00,58.35
2604090014,Thursday,EU-NA,0.21,0.02,13.93,1.79,0,2,3,5.53,8.33,19.23,11.77,11.76,17,50.00,52.09
2604120456,Sunday,Post-NA,0.23,-0.19,12.06,1.38,0,3,0,5.59,25.00,11.77,2.44,11.76,17,33.33,27.21
2604171736,Saturday,Pre-EU,0.03,0.31,11.01,1.09,0,1,2,5.83,16.67,8.89,10.00,8.33,12,80.00,40.51
2604251437,Saturday,Post-Asia,0.34,0.01,10.13,1.33,0,3,3,5.13,6.67,8.97,15.00,13.33,15,50.00,38.99
2605041844,Tuesday,Pre-EU,0.34,-0.21,16.43,1.08,0,1,1,6.22,19.36,10.94,22.22,0.00,23,30.00,45.51
2605061846,Thursday,Pre-EU,0.14,-0.21,10.42,0.89,0,1,0,6.00,21.43,0.00,8.70,0.00,5,0.00,17.82
2605172131,Monday,Post-EU,-0.07,0.21,11.43,1.37,0,3,2,5.31,20.00,9.84,8.16,6.25,16,66.67,52.30
2605201425,Wednesday,Post-Asia,0.14,0.10,16.38,1.25,0,2,1,5.89,29.17,6.52,19.57,5.26,19,60.00,70.64
2605202226,Thursday,Post-EU,0.23,-0.01,13.24,2.02,0,5,0,4.60,17.95,12.90,10.00,25.00,20,50.00,71.98
2605222104,Saturday,Post-EU,0.22,-0.10,13.59,1.05,0,2,0,6.50,24.24,10.00,6.67,14.29,14,40.00,37.24
2605241357,Sunday,Post-Asia,0.12,-0.10,14.41,1.17,0,3,4,5.81,15.38,15.38,12.12,6.25,16,40.00,41.71
2606042357,Friday,EU-NA,0.02,0.21,16.88,1.72,0,5,0,5.56,19.05,14.71,18.00,7.41,27,66.67,87.51
2606051441,Friday,Post-Asia,0.23,0.01,21.33,2.95,1,6,3,5.34,30.00,18.42,20.45,9.38,32,50.00,79.61
2606131845,Sunday,Pre-EU,0.24,0.09,15.66,1.55,0,3,1,5.81,27.03,10.96,14.29,7.69,26,58.33,68.88
2606160010,Tuesday,EU-NA,0.33,0.29,12.63,1.33,0,2,1,5.42,25.00,7.50,7.41,16.67,12,80.00,46.45
2606181424,Thursday,Post-Asia,0.61,0.49,15.50,2.09,2,2,2,5.40,29.63,13.56,9.30,10.00,20,100.00,76.00
2606182234,Friday,EU-NA,1.10,-0.01,18.67,1.55,0,1,3,5.64,27.50,13.70,18.92,3.57,28,50.00,47.23
2606192259,Saturday,EU-NA,1.09,-0.19,16.31,1.67,0,2,3,5.87,28.57,10.26,20.00,8.70,23,30.00,36.76
2606202327,Sunday,EU-NA,0.90,0.18,12.90,2.30,0,4,2,5.38,24.14,12.73,5.00,12.50,16,66.67,53.32
2606220004,Monday,EU-NA,1.08,-0.09,20.61,2.03,0,2,1,6.15,22.86,20.00,19.51,7.41,27,40.00,58.49
2606232311,Wednesday,EU-NA,0.99,-0.18,13.49,1.05,0,1,1,5.76,15.38,10.35,17.24,11.76,17,33.33,13.80
2606290300,Monday,Post-NA,0.81,-0.22,18.12,2.04,0,2,0,5.68,26.83,6.67,27.03,8.00,25,33.33,54.16
2607031757,Saturday,Pre-EU,0.59,0.41,15.50,1.66,0,5,0,5.65,31.58,11.67,14.00,5.00,20,66.67,60.02
2607051936,Monday,Post-EU,1.00,0.02,19.05,2.35,0,6,0,5.04,8.33,18.75,26.32,16.67,24,50.00,67.00
2607061413,Monday,Post-Asia,1.02,-0.42,15.24,1.53,1,3,1,5.60,21.15,9.33,18.92,8.00,25,33.33,29.99
2607062111,Tuesday,Post-EU,0.60,-0.77,15.23,1.07,0,3,1,5.83,14.71,18.33,12.28,13.04,23,16.67,20.86
2607072129,Wednesday,Post-EU,-0.17,0.19,13.44,1.37,4,9,6,4.52,19.57,11.39,11.47,24.00,25,58.33,52.65
2607101807,Saturday,Pre-EU,0.02,0.22,13.01,1.23,1,2,0,6.25,11.54,5.56,23.26,18.75,16,60.00,45.98
2607122138,Monday,Post-EU,0.24,-0.04,15.38,1.70,1,4,1,4.20,16.67,3.85,28.57,50.00,10,50.00,53.12
2607131816,Tuesday,Pre-EU,0.20,0.22,7.76,0.31,0,0,1,6.56,17.65,0.00,9.09,0.00,9,60.00,37.48
2607151601,Thursday,Asia-EU,0.43,0.01,20.34,2.96,1,6,0,5.00,31.25,6.38,28.20,29.17,24,50.00,83.78
2607162340,Friday,EU-NA,0.44,0.68,16.79,1.91,0,4,2,5.30,21.43,17.19,13.33,13.04,23,83.33,78.71
2607191824,Monday,Pre-EU,1.12,0.00,14.39,1.68,0,2,2,5.50,22.22,7.81,18.75,5.00,20,50.00,42.04
2607202112,Tuesday,Post-EU,1.12,-0.01,21.69,1.70,1,3,0,5.06,35.29,12.50,26.92,11.11,18,50.00,60.60
2607221810,Thursday,Pre-EU,1.10,0.34,19.84,1.69,0,2,0,5.96,44.44,14.00,5.00,12.00,25,66.67,82.24
2608021759,Monday,Pre-EU,1.44,-0.01,15.91,0.99,0,1,0,6.19,28.12,12.70,10.81,0.00,21,50.00,33.97
2608032149,Tuesday,Post-EU,1.43,-0.34,14.05,1.21,1,9,0,4.77,16.67,8.51,22.45,30.77,26,33.33,28.86
2608111538,Wednesday,Asia-EU,1.08,-0.47,17.91,2.52,1,4,0,4.75,13.33,4.17,32.14,16.67,12,0.00,48.90
2608111757,Wednesday,Pre-EU,0.61,0.30,20.71,3.73,0,7,0,4.55,25.00,13.04,29.41,17.24,29,66.67,87.93
2608151728,Sunday,Asia-EU,0.91,-0.13,16.56,2.33,0,7,1,5.73,21.88,9.46,23.53,15.38,26,41.67,40.85
2608171631,Tuesday,Asia-EU,0.78,0.14,8.82,0.82,0,1,0,5.33,11.77,9.52,0.00,0.00,6,66.67,34.82
2608171757,Tuesday,Pre-EU,0.92,-0.44,19.18,2.44,0,5,0,5.07,18.75,8.70,26.47,21.43,14,0.00,47.28
2608181637,Wednesday,Asia-EU,0.48,-0.29,9.41,0.79,1,1,0,6.12,18.18,7.96,6.12,12.50,16,33.33,14.60
2608230849,Sunday,Pre-Asia,0.20,-0.25,13.55,0.74,0,0,3,6.43,12.50,11.69,18.42,0.00,21,33.33,19.54
