Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601050032,Monday,Pre-NA,18.00,-0.18,59.09,14.62,11,44,0,3.67,74.29,59.32,44.74,48.72,78,33.33,50.00
2601110220,Sunday,Pre-NA,17.82,0.01,58.94,14.22,16,38,0,4.09,77.50,59.09,42.22,39.33,89,50.00,63.71
2601170538,Saturday,NA-Asia,17.83,0.10,58.33,15.44,7,30,0,4.10,77.42,57.14,38.46,27.14,70,60.00,57.74
2601190743,Monday,NA-Asia,17.93,-0.39,55.84,14.41,10,44,0,3.84,66.67,59.09,41.03,39.53,86,16.67,25.11
2601201116,Tuesday,Pre-Asia,17.54,0.29,50.88,14.99,10,38,0,3.19,57.90,48.33,51.43,62.07,58,0.00,43.01
2601231040,Friday,Pre-Asia,17.83,-0.64,50.40,15.87,7,29,0,3.87,57.14,54.84,37.14,31.75,63,66.67,35.47
2601250718,Sunday,NA-Asia,17.19,-0.20,55.17,17.06,4,27,0,3.98,76.00,60.66,26.67,34.38,64,33.33,40.82
2601250922,Sunday,Pre-Asia,16.99,-0.01,60.00,14.96,6,41,0,4.27,80.00,62.96,33.33,36.46,96,50.00,65.04
2601261925,Tuesday,Pre-EU,16.98,0.00,53.39,18.20,10,36,0,3.57,70.97,48.21,45.16,55.56,63,50.00,59.11
2602022029,Tuesday,Post-EU,16.98,0.21,56.00,15.54,4,30,0,4.42,79.31,59.04,41.27,29.59,98,66.67,65.25
2602051504,Friday,Post-Asia,17.19,0.18,59.38,16.10,5,31,0,4.16,75.00,61.67,41.67,38.16,76,66.67,75.11
2602052053,Friday,Post-EU,17.37,0.38,58.82,15.84,7,47,0,3.68,75.00,61.54,38.64,43.33,90,83.33,78.70
2602062111,Saturday,Post-EU,17.75,-0.10,57.14,18.70,4,22,0,3.89,81.25,69.70,28.57,45.45,44,33.33,48.35
2602111343,Wednesday,Post-Asia,17.65,-0.18,61.43,19.54,7,37,0,4.00,77.42,65.22,42.50,40.70,86,33.33,64.35
2602130043,Friday,Pre-NA,17.46,-0.47,49.37,15.08,14,53,0,3.13,70.59,52.00,30.61,60.26,78,8.33,24.43
2602141404,Saturday,Post-Asia,17.00,0.37,52.80,17.69,12,40,0,3.80,81.08,59.32,30.77,37.65,85,83.33,74.55
2602251119,Wednesday,Pre-Asia,17.37,-0.02,55.32,14.30,9,36,0,3.73,67.74,61.64,32.43,35.90,78,50.00,27.90
2602281106,Saturday,Pre-Asia,17.35,0.00,57.23,13.13,4,31,0,4.48,78.79,62.16,38.98,20.00,95,50.00,39.36
2603021158,Monday,Pre-Asia,17.35,0.01,58.27,18.54,4,38,0,3.90,67.74,68.33,33.33,33.78,74,50.00,51.75
2603050950,Thursday,Pre-Asia,17.37,0.00,60.99,16.54,11,43,0,3.58,80.00,62.90,38.46,44.19,86,50.00,66.37
