Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601012239,Friday,EU-NA,6.21,-0.09,21.19,3.53,2,8,2,4.88,30.30,17.39,17.95,24.00,25,40.00,50.00
2601020800,Friday,NA-Asia,6.13,0.18,24.14,3.21,2,5,1,5.75,29.41,16.98,31.03,10.71,28,70.00,67.68
2601030526,Saturday,Post-NA,6.31,-0.38,13.71,2.11,1,6,2,5.04,27.03,6.94,13.64,25.00,24,16.67,10.62
2601041434,Sunday,Post-Asia,5.92,-0.19,14.93,3.16,1,8,2,4.30,16.13,15.00,13.95,25.00,20,30.00,29.22
2601050723,Monday,NA-Asia,5.74,-0.00,20.98,2.47,1,10,1,4.80,33.33,18.18,15.91,23.33,30,50.00,64.57
2601070149,Wednesday,Pre-NA,5.73,-0.01,11.63,1.74,1,5,1,5.00,14.29,10.71,10.53,33.33,15,50.00,34.03
2601110529,Sunday,Post-NA,5.72,0.00,18.37,1.49,0,1,0,5.78,28.57,14.81,12.50,22.22,9,50.00,46.24
2601120530,Monday,NA-Asia,5.72,-0.09,15.52,2.79,1,5,1,4.89,20.83,10.00,19.05,16.67,18,40.00,37.65
2601131037,Tuesday,Pre-Asia,5.63,0.28,26.41,4.51,1,5,1,4.36,33.33,26.09,22.22,35.71,14,100.00,79.45
2601140549,Wednesday,NA-Asia,5.91,0.38,18.26,2.68,1,4,2,5.81,28.00,15.09,16.22,23.81,21,83.33,60.62
2601160828,Friday,NA-Asia,6.29,-0.19,21.34,2.94,1,4,2,5.46,23.81,21.21,19.64,5.71,35,33.33,54.95
2601170538,Saturday,NA-Asia,6.10,0.28,17.27,3.45,1,5,1,4.89,10.53,20.00,15.38,15.79,19,80.00,68.27
2601180507,Sunday,Post-NA,6.38,0.10,21.49,3.60,2,11,0,4.62,27.59,19.30,20.00,30.77,26,60.00,84.44
2601180726,Sunday,NA-Asia,6.48,0.01,15.83,4.55,1,9,3,4.00,21.74,11.11,20.59,36.84,19,50.00,35.97
2601181029,Sunday,Pre-Asia,6.49,0.10,20.34,3.10,0,7,2,4.92,34.62,18.18,13.51,16.67,24,60.00,57.42
2601181222,Sunday,Pre-Asia,6.58,-0.02,17.46,2.60,0,6,0,4.82,18.42,16.95,17.24,22.73,22,50.00,27.84
2601190743,Monday,NA-Asia,6.56,0.18,15.62,4.13,2,11,0,3.90,16.67,14.29,17.65,40.00,20,66.67,60.04
2601220918,Thursday,Pre-Asia,6.74,0.36,19.50,3.43,2,8,2,4.97,35.71,11.27,17.39,22.58,31,83.33,67.29
2601222213,Friday,Post-EU,7.11,-0.10,17.09,2.80,2,6,0,4.70,22.22,11.77,20.00,20.00,20,40.00,22.52
2601241100,Saturday,Pre-Asia,7.00,-0.55,16.10,3.35,2,6,1,4.74,23.08,15.09,12.82,26.32,19,0.00,23.03
2601250718,Sunday,NA-Asia,6.46,-0.19,14.65,2.56,0,4,0,5.41,28.00,8.20,16.67,11.76,17,33.33,13.18
2601250922,Sunday,Pre-Asia,6.27,-0.37,22.22,4.22,1,10,1,4.82,22.58,16.05,34.15,17.65,34,16.67,59.34
2601270546,Tuesday,NA-Asia,5.90,0.01,16.67,2.21,0,7,2,5.32,12.00,14.29,30.00,20.00,25,50.00,43.38
2601290607,Thursday,NA-Asia,5.91,-0.08,21.74,3.16,0,6,5,5.63,19.05,22.81,23.08,13.33,30,40.00,52.15
2601291310,Thursday,Post-Asia,5.83,-0.11,15.38,3.08,3,5,3,4.85,11.54,14.49,20.00,20.00,20,41.67,33.04
2601310822,Saturday,NA-Asia,5.72,-0.20,15.87,3.09,0,4,2,4.65,9.09,9.09,31.58,15.00,20,30.00,22.83
2601311622,Sunday,Asia-EU,5.52,0.37,19.74,3.32,1,11,2,4.53,30.30,17.14,16.33,13.33,30,83.33,80.83
2602011015,Sunday,Pre-Asia,5.88,0.00,21.09,4.13,3,12,1,4.11,17.24,16.67,33.33,33.33,27,50.00,89.03
2602021353,Monday,Post-Asia,5.88,0.01,15.22,1.51,0,2,1,6.00,17.86,14.49,14.63,4.76,21,50.00,36.68
2602041207,Wednesday,Pre-Asia,5.90,0.37,23.91,5.73,2,13,1,4.30,33.33,19.67,24.00,36.36,33,83.33,93.70
2602041343,Wednesday,Post-Asia,6.27,0.19,17.24,3.53,1,8,1,4.48,25.00,10.96,22.50,24.00,25,66.67,56.98
2602051504,Friday,Post-Asia,6.46,0.17,22.66,3.55,1,7,1,5.45,28.12,21.67,19.44,17.24,29,66.67,80.38
2602072212,Sunday,Post-EU,6.63,0.02,15.62,2.73,1,6,3,5.00,16.67,13.79,17.50,30.00,20,50.00,16.11
2602091853,Tuesday,Pre-EU,6.64,-0.09,19.33,2.84,1,5,2,5.22,25.00,16.67,19.51,21.74,23,40.00,28.14
2602161820,Tuesday,Pre-EU,6.55,-0.02,17.36,2.95,0,11,0,4.32,32.00,14.09,14.58,24.00,25,50.00,26.58
2602170916,Tuesday,Pre-Asia,6.54,0.33,22.73,4.95,2,10,1,4.60,24.14,17.24,28.89,20.00,30,83.33,89.14
2602200526,Friday,Post-NA,6.87,-0.01,18.18,3.08,1,4,3,5.12,25.71,16.13,14.29,12.50,24,50.00,19.86
2602210513,Saturday,Post-NA,6.86,0.09,16.67,4.28,2,9,2,4.35,20.69,9.86,26.32,34.78,23,58.33,44.34
2602210737,Saturday,NA-Asia,6.95,0.28,19.65,4.62,3,13,8,5.00,24.32,15.58,22.03,20.59,34,75.00,75.80
2602210956,Saturday,Pre-Asia,7.23,0.17,21.99,4.09,0,8,2,4.77,24.00,20.97,22.22,22.58,31,66.67,77.49
2602220459,Sunday,Post-NA,7.40,-0.19,18.27,4.02,1,8,0,4.21,17.86,6.82,34.38,26.32,19,33.33,36.83
2602220742,Sunday,NA-Asia,7.21,-0.36,18.31,3.85,3,7,0,5.04,41.38,11.94,13.04,15.38,26,16.67,44.06
2602231123,Monday,Pre-Asia,6.85,0.00,18.18,3.28,0,9,0,4.54,26.09,11.67,18.92,23.08,26,83.33,41.75
2602250917,Wednesday,Pre-Asia,6.85,0.17,19.26,3.96,2,10,4,4.96,32.26,12.68,21.21,23.08,26,33.33,49.49
2602260109,Thursday,Pre-NA,7.02,-0.35,16.54,1.78,1,3,0,5.77,22.58,14.75,14.63,9.09,22,16.67,14.87
2602270633,Friday,NA-Asia,6.67,-0.27,16.42,4.02,2,8,6,4.77,12.50,17.24,19.44,31.82,22,25.00,28.06
2603011742,Monday,Pre-EU,6.40,-0.09,14.88,2.04,1,5,1,5.33,26.92,13.46,9.30,11.11,18,40.00,20.83
2603040502,Wednesday,Post-NA,6.31,0.02,21.70,4.15,3,9,0,5.04,23.08,18.57,27.27,25.00,28,50.00,88.30
2603041445,Wednesday,Post-Asia,6.33,0.00,19.05,3.93,2,8,2,4.62,24.00,13.33,24.39,29.17,24,50.00,69.39
2603060551,Friday,NA-Asia,6.33,0.01,17.76,3.57,2,8,2,5.15,28.00,12.33,20.37,14.81,27,50.00,65.55
2603061048,Friday,Pre-Asia,6.34,0.17,21.48,4.07,3,13,2,4.38,35.48,12.33,26.67,40.62,32,66.67,88.31
2603081005,Sunday,Pre-Asia,6.51,-0.36,21.53,4.56,0,12,1,4.71,27.50,14.71,27.78,25.81,31,16.67,58.37
2603090538,Monday,NA-Asia,6.15,0.34,21.33,3.78,0,5,6,5.50,21.62,18.84,25.00,18.75,32,83.33,74.25
2603101021,Tuesday,Pre-Asia,6.49,0.02,18.79,2.33,1,4,3,5.61,25.00,15.28,20.41,14.29,28,50.00,48.07
2603111035,Wednesday,Pre-Asia,6.51,0.17,22.76,4.04,2,6,0,5.04,17.86,16.36,35.00,17.86,28,66.67,86.00
2603150014,Sunday,EU-NA,6.68,0.00,16.52,4.22,3,7,0,4.47,28.57,12.73,12.50,36.84,19,40.00,44.64
2603151901,Monday,Pre-EU,6.68,0.16,23.81,3.91,0,7,3,5.17,31.37,8.62,36.84,17.14,35,66.67,69.62
2603161028,Monday,Pre-Asia,6.84,-0.28,20.59,2.01,0,4,5,6.09,26.79,12.12,25.00,8.57,35,25.00,24.86
2603161905,Tuesday,Pre-EU,6.56,0.18,19.23,4.34,2,9,2,4.76,32.43,13.56,14.71,28.00,25,66.67,62.93
2603190419,Thursday,Post-NA,6.75,-0.18,16.90,2.65,0,6,2,5.50,22.58,10.94,21.28,12.50,24,33.33,11.73
2603202204,Saturday,Post-EU,6.56,-0.17,19.46,2.96,2,9,0,5.00,35.71,12.33,14.71,20.69,29,33.33,34.06
2603220743,Sunday,NA-Asia,6.39,-0.18,18.00,3.02,1,5,2,5.63,16.22,20.31,16.33,11.11,27,33.33,22.09
2603230420,Monday,Post-NA,6.22,-0.16,18.00,3.61,1,7,1,5.00,19.36,20.00,14.81,22.22,27,33.33,39.78
2603282207,Sunday,Post-EU,6.06,0.27,17.86,3.77,1,6,0,4.60,25.71,6.38,26.67,25.00,20,80.00,61.97
2603291008,Sunday,Pre-Asia,6.33,-0.17,17.33,3.15,0,8,2,5.46,18.18,19.64,14.00,19.23,26,33.33,24.00
2603300438,Monday,Post-NA,6.17,0.03,17.27,2.64,0,5,4,5.62,20.51,16.67,14.71,12.50,24,50.00,33.22
2603300940,Monday,Pre-Asia,6.20,-0.21,21.57,2.79,0,3,2,5.73,37.14,22.08,7.32,3.03,33,33.33,45.36
2604030641,Friday,NA-Asia,5.99,-0.01,20.47,4.27,1,6,1,5.12,17.14,17.54,28.57,19.23,26,50.00,76.25
2604041052,Saturday,Pre-Asia,5.98,-0.17,19.74,3.39,0,8,0,5.23,16.22,15.94,28.26,13.33,30,33.33,56.49
2604050751,Sunday,NA-Asia,5.81,-0.18,13.33,3.39,2,4,3,4.80,15.91,12.12,12.50,20.00,20,33.33,27.90
2604090014,Thursday,EU-NA,5.63,-0.10,18.70,3.31,0,6,1,4.92,24.24,22.06,7.89,19.23,26,41.67,50.27
2604100734,Friday,NA-Asia,5.54,0.17,20.86,3.77,1,8,1,4.97,33.33,18.03,12.82,20.69,29,70.00,85.17
2604130424,Monday,Post-NA,5.71,0.26,16.13,2.79,1,5,2,5.40,12.90,17.98,14.29,8.00,25,75.00,44.94
2604140505,Tuesday,Post-NA,5.97,0.00,18.90,3.98,3,7,2,4.79,29.41,14.04,16.67,20.83,24,50.00,67.28
2604140736,Tuesday,NA-Asia,5.97,0.53,21.58,5.07,2,10,5,4.73,25.58,13.56,29.73,30.00,30,100.00,86.10
2604170729,Friday,NA-Asia,6.50,0.17,18.99,3.87,4,10,1,4.57,25.64,18.06,14.89,23.33,30,66.67,75.59
2604171736,Saturday,Pre-EU,6.68,-0.18,17.82,4.54,1,7,0,3.89,21.05,25.00,5.88,33.33,18,30.00,39.42
2604221047,Wednesday,Pre-Asia,6.50,0.26,19.43,3.06,0,8,3,4.94,23.81,13.75,24.53,11.76,34,75.00,56.42
2604231500,Friday,Post-Asia,6.76,-0.36,20.81,4.03,2,9,4,5.14,36.36,18.39,15.09,22.22,36,16.67,51.11
2604241402,Friday,Post-Asia,6.40,0.08,19.81,3.94,1,8,3,4.38,26.67,10.87,26.67,38.10,21,60.00,49.99
2604251437,Saturday,Post-Asia,6.48,0.16,20.86,3.85,1,12,1,4.44,25.00,14.81,28.26,26.47,34,66.67,68.39
2604260432,Sunday,Post-NA,6.64,-0.53,17.36,2.89,2,4,5,5.64,25.00,15.79,12.77,8.00,25,0.00,10.30
2604270523,Monday,Post-NA,6.11,-0.36,19.09,2.82,2,5,1,4.76,22.58,19.57,15.15,23.81,21,16.67,22.65
2604280507,Tuesday,Post-NA,5.76,0.00,18.61,2.79,1,4,0,4.83,16.00,16.13,23.81,16.67,24,50.00,39.04
2605060545,Wednesday,NA-Asia,5.76,-0.19,23.40,3.31,0,5,0,5.42,31.25,23.81,17.39,9.09,33,33.33,50.99
2605090627,Saturday,NA-Asia,5.57,0.00,16.67,4.04,3,6,3,4.37,18.52,13.21,20.59,21.05,19,33.33,46.13
2605121405,Tuesday,Post-Asia,5.57,0.18,19.51,3.18,2,10,0,4.62,12.90,21.59,20.00,21.88,32,66.67,68.59
2605261830,Wednesday,Pre-EU,5.76,-0.08,22.92,4.49,1,10,2,4.91,30.43,20.97,16.67,30.30,33,41.67,78.45
2605290743,Friday,NA-Asia,5.67,-0.17,20.14,4.05,1,14,0,3.93,24.14,18.84,19.51,39.29,28,33.33,55.84
2606051750,Saturday,Pre-EU,5.50,0.86,22.00,5.26,3,12,0,3.82,33.33,20.45,18.42,31.82,22,100.00,83.25
2606060747,Saturday,NA-Asia,6.37,0.10,18.24,2.69,0,7,1,5.28,20.51,19.23,14.29,13.79,29,58.33,45.57
2606070419,Sunday,Post-NA,6.46,0.16,22.43,5.14,1,11,2,4.42,21.43,20.00,26.47,33.33,24,60.00,70.13
2606110424,Thursday,Post-NA,6.62,-0.09,25.21,5.11,1,9,1,4.77,25.00,26.32,23.68,16.67,30,40.00,61.13
2606130437,Saturday,Post-NA,6.53,-0.26,16.13,4.08,2,6,3,4.90,25.81,5.56,23.08,15.00,20,20.00,17.62
2606130712,Saturday,NA-Asia,6.27,-0.46,19.70,3.86,1,7,2,5.42,25.00,15.52,20.59,15.38,26,0.00,22.04
2606150622,Monday,NA-Asia,5.81,0.17,18.62,2.82,5,9,0,4.00,23.08,13.23,23.68,25.93,27,66.67,50.29
2606162318,Wednesday,EU-NA,5.99,0.00,19.23,3.67,2,4,1,5.07,27.78,11.43,24.00,33.33,15,50.00,36.09
2606180746,Thursday,NA-Asia,5.99,-0.02,19.01,4.38,2,9,0,4.59,25.64,12.70,22.50,14.81,27,50.00,59.53
