Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601020800,Friday,NA-Asia,0.98,0.00,8.05,0.66,0,1,5,6.33,13.95,6.67,4.35,8.33,12,50.00,50.00
2601040610,Sunday,NA-Asia,0.99,-0.27,4.27,0.34,0,1,4,6.00,0.00,3.57,8.70,14.29,7,33.33,24.95
2601050723,Monday,NA-Asia,0.72,-0.21,11.59,1.44,2,6,1,4.81,14.71,11.29,9.52,18.75,16,33.33,73.11
2601070149,Wednesday,Pre-NA,0.51,0.02,5.73,0.35,0,0,4,6.00,2.00,6.25,9.30,0.00,9,50.00,40.79
2601120530,Monday,NA-Asia,0.53,0.11,5.77,0.86,0,2,3,5.00,14.81,2.70,2.50,16.67,6,60.00,54.76
2601170538,Saturday,NA-Asia,0.63,-0.32,6.54,1.08,1,1,2,5.86,17.39,1.85,6.67,14.29,7,20.00,40.76
2601310822,Saturday,NA-Asia,0.32,-0.11,11.00,0.70,0,0,1,6.36,13.33,10.42,9.09,0.00,11,40.00,60.70
2602081133,Sunday,Pre-Asia,0.21,0.21,4.52,0.25,0,1,0,6.29,7.69,4.69,0.00,0.00,7,66.67,46.15
2604140505,Tuesday,Post-NA,0.43,-0.10,8.33,1.09,0,2,1,5.38,5.00,10.87,6.67,12.50,8,40.00,54.93
2604160643,Thursday,NA-Asia,0.32,-0.07,11.27,1.14,0,3,2,4.94,31.03,7.25,4.54,6.25,16,50.00,76.60
2604200513,Monday,Post-NA,0.25,0.00,10.46,1.86,1,2,0,5.25,10.26,12.68,6.98,12.50,16,75.00,86.87
2604202224,Tuesday,Post-EU,0.25,-0.30,8.33,1.33,0,2,1,4.44,9.68,6.98,8.82,22.22,9,20.00,40.50
2604220615,Wednesday,NA-Asia,-0.05,-0.04,10.83,1.25,0,2,5,6.31,8.57,10.87,12.82,15.38,13,20.00,59.57
2604270523,Monday,Post-NA,-0.08,-0.01,9.91,1.29,1,2,3,4.82,10.71,7.27,14.29,18.18,11,50.00,68.13
2604280507,Tuesday,Post-NA,-0.09,-0.01,12.50,2.17,1,4,0,4.88,23.33,10.94,5.88,31.25,16,50.00,86.66
