Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601071400,Wednesday,Post-Asia,7.61,-0.35,27.72,4.29,0,6,1,4.96,24.00,20.83,42.86,25.00,28,20.00,50.00
2601091400,Friday,Post-Asia,7.26,0.24,23.57,5.50,3,13,2,4.73,33.33,18.67,25.00,24.32,37,66.67,72.16
2601110220,Sunday,Pre-NA,7.50,-0.45,21.38,2.44,0,5,2,5.19,23.81,22.41,17.78,16.13,31,16.67,12.00
2601170037,Saturday,Pre-NA,7.05,0.33,31.45,5.11,4,16,0,4.60,35.13,30.30,30.36,16.00,50,75.00,95.91
2601172250,Sunday,EU-NA,7.38,0.20,24.29,4.82,2,13,1,4.29,25.00,23.08,25.53,32.35,34,66.67,61.39
2601191349,Monday,Post-Asia,7.58,0.00,19.08,3.43,2,8,1,4.88,20.51,18.03,19.36,32.00,25,50.00,28.43
2602032022,Wednesday,Post-EU,7.58,-0.44,25.00,3.64,0,7,1,4.75,25.93,26.98,21.05,18.75,32,16.67,21.97
2602051504,Friday,Post-Asia,7.15,0.02,28.48,3.76,1,5,0,5.63,34.88,18.31,40.54,6.98,43,50.00,66.76
2602052053,Friday,Post-EU,7.17,0.42,21.57,4.85,4,9,1,4.33,20.45,23.08,20.45,30.30,33,83.33,65.24
2602101827,Wednesday,Pre-EU,7.58,-0.22,27.88,5.04,3,14,0,4.57,40.91,26.25,17.07,19.57,46,33.33,65.53
2602172105,Wednesday,Post-EU,7.37,-0.09,23.62,4.31,2,8,1,4.77,32.26,16.67,27.78,26.67,30,40.00,31.15
2602181622,Thursday,Asia-EU,7.28,0.10,27.45,4.57,1,13,0,4.76,20.00,25.32,34.69,16.67,42,58.33,80.36
2602281106,Saturday,Pre-Asia,7.38,0.09,27.98,4.04,0,7,2,5.45,30.23,26.58,28.26,14.89,47,58.33,57.29
2603070048,Saturday,Pre-NA,7.47,-0.02,27.08,4.51,0,11,1,4.85,42.50,19.72,24.24,17.95,39,50.00,59.21
2603091909,Tuesday,Pre-EU,7.45,-0.18,29.38,4.69,1,15,0,4.70,30.56,25.00,34.62,14.89,47,33.33,61.57
