Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601021357,Friday,Post-Asia,5.90,0.10,23.40,5.87,1,9,2,4.23,13.64,31.25,16.67,22.73,22,60.00,50.00
2601091400,Friday,Post-Asia,6.00,-0.41,23.85,4.29,3,6,1,5.29,27.59,26.32,18.18,16.13,31,16.67,36.36
2601191349,Monday,Post-Asia,5.59,0.20,19.33,3.66,1,10,1,4.57,16.13,21.54,17.39,39.13,23,66.67,39.64
2602041343,Wednesday,Post-Asia,5.79,-0.00,20.97,5.72,3,11,0,3.85,21.43,22.95,17.14,38.46,26,50.00,66.02
2602111343,Wednesday,Post-Asia,5.79,0.21,20.93,6.95,2,14,1,3.81,21.88,20.64,20.59,29.63,27,66.67,71.43
2602141404,Saturday,Post-Asia,5.99,-0.20,23.08,5.02,3,9,1,4.75,25.64,19.70,25.49,19.44,36,33.33,44.76
2602172105,Wednesday,Post-EU,5.79,-0.10,24.41,4.54,2,8,2,4.84,25.00,15.38,34.88,19.35,31,40.00,42.52
2602201401,Friday,Post-Asia,5.69,0.40,28.76,5.30,2,13,1,5.02,26.67,27.78,33.33,13.64,44,83.33,82.61
2602210956,Saturday,Pre-Asia,6.09,0.20,26.57,5.14,0,11,1,4.63,30.00,18.46,36.84,18.42,38,66.67,71.50
2603071352,Saturday,Post-Asia,6.29,0.51,29.60,5.06,0,12,0,4.97,42.86,25.00,27.03,21.62,37,100.00,76.06
2603091433,Monday,Post-Asia,6.80,0.21,29.32,7.43,4,12,0,4.46,30.77,26.23,33.33,23.08,39,66.67,90.41
2603201913,Saturday,Pre-EU,7.01,-0.02,29.25,5.56,2,8,0,5.16,27.78,31.34,27.27,16.28,43,50.00,57.87
2603211405,Saturday,Post-Asia,7.00,-0.51,31.41,6.24,3,14,2,4.90,38.23,26.87,32.73,20.41,49,0.00,58.11
2603221422,Sunday,Post-Asia,6.49,0.32,24.65,3.92,1,10,0,4.80,29.41,17.81,34.29,25.71,35,80.00,40.37
2603251345,Wednesday,Post-Asia,6.81,0.00,29.61,7.02,3,17,3,4.93,37.78,26.87,25.00,24.44,45,50.00,62.09
2603301356,Monday,Post-Asia,6.81,0.59,28.80,6.21,5,12,0,4.72,28.57,32.73,22.86,30.56,36,100.00,78.16
2604131404,Monday,Post-Asia,7.40,0.00,35.26,5.62,3,12,0,4.84,31.43,44.59,23.40,21.82,55,50.00,53.21
2604171403,Friday,Post-Asia,7.40,0.20,30.91,5.96,5,13,0,4.03,41.67,32.73,19.36,32.35,34,70.00,67.39
2604190732,Sunday,NA-Asia,7.60,0.19,30.25,6.82,7,17,0,3.75,24.00,32.08,31.71,38.89,36,66.67,69.15
2604201347,Monday,Post-Asia,7.79,-0.38,23.85,3.00,1,5,0,5.54,25.00,23.08,24.14,19.23,26,16.67,7.38
2604201843,Tuesday,Pre-EU,7.41,-0.39,19.82,4.67,2,9,1,4.46,31.82,18.87,13.89,40.91,22,16.67,7.03
2604211013,Tuesday,Pre-Asia,7.02,-0.09,26.76,4.73,1,9,4,5.05,25.00,27.78,26.32,18.42,38,40.00,18.30
2604211351,Tuesday,Post-Asia,6.92,-0.01,25.60,5.47,1,13,0,4.62,26.47,24.07,27.03,18.75,32,50.00,31.59
2604221513,Thursday,Post-Asia,6.92,-0.19,29.25,5.04,3,12,2,4.74,30.56,28.57,29.17,30.23,43,33.33,38.00
2604241402,Friday,Post-Asia,6.72,0.10,27.35,6.26,5,13,3,4.41,3.85,30.19,39.47,37.50,32,60.00,62.13
2604250912,Saturday,Pre-Asia,6.82,0.20,19.84,4.04,1,9,0,4.71,8.70,24.19,19.44,25.00,24,66.67,36.99
2604251437,Saturday,Post-Asia,7.02,-0.20,27.78,7.22,4,21,1,3.65,26.67,21.92,39.02,37.50,40,33.33,63.16
2604271857,Tuesday,Pre-EU,6.82,0.01,25.00,4.90,2,10,2,4.65,23.53,29.85,19.15,13.51,37,50.00,51.27
2604281408,Tuesday,Post-Asia,6.84,-0.09,26.36,6.35,1,16,1,4.10,32.00,22.92,27.03,41.38,29,40.00,58.26
2605011447,Friday,Post-Asia,6.75,-0.18,33.60,9.13,6,23,0,3.81,51.72,29.82,25.64,40.48,42,33.33,73.22
2605041350,Monday,Post-Asia,6.56,-0.01,27.89,7.48,5,16,3,4.29,34.29,25.71,26.19,31.71,41,50.00,76.88
2605051409,Tuesday,Post-Asia,6.55,0.08,30.40,9.21,8,18,0,3.97,22.22,37.29,25.64,39.47,38,60.00,90.66
2605121405,Tuesday,Post-Asia,6.63,0.01,23.08,4.34,2,12,1,4.27,30.30,20.51,21.88,30.30,33,50.00,29.12
2605161347,Saturday,Post-Asia,6.65,-0.00,20.20,5.79,1,8,1,4.05,25.00,18.75,21.74,40.00,20,50.00,23.95
2605181508,Tuesday,Post-Asia,6.64,0.10,25.00,5.17,2,13,0,4.62,27.50,19.70,30.00,28.21,39,58.33,50.03
2605201828,Thursday,Pre-EU,6.74,0.18,28.68,6.39,3,14,1,4.49,28.57,28.30,29.27,32.43,37,66.67,67.07
2605241357,Sunday,Post-Asia,6.92,-0.28,20.49,3.78,2,9,3,4.76,13.79,23.08,21.95,28.00,25,20.00,5.17
2605251428,Monday,Post-Asia,6.63,0.19,23.27,3.30,2,9,1,5.51,31.71,23.29,15.56,16.22,37,66.67,45.79
2605291351,Friday,Post-Asia,6.82,0.00,26.05,5.61,6,16,0,3.90,50.00,28.12,10.81,48.39,31,50.00,43.29
2606180746,Thursday,NA-Asia,6.83,0.19,21.55,6.71,1,14,3,3.60,25.00,21.88,18.75,32.00,25,66.67,49.38
2606192259,Saturday,EU-NA,7.01,,22.64,3.85,1,6,0,5.38,31.82,19.15,21.62,20.83,24,20.00,
