Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601061413,Tuesday,Post-Asia,8.64,0.40,28.39,5.49,0,13,4,4.91,30.30,29.87,24.44,13.64,44,83.33,50.00
2601071400,Wednesday,Post-Asia,9.05,0.51,31.88,7.55,3,18,0,4.32,25.64,28.57,44.44,22.73,44,100.00,81.59
2601071634,Thursday,Asia-EU,9.55,0.19,32.23,6.67,2,13,1,4.33,17.86,37.29,35.29,28.21,39,66.67,44.21
2601171640,Sunday,Asia-EU,9.74,0.00,29.60,5.01,0,10,1,5.00,25.53,36.00,25.00,16.22,37,40.00,15.57
2601171642,Sunday,Asia-EU,9.74,-0.10,29.60,5.01,0,10,1,5.00,25.53,36.00,25.00,16.22,37,40.00,16.66
2601261925,Tuesday,Pre-EU,9.64,0.30,28.16,6.18,3,9,3,4.66,31.03,29.17,23.08,24.14,29,80.00,51.74
2601311622,Sunday,Asia-EU,9.94,-0.20,22.97,3.91,2,10,1,4.56,16.67,20.78,29.79,32.35,34,33.33,13.62
2602091853,Tuesday,Pre-EU,9.74,0.29,29.84,5.61,1,13,2,4.78,34.62,26.41,31.11,27.03,37,80.00,58.73
2602130043,Friday,Pre-NA,10.03,0.19,23.68,5.61,4,17,0,3.86,20.00,25.86,23.73,47.22,36,66.67,45.95
2602281808,Sunday,Pre-EU,10.22,-0.19,29.63,5.53,4,18,0,3.90,29.63,23.88,39.02,32.50,40,33.33,48.22
2603041445,Wednesday,Post-Asia,10.02,-0.00,30.41,6.37,1,17,2,4.47,25.64,33.85,29.55,33.33,45,50.00,56.81
2603052048,Friday,Post-EU,10.02,0.40,33.99,7.45,6,22,1,4.35,31.03,39.02,26.19,30.77,52,83.33,94.27
2603071352,Saturday,Post-Asia,10.42,0.09,31.15,7.25,4,13,0,4.50,31.25,38.98,16.13,28.95,38,60.00,77.78
2603091433,Monday,Post-Asia,10.51,0.20,27.82,5.60,1,10,1,4.73,35.90,22.95,27.27,13.51,37,66.67,43.65
2603122228,Friday,Post-EU,10.71,-0.19,29.75,7.10,4,17,0,4.38,29.03,27.71,34.09,27.66,47,33.33,60.32
2603150014,Sunday,EU-NA,10.52,-0.48,30.51,7.49,0,17,0,3.97,28.57,35.42,26.19,36.11,36,0.00,44.03
2603161905,Tuesday,Pre-EU,10.04,0.39,30.23,5.19,0,11,0,4.87,32.43,31.48,26.32,15.38,39,83.33,50.65
2603191100,Thursday,Pre-Asia,10.43,-0.09,29.19,4.73,4,13,3,4.79,32.50,26.76,30.00,27.66,47,41.67,30.94
2603191423,Thursday,Post-Asia,10.34,-0.02,28.00,7.33,8,22,3,3.71,26.32,28.77,28.20,54.76,42,50.00,50.47
2603211405,Saturday,Post-Asia,10.32,0.28,35.71,8.10,4,16,0,4.49,25.00,38.33,39.47,26.67,45,80.00,91.11
2603231915,Tuesday,Pre-EU,10.60,-0.09,29.52,7.78,3,15,1,3.87,19.36,31.37,39.13,29.03,31,40.00,37.74
2604021830,Friday,Pre-EU,10.51,-0.24,39.64,8.96,2,15,0,4.32,41.67,36.73,42.10,22.73,44,20.00,61.17
2604121013,Sunday,Pre-Asia,10.27,0.09,28.23,6.60,2,12,3,4.63,35.48,25.42,26.47,20.00,35,60.00,34.45
2604161835,Friday,Pre-EU,10.36,0.08,28.36,6.55,2,15,0,4.32,33.33,27.69,23.33,26.32,38,58.33,39.40
2604202224,Tuesday,Post-EU,10.45,-0.10,36.07,8.86,3,22,1,3.66,43.75,27.66,39.53,38.64,44,40.00,66.45
2604211825,Wednesday,Pre-EU,10.34,0.01,32.12,6.16,2,18,0,4.27,29.27,38.60,25.64,31.82,44,50.00,41.88
2604241402,Friday,Post-Asia,10.35,-0.11,29.81,7.86,5,15,1,3.68,35.00,20.37,43.33,38.71,31,40.00,41.00
2605261830,Wednesday,Pre-EU,10.24,-0.09,25.00,6.28,4,15,4,4.33,26.09,29.03,16.67,25.00,36,41.67,14.04
2606071818,Monday,Pre-EU,10.16,-0.54,28.38,5.35,0,13,1,4.67,30.77,32.39,18.42,23.81,42,0.00,16.63
2606111819,Friday,Pre-EU,9.61,0.29,26.92,5.13,1,11,0,4.61,44.44,19.15,23.33,35.71,28,40.00,36.86
2606171620,Thursday,Asia-EU,9.90,-0.37,35.82,7.16,2,18,0,4.50,48.15,33.33,31.71,33.33,48,16.67,58.44
2606180729,Thursday,NA-Asia,9.53,-0.01,30.97,6.96,3,12,4,4.83,30.23,28.17,36.59,18.75,48,83.33,70.02
2606191928,Saturday,Pre-EU,9.52,0.18,31.39,7.67,3,17,3,4.33,29.41,26.87,41.67,23.26,43,66.67,79.74
2606212216,Monday,Post-EU,9.70,0.10,23.36,5.39,3,10,0,4.53,26.67,21.92,23.53,18.75,32,60.00,40.82
2606251415,Thursday,Post-Asia,9.80,-0.01,28.57,7.59,3,12,1,4.18,33.33,25.86,29.17,28.95,38,83.33,63.57
2606302019,Wednesday,Post-EU,9.79,0.36,28.00,4.16,1,4,0,4.76,11.77,27.03,42.86,4.76,21,33.33,35.52
2606281510,Monday,Post-Asia,10.15,-0.44,24.39,5.83,2,15,0,4.07,23.33,30.91,15.79,30.00,30,16.67,16.44
2607031356,Friday,Post-Asia,9.71,-1.21,41.01,8.20,3,19,1,4.67,32.14,45.16,40.82,22.81,57,33.33,62.11
