Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2602172105,Wednesday,Post-EU,14.00,-0.10,39.37,9.70,4,21,0,4.10,64.52,36.67,22.22,38.00,50,40.00,50.00
2602181622,Thursday,Asia-EU,13.90,-0.46,41.55,9.05,5,22,0,4.30,71.43,36.84,26.00,30.51,59,16.67,42.23
2602192056,Friday,Post-EU,13.44,-0.24,43.08,10.39,5,30,0,3.86,67.74,31.25,42.86,48.21,56,33.33,75.50
2602281106,Saturday,Pre-Asia,13.21,0.11,41.07,10.26,9,23,0,4.59,69.77,32.91,28.26,33.33,69,58.33,80.25
2603011742,Monday,Pre-EU,13.31,0.35,46.94,9.14,5,25,0,4.35,71.05,39.68,36.96,27.54,69,80.00,69.15
2603021158,Monday,Pre-Asia,13.66,0.23,34.68,11.30,4,19,0,4.12,55.88,27.91,25.53,39.53,43,66.67,55.55
2603151901,Monday,Pre-EU,13.89,-0.20,40.80,7.87,2,14,1,4.90,61.91,26.41,36.67,19.61,51,33.33,15.70
2603252225,Thursday,Post-EU,13.69,-0.22,35.17,7.91,0,18,0,4.59,57.14,31.82,22.73,23.53,51,33.33,9.18
2604011400,Wednesday,Post-Asia,13.47,-0.23,37.01,11.56,5,20,2,4.49,60.61,30.19,26.83,36.17,47,33.33,32.97
2604021830,Friday,Pre-EU,13.25,0.09,45.16,11.41,4,22,1,4.36,56.00,41.54,44.12,35.71,56,60.00,81.27
2604051746,Monday,Pre-EU,13.34,0.11,48.77,11.74,4,27,0,4.39,62.00,38.71,48.00,29.11,79,60.00,86.75
2604061424,Monday,Post-Asia,13.45,0.23,34.88,8.74,6,27,2,3.97,56.76,28.74,29.17,31.67,60,66.67,46.84
2604061807,Tuesday,Pre-EU,13.68,-0.03,41.45,9.61,4,22,0,4.44,64.29,28.36,39.53,23.81,63,50.00,44.27
2604100734,Friday,NA-Asia,13.65,0.21,45.32,10.72,2,25,0,4.30,71.80,40.98,25.64,25.40,63,70.00,83.78
2604121013,Sunday,Pre-Asia,13.86,0.10,42.74,11.42,3,21,0,4.28,70.97,27.12,44.12,32.08,53,60.00,71.98
2604131902,Tuesday,Pre-EU,13.96,0.21,42.02,11.75,2,22,0,4.06,55.26,28.85,48.28,30.00,50,66.67,69.30
2604141831,Wednesday,Pre-EU,14.18,-0.42,40.18,10.09,3,17,0,4.20,72.00,27.27,37.50,31.11,45,16.67,18.15
2604151003,Wednesday,Pre-Asia,13.76,0.21,43.33,10.39,6,19,1,4.60,67.65,35.38,37.26,29.23,65,66.67,68.03
2604160039,Thursday,Pre-NA,13.97,-0.09,43.70,10.54,3,24,0,4.04,62.50,28.33,55.56,42.31,52,40.00,34.75
2604161835,Friday,Pre-EU,13.88,0.01,44.78,11.30,8,27,0,4.32,69.64,32.84,30.00,28.77,73,50.00,70.56
2604171736,Saturday,Pre-EU,13.89,0.01,43.43,11.54,3,20,0,3.84,86.36,22.22,43.75,44.19,43,50.00,52.35
2604181641,Sunday,Asia-EU,13.90,0.46,45.81,9.66,3,21,0,4.51,74.47,36.36,28.57,19.72,71,91.67,66.81
2604182112,Sunday,Post-EU,14.35,-0.08,48.91,16.19,14,28,1,3.11,80.00,37.50,37.04,60.00,45,40.00,56.84
2604190937,Sunday,Pre-Asia,14.27,-0.51,47.90,12.82,5,23,1,4.30,63.33,46.15,37.84,28.07,57,0.00,56.21
2604191428,Sunday,Post-Asia,13.76,0.20,42.58,9.79,5,23,0,4.39,74.29,30.56,37.50,30.30,66,66.67,51.00
2604201843,Tuesday,Pre-EU,13.96,-0.39,39.64,9.62,4,23,0,4.09,63.64,30.19,38.89,52.27,44,16.67,8.69
2604202224,Tuesday,Post-EU,13.57,-0.30,41.67,10.49,5,30,0,3.75,76.00,32.20,35.42,50.91,55,20.00,13.84
2604211013,Tuesday,Pre-Asia,13.27,-0.10,42.96,9.63,2,23,3,4.56,65.62,31.94,44.74,24.59,61,40.00,26.51
2604211825,Wednesday,Pre-EU,13.17,0.19,49.33,11.12,5,36,0,3.92,81.58,35.48,42.00,32.43,74,66.67,76.05
2604221047,Wednesday,Pre-Asia,13.36,-0.38,51.35,11.96,3,38,0,4.21,69.77,48.10,42.86,27.37,95,16.67,57.87
2604231500,Friday,Post-Asia,12.98,-0.01,40.41,10.31,8,18,1,4.46,70.83,26.58,48.84,27.12,59,50.00,37.92
2604241402,Friday,Post-Asia,12.96,0.09,34.91,8.86,6,16,0,4.00,60.00,21.74,30.00,43.24,37,60.00,40.19
2604251437,Saturday,Post-Asia,13.05,0.00,42.57,11.77,10,35,0,3.59,76.67,33.33,35.00,39.68,63,50.00,76.53
2604281408,Tuesday,Post-Asia,13.06,-0.09,41.82,11.36,4,26,0,3.76,60.00,29.17,45.95,39.13,46,40.00,43.91
2605011141,Friday,Pre-Asia,12.96,0.28,37.31,9.41,8,22,0,3.90,73.33,24.59,30.23,42.00,50,75.00,44.91
2605022323,Sunday,EU-NA,13.24,-0.10,36.46,8.52,3,18,0,3.77,83.33,23.08,30.77,54.29,35,40.00,14.12
2605051409,Tuesday,Post-Asia,13.14,-0.01,41.86,9.24,6,23,1,4.57,68.75,32.05,30.43,30.56,72,50.00,47.73
2605062100,Thursday,Post-EU,13.13,0.21,51.52,14.39,10,28,0,4.22,77.14,35.29,50.00,32.35,68,66.67,92.69
2605081802,Saturday,Pre-EU,13.33,-0.10,51.91,10.00,3,25,0,4.50,70.27,42.00,47.73,19.12,68,40.00,42.77
2605091011,Saturday,Pre-Asia,13.23,-0.37,40.13,10.91,5,18,4,4.47,61.77,36.36,29.27,18.03,61,16.67,33.79
2605142121,Friday,Post-EU,12.86,0.09,39.86,10.59,3,11,0,4.35,68.75,33.33,28.57,22.81,57,60.00,53.33
2605202226,Thursday,Post-EU,12.95,-0.01,37.75,9.11,9,28,0,3.54,64.10,25.81,32.00,35.09,57,50.00,36.91
2605222104,Saturday,Post-EU,12.94,-0.10,41.88,11.43,9,24,1,3.90,59.26,45.83,26.19,40.82,49,40.00,48.72
2605261356,Tuesday,Post-Asia,12.85,,38.79,9.43,7,22,0,3.82,62.96,26.92,37.84,40.00,45,66.67,
