Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601171640,Sunday,Asia-EU,9.26,0.00,33.33,6.45,4,14,1,4.93,43.90,27.12,31.58,17.39,46,40.00,50.00
2601171642,Sunday,Asia-EU,9.26,-0.11,33.33,6.45,4,14,1,4.93,43.90,27.12,31.58,17.39,46,40.00,47.32
2603030900,Tuesday,Pre-Asia,9.15,0.23,44.35,7.57,1,16,0,4.93,58.33,42.00,34.21,16.36,55,66.67,84.71
2603171003,Tuesday,Pre-Asia,9.38,0.11,31.72,4.70,2,11,0,5.00,45.65,23.73,27.50,19.57,46,58.33,33.32
2603191100,Thursday,Pre-Asia,9.49,-0.24,31.25,6.45,5,15,2,4.17,34.38,32.14,27.50,30.00,40,33.33,26.22
2603191423,Thursday,Post-Asia,9.25,0.25,41.59,6.65,6,13,0,4.85,37.14,36.54,57.69,21.28,47,75.00,85.25
2603241046,Tuesday,Pre-Asia,9.50,0.44,37.50,8.98,9,22,2,4.33,47.50,30.36,37.50,38.89,54,83.33,87.53
2603300438,Monday,Post-NA,9.94,0.21,35.42,6.67,1,14,2,5.12,47.37,27.03,40.62,19.61,51,66.67,52.41
2604021354,Thursday,Post-Asia,10.15,-0.01,32.85,8.42,3,17,1,4.38,43.75,27.42,32.56,26.67,45,50.00,34.66
2604130424,Monday,Post-NA,10.14,-0.00,38.62,9.03,2,20,0,4.71,50.00,42.47,25.00,19.64,56,50.00,63.18
2604131404,Monday,Post-Asia,10.14,0.22,42.98,8.24,2,17,0,4.35,52.00,50.00,18.52,24.49,49,66.67,78.73
2604131902,Tuesday,Pre-EU,10.36,-0.41,30.20,5.91,0,11,0,4.67,34.29,36.21,21.43,22.22,45,16.67,7.53
2604171403,Friday,Post-Asia,9.94,-0.11,26.25,6.81,5,12,0,3.29,34.78,16.67,40.00,57.14,21,40.00,20.93
2604201347,Monday,Post-Asia,9.84,-0.41,28.44,4.73,0,8,0,5.07,21.43,26.92,37.93,32.26,31,16.67,7.43
2604220615,Wednesday,NA-Asia,9.42,0.11,34.69,6.46,1,7,1,5.00,47.62,26.92,40.00,23.53,34,60.00,38.86
2604231500,Friday,Post-Asia,9.53,-0.42,26.59,4.34,2,10,1,5.33,51.52,20.69,20.75,10.87,46,16.67,17.91
2604270523,Monday,Post-NA,9.11,0.00,34.07,7.29,4,16,0,3.68,43.48,29.27,33.33,38.71,31,100.00,72.22
2604271857,Tuesday,Pre-EU,9.11,1.00,36.02,6.04,1,14,0,4.84,53.66,31.51,27.66,10.34,58,83.33,68.06
2604281408,Tuesday,Post-Asia,10.11,-0.22,23.01,5.08,2,8,0,4.27,36.00,18.64,20.69,30.77,26,30.00,13.25
2605040627,Monday,NA-Asia,9.89,-0.20,32.06,7.67,10,19,0,3.81,54.55,26.67,21.05,35.71,42,33.33,61.75
2605041844,Tuesday,Pre-EU,9.69,0.00,37.41,6.19,3,11,0,5.00,36.59,28.85,50.00,22.45,49,60.00,77.42
2605051409,Tuesday,Post-Asia,9.69,-0.01,42.86,6.75,0,3,1,4.80,42.86,47.62,28.57,13.33,15,0.00,53.81
2605070715,Thursday,NA-Asia,9.68,0.29,28.77,6.06,4,13,0,4.69,44.44,22.39,25.58,23.81,42,75.00,62.93
2605140757,Thursday,NA-Asia,9.97,0.00,32.90,5.99,4,16,2,4.94,46.88,20.64,38.60,28.00,50,16.67,41.92
2605191412,Tuesday,Post-Asia,9.97,0.01,34.56,6.30,2,12,0,4.70,47.06,31.15,29.27,23.40,47,50.00,66.32
2605201425,Wednesday,Post-Asia,9.98,0.11,38.64,6.76,3,16,0,4.49,35.48,40.74,38.30,21.57,51,60.00,77.45
2605201828,Thursday,Pre-EU,10.09,0.00,30.64,7.43,4,16,1,4.29,37.84,28.00,27.03,36.84,38,50.00,46.53
2605210713,Thursday,NA-Asia,10.09,-0.19,34.55,6.28,2,11,1,4.58,45.45,34.62,27.78,28.95,38,33.33,30.82
2605230657,Saturday,NA-Asia,9.90,-0.50,36.13,6.82,2,9,1,4.84,36.36,43.40,24.24,18.60,43,0.00,44.66
2605241925,Monday,Pre-EU,9.40,0.21,33.33,7.56,3,17,0,4.58,52.17,33.33,25.45,28.89,45,66.67,72.84
2605250730,Monday,NA-Asia,9.62,0.39,26.89,5.81,1,12,0,4.38,24.24,26.53,29.73,18.75,32,83.33,38.19
2605290743,Friday,NA-Asia,10.01,0.19,32.91,7.30,5,30,0,3.75,43.59,35.21,20.83,46.15,52,66.67,80.27
2605291824,Saturday,Pre-EU,10.20,0.38,32.19,8.71,5,20,0,4.04,32.26,34.78,28.26,36.17,47,83.33,78.57
2606031855,Thursday,Pre-EU,10.57,0.08,35.53,7.75,4,21,1,4.48,45.16,31.25,36.59,22.22,54,58.33,77.78
2606041825,Friday,Pre-EU,10.65,-0.20,23.81,5.54,5,16,0,4.47,23.81,20.55,28.30,32.50,40,33.33,16.06
2606111401,Thursday,Post-Asia,10.46,-0.29,31.91,5.03,1,5,0,4.83,35.00,37.50,23.53,10.00,30,20.00,18.59
