Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601020800,Friday,NA-Asia,6.04,-0.20,26.41,5.76,2,10,1,4.36,42.86,14.81,35.48,25.00,28,30.00,50.00
2601050723,Monday,NA-Asia,5.84,-0.02,28.36,4.51,5,15,0,4.18,37.14,25.00,25.64,36.84,38,50.00,63.89
2601060529,Tuesday,Post-NA,5.83,0.01,24.32,4.68,1,13,0,4.78,40.00,25.00,9.76,22.22,36,50.00,45.88
2601070149,Wednesday,Pre-NA,5.83,0.01,28.66,4.29,0,13,0,4.67,38.00,25.00,23.26,17.78,45,50.00,58.02
2601110220,Sunday,Pre-NA,5.85,0.01,24.50,2.47,0,6,0,5.68,35.00,25.76,13.33,13.51,37,50.00,37.35
2601121031,Monday,Pre-Asia,5.86,-0.10,25.00,4.65,1,6,1,4.50,41.67,21.88,12.50,25.00,20,33.33,34.93
2601140549,Wednesday,NA-Asia,5.76,-0.40,25.00,2.86,0,3,1,5.73,36.36,25.35,15.91,8.11,37,16.67,21.26
2601180507,Sunday,Post-NA,5.36,0.11,23.14,3.31,2,9,0,4.79,41.38,21.05,11.43,17.86,28,60.00,41.61
2601181222,Sunday,Pre-Asia,5.47,0.41,25.73,5.12,5,13,2,4.66,39.47,18.18,25.00,37.14,35,83.33,79.06
2601310822,Saturday,NA-Asia,5.88,-0.21,33.33,4.50,1,6,2,5.57,48.15,30.91,27.27,2.38,42,30.00,54.63
2602020929,Monday,Pre-Asia,5.67,-0.20,33.14,5.49,5,18,1,4.57,50.00,28.57,23.91,26.79,56,33.33,67.01
2602041207,Wednesday,Pre-Asia,5.47,-0.18,22.67,4.02,2,10,2,4.79,31.25,20.90,19.61,14.71,34,33.33,20.58
2602041343,Wednesday,Post-Asia,5.30,0.00,26.23,4.54,0,10,0,4.53,36.00,27.94,13.79,21.88,32,50.00,56.79
2602081133,Sunday,Pre-Asia,5.30,-0.18,26.62,3.97,2,11,4,4.81,32.00,25.86,19.36,18.92,37,33.33,36.40
2602091853,Tuesday,Pre-EU,5.12,0.28,26.61,4.47,2,11,0,5.21,42.31,24.53,20.00,27.27,33,80.00,66.53
2602130043,Friday,Pre-NA,5.40,-0.47,15.82,3.00,2,10,1,4.44,35.29,8.00,14.29,20.00,25,8.33,10.98
2602250917,Wednesday,Pre-Asia,4.93,-0.19,30.37,5.89,2,14,0,4.88,51.61,22.54,27.27,24.39,41,33.33,65.86
2602270633,Friday,NA-Asia,4.74,0.36,28.20,5.76,1,10,0,4.76,45.16,26.00,16.67,24.24,33,83.33,75.59
2602281106,Saturday,Pre-Asia,5.11,0.00,30.12,6.09,3,11,1,4.98,48.48,31.08,18.64,18.00,50,50.00,85.14
2603010710,Sunday,NA-Asia,5.11,0.09,27.78,4.42,2,9,3,5.29,43.59,23.08,22.41,13.33,45,58.33,59.88
2603030900,Tuesday,Pre-Asia,5.20,0.01,27.04,5.82,6,13,1,4.67,41.18,23.38,22.92,23.26,43,50.00,80.02
2603040502,Wednesday,Post-NA,5.21,-0.28,31.58,4.05,1,8,1,5.36,39.29,33.80,20.59,11.90,42,25.00,39.44
2603050950,Thursday,Pre-Asia,4.93,0.18,30.88,5.83,2,14,1,4.45,34.29,28.57,31.11,26.19,42,66.67,85.96
2603060551,Friday,NA-Asia,5.12,-0.19,23.23,3.88,0,9,2,5.19,15.62,25.00,25.45,8.33,36,33.33,7.86
2603081005,Sunday,Pre-Asia,4.93,0.46,30.08,5.72,2,12,0,5.19,34.48,28.81,28.57,18.92,37,91.67,80.61
2603090538,Monday,NA-Asia,5.39,0.01,34.30,3.56,0,5,2,6.14,54.76,27.85,27.45,3.39,59,50.00,42.48
2603220743,Sunday,NA-Asia,5.40,0.10,27.75,4.26,1,5,0,5.58,25.58,29.63,26.53,6.25,48,58.33,44.98
2603251007,Wednesday,Pre-Asia,5.51,0.20,22.06,2.33,0,1,1,5.53,34.88,15.00,18.18,3.33,30,66.67,33.18
2603270520,Friday,Post-NA,5.70,0.18,19.81,3.47,3,10,2,3.90,24.00,17.78,19.44,33.33,21,66.67,36.22
2603300438,Monday,Post-NA,5.88,-0.37,17.73,3.65,1,6,2,5.00,23.68,13.85,18.42,20.00,25,16.67,7.92
2604060410,Monday,Post-NA,5.52,0.20,24.83,4.85,4,12,0,4.76,32.43,30.77,15.00,21.62,37,66.67,69.86
2604100734,Friday,NA-Asia,5.71,0.46,27.69,6.34,3,10,1,4.33,19.36,32.35,25.81,19.44,36,100.00,82.40
2604110724,Saturday,NA-Asia,6.17,-0.36,31.69,6.12,1,13,0,5.07,47.50,28.17,19.36,15.56,45,16.67,61.29
2604120456,Sunday,Post-NA,5.81,0.17,20.74,3.54,1,9,0,5.14,27.27,17.65,19.61,10.71,28,66.67,34.00
2604140505,Tuesday,Post-NA,5.99,-0.10,27.56,4.23,0,8,0,4.97,48.57,16.67,26.92,14.29,35,40.00,42.39
2604160643,Thursday,NA-Asia,5.89,-0.14,22.69,3.13,3,8,0,4.70,36.67,14.81,22.86,18.52,27,33.33,20.88
2604201843,Tuesday,Pre-EU,5.75,0.20,34.75,6.09,1,11,0,4.73,44.83,29.82,34.38,21.95,41,66.67,86.29
2604202224,Tuesday,Post-EU,5.95,0.29,24.44,4.89,4,9,1,4.49,34.38,26.98,12.50,30.30,33,80.00,68.64
2604230508,Thursday,Post-NA,6.23,0.10,27.69,5.63,4,17,1,4.31,46.15,22.64,23.53,36.11,36,60.00,80.00
2604250626,Saturday,NA-Asia,6.33,0.10,31.11,6.45,2,11,0,5.02,41.38,29.17,26.47,19.05,42,58.33,73.68
2604250912,Saturday,Pre-Asia,6.43,-0.00,30.51,6.73,4,11,2,4.61,40.00,32.14,21.62,25.00,36,50.00,60.71
2604270523,Monday,Post-NA,6.43,-0.01,29.73,5.24,3,12,0,4.18,46.43,25.45,21.43,30.30,33,50.00,50.22
2604281408,Tuesday,Post-Asia,6.42,0.46,28.41,6.09,2,8,0,4.40,25.00,31.43,27.27,32.00,25,100.00,72.32
2604301425,Thursday,Post-Asia,6.88,-0.02,23.31,3.88,2,12,1,4.58,30.77,21.92,19.61,28.95,38,50.00,22.50
2605010408,Friday,Post-NA,6.87,-0.35,28.46,4.97,6,12,0,4.27,48.28,19.67,27.50,32.43,37,16.67,39.79
2605022323,Sunday,EU-NA,6.52,-0.10,21.05,3.67,0,2,0,4.75,75.00,20.00,0.00,50.00,4,0.00,9.99
2605041844,Tuesday,Pre-EU,6.42,0.00,25.34,6.37,5,14,1,4.03,32.14,18.75,34.21,27.03,37,100.00,63.25
2605051409,Tuesday,Post-Asia,6.42,0.55,24.00,5.61,4,11,2,4.37,37.04,16.95,25.64,20.00,30,60.00,54.63
2605062100,Thursday,Post-EU,6.97,-0.27,28.37,5.16,3,9,2,5.20,43.33,28.33,19.61,17.50,40,25.00,38.18
2605092137,Sunday,Post-EU,6.70,0.09,26.92,3.91,10,21,0,3.69,28.57,25.00,29.17,47.62,42,58.33,61.14
2605140757,Thursday,NA-Asia,6.79,0.00,32.08,5.20,1,14,1,5.06,51.61,29.85,24.59,23.53,51,50.00,60.18
2605142121,Friday,Post-EU,6.79,-0.09,26.47,5.56,3,7,2,5.25,47.06,21.43,17.39,16.67,36,40.00,48.34
2605150701,Friday,NA-Asia,6.71,-0.17,23.13,4.09,4,14,0,4.26,36.67,21.13,17.39,26.47,34,33.33,21.27
2605170727,Sunday,NA-Asia,6.54,0.36,27.86,3.58,2,12,0,4.87,30.00,22.64,31.91,15.38,39,90.00,63.96
2605182153,Tuesday,Post-EU,6.90,-0.00,25.95,4.11,1,8,0,4.65,35.48,32.08,12.77,23.53,34,50.00,32.77
2605200834,Wednesday,Pre-Asia,6.90,0.36,30.08,5.57,1,10,0,4.84,45.45,21.05,30.30,21.62,37,83.33,77.61
2605202226,Thursday,Post-EU,7.25,-0.52,26.67,4.49,1,16,0,4.22,39.47,22.22,22.45,22.50,40,0.00,28.68
2605270453,Wednesday,Post-NA,6.73,0.27,39.16,6.80,3,12,1,5.21,50.00,37.66,31.11,13.85,65,75.00,87.96
2606010557,Monday,NA-Asia,7.00,0.18,31.85,3.80,0,11,1,5.08,50.00,25.00,23.40,16.00,50,66.67,59.34
2606011821,Tuesday,Pre-EU,7.18,-0.09,29.01,4.47,1,12,0,5.08,44.44,25.68,23.08,17.02,47,41.67,36.52
2606030426,Wednesday,Post-NA,7.09,0.10,21.57,4.00,0,6,0,4.68,38.09,17.78,16.67,22.73,22,60.00,31.34
2606050623,Friday,NA-Asia,7.18,0.08,27.82,4.05,0,6,1,5.38,42.10,26.15,18.75,4.76,42,58.33,42.70
2606051750,Saturday,Pre-EU,7.27,-0.51,32.79,4.62,1,10,0,4.80,46.88,33.33,20.51,22.50,40,20.00,43.77
2606070419,Sunday,Post-NA,6.76,-0.17,26.32,3.36,1,3,0,5.32,36.84,21.95,25.71,4.00,25,40.00,16.15
2606091818,Wednesday,Pre-EU,6.59,0.53,30.07,5.55,4,9,0,4.97,39.39,28.57,24.32,17.50,40,100.00,80.55
2606101804,Thursday,Pre-EU,7.12,-0.10,33.04,4.79,0,8,0,5.35,48.00,27.78,30.30,16.22,37,40.00,48.51
2606110424,Thursday,Post-NA,7.02,0.26,24.51,3.87,0,5,0,4.96,45.83,17.78,18.18,16.00,25,80.00,36.97
2606130712,Saturday,NA-Asia,7.28,-0.27,28.37,6.84,4,9,3,4.92,29.63,27.69,28.57,22.50,40,20.00,50.27
2606150622,Monday,NA-Asia,7.01,-0.17,26.72,3.93,3,17,0,3.97,20.00,25.00,37.50,31.43,35,33.33,27.80
2606160010,Tuesday,EU-NA,6.84,-0.09,21.60,3.71,3,10,1,4.52,34.38,14.00,20.93,33.33,27,40.00,19.60
2606162318,Wednesday,EU-NA,6.75,-0.08,26.47,4.18,0,8,2,4.86,37.50,29.69,12.50,16.67,36,40.00,28.11
2606181054,Thursday,Pre-Asia,6.66,-0.08,23.93,5.78,5,16,1,4.33,31.71,14.29,30.77,35.90,39,41.67,53.78
2606182234,Friday,EU-NA,6.58,-0.16,20.86,4.35,1,12,0,4.07,27.50,23.81,8.33,31.03,29,33.33,17.68
2606280057,Sunday,Pre-NA,6.43,0.37,25.95,4.41,1,7,0,5.00,37.50,20.31,25.71,20.59,34,83.33,55.28
2607031757,Saturday,Pre-EU,6.79,-0.01,21.95,4.70,2,12,0,4.41,29.63,23.33,13.89,29.63,27,50.00,44.64
2607050452,Sunday,Post-NA,6.78,-0.28,25.15,3.57,1,8,3,5.46,48.28,25.97,13.85,6.98,43,75.00,38.77
2607052058,Monday,Post-EU,6.50,0.06,29.27,5.89,6,16,1,4.11,28.00,25.93,34.09,33.33,36,50.00,88.01
2607102108,Saturday,Post-EU,6.56,-0.42,25.22,4.10,2,9,0,4.31,42.42,22.45,12.12,37.93,29,33.33,26.98
2607290713,Wednesday,NA-Asia,6.14,-0.24,30.56,5.25,1,6,1,4.79,48.28,28.85,14.81,12.12,33,40.00,54.25
2607312159,Saturday,Post-EU,5.91,1.20,17.16,3.09,1,7,1,4.78,26.09,17.39,11.90,30.43,23,100.00,37.46
2608020722,Sunday,NA-Asia,7.11,0.19,25.00,4.80,2,8,0,4.97,41.18,20.69,16.67,15.62,32,60.00,67.44
