Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601020800,Friday,NA-Asia,11.85,-0.39,40.31,6.60,0,16,1,5.06,63.33,31.03,36.59,21.15,52,10.00,50.00
2601031038,Saturday,Pre-Asia,11.46,0.39,41.01,9.48,0,22,0,4.53,52.50,35.94,37.14,29.82,57,83.33,81.78
2601060529,Tuesday,Post-NA,11.85,-0.21,32.45,7.47,3,17,0,4.33,28.95,33.90,33.33,26.53,49,33.33,21.55
2601070149,Wednesday,Pre-NA,11.64,0.42,46.85,10.52,4,28,0,3.76,52.38,50.94,37.50,37.31,67,83.33,94.15
2601100227,Saturday,Pre-NA,12.07,-0.10,37.04,9.96,2,14,0,4.07,36.84,25.64,56.52,36.67,30,33.33,37.02
2601141731,Thursday,Pre-EU,11.97,-0.20,42.86,9.19,2,19,0,4.04,60.87,38.00,37.50,31.11,45,25.00,49.07
2601170538,Saturday,NA-Asia,11.77,0.21,37.38,7.90,1,12,0,4.58,52.17,29.63,40.00,20.00,40,20.00,28.21
2601231040,Friday,Pre-Asia,11.97,-0.28,32.80,7.66,2,13,1,4.46,39.29,27.42,37.14,21.95,41,66.67,20.46
2602020040,Monday,Pre-NA,11.69,0.01,38.69,9.94,7,21,0,4.25,57.58,35.82,27.03,39.62,53,50.00,75.91
2602022029,Tuesday,Post-EU,11.70,-0.20,36.23,7.59,0,12,1,4.92,45.45,35.59,30.43,20.00,50,33.33,17.84
2602200526,Friday,Post-NA,11.50,-0.39,42.75,8.45,3,15,0,4.78,52.63,36.67,42.50,20.34,59,16.67,44.86
2602210513,Saturday,Post-NA,11.11,-0.20,43.16,10.42,3,22,0,4.43,45.45,43.66,40.00,23.33,60,33.33,66.09
2602210737,Saturday,NA-Asia,10.91,-0.11,35.29,6.37,0,12,0,5.06,36.36,26.76,46.94,12.96,54,41.67,33.14
2602210956,Saturday,Pre-Asia,10.80,-0.57,37.24,6.44,1,11,0,4.91,47.22,37.31,28.57,14.81,54,0.00,23.34
2602250917,Wednesday,Pre-Asia,10.24,0.41,37.73,8.36,6,20,0,4.43,47.06,36.78,32.61,26.98,63,83.33,74.99
2602251119,Wednesday,Pre-Asia,10.64,0.01,41.78,9.44,5,22,0,3.98,53.33,41.18,35.42,37.70,61,50.00,89.25
2602270633,Friday,NA-Asia,10.66,0.37,36.75,8.69,3,16,0,4.46,45.16,30.00,38.89,23.26,43,83.33,61.04
2603010710,Sunday,NA-Asia,11.02,0.10,38.27,7.79,5,17,0,4.89,30.77,38.46,43.10,20.97,62,58.33,58.84
2603020644,Monday,NA-Asia,11.12,-0.18,42.15,7.74,3,18,0,5.08,65.52,33.33,37.93,23.53,51,33.33,37.35
2603030900,Tuesday,Pre-Asia,10.94,0.00,40.83,9.37,3,20,1,4.39,54.84,34.04,38.09,36.73,49,50.00,65.47
2603060551,Friday,NA-Asia,10.94,0.21,44.29,9.40,2,16,0,4.69,50.00,39.66,46.15,16.13,62,66.67,85.12
2603090538,Monday,NA-Asia,11.14,0.36,47.33,9.52,1,15,1,5.04,45.95,43.48,54.55,19.72,71,83.33,83.39
2603150014,Sunday,EU-NA,11.51,0.29,42.52,9.10,4,18,0,4.43,48.00,37.70,46.34,25.93,54,80.00,75.38
2603151012,Sunday,Pre-Asia,11.79,-0.37,32.47,6.18,1,14,0,4.68,38.46,29.41,31.91,20.00,50,16.67,6.58
2603161028,Monday,Pre-Asia,11.43,0.18,32.94,6.44,3,13,0,4.91,35.56,35.90,25.53,14.29,56,66.67,39.69
2603252225,Thursday,Post-EU,11.61,-0.01,44.20,13.22,4,29,0,3.97,61.77,38.46,38.46,32.79,61,50.00,67.78
2603271909,Saturday,Pre-EU,11.60,-0.20,37.93,7.53,2,13,0,4.75,39.47,35.94,39.53,20.00,55,33.33,13.19
2603281530,Sunday,Asia-EU,11.40,0.01,43.86,9.02,4,24,1,4.51,52.17,47.83,32.14,22.67,75,50.00,65.54
2603282207,Sunday,Post-EU,11.42,-0.27,41.54,8.79,2,16,0,4.61,48.72,38.46,38.46,20.37,54,20.00,32.34
2604050751,Sunday,NA-Asia,11.14,-0.29,42.52,8.69,2,12,0,4.99,55.56,32.90,45.65,18.31,71,25.00,44.45
2604060410,Monday,Post-NA,10.85,0.20,35.57,7.99,3,24,0,4.25,51.35,40.38,21.67,28.30,53,66.67,40.25
2604061807,Tuesday,Pre-EU,11.05,0.00,31.88,6.12,3,12,2,4.79,42.10,32.79,20.51,15.91,44,50.00,29.18
2604090014,Thursday,EU-NA,11.06,0.02,43.44,9.71,2,18,0,4.47,52.78,34.62,47.06,24.53,53,50.00,73.58
2604100734,Friday,NA-Asia,11.07,-0.28,42.66,8.98,1,21,0,4.62,54.05,36.36,42.50,32.79,61,20.00,54.78
2604110724,Saturday,NA-Asia,10.79,-0.01,38.69,8.53,1,16,0,4.83,45.45,33.82,41.67,24.53,53,50.00,38.07
2604121013,Sunday,Pre-Asia,10.78,0.09,33.33,7.76,1,10,0,4.37,34.78,35.71,28.00,13.33,30,60.00,36.21
2604130424,Monday,Post-NA,10.87,0.27,40.00,8.50,2,13,0,4.76,35.48,43.82,34.29,16.13,62,75.00,74.93
2604140505,Tuesday,Post-NA,11.14,-0.09,42.10,8.11,1,12,0,4.67,50.00,36.54,47.83,22.50,40,40.00,40.15
2604140736,Tuesday,NA-Asia,11.04,-0.34,36.88,6.92,1,12,1,4.77,51.61,39.13,21.95,23.08,52,16.67,15.68
2604151003,Wednesday,Pre-Asia,10.70,0.19,40.00,7.85,2,14,0,4.90,58.82,32.31,37.26,16.67,60,66.67,70.76
2604160039,Thursday,Pre-NA,10.89,0.29,40.45,9.54,4,15,0,4.03,38.89,34.78,52.00,33.33,36,80.00,79.90
2604170729,Friday,NA-Asia,11.18,-0.01,42.86,8.78,2,24,0,4.15,53.12,40.30,39.02,36.67,60,50.00,68.33
2604180738,Saturday,NA-Asia,11.17,0.18,41.67,9.11,2,13,0,4.97,55.17,38.89,37.84,16.92,65,66.67,83.97
2604182112,Sunday,Post-EU,11.35,-0.00,43.48,10.30,6,32,1,3.73,47.22,47.54,34.15,33.33,60,50.00,69.57
2604190454,Sunday,Post-NA,11.35,0.01,42.52,8.51,0,14,1,5.08,42.86,42.10,42.86,12.68,71,50.00,49.31
2604190937,Sunday,Pre-Asia,11.36,0.09,37.81,6.55,1,9,0,5.16,56.67,34.69,27.50,15.56,45,60.00,30.66
2604200513,Monday,Post-NA,11.45,0.00,37.06,8.88,1,19,0,4.40,36.67,36.00,39.47,28.30,53,41.67,37.69
2604211013,Tuesday,Pre-Asia,11.45,0.08,33.58,6.79,1,13,0,4.74,43.24,29.69,30.56,21.74,46,60.00,30.00
2604220615,Wednesday,NA-Asia,11.53,-0.18,41.88,10.43,0,18,0,4.22,51.43,32.00,46.88,28.57,49,40.00,45.47
2604221047,Wednesday,Pre-Asia,11.34,-0.18,43.31,9.15,2,22,0,4.35,54.05,35.71,46.00,23.53,68,33.33,58.90
2604230508,Thursday,Post-NA,11.16,0.08,33.61,7.05,2,20,0,3.98,28.57,28.33,43.90,43.90,41,60.00,34.79
2604231037,Thursday,Pre-Asia,11.25,0.28,38.41,8.91,4,20,1,4.40,47.06,31.34,42.00,29.31,58,75.00,72.34
2604240452,Friday,Post-NA,11.52,-0.01,37.40,8.24,4,19,1,4.07,26.32,29.58,60.61,34.78,46,50.00,30.32
