Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601021357,Friday,Post-Asia,14.11,-0.10,34.86,8.77,3,12,1,4.29,33.33,41.82,19.05,23.68,38,40.00,50.00
2601041434,Sunday,Post-Asia,14.01,-0.10,48.85,12.56,10,32,0,3.78,65.71,52.83,30.23,32.81,64,40.00,80.91
2601091400,Friday,Post-Asia,13.91,-0.39,42.31,9.57,4,17,0,4.60,58.62,36.84,38.64,27.27,55,16.67,31.28
2601191349,Monday,Post-Asia,13.52,0.41,33.33,6.64,4,18,0,4.46,41.18,31.51,29.73,31.25,48,83.33,38.04
2601291637,Friday,Asia-EU,13.93,-0.07,43.75,8.98,4,23,0,4.04,56.25,48.78,28.20,40.82,49,40.00,41.23
2602101827,Wednesday,Pre-EU,13.86,-0.21,42.42,8.27,2,27,0,4.21,43.18,47.50,31.71,30.00,70,33.33,36.97
2602111343,Wednesday,Post-Asia,13.65,-0.20,40.54,11.28,4,16,0,4.29,47.83,38.46,38.89,26.67,45,33.33,42.85
2602220742,Sunday,NA-Asia,13.45,0.02,38.19,8.66,2,19,0,4.66,34.29,40.00,38.64,27.27,55,50.00,42.21
2602281808,Sunday,Pre-EU,13.46,-0.20,40.27,8.00,7,31,0,3.83,58.06,33.80,38.30,36.67,60,33.33,38.54
2603010710,Sunday,NA-Asia,13.26,0.10,38.89,7.99,2,19,0,4.81,33.33,44.62,36.21,25.40,63,58.33,47.13
2603021158,Monday,Pre-Asia,13.36,0.20,29.03,8.33,2,15,4,4.22,44.12,23.26,23.40,36.11,36,66.67,30.35
2603071352,Saturday,Post-Asia,13.56,-0.20,44.09,10.70,6,19,0,4.48,48.39,43.86,41.03,30.36,56,30.00,67.77
2603081005,Sunday,Pre-Asia,13.37,-0.08,43.84,11.32,5,25,0,4.30,53.57,46.58,33.33,29.69,64,41.67,70.70
2603091433,Monday,Post-Asia,13.28,-0.09,35.25,9.23,4,18,0,4.33,44.83,33.82,30.95,26.53,49,41.67,32.06
