Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601041141,Sunday,Pre-Asia,6.87,0.19,29.84,6.23,1,15,0,4.43,23.33,30.16,35.48,27.03,37,66.67,50.00
2601041434,Sunday,Post-Asia,7.07,0.20,24.72,5.34,2,7,1,4.27,37.04,13.89,26.92,40.91,22,70.00,32.05
2601051410,Monday,Post-Asia,7.26,-0.18,17.65,3.39,0,8,0,4.79,25.00,16.67,12.50,16.67,24,33.33,10.32
2601061413,Tuesday,Post-Asia,7.08,-0.18,28.57,4.89,1,10,1,5.31,32.35,29.41,24.44,14.29,42,33.33,48.84
2601071400,Wednesday,Post-Asia,6.90,0.09,34.74,5.18,0,7,0,5.03,46.67,35.00,20.00,12.12,33,60.00,74.39
2601111925,Monday,Pre-EU,6.99,0.21,27.41,5.29,2,15,0,4.68,32.14,17.46,38.64,29.73,37,66.67,75.99
2601151844,Friday,Pre-EU,7.21,-0.10,24.20,4.88,4,11,0,4.55,36.84,12.50,31.91,15.79,38,41.67,36.99
2601161832,Saturday,Pre-EU,7.11,-0.29,21.82,4.00,1,10,0,4.54,22.73,17.78,25.58,16.67,24,20.00,11.31
2601171039,Saturday,Pre-Asia,6.82,0.20,28.26,4.32,10,26,0,2.97,23.53,22.58,40.48,58.97,39,70.00,71.62
2601171640,Sunday,Asia-EU,7.02,0.00,29.41,5.29,2,11,0,4.94,37.50,19.30,40.00,20.00,35,80.00,74.25
2601171642,Sunday,Asia-EU,7.02,0.30,29.41,5.29,2,11,0,4.94,37.50,19.30,40.00,20.00,35,80.00,84.57
2601181222,Sunday,Pre-Asia,7.32,-0.09,29.70,4.46,2,15,1,5.00,48.84,21.92,24.49,24.49,49,41.67,46.33
2601191349,Monday,Post-Asia,7.22,0.18,23.53,3.90,2,8,0,4.89,35.48,16.92,26.09,25.00,28,66.67,35.92
2601201116,Tuesday,Pre-Asia,7.40,0.37,20.61,4.95,4,12,0,3.70,30.00,19.67,15.00,44.44,27,83.33,56.12
2601201915,Wednesday,Pre-EU,7.76,-0.18,25.35,3.80,0,10,0,4.94,30.00,25.68,21.05,19.44,36,33.33,22.46
2601220918,Thursday,Pre-Asia,7.58,-0.20,20.50,3.58,3,7,2,5.00,35.13,15.79,16.67,15.15,33,33.33,10.96
2601222213,Friday,Post-EU,7.38,-0.17,24.03,3.68,1,10,1,4.74,36.67,16.92,26.47,22.58,31,70.00,23.77
2601231040,Friday,Pre-Asia,7.21,0.52,25.86,5.93,2,11,0,4.73,24.00,20.37,35.13,23.33,30,66.67,69.75
2601261925,Tuesday,Pre-EU,7.73,0.00,22.88,3.18,1,3,0,5.44,19.36,21.43,29.03,11.11,27,50.00,17.36
