Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601071400,Wednesday,Post-Asia,2.79,0.11,18.02,2.97,0,5,4,4.85,12.12,17.65,25.93,20.00,20,60.00,50.00
2601111925,Monday,Pre-EU,2.90,0.22,13.08,1.99,1,4,3,5.41,17.95,5.56,18.92,17.65,17,66.67,39.77
2601161832,Saturday,Pre-EU,3.13,-0.11,10.62,1.90,1,3,3,4.58,14.29,5.88,14.63,25.00,12,40.00,17.81
2601171039,Saturday,Pre-Asia,3.02,-0.43,14.09,1.40,2,11,0,4.10,15.15,15.87,10.87,45.00,20,16.67,37.76
2604111356,Saturday,Post-Asia,2.58,-0.00,11.11,2.20,0,6,5,4.82,9.09,8.62,15.69,5.88,17,50.00,45.08
2604131404,Monday,Post-Asia,2.58,-0.21,10.38,1.36,1,1,0,5.27,16.00,3.77,17.86,18.18,11,33.33,21.08
2604160039,Thursday,Pre-NA,2.37,-0.32,9.65,2.02,0,5,5,4.18,11.77,6.12,12.90,36.36,11,20.00,18.75
2604171403,Friday,Post-Asia,2.04,0.22,16.00,2.04,0,5,2,4.65,22.86,8.00,20.00,10.00,20,70.00,79.56
2604190937,Sunday,Pre-Asia,2.26,0.32,16.53,2.29,0,4,2,5.65,21.88,13.72,15.79,15.00,20,80.00,84.44
2604210049,Tuesday,Pre-NA,2.58,-0.19,10.00,1.11,1,2,0,6.07,20.45,2.86,11.11,13.33,15,33.33,22.24
2604211013,Tuesday,Pre-Asia,2.39,-0.31,14.02,3.93,0,8,1,3.80,19.36,12.77,10.35,33.33,15,20.00,52.25
2604221047,Wednesday,Pre-Asia,2.08,0.30,14.79,3.05,3,7,4,4.88,17.65,9.86,18.75,20.00,25,75.00,87.52
2604241402,Friday,Post-Asia,2.38,-0.09,14.96,3.53,2,10,0,4.26,16.22,10.91,20.00,47.37,19,40.00,71.06
2604281408,Tuesday,Post-Asia,2.28,-0.10,11.40,2.35,0,5,0,4.31,9.09,11.47,12.90,23.08,13,40.00,31.98
2604290920,Wednesday,Pre-Asia,2.18,-0.39,13.01,2.08,1,4,3,4.56,13.33,10.17,17.65,18.75,16,16.67,25.67
2604291352,Wednesday,Post-Asia,1.79,-0.22,9.22,1.98,1,4,4,4.69,3.03,11.27,10.81,30.77,13,33.33,13.24
2604300723,Thursday,NA-Asia,1.57,-0.00,11.90,1.53,0,4,1,5.20,8.82,11.77,14.63,26.67,15,50.00,37.61
2604301425,Thursday,Post-Asia,1.57,0.12,15.33,1.71,1,4,2,5.39,16.28,7.69,26.19,13.04,23,58.33,65.31
2605011141,Friday,Pre-Asia,1.69,0.29,14.18,2.55,0,8,1,4.63,16.67,9.84,18.61,26.32,19,75.00,76.83
2605012120,Saturday,Post-EU,1.97,-0.02,20.27,4.45,3,11,1,4.30,24.44,15.52,22.22,33.33,30,50.00,86.29
