Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601012239,Friday,EU-NA,7.90,-0.11,28.97,7.69,5,17,1,3.61,27.27,30.00,29.41,41.94,31,40.00,50.00
2601031038,Saturday,Pre-Asia,7.80,-0.19,24.79,6.30,1,12,2,4.37,28.12,18.64,33.33,26.67,30,33.33,19.92
2601041141,Sunday,Pre-Asia,7.60,-0.01,25.20,6.05,2,14,1,3.97,34.48,25.40,17.14,37.50,32,50.00,46.60
2601041434,Sunday,Post-Asia,7.60,-0.11,24.24,4.29,0,9,0,4.58,18.75,27.03,26.67,25.00,24,40.00,24.81
2601051410,Monday,Post-Asia,7.49,-0.18,23.53,7.29,1,17,3,3.84,22.22,20.00,30.00,34.38,32,33.33,43.53
2601121031,Monday,Pre-Asia,7.31,-0.10,21.25,4.44,2,5,1,4.59,33.33,21.88,8.33,41.18,17,33.33,22.79
2601151844,Friday,Pre-EU,7.21,0.00,21.97,4.07,0,8,0,4.62,27.27,19.36,21.62,34.48,29,50.00,43.32
2601171640,Sunday,Asia-EU,7.21,0.00,20.49,5.80,5,11,0,4.20,19.23,20.37,21.43,36.00,25,60.00,53.91
2601171642,Sunday,Asia-EU,7.21,0.09,20.49,5.80,5,11,0,4.20,19.23,20.37,21.43,36.00,25,60.00,56.33
2601181029,Sunday,Pre-Asia,7.30,-0.09,17.14,3.98,1,8,0,4.11,21.74,19.57,11.11,33.33,18,40.00,18.48
2601181222,Sunday,Pre-Asia,7.21,-0.02,23.02,7.18,9,16,0,3.48,28.95,20.34,20.69,51.72,29,50.00,81.91
2601222213,Friday,Post-EU,7.19,0.02,20.34,5.17,4,12,1,3.75,36.36,14.29,20.00,41.67,24,50.00,44.46
2601231040,Friday,Pre-Asia,7.21,0.17,18.25,5.64,2,13,1,4.04,17.14,20.90,14.29,36.00,25,66.67,56.92
2601250922,Sunday,Pre-Asia,7.38,-0.37,23.53,5.51,4,12,0,4.61,25.81,18.52,31.71,27.78,36,16.67,52.86
2601261925,Tuesday,Pre-EU,7.01,0.28,24.51,5.06,1,8,2,4.76,20.83,32.69,11.54,28.00,25,80.00,60.53
2601311622,Sunday,Asia-EU,7.29,0.36,20.39,5.13,3,17,3,3.71,21.21,20.00,20.41,48.39,31,83.33,56.18
2601312317,Sunday,EU-NA,7.66,-0.09,21.21,5.52,2,7,0,4.07,13.33,18.18,33.33,42.86,14,33.33,35.16
2602011015,Sunday,Pre-Asia,7.57,0.18,27.64,7.56,8,20,1,3.18,27.27,26.76,30.00,52.94,34,66.67,89.90
2602022029,Tuesday,Post-EU,7.75,-0.02,27.55,7.40,4,15,1,4.78,23.68,25.00,33.96,21.74,46,50.00,67.37
2602032022,Wednesday,Post-EU,7.73,-0.38,26.56,4.84,4,8,0,4.65,25.93,30.16,21.05,17.65,34,16.67,41.46
2602041207,Wednesday,Pre-Asia,7.35,0.38,18.12,5.27,3,14,1,4.04,18.52,13.12,24.00,44.00,25,83.33,40.34
2602041343,Wednesday,Post-Asia,7.73,0.20,22.76,5.95,4,14,0,3.94,21.88,20.55,27.50,27.27,33,66.67,70.68
2602052053,Friday,Post-EU,7.93,-0.20,23.93,5.65,1,13,0,4.11,12.00,25.86,29.41,28.57,28,33.33,28.42
2602061813,Saturday,Pre-EU,7.73,-0.37,21.10,3.76,0,8,0,4.83,19.05,24.00,18.42,17.39,23,16.67,9.60
2602062111,Saturday,Post-EU,7.36,-0.10,24.36,3.95,0,4,3,5.26,40.00,29.41,10.35,15.79,19,33.33,21.77
2602081905,Monday,Pre-EU,7.27,0.01,28.57,7.53,5,20,1,3.79,36.36,25.68,29.73,47.37,38,33.33,75.11
2602091853,Tuesday,Pre-EU,7.28,0.28,25.66,7.11,6,14,1,4.14,23.81,27.45,24.39,44.83,29,80.00,78.64
2602111343,Wednesday,Post-Asia,7.56,-0.19,16.22,5.43,2,8,1,4.06,21.74,11.54,19.44,38.89,18,33.33,15.40
2602151918,Monday,Pre-EU,7.37,-0.38,17.89,4.61,3,11,2,3.82,10.53,19.64,18.75,45.45,22,16.67,9.52
2602170916,Tuesday,Pre-Asia,6.99,0.03,21.71,4.90,5,13,3,4.84,35.90,13.41,24.07,31.58,38,50.00,53.23
2602172105,Wednesday,Post-EU,7.02,0.09,20.00,5.00,3,10,2,4.25,16.00,20.64,21.88,37.50,24,60.00,39.90
2602181622,Thursday,Asia-EU,7.11,0.27,23.57,4.89,3,12,4,4.62,27.59,20.99,25.53,35.14,37,75.00,63.77
2603052048,Friday,Post-EU,7.38,0.09,23.94,4.14,2,13,0,4.68,30.00,18.92,28.95,11.76,34,58.33,63.47
2603061048,Friday,Pre-Asia,7.47,-0.19,17.61,4.10,6,13,1,4.12,18.42,16.39,18.61,40.00,25,33.33,19.63
2603071352,Saturday,Post-Asia,7.28,0.10,23.91,5.86,2,9,1,4.41,42.31,6.82,36.36,31.82,22,60.00,68.31
2603150014,Sunday,EU-NA,7.37,0.28,27.56,7.77,6,15,2,4.03,24.00,26.23,31.71,37.14,35,80.00,91.55
2603191423,Thursday,Post-Asia,7.66,-0.37,16.03,3.08,2,8,1,4.38,30.43,9.68,17.39,33.33,21,16.67,9.46
2603202204,Saturday,Post-EU,7.28,0.37,25.69,6.66,5,17,1,3.71,26.92,18.75,47.37,57.14,28,83.33,87.04
2603251007,Wednesday,Pre-Asia,7.65,0.20,31.62,9.01,7,20,1,4.12,25.58,28.33,45.45,39.53,43,66.67,91.04
2603280947,Saturday,Pre-Asia,7.84,0.08,20.32,6.15,3,12,0,3.92,31.03,11.32,24.39,40.00,25,58.33,42.93
2603291008,Sunday,Pre-Asia,7.93,-0.18,25.48,6.25,2,12,2,4.92,27.50,28.57,20.37,27.50,40,33.33,51.89
2603300940,Monday,Pre-Asia,7.74,0.36,29.34,5.91,1,16,6,5.10,36.36,30.77,20.00,20.41,49,83.33,70.02
2604021830,Friday,Pre-EU,8.11,0.08,30.64,7.62,5,12,3,4.50,24.00,41.54,14.71,31.58,38,60.00,79.28
2604031350,Friday,Post-Asia,8.18,0.00,16.18,4.09,3,10,3,4.46,14.71,17.86,15.22,36.36,22,50.00,11.94
2604041052,Saturday,Pre-Asia,8.19,-0.17,24.34,6.72,2,17,1,4.38,27.03,17.39,32.61,21.62,37,33.33,45.99
2604091812,Friday,Pre-EU,8.01,0.10,17.02,7.00,4,10,0,2.75,9.52,15.38,23.53,56.25,16,60.00,57.16
2604121013,Sunday,Pre-Asia,8.11,0.10,26.80,5.02,0,6,0,4.88,19.23,33.33,21.74,11.54,26,60.00,44.54
2604180738,Saturday,NA-Asia,8.21,-0.11,21.39,5.18,0,14,7,4.95,21.28,23.53,18.18,20.00,40,41.67,15.27
