Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601020057,Friday,Pre-NA,11.71,0.11,39.01,8.10,7,20,0,4.44,42.50,44.64,28.89,32.73,55,58.33,50.00
2601030030,Saturday,Pre-NA,11.82,0.21,46.38,10.01,4,28,1,4.27,50.00,47.37,41.46,37.50,64,66.67,77.13
2601040610,Sunday,NA-Asia,12.02,0.44,39.77,10.37,10,33,0,3.73,51.52,40.24,32.14,39.71,68,83.33,74.88
2602172105,Wednesday,Post-EU,12.46,0.07,40.77,9.73,2,23,0,3.98,48.00,48.44,24.39,30.19,53,60.00,30.70
2602200526,Friday,Post-NA,12.53,0.44,38.41,8.54,1,20,1,4.53,40.91,36.67,38.30,24.14,58,83.33,34.67
2602210513,Saturday,Post-NA,12.97,-0.11,42.10,7.76,0,16,0,4.73,37.04,49.23,34.15,8.93,56,41.67,22.17
2602270633,Friday,NA-Asia,12.86,0.19,40.34,10.99,7,15,1,4.23,47.06,38.46,36.36,31.25,48,66.67,56.91
2603020644,Monday,NA-Asia,13.04,-0.21,35.83,7.99,3,18,0,4.65,39.29,36.21,32.35,34.88,43,33.33,9.00
2603040502,Wednesday,Post-NA,12.83,0.20,43.33,11.63,9,25,0,4.06,57.14,36.07,47.37,36.54,52,66.67,77.16
2603090538,Monday,NA-Asia,13.03,-0.21,44.52,11.02,7,19,2,5.13,47.50,43.28,43.75,24.64,69,33.33,60.77
2603151901,Monday,Pre-EU,12.82,0.22,35.40,10.30,4,16,0,3.95,28.57,40.43,34.21,35.00,40,66.67,52.36
2603230420,Monday,Post-NA,13.04,-0.40,36.02,10.12,7,22,0,4.03,33.33,44.44,25.00,25.86,58,16.67,41.14
2603270520,Friday,Post-NA,12.64,0.20,33.02,9.24,15,24,1,2.83,52.00,24.44,30.56,57.14,35,66.67,42.07
2603300438,Monday,Post-NA,12.84,0.19,42.36,11.00,1,24,1,4.56,44.74,47.30,28.12,34.43,61,66.67,79.32
2604060410,Monday,Post-NA,13.03,-0.40,42.03,10.84,5,30,0,3.78,53.33,39.22,38.60,39.66,58,16.67,57.86
2604190454,Sunday,Post-NA,12.63,0.38,38.55,8.54,1,16,2,5.07,33.33,45.57,32.76,15.94,69,83.33,48.83
2604210049,Tuesday,Pre-NA,13.01,-0.18,37.33,10.00,4,30,0,3.89,31.82,44.29,30.56,28.57,56,33.33,32.22
2604220615,Wednesday,NA-Asia,12.83,-0.10,35.04,8.05,1,13,0,4.54,45.71,36.00,21.88,21.95,41,40.00,12.84
2604230508,Thursday,Post-NA,12.73,0.11,38.46,9.32,4,28,2,3.76,46.15,43.40,29.41,52.00,50,60.00,43.43
2604240452,Friday,Post-NA,12.83,0.29,44.44,13.12,12,41,1,3.37,47.50,50.00,32.56,45.59,68,75.00,92.80
2604250626,Saturday,NA-Asia,13.12,0.11,43.70,10.61,4,17,0,4.71,48.28,50.00,26.47,25.42,59,58.33,81.04
2604260432,Sunday,Post-NA,13.23,-0.57,40.97,8.28,3,12,0,5.08,50.00,40.35,34.04,18.64,59,0.00,33.60
2604270523,Monday,Post-NA,12.66,-0.17,36.72,8.74,9,24,0,3.55,50.00,36.36,30.00,42.55,47,33.33,21.27
2604280507,Tuesday,Post-NA,12.49,-0.01,45.71,13.51,8,37,0,3.34,48.00,47.83,41.30,50.00,64,50.00,87.70
2605010408,Friday,Post-NA,12.48,0.36,32.76,7.19,9,16,0,3.68,42.86,30.91,30.00,42.11,38,83.33,45.30
2606060457,Saturday,Post-NA,12.84,0.10,47.13,10.08,3,16,1,5.08,51.11,47.14,42.86,18.92,74,58.33,73.39
2606070419,Sunday,Post-NA,12.94,0.19,42.50,8.73,4,18,0,4.75,41.38,48.98,35.71,21.57,51,60.00,51.47
