Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601011011,Thursday,Pre-Asia,12.10,-0.10,36.84,8.82,4,21,0,3.81,37.04,39.22,33.33,33.33,42,40.00,50.00
2601012239,Friday,EU-NA,12.01,-0.10,34.12,8.07,2,16,0,3.79,23.08,40.00,37.50,41.38,29,40.00,29.47
2601020057,Friday,Pre-NA,11.90,0.09,36.88,6.11,3,15,0,4.79,35.00,42.86,31.11,25.00,52,58.33,59.96
2601020800,Friday,NA-Asia,11.99,0.27,37.72,10.47,3,25,0,3.95,39.29,54.00,13.89,41.86,43,80.00,82.17
2601021357,Friday,Post-Asia,12.27,-0.28,44.44,9.27,3,16,1,4.75,58.97,35.09,43.59,21.67,60,20.00,58.97
2601030030,Saturday,Pre-NA,11.99,0.18,36.80,8.84,5,19,1,3.98,34.15,46.15,25.00,36.96,46,66.67,66.02
2601030526,Saturday,Post-NA,12.16,-0.37,32.00,7.29,6,22,0,4.14,45.95,34.72,21.21,30.36,56,16.67,25.74
2601031038,Saturday,Pre-Asia,11.79,-0.17,42.31,10.95,4,23,2,4.41,51.35,41.18,35.29,28.79,66,33.33,62.25
2601040610,Sunday,NA-Asia,11.62,0.08,40.23,7.83,7,23,0,4.34,45.71,40.00,37.04,25.71,70,58.33,69.64
2601070149,Wednesday,Pre-NA,11.70,0.39,44.06,10.81,10,25,0,3.70,42.86,50.94,37.50,38.10,63,83.33,95.46
2601071634,Thursday,Asia-EU,12.09,-0.35,36.59,8.20,5,16,0,4.24,33.33,39.71,32.14,26.67,45,16.67,15.78
2601170037,Saturday,Pre-NA,11.74,-0.08,44.25,9.48,9,34,1,3.90,59.09,40.51,37.26,32.47,77,41.67,69.45
2601240626,Saturday,NA-Asia,11.66,-0.09,44.67,9.54,6,24,0,4.34,44.44,45.83,43.14,23.88,67,41.67,65.27
2601250718,Sunday,NA-Asia,11.57,0.01,41.22,9.61,4,17,0,4.77,48.57,44.74,27.03,16.39,61,50.00,66.62
2601260005,Monday,EU-NA,11.58,-0.19,38.52,8.66,6,17,0,4.43,37.50,41.38,35.00,36.17,47,33.33,20.13
2601261925,Tuesday,Pre-EU,11.39,0.27,35.29,8.40,3,15,0,4.44,20.83,42.31,34.62,25.00,36,80.00,36.29
2601270246,Tuesday,Post-NA,11.66,-0.21,37.01,6.46,2,18,0,4.60,50.00,36.11,30.00,21.05,57,33.33,10.89
2601290015,Thursday,EU-NA,11.46,-0.19,39.57,8.24,5,24,0,4.11,40.54,46.03,28.20,40.00,55,33.33,21.51
2601312317,Sunday,EU-NA,11.26,0.18,40.56,8.42,1,24,1,4.33,44.44,43.08,33.33,25.86,58,66.67,53.71
2602020040,Monday,Pre-NA,11.45,0.36,37.98,8.75,6,17,0,4.59,43.24,38.60,31.43,30.61,49,83.33,60.38
2602022029,Tuesday,Post-EU,11.81,-0.18,28.99,6.01,2,7,0,5.12,39.39,28.81,21.74,15.00,40,33.33,9.47
2602061813,Saturday,Pre-EU,11.62,0.50,42.98,10.77,2,22,1,4.13,28.57,52.94,42.86,30.77,52,100.00,78.67
2602062111,Saturday,Post-EU,12.12,0.28,25.93,7.93,1,10,0,4.14,36.36,29.41,12.00,47.62,21,100.00,36.46
2602072212,Sunday,Post-EU,12.40,-0.01,41.91,8.50,3,22,0,4.35,51.85,40.00,38.64,28.07,57,50.00,61.99
2602170916,Tuesday,Pre-Asia,12.39,-0.19,40.97,8.86,2,23,0,4.54,52.78,42.86,28.89,23.73,59,33.33,58.80
2602172105,Wednesday,Post-EU,12.20,0.06,46.15,12.03,6,24,0,3.88,44.00,57.81,29.27,35.00,60,60.00,81.62
2602210513,Saturday,Post-NA,12.25,0.09,33.33,7.34,2,12,0,4.52,24.14,42.25,23.68,19.57,46,58.33,18.97
2602210737,Saturday,NA-Asia,12.35,-0.54,35.29,7.69,2,19,0,4.72,34.48,34.15,38.09,22.22,54,0.00,21.08
2602210956,Saturday,Pre-Asia,11.81,0.18,38.76,10.77,7,19,1,4.06,51.72,44.23,25.00,28.00,50,66.67,82.53
2602260109,Thursday,Pre-NA,11.99,0.36,39.19,7.85,6,18,1,4.66,42.86,44.12,30.77,27.59,58,83.33,69.23
2602270633,Friday,NA-Asia,12.36,0.16,39.50,9.25,3,14,0,4.38,47.06,38.46,33.33,27.66,47,66.67,62.09
2603010710,Sunday,NA-Asia,12.52,-0.18,39.87,8.16,3,19,2,4.72,36.36,41.94,40.43,22.95,61,33.33,35.59
