Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601111925,Monday,Pre-EU,11.65,-0.46,32.84,6.11,1,16,0,4.57,47.37,34.69,19.15,27.27,44,16.67,50.00
2601120530,Monday,NA-Asia,11.19,0.56,45.28,11.51,4,21,1,4.15,52.94,58.14,30.43,29.17,48,100.00,90.60
2601141731,Thursday,Pre-EU,11.75,0.11,45.86,9.87,4,30,0,4.24,51.22,50.75,34.69,31.94,72,60.00,81.85
2601151844,Friday,Pre-EU,11.87,-0.21,41.50,8.41,2,22,0,4.21,55.26,38.36,33.33,24.59,61,33.33,32.71
2601161832,Saturday,Pre-EU,11.66,0.32,33.65,9.15,5,18,0,3.49,32.00,45.65,18.18,25.71,35,80.00,55.98
2601171053,Saturday,Pre-Asia,11.98,0.10,35.43,10.49,6,26,2,4.36,38.64,42.10,23.64,37.10,62,58.33,58.58
2601190743,Monday,NA-Asia,12.09,0.43,42.34,11.43,8,30,1,3.74,46.43,45.07,34.21,39.66,58,83.33,91.42
2601191349,Monday,Post-Asia,12.52,0.00,39.70,11.53,10,28,1,3.67,56.41,36.07,25.81,46.15,52,50.00,50.94
2601201116,Tuesday,Pre-Asia,12.52,0.40,36.64,10.66,7,30,0,3.08,53.33,36.07,25.00,56.25,48,83.33,64.50
2601201915,Wednesday,Pre-EU,12.93,-0.20,35.21,6.39,0,18,0,4.44,63.33,29.73,23.68,28.00,50,33.33,8.21
2601220918,Thursday,Pre-Asia,12.72,0.41,43.40,10.05,8,25,0,4.32,59.52,35.21,41.30,27.54,69,83.33,85.36
2601221429,Thursday,Post-Asia,13.13,0.41,31.91,7.90,9,22,1,3.89,42.86,29.41,25.00,44.44,45,83.33,41.60
2601250718,Sunday,NA-Asia,13.54,-0.21,41.38,10.78,1,14,0,4.33,64.00,40.98,23.33,22.92,48,33.33,46.15
2601250922,Sunday,Pre-Asia,13.34,0.20,42.52,8.62,2,24,1,4.68,55.26,47.62,22.22,22.54,71,66.67,52.42
2602020929,Monday,Pre-Asia,13.54,-0.21,44.38,9.51,11,34,1,4.01,54.35,49.35,26.09,40.00,75,33.33,49.52
2602052053,Friday,Post-EU,13.33,0.01,38.40,10.18,6,23,0,3.83,50.00,37.10,27.59,33.33,48,50.00,38.55
2602061813,Saturday,Pre-EU,13.34,0.00,40.84,8.82,2,19,0,4.45,52.78,42.86,31.58,24.14,58,50.00,37.66
2602072212,Sunday,Post-EU,13.35,0.02,36.72,8.78,6,18,0,4.23,40.00,41.38,27.50,36.17,47,50.00,23.70
2602081905,Monday,Pre-EU,13.37,-0.19,31.58,5.91,2,17,0,4.36,45.45,33.78,18.92,28.57,42,33.33,8.50
2602141404,Saturday,Post-Asia,13.17,-0.19,35.26,8.59,2,18,0,4.40,53.85,36.36,19.61,25.45,55,33.33,15.45
2602200526,Friday,Post-NA,12.99,-0.01,43.88,10.89,3,23,0,4.25,46.67,41.67,44.12,29.51,61,50.00,76.35
2602210513,Saturday,Post-NA,12.98,-0.20,39.57,8.31,2,17,1,4.64,48.48,36.62,37.14,16.36,55,33.33,23.21
2602210956,Saturday,Pre-Asia,12.77,0.20,37.98,9.74,3,19,0,4.14,58.62,34.62,29.17,26.53,49,66.67,61.47
2602220742,Sunday,NA-Asia,12.97,0.18,35.61,7.22,2,12,1,4.81,36.36,31.67,41.03,17.02,47,66.67,33.75
2602250917,Wednesday,Pre-Asia,13.15,-0.10,38.85,8.96,6,24,0,4.49,51.43,37.98,30.23,32.79,61,41.67,60.97
