Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601171053,Saturday,Pre-Asia,8.29,0.10,26.86,5.60,3,10,3,5.00,27.27,30.26,21.82,21.28,47,58.33,50.00
2601181029,Sunday,Pre-Asia,8.39,-0.10,28.87,6.08,1,18,2,4.24,19.36,31.25,31.91,26.83,41,40.00,44.83
2601301932,Saturday,Post-EU,8.29,0.21,38.46,7.52,4,17,0,4.58,41.94,32.35,48.39,34.00,50,66.67,92.10
2601311622,Sunday,Asia-EU,8.50,0.00,28.31,5.17,2,18,0,4.45,21.62,32.00,27.78,25.53,47,50.00,28.00
2602172105,Wednesday,Post-EU,8.50,-0.09,30.00,6.83,4,11,0,4.17,38.46,28.81,25.71,27.78,36,40.00,46.41
2602181622,Thursday,Asia-EU,8.41,0.00,31.88,5.74,2,15,1,4.75,34.29,31.17,31.25,25.49,51,50.00,47.76
2602201401,Friday,Post-Asia,8.41,0.01,35.21,6.18,1,12,2,5.18,42.42,34.25,30.56,20.00,50,50.00,57.59
2602281808,Sunday,Pre-EU,8.42,-0.20,28.86,4.58,1,19,0,4.33,45.16,19.72,31.91,25.58,43,33.33,14.81
2603021923,Tuesday,Pre-EU,8.21,0.20,33.63,6.18,1,10,0,4.58,25.93,32.69,41.18,21.05,38,66.67,69.50
2603071352,Saturday,Post-Asia,8.42,0.50,28.80,4.15,1,7,0,5.22,42.86,21.67,29.73,8.33,36,100.00,41.19
2603151012,Sunday,Pre-Asia,8.92,0.20,34.81,5.37,1,13,0,5.18,36.36,36.49,31.37,14.55,55,66.67,66.22
2603161608,Tuesday,Asia-EU,9.12,-0.01,36.08,6.43,5,18,0,4.56,47.06,33.80,32.08,28.07,57,50.00,69.39
2603171003,Tuesday,Pre-Asia,9.11,0.09,25.78,5.36,3,13,2,4.49,38.89,27.08,13.64,36.36,33,58.33,33.30
2603181441,Wednesday,Post-Asia,9.20,-0.39,25.95,4.38,2,9,1,5.44,30.00,23.73,26.19,20.59,34,16.67,9.24
2603191423,Thursday,Post-Asia,8.81,0.42,39.16,6.60,5,24,1,4.49,33.33,38.96,44.68,26.15,65,83.33,92.93
2603231915,Tuesday,Pre-EU,9.23,0.30,41.05,9.20,3,15,0,4.31,45.83,31.58,48.48,30.77,39,80.00,80.51
2603251345,Wednesday,Post-Asia,9.53,-0.20,28.29,6.60,3,14,3,4.86,39.47,22.39,27.66,20.93,43,33.33,30.14
2603261351,Thursday,Post-Asia,9.32,-0.39,33.80,6.95,2,13,0,4.88,44.83,31.34,30.43,20.83,48,16.67,54.59
2603281530,Sunday,Asia-EU,8.94,0.37,37.65,7.79,2,21,0,4.51,52.38,37.50,25.00,31.15,61,83.33,88.64
2603301356,Monday,Post-Asia,9.31,0.57,36.00,7.92,7,12,0,4.60,45.71,30.91,34.29,26.67,45,100.00,84.60
2604021830,Friday,Pre-EU,9.88,0.29,42.86,9.54,6,19,1,4.65,51.28,37.88,42.86,22.22,63,80.00,90.78
2604031350,Friday,Post-Asia,10.17,-0.00,30.52,5.58,4,10,0,4.87,41.46,27.94,24.44,17.02,47,50.00,21.45
2604041052,Saturday,Pre-Asia,10.17,0.18,31.13,8.17,3,18,1,4.32,45.16,30.56,22.92,23.40,47,66.67,52.03
2604051746,Monday,Pre-EU,10.35,0.11,39.72,6.73,0,12,1,5.04,48.89,38.09,30.30,12.50,56,60.00,41.74
2604061424,Monday,Post-Asia,10.46,-0.18,29.24,7.16,3,24,0,3.98,35.29,23.17,34.55,30.00,50,33.33,19.48
2604131404,Monday,Post-Asia,10.28,0.00,37.82,5.41,2,12,1,4.92,54.29,36.49,27.66,16.95,59,50.00,42.14
2604131902,Tuesday,Pre-EU,10.28,-0.20,31.14,8.34,2,21,0,4.17,35.56,28.95,30.43,32.69,52,33.33,33.06
2604201347,Monday,Post-Asia,10.08,-0.19,28.57,4.77,1,12,0,5.00,34.21,26.32,26.32,21.05,38,33.33,8.33
2604201843,Tuesday,Pre-EU,9.90,-0.37,28.83,6.35,4,12,0,4.47,31.82,30.19,25.00,37.50,32,16.67,14.20
2604211013,Tuesday,Pre-Asia,9.52,0.09,32.85,7.79,3,14,0,4.58,37.84,32.81,27.78,24.44,45,60.00,64.53
2604221513,Thursday,Post-Asia,9.61,-0.19,34.69,5.05,1,10,0,4.90,36.11,33.33,35.42,21.57,51,33.33,40.43
2604231037,Thursday,Pre-Asia,9.42,0.11,33.33,6.45,1,16,0,4.65,42.86,33.82,22.86,23.91,46,58.33,55.97
2604231500,Friday,Post-Asia,9.53,-0.38,33.53,5.80,2,12,1,5.05,51.52,25.29,35.85,25.86,58,16.67,33.68
2605041844,Tuesday,Pre-EU,9.15,0.00,40.46,8.21,4,20,0,4.62,36.59,38.46,47.37,30.19,53,60.00,89.59
2605051409,Tuesday,Post-Asia,9.15,0.09,26.61,5.16,1,9,1,4.76,39.39,26.09,17.78,24.24,33,40.00,27.98
2605051837,Wednesday,Pre-EU,9.24,-0.45,29.91,4.99,2,9,0,4.56,45.16,29.17,14.29,21.88,32,16.67,13.43
2605061846,Thursday,Pre-EU,8.79,-0.36,34.46,6.41,2,16,0,4.35,51.28,25.68,34.29,25.49,51,16.67,57.14
2605081802,Saturday,Pre-EU,8.43,0.01,37.78,7.42,4,16,0,4.69,47.22,31.82,39.39,25.49,51,50.00,89.97
2605091011,Saturday,Pre-Asia,8.44,-0.10,32.53,8.54,2,18,1,4.67,34.29,30.86,34.00,24.07,54,41.67,62.87
2605092118,Sunday,Post-EU,8.34,-0.19,21.01,4.22,1,7,0,5.12,13.04,25.37,17.24,28.00,25,33.33,16.62
2605111404,Monday,Post-Asia,8.15,-0.34,35.22,6.91,2,15,0,4.91,38.89,36.49,30.61,23.21,56,16.67,60.62
2605121405,Tuesday,Post-Asia,7.81,0.01,24.48,3.32,1,8,0,4.80,27.27,25.64,18.75,11.43,35,50.00,35.45
2605121815,Wednesday,Pre-EU,7.82,0.19,29.63,4.65,2,8,0,4.83,34.21,27.87,27.78,12.50,40,70.00,43.26
2605151746,Saturday,Pre-EU,8.01,-0.18,33.04,7.40,0,21,0,3.89,40.74,31.75,27.27,43.24,37,40.00,62.62
2605161016,Saturday,Pre-Asia,7.83,-0.18,39.13,7.75,0,2,0,4.78,50.00,30.00,42.86,22.22,9,0.00,55.87
2605161347,Saturday,Post-Asia,7.66,-0.17,23.65,3.78,0,5,0,5.26,40.00,23.75,13.95,11.43,35,33.33,16.83
2605201828,Thursday,Pre-EU,7.49,-0.18,32.09,5.63,0,12,2,4.56,34.62,34.33,26.83,11.63,43,33.33,39.49
