Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601171640,Sunday,Asia-EU,19.12,0.00,68.00,22.09,14,48,0,3.59,80.85,66.00,50.00,48.24,85,40.00,50.00
2601171642,Sunday,Asia-EU,19.12,-0.12,68.00,22.09,14,48,0,3.59,80.85,66.00,50.00,48.24,85,40.00,47.09
2601200030,Tuesday,Pre-NA,19.00,0.11,64.18,16.11,11,39,0,3.99,95.00,57.81,36.67,39.53,86,58.33,39.38
2601270246,Tuesday,Post-NA,19.12,0.32,56.82,14.79,11,35,0,3.88,93.10,46.67,46.51,41.33,75,75.00,35.22
2601270546,Tuesday,NA-Asia,19.44,0.11,60.27,19.06,18,53,0,3.40,81.82,47.89,58.33,54.95,91,58.33,61.95
2601310822,Saturday,NA-Asia,19.55,-0.01,61.16,15.14,6,20,0,4.58,80.00,56.14,56.41,22.97,74,50.00,14.13
2602020040,Monday,Pre-NA,19.54,-0.01,51.45,15.12,13,31,0,3.90,72.09,46.55,35.13,40.85,71,50.00,18.59
2602062111,Saturday,Post-EU,19.53,0.34,51.85,18.97,7,21,0,3.64,81.82,41.18,40.00,45.24,42,100.00,53.43
2602172105,Wednesday,Post-EU,19.86,0.11,57.50,19.22,13,42,1,3.35,80.00,57.14,40.62,53.62,69,60.00,49.97
2602192056,Friday,Post-EU,19.97,0.43,60.66,18.83,19,45,0,3.39,81.48,63.16,42.10,55.41,74,83.33,79.22
2602260109,Thursday,Pre-NA,20.40,-0.22,60.42,20.73,19,51,0,3.39,81.25,63.49,42.86,54.02,87,33.33,61.29
2603091433,Monday,Post-Asia,20.19,0.22,60.15,21.36,12,41,0,3.62,79.49,60.66,36.36,45.00,80,66.67,78.40
2603150014,Sunday,EU-NA,20.41,0.00,68.55,17.18,6,35,0,4.08,94.12,69.49,38.71,29.41,85,80.00,49.85
2603191900,Friday,Pre-EU,20.41,-0.01,55.56,17.07,9,49,0,3.69,96.77,53.85,35.09,47.06,85,50.00,21.62
2603231915,Tuesday,Pre-EU,20.40,-0.10,60.87,17.37,4,42,0,3.56,82.76,59.52,47.73,55.71,70,40.00,26.70
2603241355,Tuesday,Post-Asia,20.30,0.19,58.78,15.19,20,46,0,3.47,90.00,53.12,43.24,59.74,77,66.67,59.95
2604051746,Monday,Pre-EU,20.49,0.10,63.06,18.11,11,28,0,4.31,80.64,60.00,50.00,28.57,70,60.00,41.02
2604140505,Tuesday,Post-NA,20.59,0.01,56.25,14.04,4,26,0,4.19,90.91,53.33,36.67,38.10,63,50.00,12.59
2604160039,Thursday,Pre-NA,20.60,0.09,61.39,18.59,7,38,0,3.47,75.86,61.91,46.67,53.23,62,60.00,56.82
2604160643,Thursday,NA-Asia,20.69,-0.07,59.86,17.09,29,56,0,2.80,86.21,59.42,43.18,63.53,85,50.00,38.77
2604190937,Sunday,Pre-Asia,20.62,0.29,58.72,17.86,5,29,0,3.92,70.97,68.00,28.57,35.94,64,80.00,54.62
2604210049,Tuesday,Pre-NA,20.91,-0.21,60.81,18.41,9,54,0,3.53,71.05,60.61,52.27,55.56,90,33.33,50.73
2604220615,Wednesday,NA-Asia,20.70,0.10,65.31,24.82,14,33,0,3.72,90.48,61.54,52.00,50.00,64,60.00,77.21
2604231500,Friday,Post-Asia,20.80,0.40,63.98,22.11,23,49,0,3.78,87.50,64.71,45.45,49.51,103,83.33,93.33
2604281408,Tuesday,Post-Asia,21.20,-0.10,55.14,17.05,9,35,0,3.48,85.00,49.09,46.88,47.46,59,40.00,8.15
2605011141,Friday,Pre-Asia,21.11,-0.16,54.33,18.16,16,46,0,3.13,83.78,48.08,34.21,63.77,69,33.33,19.02
2605041844,Tuesday,Pre-EU,20.95,0.10,64.00,20.43,17,43,0,3.59,88.89,57.81,55.88,51.25,80,60.00,86.99
2605140757,Thursday,NA-Asia,21.05,0.00,62.89,19.98,19,57,0,3.63,80.64,70.15,45.90,54.00,100,50.00,69.53
2605142121,Friday,Post-EU,21.05,-0.10,66.18,19.88,8,29,0,4.32,94.12,67.86,43.48,34.44,90,40.00,55.72
2605170937,Sunday,Pre-Asia,20.96,-0.19,63.64,18.69,4,43,0,3.79,92.86,57.58,52.63,44.05,84,33.33,35.08
2605180606,Monday,NA-Asia,20.76,0.02,64.44,23.31,12,50,1,3.47,89.66,62.69,48.72,56.32,87,50.00,73.66
2605210713,Thursday,NA-Asia,20.78,0.38,68.85,17.08,10,43,0,3.85,100.00,59.26,57.90,46.43,84,83.33,63.72
2605241357,Sunday,Post-Asia,21.16,-0.28,59.26,17.65,13,40,0,3.41,82.76,66.67,32.43,54.69,64,20.00,12.01
2605251249,Monday,Post-Asia,20.88,-0.38,64.75,19.82,10,45,0,3.61,78.79,69.23,45.95,50.63,79,16.67,48.55
2605260823,Tuesday,NA-Asia,20.51,0.11,67.07,20.86,14,49,0,3.94,83.72,64.71,56.60,38.18,110,58.33,89.74
2605281355,Thursday,Post-Asia,20.61,-0.39,56.93,15.95,25,52,0,2.99,73.91,64.06,40.00,62.82,78,16.67,16.08
2605281609,Friday,Asia-EU,20.22,-0.18,50.00,14.98,11,37,0,3.66,65.39,55.17,36.54,47.06,68,33.33,13.19
2605281822,Friday,Pre-EU,20.04,-0.19,63.04,19.28,18,51,0,3.36,80.00,60.29,55.00,54.02,87,33.33,63.42
2606021421,Tuesday,Post-Asia,19.85,0.19,63.20,18.46,7,29,0,4.34,76.19,64.44,47.37,29.11,79,66.67,55.91
2606041825,Friday,Pre-EU,20.04,0.17,69.80,22.90,26,62,0,3.57,87.23,66.15,54.05,49.04,104,66.67,93.32
2606101804,Thursday,Pre-EU,20.22,0.09,66.37,20.48,9,35,0,3.65,91.30,67.35,51.22,46.67,75,60.00,70.41
2606102120,Thursday,Post-EU,20.30,-0.09,63.48,18.78,14,39,0,3.56,87.10,64.81,36.67,47.95,73,40.00,42.59
2606111401,Thursday,Post-Asia,20.22,-0.10,57.52,15.30,7,31,0,3.91,82.14,52.94,44.12,50.77,65,40.00,14.45
2606162318,Wednesday,EU-NA,20.12,-0.18,54.17,15.77,5,37,0,3.54,66.67,56.60,42.50,50.77,65,30.00,9.55
2606220004,Monday,EU-NA,19.94,-0.00,60.74,18.95,11,38,0,4.24,71.43,62.86,48.65,37.80,82,50.00,69.85
2606251715,Friday,Asia-EU,19.94,,49.58,14.19,10,29,0,3.66,77.78,55.32,26.67,47.46,59,60.00,
