Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601012239,Friday,EU-NA,14.46,-0.09,44.91,9.38,4,25,0,4.19,75.76,34.78,30.77,33.96,53,40.00,50.00
2601041434,Sunday,Post-Asia,14.37,-0.20,44.03,10.82,5,31,1,3.78,74.19,35.00,34.88,38.98,59,30.00,54.21
2601070149,Wednesday,Pre-NA,14.16,0.02,45.22,10.82,10,31,1,3.76,60.00,39.06,37.21,36.62,71,50.00,79.72
2601071634,Thursday,Asia-EU,14.18,-0.19,40.15,9.41,3,24,0,4.13,48.48,39.06,34.29,37.74,53,33.33,14.72
2601111925,Monday,Pre-EU,13.99,-0.01,47.62,9.92,1,30,0,4.07,72.97,37.88,40.91,22.86,70,50.00,65.77
2601161832,Saturday,Pre-EU,13.97,-0.10,40.21,13.76,10,26,0,3.18,64.00,34.78,26.92,56.41,39,40.00,49.71
2601170037,Saturday,Pre-NA,13.88,-0.09,45.98,8.58,6,34,0,4.11,75.00,39.24,31.37,32.50,80,41.67,56.73
2601180507,Sunday,Post-NA,13.79,0.11,50.41,12.67,9,40,0,3.39,79.31,43.86,37.14,52.46,61,60.00,87.83
2601222213,Friday,Post-EU,13.89,-0.11,49.57,12.78,6,34,0,3.48,66.67,43.14,40.00,46.55,58,40.00,59.83
2601261925,Tuesday,Pre-EU,13.79,0.29,51.96,16.64,8,30,0,3.72,66.67,46.15,50.00,43.40,53,80.00,83.31
2601291637,Friday,Asia-EU,14.07,-0.02,42.64,11.57,10,30,0,3.46,56.25,42.31,33.33,49.09,55,50.00,42.72
2602041207,Wednesday,Pre-Asia,14.05,0.39,40.58,12.05,8,28,0,3.75,62.96,39.34,30.00,42.86,56,83.33,57.38
2602051504,Friday,Post-Asia,14.45,0.18,51.56,11.98,1,24,0,4.42,84.38,43.33,36.11,28.79,66,66.67,71.84
2602172105,Wednesday,Post-EU,14.62,0.10,50.65,11.59,8,24,0,4.27,70.73,46.55,40.00,30.77,78,60.00,64.15
2602192056,Friday,Post-EU,14.73,-0.38,48.32,10.75,6,33,1,4.07,77.50,32.73,42.59,43.06,72,16.67,30.65
2602201401,Friday,Post-Asia,14.35,0.09,47.41,12.39,5,28,0,4.39,76.92,39.13,42.50,35.94,64,58.33,55.88
2603280947,Saturday,Pre-Asia,14.44,-0.20,31.91,7.90,3,10,0,4.20,50.00,24.49,32.00,33.33,30,33.33,7.16
2603301356,Monday,Post-Asia,14.24,0.00,48.09,14.66,12,36,0,3.78,60.61,45.31,41.18,50.79,63,50.00,70.65
2604051746,Monday,Pre-EU,14.24,0.09,55.86,13.66,6,23,0,4.58,83.87,48.00,40.00,24.19,62,60.00,79.08
2604091812,Friday,Pre-EU,14.34,0.09,42.73,10.37,7,17,0,4.32,60.87,44.90,31.11,28.00,50,60.00,34.73
2604102138,Saturday,Post-EU,14.43,-0.19,36.96,8.59,2,13,0,4.57,62.50,25.86,27.50,19.61,51,33.33,7.72
2604131902,Tuesday,Pre-EU,14.24,-0.19,44.31,12.48,3,31,0,3.99,71.11,34.21,34.78,39.19,74,33.33,43.47
2604141831,Wednesday,Pre-EU,14.04,0.18,56.15,14.08,7,27,0,4.21,78.79,53.97,38.23,35.62,73,66.67,90.77
2604171736,Saturday,Pre-EU,14.23,0.09,41.12,12.18,5,22,0,3.57,54.55,38.30,36.84,43.18,44,60.00,53.17
2604181641,Sunday,Asia-EU,14.32,-0.06,47.37,9.74,3,21,0,4.42,57.14,42.86,42.42,18.06,72,41.67,41.43
2604202224,Tuesday,Post-EU,14.26,0.28,45.97,10.54,6,25,0,3.96,70.83,44.62,31.43,29.82,57,80.00,58.30
2604221513,Thursday,Post-Asia,14.53,0.38,50.78,12.33,8,30,0,3.91,75.00,46.15,35.00,38.46,65,83.33,90.72
2604231500,Friday,Post-Asia,14.91,-0.38,40.46,9.97,5,25,1,4.46,81.82,33.33,26.41,28.57,70,16.67,17.80
2604241402,Friday,Post-Asia,14.53,-0.08,41.73,10.77,5,27,0,3.75,62.16,29.09,40.00,49.06,53,40.00,19.74
2604251437,Saturday,Post-Asia,14.45,0.17,45.40,11.93,11,34,0,3.76,77.78,35.80,36.96,50.00,74,66.67,82.72
2604281408,Tuesday,Post-Asia,14.62,-0.18,42.37,10.92,3,25,0,3.86,50.00,42.86,33.33,46.00,50,30.00,10.15
2604291352,Wednesday,Post-Asia,14.44,-0.20,35.46,9.58,3,24,0,4.02,60.61,28.17,27.03,34.00,50,33.33,7.95
2604301425,Thursday,Post-Asia,14.24,-0.02,42.95,9.58,11,30,0,3.93,69.23,36.99,31.37,40.00,70,50.00,46.78
2605041350,Monday,Post-Asia,14.22,-0.01,47.62,11.42,3,25,0,4.34,64.10,34.62,48.21,32.86,70,50.00,71.78
2605051409,Tuesday,Post-Asia,14.21,-0.17,49.63,11.23,5,22,1,4.35,75.00,39.06,43.24,22.06,68,30.00,56.95
2605062326,Thursday,EU-NA,14.04,-0.18,42.52,8.45,6,31,0,4.10,64.10,34.25,38.18,40.85,71,33.33,29.40
2605142121,Friday,Post-EU,13.87,-0.08,52.17,11.17,3,14,0,4.99,80.00,41.54,44.74,18.06,72,40.00,74.50
2605151746,Saturday,Pre-EU,13.79,-0.17,42.20,11.40,7,26,1,3.65,65.22,29.17,44.74,43.48,46,40.00,41.25
2605181508,Tuesday,Post-Asia,13.62,-0.28,37.96,10.75,8,24,0,3.96,64.52,32.79,26.67,46.15,52,25.00,30.11
2605201425,Wednesday,Post-Asia,13.34,-0.27,47.26,10.54,8,32,0,4.07,67.74,40.91,42.86,42.03,69,20.00,59.60
2605211429,Thursday,Post-Asia,13.07,0.09,48.50,9.66,3,23,0,4.68,72.97,42.68,39.58,24.69,81,58.33,64.25
2605221423,Friday,Post-Asia,13.16,0.17,43.44,12.17,5,28,0,3.89,80.64,26.79,37.14,37.74,53,66.67,59.44
2605241357,Sunday,Post-Asia,13.34,-0.09,44.14,10.05,7,23,0,4.10,76.92,40.38,24.24,32.65,49,40.00,33.06
2605251428,Monday,Post-Asia,13.24,0.18,41.51,9.81,6,28,0,4.42,70.73,32.88,28.89,31.82,66,66.67,50.43
2605261830,Wednesday,Pre-EU,13.43,-0.08,43.06,11.68,4,29,0,4.05,67.39,29.03,36.11,40.32,62,41.67,47.40
2605281609,Friday,Asia-EU,13.34,0.18,42.97,13.29,8,31,2,3.53,74.07,38.09,28.95,43.64,55,66.67,62.52
