Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601012239,Friday,EU-NA,5.38,0.11,29.00,4.82,1,10,0,4.66,48.00,21.15,26.09,27.59,29,60.00,50.00
2601020800,Friday,NA-Asia,5.49,-0.19,19.81,3.59,0,9,0,4.71,33.33,9.26,29.03,14.29,21,30.00,13.68
2601030526,Saturday,Post-NA,5.30,0.00,17.65,3.39,1,2,0,4.67,25.00,19.05,11.11,22.22,9,50.00,33.29
2601040610,Sunday,NA-Asia,5.30,0.41,25.15,4.50,4,10,0,4.58,45.45,15.85,26.79,23.26,43,83.33,89.45
2601051410,Monday,Post-Asia,5.71,-0.20,22.62,4.23,0,4,0,4.95,33.33,24.24,15.15,21.05,19,25.00,31.21
2601091400,Friday,Post-Asia,5.51,-0.01,28.24,4.12,1,5,0,5.35,48.00,18.57,33.33,13.51,37,50.00,63.86
2601120530,Monday,NA-Asia,5.49,0.49,30.19,5.42,2,7,2,4.94,52.94,16.28,34.78,21.88,32,100.00,87.66
2601151844,Friday,Pre-EU,5.98,0.28,30.14,5.91,2,12,0,4.34,40.54,26.98,26.09,22.73,44,75.00,88.83
2601161832,Saturday,Pre-EU,6.26,-0.28,21.82,4.16,1,9,0,4.54,22.73,15.56,27.91,20.83,24,20.00,14.82
2601171039,Saturday,Pre-Asia,5.98,0.10,34.62,5.50,2,7,0,2.67,44.44,18.18,50.00,66.67,9,100.00,73.21
2601171640,Sunday,Asia-EU,6.08,0.00,30.00,6.33,5,11,3,5.03,30.56,27.42,34.38,28.21,39,60.00,73.69
2601171642,Sunday,Asia-EU,6.08,0.10,30.00,6.33,5,11,3,5.03,30.56,27.42,34.38,28.21,39,60.00,70.79
2601181222,Sunday,Pre-Asia,6.17,0.40,31.62,4.45,2,11,0,5.12,50.00,22.73,28.12,16.28,43,83.33,69.63
2601201915,Wednesday,Pre-EU,6.57,0.37,27.41,4.41,1,9,0,4.89,33.33,26.03,25.00,13.51,37,83.33,52.81
2601221429,Thursday,Post-Asia,6.94,0.09,31.08,5.67,3,17,0,4.41,40.91,20.00,36.36,26.09,46,58.33,64.84
2601222213,Friday,Post-EU,7.03,-0.10,32.93,4.23,1,5,0,5.00,52.38,24.32,29.17,11.11,27,33.33,29.60
2601250718,Sunday,NA-Asia,6.94,0.01,25.68,4.83,1,9,3,5.21,40.00,22.37,18.92,13.16,38,50.00,22.23
2601250922,Sunday,Pre-Asia,6.94,0.19,29.34,4.93,3,11,0,5.26,28.95,29.76,28.89,18.37,49,66.67,63.96
2601271912,Wednesday,Pre-EU,7.13,-0.38,28.23,5.19,4,9,1,5.03,41.38,22.58,27.27,22.86,35,16.67,28.06
2601290607,Thursday,NA-Asia,6.75,0.08,37.68,6.80,2,10,0,5.29,42.86,36.84,33.33,13.46,52,60.00,80.25
2601291637,Friday,Asia-EU,6.84,0.26,26.60,4.55,0,9,1,4.24,32.00,27.78,21.21,28.00,25,80.00,33.71
2601301932,Saturday,Post-EU,7.10,0.21,24.82,3.02,1,6,1,5.23,36.11,14.75,29.55,20.00,35,66.67,32.03
2601310822,Saturday,NA-Asia,7.30,0.38,29.66,4.93,1,10,0,5.33,36.84,24.29,32.43,13.95,43,90.00,71.69
2601312317,Sunday,EU-NA,7.69,-0.09,28.77,5.33,1,7,0,4.48,33.33,18.18,40.00,28.57,21,33.33,37.30
2602021353,Monday,Post-Asia,7.60,-0.00,27.14,3.44,0,6,0,5.68,48.15,17.65,28.89,5.26,38,50.00,26.80
2602022029,Tuesday,Post-EU,7.60,0.00,21.80,4.17,1,6,3,5.15,26.19,16.67,25.00,11.76,34,50.00,13.66
2602221723,Monday,Asia-EU,7.60,0.38,25.29,3.96,2,10,0,5.21,39.39,13.10,35.09,18.18,44,83.33,53.50
2602251119,Wednesday,Pre-Asia,7.98,0.17,31.58,6.68,5,12,0,4.33,36.67,31.94,25.81,28.57,42,66.67,88.72
2602270633,Friday,NA-Asia,8.15,-0.27,26.87,3.46,0,7,0,5.47,30.00,22.41,30.56,19.44,36,25.00,16.34
2602271913,Saturday,Pre-EU,7.88,0.28,33.02,7.28,2,11,0,4.71,37.50,27.45,38.71,28.57,35,80.00,83.37
2602281106,Saturday,Pre-Asia,8.16,-0.54,25.00,5.44,3,8,2,4.88,33.33,18.46,30.23,27.27,33,0.00,31.49
2603040502,Wednesday,Post-NA,7.62,0.18,30.83,6.89,4,15,1,4.46,38.09,27.87,31.58,29.73,37,66.67,84.24
2603041445,Wednesday,Post-Asia,7.80,0.07,34.30,7.57,5,23,0,4.47,50.00,29.87,29.09,28.81,59,58.33,88.30
2603060551,Friday,NA-Asia,7.87,-0.03,29.30,4.85,2,7,1,5.30,42.86,28.57,20.00,17.39,46,50.00,41.18
2603070048,Saturday,Pre-NA,7.84,-0.32,27.83,6.04,3,11,0,4.69,40.00,25.45,20.00,28.12,32,16.67,37.37
2603071352,Saturday,Post-Asia,7.52,-0.19,34.82,4.97,1,9,1,5.44,57.58,26.00,24.14,23.08,39,30.00,31.07
2603090538,Monday,NA-Asia,7.34,0.01,37.79,6.99,4,13,2,5.65,40.48,34.18,41.18,15.38,65,50.00,82.97
2603091909,Tuesday,Pre-EU,7.34,0.16,29.93,5.20,2,13,0,4.71,45.16,27.78,20.59,24.39,41,66.67,46.36
2603101904,Wednesday,Pre-EU,7.51,0.45,31.03,6.24,3,10,1,4.69,42.10,25.81,28.89,11.11,45,91.67,68.61
2603122228,Friday,Post-EU,7.96,0.17,24.14,6.27,4,12,0,4.29,46.43,13.72,21.62,32.14,28,66.67,56.17
2603150014,Sunday,EU-NA,8.13,0.16,35.21,6.38,2,16,1,4.90,50.00,33.82,23.68,28.00,50,60.00,75.99
2603151012,Sunday,Pre-Asia,8.30,0.43,38.23,8.19,5,20,1,4.65,44.74,30.56,43.33,18.46,65,91.67,92.25
2603161028,Monday,Pre-Asia,8.73,-0.28,41.18,6.54,2,14,0,5.27,55.36,37.88,29.17,10.00,70,25.00,57.72
2603161343,Monday,Post-Asia,8.45,0.18,28.70,5.87,3,14,0,4.18,37.04,28.95,24.00,30.30,33,66.67,39.18
2603171003,Tuesday,Pre-Asia,8.63,-0.18,31.93,5.46,2,10,0,4.68,37.04,24.56,40.00,26.32,38,33.33,15.33
2603181441,Wednesday,Post-Asia,8.45,0.18,29.60,7.62,3,15,0,4.38,42.86,16.98,36.36,37.84,37,66.67,54.43
2603190419,Thursday,Post-NA,8.63,-0.17,34.62,7.63,2,10,0,4.76,55.26,21.15,32.50,26.67,45,33.33,52.34
2603191423,Thursday,Post-Asia,8.46,-0.37,33.59,6.65,4,19,0,4.07,52.17,19.36,43.48,34.09,44,16.67,37.87
2603211405,Saturday,Post-Asia,8.09,-0.28,28.12,5.14,0,10,1,4.85,22.73,23.68,36.11,22.22,27,0.00,5.54
2603220743,Sunday,NA-Asia,7.81,0.10,31.21,5.37,0,8,1,5.30,30.23,27.16,38.78,11.11,54,58.33,42.33
2603251007,Wednesday,Pre-Asia,7.91,-0.00,39.72,7.13,2,19,0,4.95,47.73,27.08,44.90,25.00,56,50.00,80.78
2603251345,Wednesday,Post-Asia,7.91,-0.19,29.61,5.44,2,10,0,5.24,57.90,14.93,27.66,13.33,45,33.33,22.69
2603261351,Thursday,Post-Asia,7.72,0.17,31.03,6.34,3,12,2,5.07,27.27,24.64,44.19,22.22,45,66.67,64.46
2603271909,Saturday,Pre-EU,7.89,-0.18,31.41,5.56,0,13,0,5.04,30.56,31.25,32.14,22.45,49,33.33,30.65
2603280947,Saturday,Pre-Asia,7.72,-0.19,21.28,5.77,3,7,0,4.10,35.00,20.41,12.00,35.00,20,33.33,20.59
2604190454,Sunday,Post-NA,7.53,0.35,34.08,6.66,1,11,3,5.33,50.00,25.32,34.48,14.75,61,83.33,80.96
2604190937,Sunday,Pre-Asia,7.88,0.09,27.03,4.56,0,8,0,5.10,46.67,25.53,11.77,16.67,30,60.00,35.07
2604191428,Sunday,Post-Asia,7.97,-0.18,37.04,7.63,2,17,1,4.56,45.95,29.85,41.94,24.00,50,33.33,64.79
2604211351,Tuesday,Post-Asia,7.79,0.00,21.37,4.72,2,9,0,4.25,25.93,18.03,23.26,21.43,28,50.00,27.69
2604211825,Wednesday,Pre-EU,7.79,-0.00,38.52,7.88,4,20,0,4.29,40.62,35.00,41.86,36.54,52,50.00,82.60
2604220615,Wednesday,NA-Asia,7.79,0.08,35.71,6.85,0,10,0,4.80,52.78,17.31,44.74,17.78,45,60.00,80.57
2604221047,Wednesday,Pre-Asia,7.87,0.27,30.29,6.25,4,14,0,4.66,33.33,33.75,22.64,24.53,53,75.00,71.70
2604231500,Friday,Post-Asia,8.13,0.36,32.92,7.13,6,14,2,4.81,37.50,24.71,45.45,24.53,53,83.33,88.02
2604250626,Saturday,NA-Asia,8.50,0.00,31.65,7.15,4,14,0,4.92,45.95,25.00,30.61,18.00,50,50.00,63.29
2604291352,Wednesday,Post-Asia,8.50,0.35,31.61,7.08,2,17,1,4.45,34.48,31.25,30.43,24.49,49,83.33,71.12
2606091358,Tuesday,Post-Asia,8.85,0.18,36.72,6.67,2,14,0,4.66,62.50,28.33,34.09,29.79,47,66.67,72.29
2606101804,Thursday,Pre-EU,9.03,-0.10,43.75,7.66,2,11,0,4.98,56.00,40.74,39.39,18.37,49,40.00,59.14
2606121827,Saturday,Pre-EU,8.93,0.53,35.26,6.40,2,13,1,5.18,50.00,28.36,34.55,14.55,55,100.00,65.03
2606131845,Sunday,Pre-EU,9.46,0.18,29.58,6.82,3,18,0,4.17,37.04,31.43,22.22,35.71,42,66.67,30.05
2606141419,Sunday,Post-Asia,9.64,0.16,37.35,8.19,5,18,1,4.97,55.81,29.49,33.33,19.35,62,66.67,70.18
2606172335,Thursday,EU-NA,9.80,0.00,38.94,8.10,3,16,0,4.46,50.00,32.69,41.46,27.27,44,20.00,52.55
2606180729,Thursday,NA-Asia,9.81,-0.28,38.16,7.23,1,13,1,5.00,47.06,35.00,36.21,8.62,58,50.00,43.76
2606180746,Thursday,NA-Asia,9.53,-0.19,30.50,8.53,6,17,0,4.21,35.00,21.43,37.78,34.88,43,33.33,36.84
2606192259,Saturday,EU-NA,9.34,0.35,41.03,8.18,2,14,2,4.96,61.11,37.50,37.14,27.08,48,90.00,74.04
2606212216,Monday,Post-EU,9.70,-0.18,24.75,4.77,0,7,0,4.76,31.25,16.00,34.29,28.00,25,25.00,8.51
2606220004,Monday,EU-NA,9.52,-0.08,34.48,7.48,2,9,0,4.72,45.83,25.00,40.00,22.50,40,40.00,33.79
2606250018,Thursday,EU-NA,9.44,-0.27,39.85,7.95,2,14,0,5.13,51.52,38.98,31.71,20.75,53,25.00,59.61
2606280057,Sunday,Pre-NA,9.16,0.37,41.98,10.20,3,23,0,4.25,46.88,35.94,48.57,32.73,55,83.33,91.18
2606282143,Monday,Post-EU,9.53,0.09,46.75,10.28,0,6,0,5.28,64.71,43.33,40.00,13.89,36,66.67,71.16
2606291809,Tuesday,Pre-EU,9.62,-0.01,30.99,5.89,2,13,1,4.66,52.78,23.53,23.68,27.27,44,50.00,30.81
2606300507,Tuesday,Post-NA,9.61,0.89,31.48,7.86,2,8,1,5.06,30.43,29.17,35.13,17.65,34,50.00,41.71
2608011411,Saturday,Post-Asia,10.50,0.01,37.74,8.74,6,28,0,4.08,46.81,37.14,28.57,38.33,60,50.00,70.31
2608021759,Monday,Pre-EU,10.51,-0.02,40.15,7.36,3,19,0,4.51,56.25,42.86,21.62,18.87,53,50.00,48.17
2608040513,Tuesday,Post-NA,10.50,0.33,43.41,10.44,2,19,0,4.57,58.97,38.71,32.14,19.64,56,66.67,87.91
2608041837,Wednesday,Pre-EU,10.83,0.83,44.17,8.87,4,20,0,4.94,65.85,35.13,39.58,20.83,72,83.33,90.51
2608220647,Saturday,NA-Asia,11.66,0.78,42.33,10.09,4,22,1,4.58,59.26,27.87,41.67,20.29,69,83.33,89.22
2608230141,Sunday,Pre-NA,12.44,-0.39,41.83,10.87,7,32,0,3.75,55.56,43.59,31.25,42.19,64,33.33,62.55
2608230631,Sunday,NA-Asia,12.05,-0.05,35.82,8.18,2,15,0,4.56,44.74,32.14,32.50,14.58,48,50.00,10.24
2608250450,Tuesday,Post-NA,12.00,-1.01,37.39,6.32,1,11,1,5.16,51.35,30.77,30.77,20.93,43,0.00,9.30
