Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601012239,Friday,EU-NA,1.70,-0.10,15.89,2.85,2,5,1,4.59,18.18,15.00,14.71,29.41,17,40.00,50.00
2601041434,Sunday,Post-Asia,1.60,0.30,19.54,1.60,0,2,0,5.82,29.63,13.16,18.18,5.88,17,80.00,59.59
2601071400,Wednesday,Post-Asia,1.90,-0.49,14.74,2.44,0,4,2,4.93,23.08,6.67,20.83,21.43,14,0.00,23.56
2601100227,Saturday,Pre-NA,1.41,-0.09,12.35,1.84,0,2,1,5.60,15.79,7.69,17.39,20.00,10,33.33,22.93
2601110220,Sunday,Pre-NA,1.31,0.01,17.22,1.57,0,3,3,5.81,20.00,12.12,22.22,7.69,26,50.00,56.85
2601111925,Monday,Pre-EU,1.32,-0.01,17.01,2.93,0,8,1,4.60,27.03,12.12,15.91,16.00,25,50.00,76.22
2601141731,Thursday,Pre-EU,1.31,0.10,15.04,2.34,0,6,0,4.70,35.29,11.47,2.63,25.00,20,60.00,64.63
2601151844,Friday,Pre-EU,1.41,0.28,15.75,3.85,4,7,2,4.22,29.73,6.35,17.39,34.78,23,75.00,80.55
2601161832,Saturday,Pre-EU,1.69,-0.10,18.58,2.77,1,4,0,4.91,33.33,11.77,19.51,14.29,21,40.00,62.12
2601170037,Saturday,Pre-NA,1.59,-0.09,17.82,2.51,0,10,3,4.81,36.36,11.39,11.77,19.35,31,41.67,48.71
2601170538,Saturday,NA-Asia,1.51,0.10,13.86,1.88,0,1,1,5.21,22.22,14.29,8.82,7.14,14,60.00,37.43
2601180507,Sunday,Post-NA,1.60,0.10,14.88,1.61,1,4,1,5.44,31.03,10.53,8.57,11.11,18,60.00,44.73
2601200030,Tuesday,Pre-NA,1.71,-0.28,10.39,1.53,1,4,1,5.25,19.57,8.57,2.63,12.50,16,25.00,13.35
2601201915,Wednesday,Pre-EU,1.43,0.20,16.54,2.17,1,5,2,5.46,25.00,10.61,19.36,13.64,22,66.67,62.31
2601220918,Thursday,Pre-Asia,1.63,0.20,14.46,1.55,0,4,2,5.87,31.11,5.71,11.36,17.39,23,66.67,47.16
2601221429,Thursday,Post-Asia,1.83,0.38,12.06,1.26,1,3,0,5.82,14.29,13.72,8.33,23.53,17,83.33,43.49
2601261925,Tuesday,Pre-EU,2.21,-0.18,13.59,2.23,0,3,1,5.29,17.86,9.52,15.15,21.43,14,30.00,27.32
2601270246,Tuesday,Post-NA,2.02,0.19,13.56,1.45,1,2,0,5.69,41.67,7.14,5.26,6.25,16,66.67,47.12
2601271912,Wednesday,Pre-EU,2.21,-0.18,12.93,2.12,2,3,4,5.40,20.00,13.56,6.25,13.33,15,33.33,32.09
2601290607,Thursday,NA-Asia,2.04,-0.08,21.01,1.55,0,0,4,6.28,28.57,17.54,17.95,0.00,29,40.00,44.31
2601291637,Friday,Asia-EU,1.95,-0.06,19.64,2.64,1,4,0,5.04,28.12,17.07,15.38,18.18,22,40.00,68.44
2601310822,Saturday,NA-Asia,1.89,-0.09,13.00,1.76,0,3,2,5.54,16.67,8.33,18.18,7.69,13,40.00,24.14
2602011015,Sunday,Pre-Asia,1.80,0.18,15.45,2.62,1,7,0,4.21,36.36,9.86,13.33,31.58,19,66.67,74.92
2602020929,Monday,Pre-Asia,1.98,-0.27,18.99,1.86,0,5,0,5.33,30.77,13.51,17.78,13.33,30,25.00,50.80
2602021353,Monday,Post-Asia,1.71,-0.01,12.68,1.63,0,3,3,5.89,22.22,11.11,9.30,16.67,18,50.00,32.00
2602032022,Wednesday,Post-EU,1.69,0.17,14.73,3.52,2,9,2,4.16,20.00,16.39,7.89,31.58,19,66.67,69.38
2602041343,Wednesday,Post-Asia,1.86,-0.20,4.96,0.78,0,2,2,5.00,10.35,3.45,2.94,16.67,6,33.33,10.84
2602051504,Friday,Post-Asia,1.67,0.01,16.35,1.95,0,4,6,5.88,25.71,6.45,20.97,15.38,26,50.00,60.51
2602101827,Wednesday,Pre-EU,1.67,-0.19,16.36,2.19,0,6,1,5.07,27.27,13.75,9.76,18.52,27,33.33,53.47
2602111343,Wednesday,Post-Asia,1.49,0.18,13.04,3.08,1,4,5,4.67,23.33,10.61,9.52,16.67,18,66.67,59.41
2602141404,Saturday,Post-Asia,1.67,0.36,9.94,2.37,1,6,4,4.75,24.32,3.39,7.69,37.50,16,83.33,52.82
2602161820,Tuesday,Pre-EU,2.02,-0.17,14.60,2.02,0,7,1,4.80,34.62,9.09,11.11,25.00,20,33.33,39.82
2602200526,Friday,Post-NA,1.85,-0.01,17.42,4.37,2,10,4,4.52,14.29,16.13,22.86,30.43,23,50.00,76.25
2602220459,Sunday,Post-NA,1.84,0.38,12.40,2.36,1,4,2,4.38,12.90,11.11,13.64,25.00,16,83.33,57.25
2602242110,Wednesday,Post-EU,2.22,0.02,28.43,7.44,7,16,0,3.72,34.48,24.53,30.00,44.83,29,50.00,77.66
2602250917,Wednesday,Pre-Asia,2.24,-0.11,15.25,1.76,0,4,3,5.63,26.09,11.77,10.87,7.41,27,41.67,32.81
2602251119,Wednesday,Pre-Asia,2.13,0.01,17.12,3.11,1,7,2,4.44,23.33,19.12,10.42,16.00,25,50.00,54.37
2602281808,Sunday,Pre-EU,2.14,-0.18,18.12,2.69,2,11,0,4.67,38.71,15.49,8.51,18.52,27,33.33,46.46
2603010710,Sunday,NA-Asia,1.96,-0.01,21.19,3.88,2,8,2,5.22,30.30,15.38,22.64,18.75,32,50.00,67.53
2603011742,Monday,Pre-EU,1.95,-0.09,18.88,1.99,1,4,0,5.52,25.00,16.67,17.02,11.11,27,40.00,42.85
2603021158,Monday,Pre-Asia,1.86,0.01,11.81,3.07,0,7,3,4.73,16.13,11.67,8.33,40.00,15,50.00,29.21
2603040502,Wednesday,Post-NA,1.87,0.07,21.43,3.73,4,8,0,5.43,33.33,18.29,21.62,20.00,30,58.33,85.44
2603050950,Thursday,Pre-Asia,1.95,0.00,13.47,2.19,2,4,0,5.16,22.50,12.90,5.13,21.05,19,50.00,25.98
2603071352,Saturday,Post-Asia,1.95,0.09,14.13,2.30,0,3,3,4.92,30.77,9.09,4.54,23.08,13,60.00,28.43
2603111035,Wednesday,Pre-Asia,2.04,-0.17,19.38,3.24,1,6,2,5.08,42.42,12.07,10.53,16.00,25,33.33,55.75
2603151012,Sunday,Pre-Asia,1.87,0.18,15.82,1.10,0,1,3,6.32,18.18,14.87,15.69,4.00,25,66.67,43.27
2603161608,Tuesday,Asia-EU,2.05,-0.01,22.15,3.10,3,8,2,5.11,50.00,14.09,15.09,20.00,35,50.00,76.00
2603171003,Tuesday,Pre-Asia,2.04,0.01,16.96,3.15,3,5,1,4.95,25.81,13.46,13.79,26.32,19,50.00,52.27
2603191423,Thursday,Post-Asia,2.05,0.39,21.69,2.19,1,6,2,5.50,35.71,15.58,19.15,13.89,36,83.33,69.08
2603211405,Saturday,Post-Asia,2.44,0.28,15.52,3.09,0,5,1,4.72,16.67,19.15,10.26,27.78,18,80.00,56.58
2603221422,Sunday,Post-Asia,2.72,0.29,14.79,2.24,2,5,1,5.33,32.35,5.48,17.14,19.05,21,80.00,43.37
2604160039,Thursday,Pre-NA,3.01,0.28,23.60,5.48,2,11,0,4.14,22.22,21.74,28.00,28.57,21,80.00,81.80
2604160643,Thursday,NA-Asia,3.29,0.01,21.61,2.27,2,5,1,5.14,31.82,15.62,20.37,20.00,35,50.00,47.66
2604170729,Friday,NA-Asia,3.30,-0.37,13.38,1.49,0,3,2,5.37,25.64,11.11,6.12,5.26,19,16.67,6.13
2604171403,Friday,Post-Asia,2.94,0.19,22.40,3.44,1,10,0,4.54,48.57,12.00,12.50,28.57,28,70.00,82.94
2604182112,Sunday,Post-EU,3.12,-0.01,22.86,2.83,1,7,1,5.12,25.64,26.15,13.89,15.62,32,50.00,50.70
2604190732,Sunday,NA-Asia,3.12,-0.19,19.82,3.35,2,10,0,4.36,22.86,16.67,20.59,31.82,22,33.33,45.54
2604200513,Monday,Post-NA,2.93,0.00,21.54,2.64,0,0,3,5.32,29.03,14.75,26.32,0.00,28,33.33,40.03
2604211013,Tuesday,Pre-Asia,2.93,0.08,21.01,2.90,0,5,2,5.56,20.00,23.53,18.18,16.00,25,60.00,56.10
2604211351,Tuesday,Post-Asia,3.01,-0.01,16.00,1.83,0,2,0,5.65,23.53,12.96,13.51,5.00,20,50.00,19.72
2604220615,Wednesday,NA-Asia,3.00,-0.06,19.51,2.90,1,5,2,5.58,51.52,8.51,6.98,16.67,24,60.00,44.00
2604221513,Thursday,Post-Asia,2.94,-0.18,17.69,2.47,2,6,2,5.38,13.89,23.81,12.50,23.08,26,33.33,29.77
2604241402,Friday,Post-Asia,2.76,-0.08,15.75,3.02,1,7,1,4.65,32.43,5.46,14.29,35.00,20,40.00,38.14
2604250912,Saturday,Pre-Asia,2.68,-0.00,16.67,3.63,3,7,1,4.83,30.77,11.59,16.33,33.33,24,50.00,57.99
