Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601012239,Friday,EU-NA,11.56,-0.57,28.77,4.50,0,6,0,4.57,50.00,25.71,11.11,23.81,21,0.00,50.00
2601050032,Monday,Pre-NA,10.99,0.24,34.38,7.52,4,20,1,3.98,50.00,24.14,38.09,45.45,44,66.67,91.09
2601071634,Thursday,Asia-EU,11.23,-0.22,34.09,7.18,2,18,0,4.40,45.45,28.12,34.29,35.56,45,33.33,70.47
2601091400,Friday,Post-Asia,11.01,-0.43,31.54,7.50,3,16,1,4.58,44.83,29.82,25.00,31.71,41,16.67,49.43
2601110220,Sunday,Pre-NA,10.58,0.23,34.40,8.63,7,22,3,3.91,42.50,29.63,32.26,41.86,43,66.67,87.46
2601141731,Thursday,Pre-EU,10.82,0.11,34.96,8.64,5,19,1,3.93,53.12,27.45,30.00,32.56,43,60.00,88.28
2601171640,Sunday,Asia-EU,10.93,0.00,33.62,6.25,0,10,0,4.56,53.12,24.07,30.00,23.08,39,20.00,38.43
2601171642,Sunday,Asia-EU,10.93,-0.01,33.62,6.25,0,10,0,4.56,53.12,24.07,30.00,23.08,39,20.00,37.52
2601181029,Sunday,Pre-Asia,10.93,-0.34,31.82,5.93,0,5,0,4.50,46.67,25.00,22.22,14.29,14,50.00,24.06
2601280021,Wednesday,EU-NA,10.59,0.00,30.36,7.46,4,10,0,3.53,50.00,19.23,31.25,41.18,17,100.00,59.16
2601290015,Thursday,EU-NA,10.59,0.42,42.19,9.03,7,20,1,4.09,65.85,31.48,30.30,35.19,54,83.33,93.73
2602041207,Wednesday,Pre-Asia,11.01,0.09,32.17,8.75,8,20,4,3.98,44.74,28.12,26.83,34.78,46,58.33,68.17
2602081905,Monday,Pre-EU,11.10,-0.21,36.84,10.06,6,31,0,3.53,50.00,28.38,45.95,51.02,49,33.33,67.32
2602091853,Tuesday,Pre-EU,10.89,-0.10,32.77,7.84,6,17,0,4.36,37.50,31.48,31.71,35.90,39,40.00,39.36
2602130043,Friday,Pre-NA,10.79,0.31,36.80,13.50,16,33,1,2.87,50.00,28.30,36.11,67.39,46,75.00,91.29
2602141404,Saturday,Post-Asia,11.10,0.41,32.30,9.66,4,21,0,4.08,59.46,23.73,24.61,34.62,52,83.33,70.82
2602251119,Wednesday,Pre-Asia,11.50,0.01,30.82,8.94,6,23,2,3.49,40.00,26.47,31.25,46.67,45,50.00,40.95
2603091909,Tuesday,Pre-EU,11.51,0.18,33.58,6.53,4,18,0,4.43,58.06,29.17,20.59,19.57,46,66.67,50.11
2603101904,Wednesday,Pre-EU,11.70,-0.50,30.70,6.09,1,10,0,4.83,42.86,29.63,21.88,25.71,35,8.33,7.85
2603150014,Sunday,EU-NA,11.19,-0.50,28.81,8.14,4,17,0,3.82,42.86,27.08,21.43,35.29,34,0.00,8.72
2603252225,Thursday,Post-EU,10.69,-0.01,33.33,8.40,3,12,2,4.37,47.06,29.23,28.20,23.91,46,50.00,47.91
2603282207,Sunday,Post-EU,10.68,0.10,34.04,7.88,2,11,0,4.47,44.83,32.43,25.00,34.38,32,60.00,47.47
2603301356,Monday,Post-Asia,10.78,0.59,44.80,13.54,11,26,1,3.79,57.14,43.64,34.29,44.64,56,100.00,93.87
2604021354,Thursday,Post-Asia,11.37,0.19,30.23,9.46,4,19,0,4.03,37.04,33.33,21.43,38.46,39,66.67,49.80
2604051746,Monday,Pre-EU,11.56,0.10,35.13,10.77,4,18,1,3.87,46.43,39.13,21.62,33.33,39,60.00,67.73
2604091812,Friday,Pre-EU,11.65,0.09,37.17,9.79,4,19,0,4.07,50.00,33.33,32.50,33.33,42,60.00,79.30
2604102138,Saturday,Post-EU,11.75,-0.21,31.69,7.70,2,13,1,4.56,44.12,31.25,22.73,20.00,45,33.33,18.90
2604131902,Tuesday,Pre-EU,11.54,0.20,29.41,8.35,3,13,0,4.17,52.63,15.38,24.14,34.29,35,66.67,37.91
2604160039,Thursday,Pre-NA,11.74,-0.09,35.29,9.02,5,20,0,4.07,46.88,31.67,29.63,40.48,42,40.00,44.07
2604202224,Tuesday,Post-EU,11.65,0.10,39.13,8.81,5,18,0,4.02,50.00,37.78,34.78,31.11,45,60.00,58.74
2604211013,Tuesday,Pre-Asia,11.75,0.31,27.93,8.23,2,16,1,3.87,52.00,25.00,14.71,25.81,31,80.00,31.60
2604221047,Wednesday,Pre-Asia,12.06,-0.38,38.38,7.72,2,23,0,4.55,53.49,39.24,26.98,22.54,71,16.67,36.56
2604250912,Saturday,Pre-Asia,11.68,0.20,37.19,9.66,3,19,1,4.07,47.83,37.10,30.56,42.22,45,66.67,80.73
2604271857,Tuesday,Pre-EU,11.89,-0.57,33.90,7.39,3,21,0,4.50,43.64,34.72,22.00,25.00,60,0.00,27.33
2604281408,Tuesday,Post-Asia,11.31,0.20,33.93,8.99,6,19,1,4.05,38.89,33.33,32.43,39.47,38,70.00,66.24
2605011141,Friday,Pre-Asia,11.51,-0.39,37.31,9.83,8,26,0,3.68,58.62,33.33,27.78,42.00,50,16.67,65.26
2605031350,Sunday,Post-Asia,11.12,0.10,34.13,9.52,6,23,0,3.86,39.39,29.41,35.71,34.88,43,60.00,67.42
2605051837,Wednesday,Pre-EU,11.22,-0.02,39.85,9.93,5,28,0,3.67,45.45,38.36,37.50,34.55,55,50.00,83.03
2605061846,Thursday,Pre-EU,11.20,0.57,32.06,8.96,6,23,0,3.71,53.33,25.00,26.67,52.38,42,100.00,55.73
2605081802,Saturday,Pre-EU,11.77,0.01,42.22,9.51,5,22,2,4.33,47.22,45.45,30.30,33.33,57,50.00,69.51
