Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601012239,Friday,EU-NA,1.96,0.54,21.19,2.90,1,5,2,5.00,26.32,19.30,17.39,16.00,25,100.00,50.00
2601050032,Monday,Pre-NA,2.50,-0.19,21.97,2.45,1,5,2,5.31,31.43,13.56,26.32,13.79,29,33.33,36.07
2601060529,Tuesday,Post-NA,2.31,-0.22,15.89,2.43,1,4,0,5.08,18.42,15.25,14.81,8.33,24,33.33,22.07
2601110220,Sunday,Pre-NA,2.09,0.19,18.52,2.22,1,4,1,5.44,28.12,13.33,18.61,12.00,25,66.67,48.66
2601120530,Monday,NA-Asia,2.28,-0.21,16.96,1.68,0,2,0,5.84,25.00,17.86,9.38,5.26,19,30.00,15.47
2601161832,Saturday,Pre-EU,2.07,0.12,9.35,2.31,1,5,0,4.00,18.18,5.56,9.68,50.00,10,60.00,45.79
2601170037,Saturday,Pre-NA,2.19,0.31,20.13,2.16,0,6,0,5.31,37.84,13.64,16.07,15.62,32,75.00,73.04
2601222213,Friday,Post-EU,2.50,-0.11,17.95,2.75,1,6,1,4.62,27.78,11.77,16.67,19.05,21,40.00,42.81
2601250922,Sunday,Pre-Asia,2.39,0.21,17.36,2.43,1,5,3,5.69,26.32,13.10,17.78,10.34,29,66.67,62.43
2601270546,Tuesday,NA-Asia,2.59,-0.01,20.00,3.48,3,9,0,5.07,16.00,18.57,30.00,23.33,30,50.00,70.05
2601291637,Friday,Asia-EU,2.58,0.28,12.77,2.10,1,4,0,4.75,8.00,22.22,6.06,33.33,12,80.00,43.94
2602011015,Sunday,Pre-Asia,2.87,0.19,11.38,1.46,0,3,0,4.57,22.73,5.63,16.67,21.43,14,66.67,34.79
2602020929,Monday,Pre-Asia,3.06,0.57,20.55,3.85,3,12,1,4.07,23.68,20.97,17.39,26.67,30,100.00,92.04
2602021353,Monday,Post-Asia,3.63,-0.01,15.49,2.45,1,4,4,5.46,22.22,15.28,11.63,13.64,22,50.00,30.40
2602071029,Saturday,Pre-Asia,3.62,0.01,17.81,2.77,2,7,2,5.04,22.86,14.49,19.05,23.08,26,50.00,53.92
2602101827,Wednesday,Pre-EU,3.62,0.00,15.72,2.12,1,6,2,5.16,15.91,16.18,14.89,12.00,25,50.00,25.17
2602242110,Wednesday,Post-EU,3.63,-0.52,13.68,1.80,0,4,0,5.00,17.24,13.16,10.71,23.08,13,0.00,11.98
2602281808,Sunday,Pre-EU,3.10,0.01,16.47,2.37,2,10,1,4.71,15.91,11.84,24.00,25.00,28,50.00,48.08
2603070048,Saturday,Pre-NA,3.12,0.38,15.56,3.17,1,6,2,4.86,31.25,6.06,18.92,28.57,21,83.33,65.75
2603081005,Sunday,Pre-Asia,3.50,-0.01,19.38,3.35,3,4,1,5.44,25.71,12.96,22.50,16.00,25,50.00,68.19
2603191900,Friday,Pre-EU,3.49,-0.01,18.88,2.50,0,4,0,5.30,40.62,14.49,9.52,7.41,27,50.00,52.64
2603282207,Sunday,Post-EU,3.48,0.29,14.96,1.77,0,1,1,5.37,25.00,7.27,16.67,5.26,19,80.00,39.13
2603302139,Tuesday,Post-EU,3.77,-0.00,20.31,2.58,0,7,4,5.27,33.33,8.47,27.27,19.23,26,50.00,56.10
2604202224,Tuesday,Post-EU,3.77,-0.11,13.93,1.87,0,3,1,4.88,18.75,8.51,16.28,11.76,17,40.00,16.15
2604252135,Sunday,Post-EU,3.66,-0.19,19.01,1.98,0,3,1,5.35,21.74,21.05,14.63,8.70,23,33.33,39.29
2605012120,Saturday,Post-EU,3.47,-0.00,13.47,1.98,0,5,0,5.00,20.00,10.17,11.90,15.79,19,50.00,34.13
2605092137,Sunday,Post-EU,3.47,0.18,21.51,2.71,9,15,0,4.30,31.43,20.51,16.95,40.54,37,66.67,88.90
2605101217,Sunday,Pre-Asia,3.65,0.19,22.39,3.66,0,7,1,4.83,20.83,20.69,25.00,23.33,30,66.67,82.34
2605170937,Sunday,Pre-Asia,3.84,-0.01,16.48,3.22,0,5,2,4.67,25.00,12.50,18.52,33.33,15,50.00,36.11
2605172131,Monday,Post-EU,3.83,0.20,19.29,3.31,1,8,1,4.70,30.00,14.75,18.37,22.22,27,66.67,81.13
2606042357,Friday,EU-NA,4.03,-0.38,19.73,1.53,0,2,3,5.86,23.08,19.18,17.14,3.45,29,16.67,31.54
2606092310,Wednesday,EU-NA,3.65,0.22,22.22,2.73,3,8,0,5.19,36.67,13.46,22.86,26.92,26,66.67,85.11
2606111819,Friday,Pre-EU,3.86,-0.48,15.04,1.56,1,1,3,5.65,22.22,13.33,11.54,5.88,17,0.00,6.64
2606160010,Tuesday,EU-NA,3.39,-0.29,17.81,2.66,2,7,2,4.73,25.00,13.72,12.82,34.62,26,20.00,37.40
2606172335,Thursday,EU-NA,3.10,-0.29,16.67,2.04,0,3,1,5.53,25.00,12.77,15.38,21.05,19,30.00,13.72
2606190524,Friday,Post-NA,2.81,0.18,17.56,2.18,1,6,0,4.87,25.00,16.95,14.58,17.39,23,66.67,47.49
2606250018,Thursday,EU-NA,2.99,0.37,20.54,3.08,0,3,0,5.35,30.43,14.81,22.86,8.70,23,83.33,79.78
2607012343,Thursday,EU-NA,3.37,0.18,21.26,3.65,2,12,1,4.26,20.51,15.52,33.33,29.63,27,66.67,89.17
2607031356,Friday,Post-Asia,3.54,-0.04,14.39,1.17,0,1,3,6.25,10.71,17.74,12.24,5.00,20,33.33,14.64
2607052058,Monday,Post-EU,3.50,0.46,16.24,2.72,2,7,1,4.53,18.52,16.33,14.63,31.58,19,66.67,63.18
2607061413,Monday,Post-Asia,3.96,0.22,14.91,1.54,2,3,1,5.83,34.21,8.75,9.30,8.33,24,58.33,48.91
2607100722,Friday,NA-Asia,4.18,-0.64,17.95,2.51,0,3,0,4.86,31.58,21.21,3.85,14.29,14,0.00,38.42
2607101409,Friday,Post-Asia,3.54,-0.04,9.48,1.14,0,3,0,5.09,14.81,9.26,5.71,18.18,11,50.00,26.83
2607130856,Monday,Pre-Asia,3.50,-0.60,12.50,2.19,1,2,0,4.57,9.09,4.54,21.74,14.29,7,0.00,21.89
2607162340,Friday,EU-NA,2.90,0.01,18.46,2.16,1,4,0,5.50,25.81,15.15,18.18,8.33,24,50.00,66.96
2607171630,Saturday,Asia-EU,2.90,0.41,16.56,1.76,2,4,2,5.85,31.11,14.06,6.25,7.69,26,66.67,62.89
2607191532,Monday,Asia-EU,3.32,-1.07,17.24,2.47,3,6,3,5.16,21.88,17.14,13.95,12.00,25,0.00,52.42
