Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601050032,Monday,Pre-NA,7.32,0.20,29.93,4.91,0,18,2,4.61,36.59,26.32,28.20,34.15,41,66.67,50.00
2601141731,Thursday,Pre-EU,7.51,-0.32,32.61,5.48,3,12,0,4.80,35.13,37.50,21.62,20.00,45,20.00,57.70
2601171640,Sunday,Asia-EU,7.20,0.00,23.77,5.80,2,12,0,4.41,26.92,20.37,26.19,31.03,29,60.00,52.19
2601171642,Sunday,Asia-EU,7.20,0.10,23.77,5.80,2,12,0,4.41,26.92,20.37,26.19,31.03,29,60.00,53.52
2601222213,Friday,Post-EU,7.30,0.01,27.97,4.96,2,11,0,4.39,27.27,32.14,22.50,27.27,33,50.00,38.86
2603021158,Monday,Pre-Asia,7.31,0.19,29.79,5.41,1,9,0,5.24,38.89,31.34,18.42,14.29,42,66.67,73.54
2603041445,Wednesday,Post-Asia,7.50,-0.08,24.32,3.58,1,8,0,5.06,33.33,21.21,21.74,13.89,36,41.67,19.72
2603052048,Friday,Post-EU,7.42,0.10,28.87,5.12,2,14,2,4.51,40.00,33.78,10.53,19.51,41,58.33,66.30
2603091433,Monday,Post-Asia,7.52,0.29,26.24,3.60,0,4,2,5.51,34.38,25.00,22.22,8.11,37,75.00,41.80
2603181441,Wednesday,Post-Asia,7.81,0.20,25.60,4.37,0,9,0,5.00,35.71,24.53,20.45,21.88,32,66.67,38.86
2603191900,Friday,Pre-EU,8.01,0.41,27.08,4.89,1,10,0,4.92,25.81,28.79,25.53,25.64,39,83.33,68.78
2603211405,Saturday,Post-Asia,8.43,-0.20,36.67,7.27,2,7,0,5.04,8.33,51.72,31.58,22.73,22,0.00,53.60
2603221422,Sunday,Post-Asia,8.23,0.09,30.99,4.48,2,12,0,5.09,29.41,39.44,16.22,20.45,44,60.00,62.08
2603302139,Tuesday,Post-EU,8.32,0.01,34.69,4.77,2,13,1,5.08,40.62,33.80,31.82,19.61,51,50.00,54.26
2604021354,Thursday,Post-Asia,8.33,-0.01,27.01,7.10,2,15,1,4.38,25.00,29.03,25.58,32.43,37,50.00,40.39
2604021830,Friday,Pre-EU,8.33,-0.11,26.14,5.88,2,9,0,4.83,42.10,27.50,13.79,30.43,23,40.00,36.69
2604031350,Friday,Post-Asia,8.21,-0.19,21.74,5.37,4,10,1,4.17,32.26,19.70,17.07,26.67,30,33.33,27.05
2604090014,Thursday,EU-NA,8.02,0.39,30.72,6.07,2,12,1,4.84,32.43,35.37,21.28,17.65,51,83.33,85.91
2604160039,Thursday,Pre-NA,8.41,0.09,37.59,7.93,3,23,1,4.34,44.19,39.39,25.00,32.08,53,60.00,82.17
2604182112,Sunday,Post-EU,8.50,-0.01,26.43,3.51,1,9,1,4.97,30.77,29.23,16.67,13.51,37,50.00,18.57
2604251437,Saturday,Post-Asia,8.49,0.02,21.57,3.66,1,11,0,4.70,25.00,23.68,14.63,21.21,33,50.00,28.74
2604271857,Tuesday,Pre-EU,8.52,-0.57,30.51,6.71,3,18,1,4.50,30.91,34.72,24.00,29.63,54,0.00,58.27
2604281408,Tuesday,Post-Asia,7.94,0.20,25.89,5.64,3,10,0,4.59,33.33,24.56,24.32,31.03,29,70.00,52.52
2605011447,Friday,Post-Asia,8.14,0.00,25.95,3.95,1,10,2,5.02,27.27,29.49,19.15,17.07,41,50.00,36.44
2605031350,Sunday,Post-Asia,8.14,0.10,27.41,6.44,5,13,1,4.35,26.47,30.00,24.39,32.43,37,60.00,69.96
2605062326,Thursday,EU-NA,8.25,0.19,30.07,4.67,4,12,0,4.74,30.56,32.79,26.09,25.58,43,66.67,69.30
2605092118,Sunday,Post-EU,8.44,0.19,26.72,6.25,4,11,1,4.83,32.43,30.16,12.90,28.57,35,66.67,61.11
2605101217,Sunday,Pre-Asia,8.63,0.01,24.16,4.83,1,13,1,4.42,25.71,28.79,16.67,27.78,36,50.00,18.61
2605111054,Monday,Pre-Asia,8.64,-0.29,27.13,5.57,3,16,0,4.14,44.44,24.56,20.00,37.14,35,25.00,45.11
2605120938,Tuesday,Pre-Asia,8.36,-0.27,27.82,3.60,1,12,0,4.64,40.00,25.68,21.43,11.90,42,25.00,34.69
2605121815,Wednesday,Pre-EU,8.08,-0.28,25.47,4.84,3,9,0,4.63,32.26,27.27,16.13,22.22,27,20.00,19.70
2605221423,Friday,Post-Asia,7.80,-0.18,28.97,3.98,0,10,0,5.36,42.86,33.33,9.76,11.90,42,33.33,38.44
2605222104,Saturday,Post-EU,7.62,-0.09,29.91,5.06,0,10,0,4.77,44.44,31.25,19.05,20.00,35,40.00,48.98
2605281609,Friday,Asia-EU,7.53,0.00,24.50,6.58,6,18,0,3.95,42.31,25.00,15.09,43.24,37,50.00,64.85
2606021421,Tuesday,Post-Asia,7.53,0.19,31.20,5.37,0,8,1,5.31,42.86,22.22,28.95,15.38,39,66.67,77.15
2606051750,Saturday,Pre-EU,7.72,0.19,24.04,5.09,4,8,0,4.32,41.18,24.49,15.79,28.00,25,60.00,52.93
2606071818,Monday,Pre-EU,7.90,-0.54,35.81,7.04,1,17,0,4.62,48.72,33.80,26.32,24.53,53,0.00,58.69
2606121404,Friday,Post-Asia,7.36,-0.10,28.71,5.28,3,7,0,4.90,50.00,27.27,17.14,24.14,29,40.00,56.75
2606160010,Tuesday,EU-NA,7.26,-0.26,18.70,2.79,1,6,1,4.52,27.27,14.63,16.33,26.09,23,40.00,19.66
2607140816,Tuesday,NA-Asia,7.00,0.38,25.20,4.46,1,11,1,4.13,26.67,28.33,18.18,25.81,31,66.67,39.69
2607151601,Thursday,Asia-EU,7.38,-0.87,32.33,5.67,2,18,1,4.37,38.23,34.85,21.21,30.23,43,16.67,57.55
2607191532,Monday,Asia-EU,6.51,0.41,27.20,5.13,1,16,0,4.38,32.14,22.81,30.00,29.41,34,66.67,56.01
2607201816,Tuesday,Pre-EU,6.92,0.41,35.25,6.86,4,18,0,3.98,30.30,41.82,29.41,27.91,43,66.67,94.13
2607231357,Thursday,Post-Asia,7.33,0.41,28.30,4.72,2,9,0,4.97,34.48,27.45,23.08,26.67,30,66.67,50.43
2607241519,Saturday,Post-Asia,7.73,0.00,27.98,5.36,3,16,0,4.38,28.57,32.35,22.41,31.91,47,50.00,62.94
2607251329,Saturday,Post-Asia,7.73,-0.37,31.03,6.67,3,8,0,4.11,46.15,31.03,18.75,33.33,18,16.67,51.20
2607271346,Monday,Post-Asia,7.37,-0.31,24.67,4.65,4,14,0,4.19,27.78,26.47,19.57,24.32,37,33.33,27.11
2607291348,Wednesday,Post-Asia,7.05,-0.35,19.15,3.46,1,8,0,4.30,22.22,21.05,15.79,29.63,27,33.33,9.09
2608022131,Monday,Post-EU,6.70,0.29,27.54,4.02,1,4,1,5.16,52.63,18.18,17.65,15.79,19,83.33,43.05
2608041558,Wednesday,Asia-EU,6.99,0.03,34.43,7.17,2,17,0,4.38,53.12,37.26,15.38,23.81,42,50.00,81.23
2608171415,Monday,Post-Asia,7.02,0.62,26.47,6.63,3,16,1,4.00,36.67,28.07,18.37,30.56,36,83.33,71.75
