Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601012239,Friday,EU-NA,7.42,0.11,29.00,5.54,2,11,0,4.52,36.00,23.08,34.78,31.03,29,60.00,50.00
2601030030,Saturday,Pre-NA,7.53,0.20,29.71,5.54,5,13,0,4.95,45.00,19.30,29.27,26.83,41,66.67,66.76
2601030526,Saturday,Post-NA,7.73,0.38,25.68,6.69,5,18,1,3.92,29.03,27.27,20.00,42.11,38,83.33,67.03
2601050032,Monday,Pre-NA,8.11,0.18,34.31,7.23,7,20,1,4.34,43.90,31.58,28.20,38.30,47,66.67,71.38
2601070149,Wednesday,Pre-NA,8.29,-0.01,27.13,6.13,4,17,0,4.09,40.00,17.86,28.95,42.86,35,50.00,22.66
2601110220,Sunday,Pre-NA,8.28,0.18,33.33,7.18,5,19,1,4.36,40.62,30.00,32.56,31.11,45,66.67,76.46
2601111925,Monday,Pre-EU,8.46,0.20,30.00,5.39,2,11,0,4.87,43.59,22.22,27.03,28.21,39,66.67,40.85
2601141731,Thursday,Pre-EU,8.66,0.09,25.00,4.51,2,11,2,4.59,25.81,21.67,29.73,18.75,32,60.00,9.94
2601170037,Saturday,Pre-NA,8.75,-0.18,28.98,6.39,8,23,0,3.92,31.82,25.29,33.33,33.33,51,33.33,52.33
2601170538,Saturday,NA-Asia,8.57,0.10,31.67,5.11,0,8,0,4.95,51.61,26.98,19.23,13.16,38,60.00,37.32
2601172250,Sunday,EU-NA,8.67,-0.37,26.32,4.50,3,8,0,4.51,35.90,19.61,25.58,22.86,35,16.67,10.08
2601180507,Sunday,Post-NA,8.30,-0.10,28.45,6.89,7,17,0,3.61,40.00,31.58,14.71,45.45,33,40.00,46.03
2601180726,Sunday,NA-Asia,8.20,0.01,24.17,6.28,2,12,0,4.24,34.78,19.05,26.47,27.59,29,50.00,36.71
2601222213,Friday,Post-EU,8.21,0.30,28.07,5.91,4,13,0,4.09,39.13,19.67,36.67,31.25,32,80.00,61.25
