Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601041141,Sunday,Pre-Asia,12.90,-0.01,39.37,12.40,10,26,0,3.48,58.62,34.92,31.43,48.00,50,50.00,50.00
2601050723,Monday,NA-Asia,12.90,0.22,35.85,6.48,8,27,0,3.65,52.27,30.30,28.57,38.60,57,66.67,45.52
2601160828,Friday,NA-Asia,13.12,-0.20,44.38,10.13,1,25,0,4.47,48.89,47.13,34.78,22.78,79,33.33,55.32
2601250718,Sunday,NA-Asia,12.92,0.01,39.19,9.62,4,16,0,4.72,48.57,35.53,37.84,25.86,58,50.00,38.71
2601290607,Thursday,NA-Asia,12.93,0.09,46.38,9.26,0,15,1,4.95,50.00,49.12,38.46,14.06,64,60.00,58.95
2601291310,Thursday,Post-Asia,13.02,0.04,39.70,8.12,2,20,0,4.54,36.00,46.15,31.71,17.31,52,50.00,23.77
2602022029,Tuesday,Post-EU,13.06,-0.21,30.43,7.62,3,14,0,4.86,33.33,32.20,26.09,21.43,42,33.33,10.42
2602200526,Friday,Post-NA,12.85,-0.01,48.92,11.94,4,26,0,4.28,48.89,50.00,47.06,27.94,68,50.00,77.21
2603060551,Friday,NA-Asia,12.84,-0.03,37.58,9.33,4,21,0,4.64,45.71,37.66,31.11,30.51,59,50.00,40.55
2603090538,Monday,NA-Asia,12.81,-0.21,31.61,4.22,1,8,3,5.98,42.50,25.37,31.25,12.24,49,33.33,4.19
2603190419,Thursday,Post-NA,12.61,0.20,40.69,9.34,1,18,1,4.71,43.33,31.75,50.00,23.73,59,66.67,73.68
2603220743,Sunday,NA-Asia,12.81,0.17,37.21,9.82,2,12,1,4.58,46.15,32.73,34.29,20.83,48,66.67,57.22
2604030641,Friday,NA-Asia,12.98,-0.59,33.11,6.16,2,12,3,5.44,48.72,29.69,25.00,24.00,50,0.00,5.61
2604050751,Sunday,NA-Asia,12.39,-0.08,34.64,6.31,0,10,0,5.13,55.26,23.19,34.78,7.55,53,41.67,20.49
2604100734,Friday,NA-Asia,12.30,0.21,36.42,6.33,2,13,0,4.97,37.14,38.16,33.33,10.17,59,70.00,57.26
2604110724,Saturday,NA-Asia,12.51,-0.01,42.34,9.04,1,15,0,4.83,33.33,42.65,50.00,18.97,58,50.00,81.10
2604131902,Tuesday,Pre-EU,12.50,-0.20,40.12,11.56,6,28,1,4.04,44.44,34.21,45.65,34.33,67,33.33,65.60
2604160039,Thursday,Pre-NA,12.30,-0.10,41.52,11.14,7,23,1,3.84,38.89,42.86,42.42,38.78,49,40.00,62.82
2604180738,Saturday,NA-Asia,12.21,-0.36,42.50,9.59,2,17,0,4.94,60.00,36.23,37.26,19.12,68,16.67,62.40
2604190937,Sunday,Pre-Asia,11.84,-0.28,31.68,10.27,3,17,1,3.75,21.74,32.56,37.14,34.38,32,20.00,33.43
2604230508,Thursday,Post-NA,11.56,-0.27,30.70,8.21,8,20,1,3.66,28.57,27.66,35.90,40.00,35,20.00,19.93
2604240452,Friday,Post-NA,11.30,0.00,46.32,11.83,8,34,0,3.67,51.43,43.08,47.22,34.92,63,50.00,93.37
2604250626,Saturday,NA-Asia,11.30,-0.29,44.38,8.35,3,17,1,5.28,58.54,40.26,39.22,17.33,75,25.00,40.16
