Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601011011,Thursday,Pre-Asia,1.70,0.58,15.38,1.45,0,2,0,5.50,24.14,10.71,15.56,5.00,20,100.00,50.00
2601012239,Friday,EU-NA,2.29,-0.11,23.73,3.60,1,10,1,4.96,36.36,19.57,17.95,28.57,28,40.00,60.04
2601021357,Friday,Post-Asia,2.18,0.11,17.05,1.62,0,1,2,6.13,27.27,11.11,19.05,6.67,15,60.00,17.04
2601030030,Saturday,Pre-NA,2.29,0.22,13.60,2.66,2,6,0,4.76,17.07,5.77,21.88,23.53,17,66.67,48.26
2601041434,Sunday,Post-Asia,2.51,0.23,16.85,3.57,0,6,1,4.40,33.33,8.33,11.54,40.00,15,70.00,56.33
2601050032,Monday,Pre-NA,2.73,0.21,17.52,1.75,0,6,2,5.62,24.39,10.53,20.51,16.67,24,66.67,41.56
2601050723,Monday,NA-Asia,2.94,-0.00,16.78,1.52,1,7,1,5.25,36.36,6.06,18.18,8.33,24,50.00,31.67
2601071634,Thursday,Asia-EU,2.94,-0.42,14.63,1.65,0,4,1,5.44,11.11,13.23,21.43,5.56,18,16.67,12.81
2601161832,Saturday,Pre-EU,2.52,0.12,9.35,2.38,1,6,1,3.90,27.27,3.70,6.45,50.00,10,60.00,42.67
2601170538,Saturday,NA-Asia,2.65,0.11,13.86,2.28,0,3,0,5.14,27.78,8.16,14.71,14.29,14,60.00,41.65
2601172250,Sunday,EU-NA,2.76,-0.42,15.04,1.60,0,3,0,5.30,23.08,7.84,16.28,15.00,20,16.67,26.23
2601180507,Sunday,Post-NA,2.34,-0.11,11.21,1.02,0,2,0,5.23,16.00,8.77,11.77,7.69,13,40.00,16.71
2601190743,Monday,NA-Asia,2.23,-0.42,15.58,2.01,1,4,3,5.38,25.93,7.96,25.64,12.50,24,16.67,42.05
2601222213,Friday,Post-EU,1.81,0.71,13.33,1.05,0,2,0,5.94,16.13,10.91,14.71,12.50,16,40.00,38.38
2601231040,Friday,Pre-Asia,2.52,-1.42,13.33,3.00,0,5,2,4.56,25.00,3.77,16.13,31.25,16,0.00,34.69
2601241100,Saturday,Pre-Asia,1.10,0.21,17.69,3.08,1,6,5,4.96,32.26,14.06,11.43,17.39,23,66.67,85.58
2601250922,Sunday,Pre-Asia,1.31,0.21,16.20,2.02,1,2,1,5.78,26.83,14.71,6.06,8.70,23,66.67,79.92
2601270546,Tuesday,NA-Asia,1.52,0.10,14.57,2.30,0,8,3,4.82,18.18,11.27,16.67,27.27,22,58.33,70.94
2601280021,Wednesday,EU-NA,1.62,0.00,14.29,3.61,2,5,0,3.62,14.29,11.54,18.75,37.50,8,100.00,69.80
2601290015,Thursday,EU-NA,1.62,0.00,20.14,2.87,2,5,2,5.00,32.43,17.46,12.82,17.86,28,33.33,76.00
2601291310,Thursday,Post-Asia,1.62,-0.11,16.30,3.38,0,9,0,4.41,20.00,11.94,21.05,22.73,22,41.67,64.20
2601291637,Friday,Asia-EU,1.51,-0.62,12.38,0.97,0,1,1,6.00,18.18,11.63,10.00,7.69,13,10.00,11.13
2601301932,Saturday,Post-EU,0.88,-0.21,17.50,2.02,0,4,0,5.43,34.38,11.11,11.77,19.05,21,33.33,45.33
