Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601012239,Friday,EU-NA,6.95,0.09,34.07,6.17,4,11,1,4.97,54.55,29.55,24.00,25.81,31,60.00,50.00
2601021357,Friday,Post-Asia,7.04,-0.30,29.63,4.30,0,8,1,5.33,35.90,29.82,23.08,12.50,40,20.00,20.72
2601061413,Tuesday,Post-Asia,6.74,0.38,22.58,4.02,1,8,3,5.17,33.33,24.68,11.11,11.43,35,83.33,39.27
2601071400,Wednesday,Post-Asia,7.12,-0.49,22.11,5.05,1,9,0,4.48,30.77,20.00,16.67,28.57,21,0.00,25.84
2601071634,Thursday,Asia-EU,6.64,0.18,23.14,5.59,5,10,1,4.25,35.71,18.64,20.59,28.57,28,66.67,62.85
2601111925,Monday,Pre-EU,6.82,0.21,21.48,5.45,3,15,3,4.24,32.14,15.87,22.73,48.28,29,66.67,55.03
2601141731,Thursday,Pre-EU,7.03,-0.10,20.93,4.99,3,10,1,3.96,40.74,14.29,17.95,33.33,27,40.00,26.56
2601172250,Sunday,EU-NA,6.93,0.18,25.71,7.18,6,21,2,3.58,28.57,23.08,27.66,47.22,36,66.67,83.59
2601191349,Monday,Post-Asia,7.11,0.00,20.61,4.78,3,12,1,4.26,30.77,14.75,19.36,33.33,27,50.00,26.83
2601201915,Wednesday,Pre-EU,7.11,0.20,30.83,5.47,2,12,1,4.73,47.22,28.79,16.13,21.95,41,66.67,79.92
2601221429,Thursday,Post-Asia,7.32,-0.11,25.20,6.07,5,14,0,3.84,45.16,21.21,13.33,50.00,32,41.67,61.34
2601222213,Friday,Post-EU,7.21,0.29,22.81,4.76,3,10,0,4.12,26.09,21.31,23.33,34.62,26,80.00,47.83
2601261925,Tuesday,Pre-EU,7.50,-0.28,28.57,6.49,2,15,2,4.45,32.35,26.23,28.95,23.68,38,20.00,55.64
2601271912,Wednesday,Pre-EU,7.22,-0.38,24.19,4.49,2,9,1,4.97,41.38,20.97,15.15,33.33,30,16.67,19.17
2601301932,Saturday,Post-EU,6.84,0.18,26.92,4.31,0,11,3,4.86,38.71,22.06,25.81,25.71,35,66.67,56.43
2601311622,Sunday,Asia-EU,7.02,0.01,24.70,4.74,2,18,0,4.42,43.24,20.00,18.52,29.27,41,50.00,45.86
2602032022,Wednesday,Post-EU,7.03,0.00,18.10,4.88,5,9,3,4.00,34.62,14.00,12.50,38.10,21,50.00,24.96
2602041343,Wednesday,Post-Asia,7.04,-0.00,17.74,4.24,1,9,1,4.04,17.86,14.75,22.86,27.27,22,50.00,25.17
