Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2605230657,Saturday,NA-Asia,15.50,-0.36,46.03,11.21,4,20,0,4.40,41.94,49.09,45.00,27.59,58,20.00,50.00
2605300457,Saturday,Post-NA,15.14,0.00,42.22,9.32,2,22,1,4.75,50.00,35.21,50.00,19.30,57,50.00,40.17
2606011821,Tuesday,Pre-EU,15.14,-0.24,39.05,7.61,1,23,1,4.67,43.59,35.71,41.30,27.27,66,33.33,27.39
2606041825,Friday,Pre-EU,14.90,0.01,48.30,13.45,9,37,0,3.89,56.41,51.52,35.71,39.44,71,50.00,92.48
2606050623,Friday,NA-Asia,14.91,-0.45,42.10,11.17,4,20,0,4.42,44.68,43.84,34.38,23.44,64,16.67,42.49
2606051750,Saturday,Pre-EU,14.46,-0.24,42.45,11.34,7,24,0,3.60,51.72,37.78,40.62,46.67,45,40.00,58.69
2606060457,Saturday,Post-NA,14.22,0.00,48.65,12.72,3,22,1,4.72,51.22,42.62,54.35,29.17,72,50.00,82.79
2606071818,Monday,Pre-EU,14.22,0.12,51.33,12.05,5,30,0,4.38,58.14,48.53,48.72,25.97,77,58.33,90.90
2606091358,Tuesday,Post-Asia,14.34,0.23,44.53,11.65,5,29,0,3.98,45.83,48.33,38.64,43.86,57,66.67,67.75
2606110424,Thursday,Post-NA,14.57,-0.11,53.33,12.69,1,24,0,4.21,61.91,44.90,60.00,25.00,56,40.00,56.62
2606111401,Thursday,Post-Asia,14.46,0.54,47.02,12.11,7,31,0,3.86,51.52,44.44,47.37,31.75,63,100.00,84.95
2606121827,Saturday,Pre-EU,14.99,-0.63,47.59,11.32,6,25,1,4.63,56.52,40.54,50.00,30.38,79,0.00,40.07
2606130712,Saturday,NA-Asia,14.36,0.10,44.67,7.56,1,10,0,5.21,63.27,41.54,25.00,4.48,67,60.00,42.33
