Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601020800,Friday,NA-Asia,10.36,0.19,46.55,7.78,1,15,0,4.96,44.12,47.17,48.28,14.81,54,70.00,50.00
2601030030,Saturday,Pre-NA,10.54,-0.19,32.09,8.18,4,22,0,3.86,28.57,40.00,24.32,44.19,43,33.33,30.39
2601031038,Saturday,Pre-Asia,10.35,-0.01,37.67,8.16,3,15,1,4.78,54.55,33.78,30.77,20.00,55,50.00,49.10
2601040610,Sunday,NA-Asia,10.34,-0.23,34.15,7.62,2,26,0,3.98,32.35,30.95,41.30,39.29,56,33.33,26.35
2601051410,Monday,Post-Asia,10.11,0.56,37.62,9.90,1,16,1,4.39,32.14,35.42,45.45,26.83,41,100.00,65.71
2601060529,Tuesday,Post-NA,10.67,0.01,39.24,10.01,5,24,1,4.23,48.48,35.13,39.22,32.26,62,50.00,66.58
2601061413,Tuesday,Post-Asia,10.68,0.00,34.01,6.03,1,14,1,5.22,41.94,33.78,28.57,20.00,50,50.00,16.04
2601141731,Thursday,Pre-EU,10.68,0.10,35.67,8.03,6,22,2,4.30,46.34,34.33,28.57,32.14,56,60.00,53.29
2601151844,Friday,Pre-EU,10.77,0.00,37.12,8.70,3,22,0,4.06,39.39,40.32,29.73,32.65,49,50.00,48.08
2601171640,Sunday,Asia-EU,10.78,0.00,46.22,11.66,4,24,0,4.18,68.75,36.84,40.00,34.55,55,80.00,81.12
2601171642,Sunday,Asia-EU,10.78,0.29,46.22,11.66,4,24,0,4.18,68.75,36.84,40.00,34.55,55,80.00,90.85
2601220918,Thursday,Pre-Asia,11.07,-0.37,36.73,8.30,6,19,0,4.44,38.23,33.33,40.00,27.78,54,16.67,26.30
2601222213,Friday,Post-EU,10.70,0.29,33.33,9.00,6,16,0,3.47,42.86,26.32,33.33,50.00,30,80.00,51.17
2601270246,Tuesday,Post-NA,10.99,-0.24,37.32,6.94,4,15,0,4.66,45.45,28.12,44.44,24.53,53,25.00,26.66
2601301932,Saturday,Post-EU,10.75,-0.20,40.50,7.12,3,17,2,4.65,52.00,32.79,45.71,20.41,49,33.33,25.16
2602021353,Monday,Post-Asia,10.55,-0.00,39.29,10.20,4,22,1,4.54,48.15,33.82,42.22,29.09,55,50.00,63.15
2602052053,Friday,Post-EU,10.54,-0.17,31.01,8.31,5,20,1,3.92,32.26,31.34,29.03,32.50,40,33.33,14.86
2602081133,Sunday,Pre-Asia,10.37,0.19,33.55,6.67,4,23,0,3.98,44.23,34.38,17.95,40.38,52,66.67,47.71
2602081905,Monday,Pre-EU,10.56,0.11,37.29,8.68,7,16,0,4.07,44.44,30.43,40.00,34.09,44,58.33,52.43
2602170916,Tuesday,Pre-Asia,10.67,-0.17,29.41,6.03,3,12,1,4.67,36.84,25.97,28.95,31.11,45,33.33,9.97
2602181622,Thursday,Asia-EU,10.50,0.27,35.67,6.95,6,17,0,4.68,31.03,39.51,31.91,26.79,56,75.00,64.50
2602201401,Friday,Post-Asia,10.76,0.01,41.55,10.92,8,20,2,4.64,45.45,42.47,36.11,33.90,59,50.00,75.42
2602271913,Saturday,Pre-EU,10.77,-0.10,42.86,11.46,2,19,0,4.08,50.00,43.48,39.29,33.33,36,40.00,53.98
2603060551,Friday,NA-Asia,10.67,-0.19,35.48,8.35,4,16,1,4.60,34.38,30.88,41.82,25.45,55,33.33,33.10
2603070048,Saturday,Pre-NA,10.49,0.36,42.22,11.80,5,24,0,3.95,43.75,39.39,45.95,31.58,57,83.33,91.14
2603101904,Wednesday,Pre-EU,10.85,0.18,32.06,6.56,1,12,0,4.64,27.59,31.67,35.71,21.43,42,66.67,32.62
2603150014,Sunday,EU-NA,11.03,0.28,35.43,8.36,5,15,1,4.38,44.00,36.07,29.27,26.67,45,80.00,47.39
2603151012,Sunday,Pre-Asia,11.31,0.44,40.00,8.09,4,22,0,4.71,44.74,38.89,38.33,26.47,68,91.67,68.89
2603252225,Thursday,Post-EU,11.75,-0.18,38.93,11.93,4,25,0,4.06,40.74,43.28,29.73,39.22,51,33.33,52.55
2603301356,Monday,Post-Asia,11.56,-0.27,33.78,5.90,3,15,2,5.00,35.56,29.51,38.09,26.00,50,25.00,6.54
2603311011,Tuesday,Pre-Asia,11.30,-0.35,38.35,7.68,3,14,0,5.20,50.00,34.92,34.21,17.65,51,16.67,25.26
2604041052,Saturday,Pre-Asia,10.94,0.18,32.79,8.61,5,21,1,4.38,45.24,29.49,28.57,23.33,60,66.67,52.50
2604151003,Wednesday,Pre-Asia,11.12,0.19,36.67,7.73,4,14,1,4.87,55.88,30.77,31.37,20.00,55,66.67,54.30
