Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601070149,Wednesday,Pre-NA,5.31,-0.48,18.63,2.65,1,7,1,4.90,17.78,19.05,18.87,26.67,30,16.67,50.00
2601181222,Sunday,Pre-Asia,4.83,-0.33,20.86,2.53,2,7,3,5.41,36.59,13.75,19.05,11.76,34,25.00,64.68
2602071029,Saturday,Pre-Asia,4.50,0.00,20.55,2.27,1,4,1,5.50,28.57,20.29,14.29,6.67,30,50.00,59.34
2602081133,Sunday,Pre-Asia,4.50,0.20,15.67,2.89,3,7,7,4.57,25.00,10.94,13.33,28.57,21,66.67,54.57
2602151918,Monday,Pre-EU,4.70,0.23,15.31,2.60,0,7,0,4.53,11.11,18.52,12.82,23.53,17,66.67,51.70
2602170916,Tuesday,Pre-Asia,4.93,-0.22,18.75,2.92,1,5,2,5.48,30.56,11.11,20.00,22.22,27,33.33,49.02
2602181622,Thursday,Asia-EU,4.71,-0.41,19.72,3.34,0,10,2,4.82,25.71,8.77,28.00,25.00,28,16.67,51.73
2602200526,Friday,Post-NA,4.30,-0.01,15.83,1.65,0,3,0,5.77,22.22,13.33,11.77,9.09,22,50.00,38.86
2602210737,Saturday,NA-Asia,4.29,-0.62,15.69,2.15,0,4,1,5.62,13.79,17.07,14.29,16.67,24,0.00,15.94
2602242110,Wednesday,Post-EU,3.67,-0.45,12.31,1.38,0,4,3,4.94,22.86,10.00,5.71,25.00,16,16.67,7.67
2603151901,Monday,Pre-EU,3.21,-0.18,28.80,5.08,2,8,3,5.17,38.09,22.64,26.67,13.89,36,33.33,71.31
2603161028,Monday,Pre-Asia,3.03,-0.10,15.43,2.32,1,6,4,5.60,21.74,12.68,13.33,12.00,25,41.67,40.42
2603161905,Tuesday,Pre-EU,2.93,-0.60,21.85,2.47,0,3,0,5.69,21.88,25.00,14.81,15.38,26,0.00,46.11
2604151003,Wednesday,Pre-Asia,2.33,-0.20,17.61,2.69,0,2,2,4.96,33.33,16.22,8.16,7.14,28,33.33,58.70
2604160039,Thursday,Pre-NA,2.13,-0.09,15.97,2.36,0,5,2,5.21,37.50,8.33,7.41,15.79,19,40.00,42.35
2604161835,Friday,Pre-EU,2.04,0.01,19.63,2.65,1,6,3,5.47,26.79,13.43,20.00,6.25,32,50.00,74.74
2604190454,Sunday,Post-NA,2.05,-0.19,19.77,3.45,2,5,5,5.76,24.39,16.44,20.69,11.76,34,33.33,76.92
2604202224,Tuesday,Post-EU,1.86,0.10,21.74,2.54,0,4,0,5.08,29.17,17.78,21.74,8.00,25,60.00,68.69
2604260432,Sunday,Post-NA,1.96,0.30,22.84,3.88,1,5,3,5.24,35.71,19.74,20.69,8.11,37,75.00,88.39
2604291816,Thursday,Pre-EU,2.27,-0.01,20.00,3.64,3,14,0,4.39,19.44,21.43,17.78,27.27,33,50.00,78.49
2605041350,Monday,Post-Asia,2.26,-0.17,18.00,3.05,0,6,3,4.96,25.00,14.75,16.98,14.81,27,33.33,32.14
2605041844,Tuesday,Pre-EU,2.09,-0.10,16.54,3.01,0,8,2,4.67,24.00,17.91,8.57,28.57,21,40.00,31.89
2605070715,Thursday,NA-Asia,1.99,-0.38,14.52,1.92,0,4,2,5.39,19.36,12.96,12.82,11.11,18,16.67,10.15
2605090627,Saturday,NA-Asia,1.61,0.00,18.11,2.60,0,3,1,4.87,15.62,18.03,20.59,4.35,23,50.00,44.18
2605091003,Saturday,Pre-Asia,1.61,0.18,13.53,1.13,2,8,0,4.87,18.92,15.58,7.14,30.43,23,66.67,44.22
2605101217,Sunday,Pre-Asia,1.79,-0.20,19.36,3.56,1,8,0,4.88,21.74,20.64,15.79,20.83,24,33.33,51.53
2605120938,Tuesday,Pre-Asia,1.59,0.09,20.26,3.00,1,11,0,4.52,31.43,13.41,25.00,25.81,31,58.33,78.82
2605131344,Wednesday,Post-Asia,1.68,0.20,19.30,2.69,0,3,1,5.54,20.69,15.25,26.92,9.09,22,66.67,57.61
2605160437,Saturday,Post-NA,1.88,0.21,17.59,2.50,1,4,3,5.68,22.22,14.29,18.75,21.05,19,60.00,49.70
2605170727,Sunday,NA-Asia,2.09,0.10,15.00,2.59,1,8,1,4.22,13.04,16.07,14.63,33.33,18,60.00,48.28
2605170937,Sunday,Pre-Asia,2.19,-0.19,16.67,3.28,1,6,2,4.96,25.00,10.61,21.05,22.73,22,33.33,43.61
2605180606,Monday,NA-Asia,2.01,0.02,14.07,1.65,0,2,0,5.63,13.79,13.43,15.38,5.26,19,50.00,29.70
