Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601021357,Friday,Post-Asia,6.64,0.10,24.47,4.64,1,4,0,4.83,18.18,33.33,12.50,17.39,23,60.00,50.00
2601041141,Sunday,Pre-Asia,6.74,0.21,28.23,6.88,2,16,1,4.17,20.00,28.57,35.48,40.00,35,66.67,79.59
2601041434,Sunday,Post-Asia,6.95,-0.10,23.53,5.30,2,10,0,4.00,29.17,13.64,32.35,37.50,24,40.00,21.28
2601051410,Monday,Post-Asia,6.85,0.61,23.85,5.84,1,9,1,4.73,25.00,22.92,24.24,30.77,26,100.00,58.84
2601091400,Friday,Post-Asia,7.46,0.22,21.66,3.37,0,10,1,5.18,26.67,20.00,21.15,20.59,34,66.67,33.16
2601151844,Friday,Pre-EU,7.68,0.30,23.29,4.43,1,9,0,4.47,40.54,20.64,13.04,20.59,34,75.00,50.97
2601161832,Saturday,Pre-EU,7.98,0.09,25.66,4.93,1,8,1,4.28,39.13,24.07,19.44,27.59,29,60.00,40.30
2601171053,Saturday,Pre-Asia,8.07,-0.60,22.56,4.89,0,12,5,4.97,35.13,18.57,19.30,24.32,37,0.00,22.75
2601181029,Sunday,Pre-Asia,7.47,0.10,25.98,4.55,3,8,0,5.00,29.63,20.00,34.29,21.21,33,60.00,61.50
2601201116,Tuesday,Pre-Asia,7.57,-0.00,25.00,4.90,2,12,1,4.17,17.86,18.18,40.54,36.67,30,50.00,42.11
2601291310,Thursday,Post-Asia,7.57,0.03,26.72,4.50,0,11,0,5.09,36.00,30.77,14.63,25.71,35,50.00,46.12
2602161820,Tuesday,Pre-EU,7.60,-0.00,25.00,4.62,2,19,0,4.32,27.78,19.28,33.33,26.83,41,50.00,51.37
2602181622,Thursday,Asia-EU,7.59,-0.38,32.39,5.58,1,11,0,4.74,48.57,28.07,26.00,26.09,46,16.67,61.82
2602231123,Monday,Pre-Asia,7.21,0.00,26.41,4.73,0,15,0,4.43,28.89,20.55,34.15,23.81,42,33.33,57.26
2602242110,Wednesday,Post-EU,7.21,-0.18,25.49,5.41,5,11,1,4.23,31.03,18.87,35.00,30.77,26,50.00,56.00
2602251119,Wednesday,Pre-Asia,7.03,0.18,24.81,5.54,3,13,0,4.24,26.67,26.39,19.36,33.33,33,66.67,67.93
2602271913,Saturday,Pre-EU,7.22,0.10,26.04,4.78,1,5,0,4.76,44.44,15.22,26.09,20.00,25,60.00,52.95
2603021158,Monday,Pre-Asia,7.31,0.20,25.00,7.82,4,16,1,4.29,23.53,32.56,19.15,48.39,31,66.67,64.25
2603021923,Tuesday,Pre-EU,7.51,0.20,25.66,4.55,2,7,0,4.76,33.33,21.15,26.47,20.69,29,66.67,45.84
2603041445,Wednesday,Post-Asia,7.71,0.00,23.02,3.78,1,7,0,4.90,16.00,23.33,26.83,13.79,29,50.00,21.36
2603050950,Thursday,Pre-Asia,7.71,-0.20,24.65,5.03,4,13,1,4.54,27.78,28.07,18.37,28.57,35,33.33,33.14
2603061048,Friday,Pre-Asia,7.51,0.01,33.11,6.84,10,22,0,4.32,47.50,26.79,29.09,34.00,50,50.00,83.14
2603081005,Sunday,Pre-Asia,7.52,-0.08,23.97,4.06,0,8,0,5.17,28.57,24.66,20.00,22.86,35,41.67,22.44
2603091909,Tuesday,Pre-EU,7.44,-0.39,18.38,3.04,1,8,1,4.68,19.44,21.31,12.82,32.00,25,16.67,5.14
2603101021,Tuesday,Pre-Asia,7.05,0.02,30.87,5.60,2,13,1,4.85,25.00,33.33,30.61,23.91,46,50.00,70.37
2603161028,Monday,Pre-Asia,7.07,-0.10,29.63,5.48,1,13,0,4.98,39.13,29.58,20.00,16.67,48,41.67,60.98
2603161343,Monday,Post-Asia,6.98,0.20,31.73,7.85,4,17,0,3.88,40.00,31.11,26.47,48.48,33,66.67,81.70
2603171003,Tuesday,Pre-Asia,7.17,-0.19,21.85,4.61,3,9,1,4.50,29.63,19.30,20.00,34.62,26,33.33,15.07
2603181441,Wednesday,Post-Asia,6.98,0.20,25.62,4.68,2,11,2,5.00,36.59,24.64,18.00,21.95,41,66.67,52.48
2603191100,Thursday,Pre-Asia,7.18,-0.20,29.69,6.23,5,17,0,4.16,31.25,37.50,17.50,34.21,38,33.33,63.72
2603261019,Thursday,Pre-Asia,6.99,0.01,29.56,4.74,4,18,0,4.64,31.71,28.39,29.73,31.91,47,50.00,64.97
2603282207,Sunday,Post-EU,6.99,0.29,26.79,5.84,0,11,0,4.37,20.00,29.79,30.00,23.33,30,80.00,65.46
2603301356,Monday,Post-Asia,7.28,-0.28,27.71,4.36,1,12,1,4.93,36.17,25.61,21.62,21.74,46,25.00,30.70
2603311011,Tuesday,Pre-Asia,7.00,-0.01,24.53,5.41,2,11,4,4.82,37.14,19.74,22.92,25.64,39,50.00,33.15
2604011400,Wednesday,Post-Asia,6.99,-0.18,26.40,6.04,2,8,3,5.12,50.00,26.32,10.00,24.24,33,33.33,33.09
2604021354,Thursday,Post-Asia,6.80,-0.18,19.38,5.53,3,9,0,4.28,23.33,18.64,17.50,32.00,25,33.33,27.17
2604031350,Friday,Post-Asia,6.62,-0.18,20.29,5.22,2,12,1,3.96,19.36,18.18,24.39,28.57,28,33.33,23.68
2604061424,Monday,Post-Asia,6.44,0.00,22.22,4.85,2,15,1,4.34,35.90,18.75,17.31,34.21,38,50.00,43.36
2604091812,Friday,Pre-EU,6.44,0.09,26.55,5.42,2,10,0,4.73,39.29,22.22,22.50,23.33,30,60.00,65.05
2604111356,Saturday,Post-Asia,6.53,-0.02,23.01,6.02,3,6,1,4.65,13.79,23.64,31.03,26.92,26,50.00,55.96
2604121013,Sunday,Pre-Asia,6.51,0.09,25.56,4.44,0,4,0,4.83,39.13,23.81,16.00,13.04,23,60.00,50.71
