Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601020800,Friday,NA-Asia,17.15,0.10,52.94,12.26,1,6,0,4.22,50.00,50.00,58.33,16.67,18,100.00,50.00
2601031038,Saturday,Pre-Asia,17.25,-0.01,55.48,15.96,9,30,0,4.21,60.61,60.81,41.03,33.33,81,50.00,67.75
2601060529,Tuesday,Post-NA,17.24,0.01,51.35,15.55,9,38,0,3.76,48.57,59.72,39.02,44.74,76,50.00,55.61
2601100227,Saturday,Pre-NA,17.25,-0.10,40.74,12.41,4,16,0,3.88,36.84,41.03,43.48,45.45,33,33.33,11.87
2601120530,Monday,NA-Asia,17.15,0.10,50.96,15.52,4,31,0,3.53,55.56,67.57,32.50,39.62,53,60.00,68.75
2601121031,Monday,Pre-Asia,17.25,-0.10,41.25,10.66,4,15,0,3.97,37.50,53.12,29.17,48.48,33,33.33,12.77
2601170538,Saturday,NA-Asia,17.15,0.30,52.80,15.31,5,31,1,3.97,37.50,67.19,37.84,39.39,66,80.00,85.56
2601222213,Friday,Post-EU,17.45,-0.30,55.17,14.97,8,41,0,3.50,50.00,60.00,50.00,60.94,64,20.00,65.15
2601231040,Friday,Pre-Asia,17.15,0.19,51.09,17.03,5,37,0,3.66,45.71,55.22,48.57,41.43,70,66.67,80.27
2601241100,Saturday,Pre-Asia,17.34,0.20,50.00,15.31,12,29,0,3.77,38.71,56.25,48.57,40.00,65,66.67,80.66
2601250922,Sunday,Pre-Asia,17.55,0.20,55.09,15.64,10,44,0,4.10,47.37,64.29,44.44,39.13,92,66.67,90.62
2601261925,Tuesday,Pre-EU,17.75,-0.11,46.39,13.50,5,20,0,3.87,44.44,51.02,40.00,35.56,45,40.00,11.56
2601271912,Wednesday,Pre-EU,17.64,0.38,52.35,14.10,11,36,2,3.94,46.88,58.33,46.67,37.18,78,83.33,72.29
2601310822,Saturday,NA-Asia,18.02,-0.21,46.03,10.67,3,20,0,4.72,44.44,56.36,34.09,29.31,58,30.00,7.64
2603070048,Saturday,Pre-NA,17.82,0.38,45.19,12.94,4,29,0,3.84,50.00,48.48,35.13,37.70,61,83.33,36.65
2603081005,Sunday,Pre-Asia,18.20,-0.40,41.67,10.60,5,20,0,4.27,47.50,45.59,27.78,30.00,60,16.67,7.39
2603091909,Tuesday,Pre-EU,17.80,-0.39,50.00,16.08,12,44,0,3.21,50.00,60.66,33.33,60.29,68,16.67,57.88
2603101021,Tuesday,Pre-Asia,17.41,0.24,52.17,16.14,13,37,0,3.69,54.84,50.73,52.63,43.06,72,75.00,92.01
2603111035,Wednesday,Pre-Asia,17.65,-0.19,49.01,11.65,3,30,1,4.30,60.53,48.21,42.10,35.14,74,33.33,26.86
2603150014,Sunday,EU-NA,17.46,0.18,58.45,15.34,6,43,0,4.08,55.56,69.12,42.10,39.76,83,60.00,85.01
2603151012,Sunday,Pre-Asia,17.64,0.19,53.80,15.15,12,39,0,4.08,33.33,66.22,49.02,37.65,85,66.67,92.60
2603161028,Monday,Pre-Asia,17.83,-0.10,54.94,14.40,6,32,0,4.22,47.83,66.20,44.44,28.09,89,41.67,61.82
2603171003,Tuesday,Pre-Asia,17.73,0.01,47.32,14.72,13,28,1,3.45,41.94,59.62,31.03,54.72,53,50.00,55.62
2603190419,Thursday,Post-NA,17.75,-0.19,58.45,17.62,5,39,0,4.10,51.61,65.62,53.19,28.92,83,33.33,59.28
2603220743,Sunday,NA-Asia,17.55,-0.19,54.00,16.42,5,28,0,4.35,51.35,62.50,44.90,25.93,81,33.33,58.75
2603251007,Wednesday,Pre-Asia,17.37,0.19,51.05,12.77,5,33,2,4.25,58.33,58.93,37.26,27.40,73,66.67,33.17
2603261019,Thursday,Pre-Asia,17.56,0.03,44.67,9.95,12,38,0,3.76,48.84,55.74,26.09,50.75,67,50.00,29.16
2603280947,Saturday,Pre-Asia,17.59,0.11,46.23,13.98,6,23,0,3.82,30.43,63.64,35.90,36.73,49,58.33,38.13
2603291008,Sunday,Pre-Asia,17.69,-0.19,47.13,12.10,4,23,1,4.59,42.50,57.14,38.89,24.32,74,33.33,12.35
2603300940,Monday,Pre-Asia,17.50,-0.21,50.98,13.35,1,31,0,4.42,60.00,54.55,36.59,30.77,78,33.33,30.12
2603311011,Tuesday,Pre-Asia,17.29,-0.01,50.31,14.48,7,32,1,4.21,42.86,61.84,37.50,35.00,80,50.00,69.88
2604030641,Friday,NA-Asia,17.27,0.19,50.00,16.18,1,32,0,3.88,50.00,58.46,33.33,44.62,65,66.67,64.21
2604041052,Saturday,Pre-Asia,17.46,0.18,47.02,15.07,5,34,0,3.82,58.06,56.94,25.00,32.39,71,66.67,61.35
