Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601021357,Friday,Post-Asia,5.41,0.11,13.83,2.15,0,2,0,5.31,18.18,14.58,8.33,15.38,13,60.00,50.00
2601030526,Saturday,Post-NA,5.52,0.45,16.89,2.75,2,6,1,4.88,25.81,18.18,7.50,20.00,25,83.33,80.81
2601041434,Sunday,Post-Asia,5.97,0.35,26.44,4.11,2,4,0,5.13,40.74,18.42,22.73,17.39,23,80.00,83.95
2601050723,Monday,NA-Asia,6.32,-0.02,20.15,1.96,0,6,1,4.93,28.57,21.67,10.26,18.52,27,50.00,32.30
2601071400,Wednesday,Post-Asia,6.30,0.11,19.82,3.25,0,7,0,5.09,30.30,17.65,11.11,22.73,22,60.00,49.53
2601091400,Friday,Post-Asia,6.42,0.21,18.49,2.85,1,4,2,5.41,26.47,18.57,11.90,14.81,27,66.67,49.28
2601120530,Monday,NA-Asia,6.63,-0.45,21.14,3.32,1,5,0,5.04,28.00,20.00,18.42,11.54,26,10.00,55.50
2601140549,Wednesday,NA-Asia,6.18,-0.43,17.95,1.78,0,2,2,5.91,35.00,14.52,14.29,4.76,21,16.67,10.94
2601141731,Thursday,Pre-EU,5.75,-0.33,21.74,2.66,1,4,1,5.40,40.54,17.19,10.81,13.33,30,20.00,46.14
2601161832,Saturday,Pre-EU,5.43,-0.11,14.43,1.75,0,2,0,5.21,16.00,15.22,11.54,7.14,14,40.00,15.82
2601170538,Saturday,NA-Asia,5.32,0.10,28.00,2.35,0,0,0,6.14,71.43,13.33,0.00,14.29,7,100.00,58.25
2601171039,Saturday,Pre-Asia,5.42,-0.43,26.76,3.10,3,23,0,3.53,51.52,19.05,19.57,52.63,38,16.67,63.60
2601191349,Monday,Post-Asia,4.99,-0.64,18.85,2.10,0,3,1,5.30,43.33,9.84,12.90,13.04,23,0.00,16.77
2601201116,Tuesday,Pre-Asia,4.35,-0.61,11.40,1.33,0,3,0,5.15,21.05,10.00,8.57,7.69,13,0.00,10.66
2601221429,Thursday,Post-Asia,3.74,0.42,21.28,2.49,1,5,0,5.27,38.09,17.65,10.42,16.67,30,83.33,80.63
