Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601021357,Friday,Post-Asia,16.21,-0.10,46.90,13.12,6,23,0,4.25,61.54,41.51,44.12,32.08,53,40.00,50.00
2601181029,Sunday,Pre-Asia,16.11,-0.11,50.00,15.39,13,39,0,3.55,48.39,60.94,36.17,49.30,71,40.00,75.88
2602071029,Saturday,Pre-Asia,16.00,0.01,53.42,13.72,12,34,0,3.86,60.00,55.07,45.24,43.59,78,50.00,69.26
2602091853,Tuesday,Pre-EU,16.01,0.12,50.00,15.10,10,29,1,3.48,58.82,42.86,51.43,40.68,59,60.00,62.81
2602281106,Saturday,Pre-Asia,16.13,0.00,55.42,12.72,5,29,0,4.51,63.64,58.11,47.46,19.57,92,50.00,55.01
2603122228,Friday,Post-EU,16.13,0.02,55.70,16.18,13,41,0,3.91,71.43,45.45,60.87,37.50,88,50.00,84.47
2603201913,Saturday,Pre-EU,16.15,-0.29,54.93,13.03,6,21,0,4.72,45.45,56.92,56.36,21.79,78,25.00,35.84
2603211405,Saturday,Post-Asia,15.87,0.10,58.99,16.63,8,35,0,3.90,62.50,61.54,52.38,35.37,82,60.00,83.45
2603221422,Sunday,Post-Asia,15.96,0.33,50.70,12.36,10,32,0,3.94,52.94,50.69,48.57,36.11,72,80.00,43.95
2603271909,Saturday,Pre-EU,16.29,0.19,52.03,15.85,8,37,0,3.96,52.94,45.31,60.00,38.96,77,66.67,69.54
2604102138,Saturday,Post-EU,16.49,-0.20,52.17,16.74,9,27,0,3.99,62.50,43.10,55.00,34.72,72,33.33,36.15
2604111356,Saturday,Post-Asia,16.28,0.21,59.26,14.89,6,24,0,4.47,63.41,58.49,56.10,18.75,80,66.67,75.45
2604250912,Saturday,Pre-Asia,16.50,-0.00,46.61,11.82,6,20,0,4.27,56.00,46.43,40.54,40.00,55,50.00,14.16
2605020939,Saturday,Pre-Asia,16.49,0.41,50.37,15.67,9,31,0,3.83,76.32,41.07,39.53,34.78,69,83.33,62.28
2605041844,Tuesday,Pre-EU,16.90,0.10,59.24,15.05,8,43,0,3.80,74.36,60.00,44.19,43.01,93,60.00,74.15
2605062100,Thursday,Post-EU,17.00,-0.21,51.11,12.60,5,24,0,4.28,55.81,52.46,41.94,33.33,69,33.33,8.63
2605081802,Saturday,Pre-EU,16.79,0.29,57.38,14.25,7,30,1,3.99,81.25,50.00,47.06,35.71,70,80.00,56.08
2605091011,Saturday,Pre-Asia,17.08,-0.11,46.39,14.56,6,32,0,4.30,62.86,39.51,46.00,35.06,77,41.67,33.47
