Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601011011,Thursday,Pre-Asia,18.10,-0.11,58.97,19.80,19,46,0,3.10,77.78,62.50,38.23,62.32,69,40.00,50.00
2601031038,Saturday,Pre-Asia,17.99,-0.20,57.02,17.93,6,37,0,3.85,75.00,52.54,46.67,34.78,69,33.33,23.81
2601071634,Thursday,Asia-EU,17.79,0.19,59.50,18.05,14,37,0,3.56,71.43,61.02,47.06,50.00,72,66.67,65.14
2601111925,Monday,Pre-EU,17.98,-0.01,59.86,17.51,10,50,0,3.47,81.08,59.09,43.18,40.91,88,50.00,51.36
2601141731,Thursday,Pre-EU,17.97,0.10,54.13,14.96,8,41,0,3.53,73.53,60.66,26.32,41.67,72,60.00,31.82
2601151844,Friday,Pre-EU,18.07,-0.10,56.05,17.04,14,44,1,3.48,65.79,56.94,46.81,44.32,88,41.67,33.28
2601161832,Saturday,Pre-EU,17.97,0.30,50.96,15.38,6,33,0,3.17,60.00,58.70,33.33,47.17,53,80.00,34.30
2601170037,Saturday,Pre-NA,18.27,0.30,57.86,14.13,15,48,0,3.66,70.27,59.09,48.21,46.74,92,75.00,68.25
2601171640,Sunday,Asia-EU,18.56,0.00,62.07,18.71,7,36,0,3.65,65.62,66.67,50.00,44.44,72,20.00,53.19
2601171642,Sunday,Asia-EU,18.56,0.00,62.07,18.71,7,36,0,3.65,65.62,66.67,50.00,44.44,72,20.00,53.54
2601172250,Sunday,EU-NA,18.56,-0.50,58.21,16.57,12,48,0,3.37,69.70,66.67,34.21,56.41,78,33.33,38.81
2601201915,Wednesday,Pre-EU,18.06,0.38,62.96,17.70,12,43,0,3.66,80.00,68.49,34.38,42.35,85,83.33,92.06
2601222213,Friday,Post-EU,18.45,-0.11,48.33,15.46,14,40,0,3.10,64.52,45.45,38.23,58.62,58,40.00,18.79
2601260005,Monday,EU-NA,18.34,-0.20,51.05,14.70,9,43,1,3.55,79.31,57.14,27.45,49.32,73,33.33,9.37
2601261925,Tuesday,Pre-EU,18.14,-0.29,57.14,16.26,7,39,0,3.88,79.41,55.74,39.47,44.74,76,20.00,32.57
2601301932,Saturday,Post-EU,17.86,0.21,55.32,15.46,13,43,0,3.63,58.33,59.02,47.73,52.56,78,66.67,56.82
2601311622,Sunday,Asia-EU,18.07,-0.18,54.49,16.97,18,59,0,3.18,69.44,60.29,36.54,56.47,85,33.33,49.21
2601312317,Sunday,EU-NA,17.89,-0.19,51.20,15.07,8,33,0,3.61,55.17,51.61,47.06,45.31,64,33.33,11.38
2602022029,Tuesday,Post-EU,17.70,0.21,58.29,16.43,6,34,0,4.36,82.76,59.04,46.03,25.49,102,66.67,74.86
2602032022,Wednesday,Post-EU,17.91,0.20,58.41,19.65,15,46,0,3.20,62.07,61.54,50.00,57.58,66,66.67,82.35
2602052053,Friday,Post-EU,18.11,-0.21,58.12,17.79,8,39,0,3.43,80.00,56.90,44.12,52.94,68,33.33,46.85
2602061813,Saturday,Pre-EU,17.90,0.00,59.16,16.60,9,39,0,3.92,66.67,63.27,50.88,33.33,84,50.00,72.99
2602062111,Saturday,Post-EU,17.91,-0.10,55.13,13.22,1,15,1,4.46,86.67,58.82,34.48,27.91,43,33.33,17.52
2602072212,Sunday,Post-EU,17.81,0.18,54.19,16.79,14,48,0,3.45,60.61,56.00,46.81,51.19,84,66.67,72.36
2602081905,Monday,Pre-EU,17.99,-0.11,48.98,14.52,8,48,0,3.24,71.43,53.52,29.17,62.50,72,41.67,12.13
2602151918,Monday,Pre-EU,17.88,0.20,46.85,15.82,10,37,0,2.98,66.67,48.15,35.90,63.46,52,66.67,40.42
2602161820,Tuesday,Pre-EU,18.08,-0.02,65.28,19.20,17,67,0,2.96,84.00,71.83,45.83,64.89,94,50.00,76.49
2602170916,Tuesday,Pre-Asia,18.06,-0.20,49.31,12.69,6,31,0,4.22,75.00,49.21,28.89,32.39,71,33.33,8.40
2602172105,Wednesday,Post-EU,17.87,-0.08,58.33,19.72,14,41,0,3.21,73.08,66.10,34.29,52.86,70,40.00,64.87
2602242110,Wednesday,Post-EU,17.79,0.01,56.86,17.67,17,38,0,3.12,62.07,60.38,40.00,60.34,58,50.00,73.78
2602251119,Wednesday,Pre-Asia,17.79,0.18,58.65,16.49,8,43,0,3.55,76.67,59.72,38.71,48.72,78,66.67,77.32
2603021923,Tuesday,Pre-EU,17.97,0.19,57.52,18.14,11,36,0,3.46,59.26,59.62,52.94,49.23,65,66.67,76.61
2603052048,Friday,Post-EU,18.16,-0.56,64.79,19.04,13,62,0,3.39,65.71,67.90,53.85,56.52,92,0.00,62.77
2603091909,Tuesday,Pre-EU,17.59,-0.16,56.25,15.30,11,52,0,3.62,80.56,59.72,34.62,48.89,90,33.33,33.81
2603101904,Wednesday,Pre-EU,17.43,0.46,54.48,14.00,3,32,0,4.09,63.16,56.45,44.44,29.11,79,91.67,46.38
2603151901,Monday,Pre-EU,17.89,-0.20,63.12,16.87,9,31,0,4.24,66.67,67.86,52.50,34.83,89,33.33,48.31
2603161028,Monday,Pre-Asia,17.69,0.18,54.71,17.46,9,47,0,3.86,71.11,57.69,34.04,48.39,93,66.67,65.81
2603161905,Tuesday,Pre-EU,17.87,0.37,57.36,15.71,5,35,0,3.93,64.86,59.26,47.37,36.49,74,83.33,40.48
2603181441,Wednesday,Post-Asia,18.24,0.18,55.20,18.51,9,39,0,3.59,71.43,58.49,40.91,52.17,69,66.67,55.22
2603191900,Friday,Pre-EU,18.43,-0.01,66.43,20.83,10,51,0,3.55,75.00,65.22,61.91,41.05,95,50.00,69.21
