Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2602281808,Sunday,Pre-EU,3.00,-0.24,20.74,3.49,3,10,0,4.32,22.22,16.42,26.83,28.57,28,33.33,50.00
2603010710,Sunday,NA-Asia,2.76,-0.23,18.95,2.40,0,5,3,5.62,25.00,22.58,8.51,13.79,29,33.33,32.16
2603221422,Sunday,Post-Asia,2.53,0.11,20.91,3.23,1,6,1,4.83,23.08,21.57,18.18,26.09,23,60.00,66.30
2603261019,Thursday,Pre-Asia,2.64,-0.03,20.45,2.57,2,10,0,4.83,28.26,13.58,24.49,22.22,36,50.00,60.64
2604051746,Monday,Pre-EU,2.61,0.11,24.32,1.96,0,2,0,6.22,41.94,14.00,23.33,3.70,27,60.00,57.36
2604090720,Thursday,NA-Asia,2.72,-0.44,20.00,2.52,0,4,0,5.14,33.33,16.33,17.50,13.64,22,16.67,21.84
2604100734,Friday,NA-Asia,2.28,0.24,24.07,3.11,0,6,1,5.49,28.57,21.05,25.49,7.69,39,70.00,82.32
2604140505,Tuesday,Post-NA,2.52,-0.12,24.21,3.62,0,5,0,5.22,45.00,9.62,39.13,17.39,23,40.00,55.64
2604140736,Tuesday,NA-Asia,2.40,0.12,28.06,4.20,2,6,0,5.44,41.86,22.03,21.62,10.26,39,100.00,90.75
2604141831,Wednesday,Pre-EU,2.52,0.33,24.65,4.29,1,9,0,4.97,31.25,22.22,23.68,22.86,35,33.33,78.36
2604160643,Thursday,NA-Asia,2.84,-0.08,21.13,3.12,1,11,0,4.23,34.48,15.94,20.45,30.00,30,50.00,38.36
2604201843,Tuesday,Pre-EU,2.77,-0.43,19.82,1.94,0,3,0,5.68,31.82,18.87,13.89,13.64,22,16.67,10.22
2604211825,Wednesday,Pre-EU,2.34,-0.22,21.26,3.06,0,10,3,4.92,34.04,20.55,11.11,24.32,37,33.33,31.54
2604220615,Wednesday,NA-Asia,2.12,0.12,23.58,2.41,0,3,0,5.90,45.45,17.02,13.95,3.45,29,60.00,51.88
2604221513,Thursday,Post-Asia,2.23,-0.21,21.23,2.26,0,4,0,5.61,25.81,21.92,16.67,16.13,31,33.33,23.48
2604280507,Tuesday,Post-NA,2.02,0.00,27.91,5.31,2,11,0,4.42,32.00,32.26,19.05,27.78,36,50.00,82.70
2604290920,Wednesday,Pre-Asia,2.02,-0.22,20.95,3.72,2,8,0,4.23,24.00,19.61,20.69,18.18,22,33.33,35.65
2604291816,Thursday,Pre-EU,1.80,0.42,19.64,4.05,3,10,1,4.27,42.10,18.33,9.09,36.36,22,83.33,61.89
2604300723,Thursday,NA-Asia,2.23,-0.42,26.15,3.00,1,6,0,5.41,37.93,24.19,20.51,5.88,34,16.67,44.24
2604301425,Thursday,Post-Asia,1.80,0.20,24.38,3.99,3,11,1,4.74,35.42,19.12,20.45,28.21,39,66.67,87.76
2605011141,Friday,Pre-Asia,2.01,0.29,25.55,4.45,1,13,0,4.57,34.38,21.43,24.49,25.71,35,75.00,88.30
2605040627,Monday,NA-Asia,2.30,0.40,18.79,2.24,1,4,0,5.11,31.71,18.03,8.51,21.43,28,83.33,40.68
2605041844,Tuesday,Pre-EU,2.69,0.10,24.00,2.30,1,2,0,5.73,44.44,15.62,23.53,6.67,30,60.00,48.25
2605060545,Wednesday,NA-Asia,2.80,0.00,20.19,2.53,1,2,1,5.86,17.39,21.82,19.23,4.76,21,50.00,15.97
