Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601290015,Thursday,EU-NA,3.50,0.01,14.38,1.75,0,4,4,4.77,11.63,15.28,15.79,0.00,22,50.00,50.00
2602081905,Monday,Pre-EU,3.51,-0.14,14.97,2.81,2,7,1,4.59,17.86,16.90,10.42,36.36,22,41.67,57.17
2602161820,Tuesday,Pre-EU,3.37,-0.02,13.19,2.31,1,8,0,4.32,20.00,14.09,8.33,15.79,19,50.00,51.48
2602260109,Thursday,Pre-NA,3.35,0.22,22.52,3.95,2,10,1,4.94,30.30,20.00,20.69,26.47,34,66.67,90.61
2602271913,Saturday,Pre-EU,3.57,0.11,19.79,5.05,2,8,0,4.37,44.44,6.52,17.39,31.58,19,60.00,76.69
2602281808,Sunday,Pre-EU,3.69,-0.22,21.48,3.66,3,13,0,4.21,22.22,17.91,26.83,31.03,29,33.33,64.45
2603011742,Monday,Pre-EU,3.46,-0.11,23.08,3.83,2,10,1,4.76,25.00,15.00,31.91,27.27,33,40.00,64.80
2603071352,Saturday,Post-Asia,3.35,0.56,17.60,3.38,1,7,2,4.96,25.00,13.33,18.92,27.27,22,100.00,54.03
2603091909,Tuesday,Pre-EU,3.92,-0.45,16.91,3.63,3,9,2,4.30,19.44,22.95,5.13,34.78,23,16.67,32.42
2603111035,Wednesday,Pre-Asia,3.46,0.22,23.78,2.21,1,2,3,5.91,39.39,20.34,17.65,5.88,34,66.67,62.63
2603150014,Sunday,EU-NA,3.68,0.00,25.81,3.93,1,8,1,5.16,41.18,18.64,22.58,9.38,32,80.00,75.52
2603161608,Tuesday,Asia-EU,3.68,-0.01,19.01,3.10,2,8,0,4.63,16.67,21.67,17.39,18.52,27,50.00,31.94
2603191423,Thursday,Post-Asia,3.67,-0.01,15.57,1.84,2,6,5,5.58,25.58,6.94,19.23,11.54,26,50.00,14.98
2603211405,Saturday,Post-Asia,3.67,0.10,18.70,3.53,2,5,0,4.96,34.38,16.92,9.52,19.23,26,60.00,56.02
2603221422,Sunday,Post-Asia,3.77,0.10,19.09,3.35,2,6,1,4.76,23.08,17.65,18.18,28.57,21,60.00,52.99
2603241046,Tuesday,Pre-Asia,3.86,0.11,20.00,4.23,4,13,2,4.64,28.20,20.48,11.63,30.30,33,58.33,71.33
2603271909,Saturday,Pre-EU,3.98,0.23,23.18,5.45,2,12,3,4.69,23.08,25.71,20.00,28.57,35,66.67,82.89
2603302139,Tuesday,Post-EU,4.20,0.09,25.15,3.77,3,12,7,4.98,37.21,27.03,12.00,19.05,42,58.33,73.46
2604021830,Friday,Pre-EU,4.29,-0.12,22.73,3.91,1,5,0,5.30,52.63,20.00,6.90,30.00,20,40.00,47.73
2604051746,Monday,Pre-EU,4.17,0.10,24.32,2.36,0,3,3,6.04,35.48,16.00,26.67,3.70,27,60.00,45.21
2604061807,Tuesday,Pre-EU,4.27,-0.00,21.05,3.15,1,5,0,5.34,26.67,22.86,15.38,12.50,32,50.00,42.84
2604090014,Thursday,EU-NA,4.27,-0.31,20.86,3.09,0,7,3,5.24,22.22,21.25,19.15,14.71,34,25.00,27.27
2604102138,Saturday,Post-EU,3.96,0.11,16.67,2.99,0,0,0,4.67,0.00,16.67,25.00,33.33,3,100.00,35.04
2604131404,Monday,Post-Asia,4.06,0.20,16.67,2.80,2,4,1,5.00,16.00,16.13,18.52,21.05,19,66.67,40.69
2604160039,Thursday,Pre-NA,4.27,0.09,17.82,2.81,1,5,1,5.17,27.59,11.90,16.67,22.22,18,60.00,33.18
2604191428,Sunday,Post-Asia,4.36,-0.20,20.00,3.07,2,3,2,5.33,24.32,16.42,22.58,11.11,27,33.33,31.85
2604202224,Tuesday,Post-EU,4.16,0.29,18.55,3.34,2,7,1,4.78,25.00,21.54,8.57,26.09,23,80.00,61.85
2605011141,Friday,Pre-Asia,4.45,-0.41,15.67,2.65,1,6,0,4.71,24.14,15.94,8.33,19.05,21,16.67,18.14
2605031350,Sunday,Post-Asia,4.04,0.10,18.25,3.82,3,8,0,4.70,21.21,23.53,9.52,21.74,23,60.00,72.63
2605041844,Tuesday,Pre-EU,4.14,0.10,21.02,3.79,1,10,0,4.73,30.77,20.00,13.95,18.18,33,60.00,83.32
2605101217,Sunday,Pre-Asia,4.24,0.19,23.13,4.32,2,9,1,4.58,25.00,31.03,13.46,25.81,31,66.67,87.84
