Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601011011,Thursday,Pre-Asia,2.88,-0.29,14.91,1.92,1,3,0,5.35,13.33,11.54,21.88,17.65,17,20.00,50.00
2601020800,Friday,NA-Asia,2.58,0.00,18.12,2.08,0,4,0,5.63,23.26,11.67,21.74,7.41,27,50.00,73.52
2601050723,Monday,NA-Asia,2.59,-0.19,17.39,1.87,0,9,1,4.71,29.41,14.52,11.90,20.83,24,33.33,47.24
2601071634,Thursday,Asia-EU,2.40,-0.19,13.64,1.80,1,3,0,5.72,12.12,14.06,14.29,16.67,18,33.33,32.91
2601141731,Thursday,Pre-EU,2.21,0.10,18.47,1.92,1,5,0,5.79,21.95,19.40,14.29,13.79,29,60.00,77.02
2601151844,Friday,Pre-EU,2.31,-0.19,17.01,3.73,3,9,3,4.40,21.05,17.81,11.11,36.00,25,33.33,57.15
2601160828,Friday,NA-Asia,2.12,0.38,18.99,3.56,1,8,0,5.17,27.78,17.91,14.54,16.67,30,83.33,88.77
2601161832,Saturday,Pre-EU,2.50,0.29,14.42,3.29,1,5,0,3.87,16.00,13.04,15.15,33.33,15,80.00,61.88
2601170538,Saturday,NA-Asia,2.80,0.10,19.17,4.21,2,6,2,4.78,22.58,15.87,23.08,26.09,23,60.00,76.58
2601180726,Sunday,NA-Asia,2.90,0.18,16.77,3.37,2,7,5,5.00,17.24,15.58,18.37,15.38,26,66.67,71.55
2601181029,Sunday,Pre-Asia,3.08,-0.09,14.29,2.69,0,5,0,4.60,17.39,15.22,11.11,26.67,15,40.00,21.91
2601190743,Monday,NA-Asia,2.99,-0.21,18.47,3.01,0,9,1,5.00,18.52,15.73,24.39,27.59,29,33.33,48.01
2601201915,Wednesday,Pre-EU,2.78,0.21,17.29,2.22,1,4,0,5.57,22.22,13.64,19.36,13.04,23,66.67,55.28
2601220918,Thursday,Pre-Asia,2.99,0.38,13.84,1.78,1,5,2,5.59,26.19,7.04,13.04,18.18,22,83.33,39.01
2601222213,Friday,Post-EU,3.36,-0.29,14.65,2.13,2,5,0,5.41,23.33,11.67,11.54,23.53,17,20.00,18.09
2601240626,Saturday,NA-Asia,3.08,0.19,12.50,1.91,1,5,1,5.22,9.68,15.07,10.00,16.67,18,66.67,34.61
2601260005,Monday,EU-NA,3.27,0.01,12.88,1.38,0,3,2,5.59,12.12,14.04,11.90,17.65,17,50.00,14.58
2602270633,Friday,NA-Asia,3.28,0.17,14.29,2.02,0,3,2,5.24,17.65,15.38,9.09,11.76,17,66.67,38.47
2603010710,Sunday,NA-Asia,3.45,-0.19,19.61,2.38,0,6,1,5.67,36.36,11.29,14.89,10.00,30,33.33,53.18
2603020644,Monday,NA-Asia,3.26,0.37,21.10,2.42,0,4,1,5.65,39.29,16.36,11.54,13.04,23,83.33,81.59
2603030900,Tuesday,Pre-Asia,3.63,0.19,19.36,2.12,1,2,5,5.88,27.78,12.00,21.05,8.33,24,66.67,68.66
2603040502,Wednesday,Post-NA,3.83,0.08,17.14,2.42,2,5,3,5.75,33.33,10.98,21.62,16.67,24,58.33,60.93
2603060551,Friday,NA-Asia,3.90,0.21,15.00,1.79,0,4,1,5.95,16.67,12.07,17.31,4.76,21,66.67,48.75
2603090538,Monday,NA-Asia,4.11,-0.18,10.69,1.71,1,3,7,6.00,14.63,6.67,13.95,11.76,17,33.33,11.34
2603190419,Thursday,Post-NA,3.93,-0.18,9.23,0.98,0,1,4,6.00,13.16,5.77,10.00,0.00,12,33.33,7.72
2603201913,Saturday,Pre-EU,3.75,-0.01,12.24,1.68,0,3,5,5.67,8.33,14.93,11.36,11.11,18,50.00,19.90
2603220743,Sunday,NA-Asia,3.74,0.16,13.95,2.44,0,3,2,5.39,10.26,16.36,14.29,5.56,18,66.67,59.16
2603270520,Friday,Post-NA,3.90,-0.18,12.50,1.53,1,4,1,4.69,12.50,11.32,13.95,25.00,16,33.33,21.00
2604021830,Friday,Pre-EU,3.72,-0.11,19.55,2.90,1,5,4,5.38,24.32,16.13,20.59,15.38,26,40.00,62.64
2604030641,Friday,NA-Asia,3.61,0.19,14.62,2.74,0,6,2,5.05,25.00,9.23,15.15,5.26,19,66.67,72.70
2604050751,Sunday,NA-Asia,3.80,0.55,17.61,3.29,1,3,1,5.16,12.90,16.90,22.50,8.00,25,100.00,93.87
2604090014,Thursday,EU-NA,4.36,-0.10,16.55,2.78,0,7,2,5.09,15.15,13.23,23.68,26.09,23,41.67,62.25
2604090720,Thursday,NA-Asia,4.26,0.18,16.78,1.70,0,5,0,5.62,25.93,10.29,20.83,8.33,24,66.67,69.63
2604091812,Friday,Pre-EU,4.44,-0.28,24.27,4.05,1,6,1,5.04,50.00,11.11,22.22,16.00,25,20.00,64.94
2604100734,Friday,NA-Asia,4.16,-0.46,10.53,1.14,0,2,2,5.88,20.00,4.84,8.89,12.50,16,0.00,9.42
2604120456,Sunday,Post-NA,3.70,-0.17,15.60,3.11,2,6,1,4.96,18.75,16.18,12.20,22.73,22,33.33,50.55
2604130424,Monday,Post-NA,3.53,-0.09,10.53,2.06,0,4,1,5.00,6.45,10.29,14.71,28.57,14,41.67,20.19
2604131902,Tuesday,Pre-EU,3.44,0.19,15.13,3.00,0,5,2,4.72,15.79,11.54,20.69,22.22,18,66.67,57.87
2604140505,Tuesday,Post-NA,3.62,-0.10,21.05,3.20,0,3,1,5.15,35.00,17.31,17.39,15.00,20,40.00,57.29
2604140736,Tuesday,NA-Asia,3.53,0.00,19.15,1.92,0,3,1,5.85,24.00,14.87,23.81,3.70,27,50.00,59.64
2604160039,Thursday,Pre-NA,3.53,0.28,14.61,2.65,0,6,1,4.54,16.67,17.39,8.00,30.77,13,80.00,54.17
2604160643,Thursday,NA-Asia,3.82,-0.14,15.13,1.21,0,3,0,5.56,16.67,12.96,17.14,5.56,18,33.33,24.13
2604170729,Friday,NA-Asia,3.68,0.20,19.74,2.14,0,5,1,5.37,28.57,12.68,23.08,3.33,30,66.67,70.75
2604190454,Sunday,Post-NA,3.88,-0.19,23.56,3.19,2,3,9,6.10,31.82,22.37,18.52,9.76,41,33.33,61.90
2604190732,Sunday,NA-Asia,3.69,0.37,9.85,1.01,0,2,1,5.00,16.22,9.80,4.54,7.69,13,83.33,40.29
2604200513,Monday,Post-NA,4.06,0.00,16.15,2.30,1,2,0,5.57,16.13,9.84,26.32,9.52,21,33.33,45.60
2604211825,Wednesday,Pre-EU,4.06,-0.00,20.74,3.21,2,7,0,4.96,9.38,23.33,25.58,14.29,28,50.00,72.65
2604220615,Wednesday,NA-Asia,4.06,-0.42,15.75,2.80,0,4,5,5.20,17.14,20.69,5.88,20.00,20,20.00,25.69
2604230508,Thursday,Post-NA,3.63,0.08,11.47,1.42,0,5,1,5.14,14.29,13.33,7.32,14.29,14,60.00,34.44
2604240452,Friday,Post-NA,3.72,0.37,14.50,2.86,2,6,1,4.42,15.15,11.86,17.95,26.32,19,90.00,66.98
2604260432,Sunday,Post-NA,4.09,0.00,13.85,1.07,0,1,1,6.39,16.13,13.85,11.77,5.56,18,50.00,22.48
2604270523,Monday,Post-NA,4.09,0.00,15.62,2.06,1,5,0,4.95,31.82,15.15,7.50,25.00,20,33.33,37.03
2604271857,Tuesday,Pre-EU,4.09,-0.15,14.19,2.52,0,7,2,4.95,14.71,14.93,12.77,19.05,21,50.00,39.52
2604280507,Tuesday,Post-NA,3.94,0.01,15.03,2.69,2,7,1,4.74,17.65,16.42,11.54,26.09,23,50.00,63.23
2604291816,Thursday,Pre-EU,3.95,-0.01,16.36,2.23,0,9,1,4.82,22.22,14.29,15.56,22.22,27,50.00,59.05
2605010408,Friday,Post-NA,3.94,0.18,17.99,2.24,2,6,1,4.84,21.62,10.17,25.58,16.00,25,66.67,76.67
2605011447,Friday,Post-Asia,4.12,0.17,13.16,1.49,1,2,1,5.80,17.39,10.91,13.89,6.67,15,66.67,41.80
2605040627,Monday,NA-Asia,4.28,-0.18,14.84,2.11,1,5,1,5.00,20.00,15.09,10.00,26.32,19,33.33,36.32
2605060545,Wednesday,NA-Asia,4.10,0.00,13.47,1.30,0,1,2,6.00,18.75,15.87,6.52,0.00,19,33.33,19.85
2605061846,Thursday,Pre-EU,4.10,-0.54,11.49,2.46,3,4,4,4.24,23.08,8.11,5.71,17.65,17,16.67,28.85
2605062326,Thursday,EU-NA,3.56,-0.37,18.06,3.01,2,9,1,4.65,28.57,14.71,16.67,26.92,26,16.67,62.66
2605070715,Thursday,NA-Asia,3.19,0.09,13.41,1.85,0,5,2,5.33,17.14,15.38,7.55,20.83,24,58.33,49.61
2605081802,Saturday,Pre-EU,3.28,0.36,15.56,2.01,1,3,1,5.43,12.82,16.07,17.50,19.05,21,90.00,63.68
2605090627,Saturday,NA-Asia,3.64,-0.01,17.57,1.75,0,3,2,5.81,23.33,17.65,14.00,7.69,26,66.67,59.61
2605111811,Tuesday,Pre-EU,3.63,-0.17,19.20,2.84,2,4,1,5.45,29.41,21.05,7.32,13.79,29,33.33,66.90
2605121815,Wednesday,Pre-EU,3.46,0.18,17.78,2.63,1,7,0,5.12,21.05,18.03,13.89,12.50,24,70.00,86.44
2605140757,Thursday,NA-Asia,3.65,0.00,17.14,1.72,1,5,4,5.93,28.20,14.29,13.64,6.67,30,50.00,56.02
2605150701,Friday,NA-Asia,3.65,0.54,19.64,2.72,0,7,1,4.64,16.67,20.34,20.00,27.27,22,100.00,78.61
2605151746,Saturday,Pre-EU,4.18,-0.17,9.82,1.93,0,5,2,4.18,7.41,11.11,9.09,27.27,11,40.00,13.36
2605160437,Saturday,Post-NA,4.01,0.15,17.00,2.74,0,4,0,5.06,22.73,9.76,21.62,23.53,17,60.00,63.94
2605170727,Sunday,NA-Asia,4.16,-0.01,13.23,2.64,1,10,1,4.11,16.13,16.95,6.52,38.89,18,50.00,35.60
2605180606,Monday,NA-Asia,4.16,-0.17,21.77,2.70,1,4,2,5.84,38.46,21.74,13.46,9.38,32,33.33,57.66
2605200834,Wednesday,Pre-Asia,3.99,-0.21,13.97,2.17,1,3,1,5.16,17.14,14.93,8.82,10.53,19,33.33,20.29
2605201828,Thursday,Pre-EU,3.77,-0.18,20.90,3.56,0,9,0,4.96,26.92,20.90,17.07,25.00,28,33.33,63.32
2605210713,Thursday,NA-Asia,3.60,-0.00,17.07,2.43,0,5,0,4.76,24.00,14.29,16.67,33.33,21,50.00,43.12
2605230657,Saturday,NA-Asia,3.59,-0.46,15.97,2.00,1,2,2,5.84,18.18,16.98,12.12,10.53,19,0.00,19.06
2605250730,Monday,NA-Asia,3.14,-0.53,17.42,2.55,0,4,0,5.22,13.64,19.12,16.67,13.04,23,0.00,43.91
2605260823,Tuesday,NA-Asia,2.61,0.10,19.51,2.10,0,3,3,5.84,27.91,14.71,18.87,6.25,32,58.33,65.26
2605270453,Wednesday,Post-NA,2.71,-0.18,19.55,3.95,1,7,0,5.00,21.74,17.14,22.50,30.77,26,33.33,69.80
2605281609,Friday,Asia-EU,2.52,0.18,15.62,1.84,1,2,0,5.50,22.22,19.05,5.26,10.00,20,66.67,45.68
2605281822,Friday,Pre-EU,2.70,0.34,19.82,2.98,0,5,0,4.77,17.39,17.31,25.00,22.73,22,83.33,75.33
2605290743,Friday,NA-Asia,3.04,-0.17,19.42,3.69,2,11,1,4.07,27.59,18.84,14.63,29.63,27,33.33,65.27
2605291824,Saturday,Pre-EU,2.87,-0.17,22.08,3.38,0,8,0,5.06,17.95,19.70,28.57,14.71,34,33.33,65.19
2605300457,Saturday,Post-NA,2.70,0.00,18.52,1.93,0,3,3,6.04,22.22,19.72,15.22,4.00,25,50.00,44.83
2605310642,Sunday,NA-Asia,2.71,0.16,9.27,0.69,0,1,4,6.43,11.11,8.45,9.09,0.00,14,50.00,32.64
2606010557,Monday,NA-Asia,2.87,-0.02,21.83,2.17,1,5,3,5.71,34.88,13.85,20.59,16.13,31,66.67,60.60
2606030426,Wednesday,Post-NA,2.85,-0.09,22.76,2.84,1,4,2,5.64,36.36,15.22,20.45,17.86,28,40.00,59.79
