Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601050032,Monday,Pre-NA,9.63,-0.21,25.50,5.65,5,18,2,4.16,28.12,12.86,42.55,47.37,38,33.33,50.00
2602041207,Wednesday,Pre-Asia,9.42,0.40,31.88,7.17,3,19,0,4.27,25.93,24.59,44.00,31.82,44,83.33,87.39
2602051504,Friday,Post-Asia,9.82,-0.20,36.67,5.49,1,9,2,5.33,35.29,21.74,59.57,12.73,55,33.33,37.84
2602141404,Saturday,Post-Asia,9.61,0.01,22.06,4.75,1,9,0,4.80,25.93,18.33,24.49,16.67,30,50.00,24.78
2603030900,Tuesday,Pre-Asia,9.62,-0.00,27.50,4.96,5,7,0,5.21,32.26,14.89,38.09,18.18,33,50.00,36.04
2603071352,Saturday,Post-Asia,9.62,0.09,33.61,8.06,5,15,1,4.42,34.38,25.42,48.39,24.39,41,60.00,83.21
2603081005,Sunday,Pre-Asia,9.71,-0.08,25.34,4.40,1,8,0,5.08,25.00,16.44,40.00,13.51,37,41.67,15.22
2603101021,Tuesday,Pre-Asia,9.63,-0.27,20.91,3.13,0,6,1,4.97,33.33,6.58,36.36,15.62,32,25.00,6.79
2603161905,Tuesday,Pre-EU,9.36,-0.02,28.38,7.25,4,18,1,4.24,26.47,21.92,41.46,28.57,42,50.00,73.44
2603171003,Tuesday,Pre-Asia,9.34,0.01,24.11,3.60,2,5,0,4.96,35.48,15.38,27.59,22.22,27,50.00,31.54
2603280947,Saturday,Pre-Asia,9.35,0.00,24.78,5.33,1,7,1,4.57,22.73,21.15,30.77,21.43,28,50.00,32.08
2603281530,Sunday,Asia-EU,9.36,0.00,28.47,5.51,4,11,2,4.83,33.33,13.04,52.78,29.27,41,50.00,74.02
2603291008,Sunday,Pre-Asia,9.36,-0.01,30.77,5.33,1,7,1,5.45,35.48,31.58,26.19,12.50,40,50.00,68.32
2603300940,Monday,Pre-Asia,9.35,-0.22,26.14,5.74,4,9,1,5.22,45.71,12.99,34.15,20.00,40,33.33,48.89
2603301356,Monday,Post-Asia,9.13,0.00,30.53,6.35,4,14,1,4.70,27.27,18.75,55.88,25.00,40,50.00,83.64
2603311011,Tuesday,Pre-Asia,9.14,-0.37,26.32,4.65,2,8,2,5.60,31.25,22.22,28.95,20.00,35,16.67,20.88
2604011400,Wednesday,Post-Asia,8.77,-0.18,27.20,5.46,2,8,3,5.29,39.29,14.04,37.50,23.53,34,33.33,40.65
2604030641,Friday,NA-Asia,8.59,-0.56,36.42,4.77,0,9,2,5.73,43.59,29.69,39.58,14.55,55,0.00,35.48
2604041052,Saturday,Pre-Asia,8.02,-0.19,26.00,5.03,1,10,1,4.97,25.00,13.85,40.35,15.38,39,33.33,33.11
2604061424,Monday,Post-Asia,7.84,0.00,22.81,6.54,7,19,2,3.87,23.08,18.75,28.85,41.03,39,50.00,65.10
2604121013,Sunday,Pre-Asia,7.84,-0.08,25.69,4.16,0,5,1,5.18,25.00,19.30,41.67,14.29,28,40.00,32.72
2604151003,Wednesday,Pre-Asia,7.75,0.18,34.64,5.80,0,11,0,5.19,44.74,24.00,45.00,13.21,53,66.67,86.08
2604190732,Sunday,NA-Asia,7.93,0.38,26.52,5.84,5,17,0,3.66,27.03,19.61,34.09,40.00,35,83.33,67.76
2604190937,Sunday,Pre-Asia,8.31,-0.47,21.85,3.27,0,4,0,5.46,23.33,15.38,29.73,15.38,26,0.00,9.47
2604211013,Tuesday,Pre-Asia,7.83,-0.09,27.97,5.58,1,8,0,4.79,29.41,18.52,43.33,12.12,33,40.00,63.11
2604220615,Wednesday,NA-Asia,7.74,0.09,24.49,4.21,1,5,0,5.42,38.09,11.54,40.00,16.67,24,60.00,38.98
2604221513,Thursday,Post-Asia,7.83,0.37,26.56,5.36,4,11,0,4.50,30.56,17.31,35.00,29.41,34,83.33,68.59
2604231500,Friday,Post-Asia,8.21,0.01,26.47,4.51,2,8,1,5.06,25.93,21.33,38.23,13.89,36,50.00,41.51
2604241402,Friday,Post-Asia,8.22,-0.10,24.04,3.51,0,7,0,4.76,20.00,14.81,43.33,16.00,25,40.00,13.77
2604250912,Saturday,Pre-Asia,8.11,0.19,35.54,7.94,2,15,0,4.33,30.43,32.26,44.44,27.91,43,66.67,87.82
2604281408,Tuesday,Post-Asia,8.31,-0.00,27.87,5.16,2,11,0,4.71,33.33,19.61,34.15,26.47,34,50.00,45.15
2604291816,Thursday,Pre-EU,8.30,-0.36,28.28,5.85,4,20,0,3.88,28.95,18.18,43.90,34.15,41,16.67,59.74
2604301425,Thursday,Post-Asia,7.95,0.11,30.00,5.69,5,19,0,4.36,30.23,23.08,40.48,31.11,45,58.33,88.32
2605012120,Saturday,Post-EU,8.06,0.08,39.22,10.94,5,36,0,3.40,37.21,30.00,52.00,46.67,60,58.33,86.84
2605051837,Wednesday,Pre-EU,8.14,0.20,22.73,5.10,2,11,0,4.00,26.92,10.17,48.00,40.00,25,66.67,35.22
2605110822,Monday,NA-Asia,8.34,-0.02,29.93,4.80,2,17,0,4.46,38.46,20.97,36.11,29.27,41,50.00,38.72
2605120938,Tuesday,Pre-Asia,8.32,0.00,25.71,3.37,1,9,0,4.61,43.24,12.68,34.38,25.00,36,50.00,21.35
2605181101,Monday,Pre-Asia,8.32,0.08,29.69,5.63,4,13,0,4.50,26.09,21.82,40.00,28.95,38,58.33,56.94
2605191412,Tuesday,Post-Asia,8.40,-0.00,29.36,5.67,2,14,0,4.70,26.92,21.67,42.50,24.32,37,50.00,28.50
2605210713,Thursday,NA-Asia,8.40,-0.18,33.04,5.81,3,11,0,4.71,30.30,27.59,50.00,26.32,38,33.33,44.49
2607041418,Saturday,Post-Asia,8.22,,25.00,5.04,0,6,1,4.83,23.81,23.81,26.67,22.22,18,0.00,
