Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601011011,Thursday,Pre-Asia,8.17,-0.31,22.81,3.22,1,6,0,5.04,23.33,19.23,28.12,15.38,26,20.00,50.00
2601041141,Sunday,Pre-Asia,7.86,0.01,27.64,6.31,2,14,0,4.32,38.71,24.14,23.53,32.35,34,50.00,86.04
2602170916,Tuesday,Pre-Asia,7.87,-0.19,21.57,3.97,2,8,3,4.88,26.32,18.18,23.68,18.18,33,33.33,29.91
2602200526,Friday,Post-NA,7.68,-0.42,33.33,6.36,0,14,2,4.74,39.47,25.00,40.00,17.39,46,16.67,57.94
2602220459,Sunday,Post-NA,7.26,0.21,23.62,4.09,1,8,0,4.70,21.05,19.23,32.43,20.00,30,66.67,44.07
2602231123,Monday,Pre-Asia,7.47,0.01,23.94,5.08,3,13,0,4.53,35.71,9.38,36.11,26.47,34,50.00,65.08
2602251119,Wednesday,Pre-Asia,7.48,-0.02,26.95,5.16,2,13,0,4.39,38.71,21.92,27.03,15.79,38,50.00,77.81
2603020644,Monday,NA-Asia,7.46,-0.20,25.62,2.69,1,5,2,6.00,51.72,12.70,27.59,6.45,31,33.33,22.32
2603060551,Friday,NA-Asia,7.27,0.01,24.34,6.15,4,12,2,4.78,28.00,17.81,31.48,32.43,37,50.00,70.69
2603230420,Monday,Post-NA,7.28,-0.01,26.25,5.76,2,14,2,4.76,30.56,13.89,40.38,19.05,42,50.00,75.08
2603282207,Sunday,Post-EU,7.26,-0.11,25.00,4.32,1,5,0,5.11,21.62,28.26,24.14,14.29,28,40.00,25.62
2604100734,Friday,NA-Asia,7.15,0.20,24.46,5.25,0,13,1,4.47,28.20,16.39,33.33,35.29,34,70.00,60.30
2604120456,Sunday,Post-NA,7.35,0.00,33.10,5.66,0,12,0,4.92,24.00,32.93,39.47,16.67,48,50.00,78.91
2604140505,Tuesday,Post-NA,7.35,0.29,30.40,5.76,2,10,1,4.87,37.84,27.87,25.93,18.42,38,80.00,87.05
2604160039,Thursday,Pre-NA,7.64,-0.10,30.51,5.81,0,13,0,4.42,38.89,20.41,36.36,30.56,36,40.00,56.00
2604190454,Sunday,Post-NA,7.54,0.01,33.53,6.08,0,9,1,5.30,37.14,25.00,42.86,14.29,56,50.00,68.88
2604210049,Tuesday,Pre-NA,7.56,-0.21,31.76,7.15,5,15,0,4.40,23.68,27.27,45.45,25.53,47,33.33,68.49
2604220615,Wednesday,NA-Asia,7.35,0.10,29.81,4.12,0,3,0,5.42,31.82,20.93,38.46,6.45,31,60.00,46.74
2604230508,Thursday,Post-NA,7.45,-0.15,33.63,6.42,1,17,0,4.21,29.17,31.25,39.02,28.95,38,40.00,55.15
2604250626,Saturday,NA-Asia,7.29,0.00,24.68,5.43,2,10,3,4.97,24.32,23.61,26.53,20.51,39,50.00,29.74
2604300723,Thursday,NA-Asia,7.29,-0.40,31.54,4.30,2,9,0,5.12,31.03,24.19,43.59,14.63,41,16.67,34.71
2605062326,Thursday,EU-NA,6.90,0.39,29.05,5.05,2,17,1,4.19,40.00,19.70,34.04,32.56,43,83.33,52.25
2605160437,Saturday,Post-NA,7.29,0.00,27.61,3.17,0,5,0,5.38,30.43,20.51,42.42,8.11,37,50.00,24.56
2605180606,Monday,NA-Asia,7.29,-0.02,26.61,5.43,2,10,0,5.03,37.04,14.81,34.88,21.21,33,50.00,46.99
2605230657,Saturday,NA-Asia,7.27,0.48,30.91,4.68,1,8,1,5.44,38.89,25.00,34.09,17.65,34,100.00,53.73
2605241925,Monday,Pre-EU,7.75,0.10,24.07,5.16,1,15,2,4.69,22.86,15.58,38.00,28.21,39,58.33,47.72
2605300901,Saturday,Pre-Asia,7.85,0.00,22.05,4.06,2,9,1,4.93,27.91,21.36,18.37,18.60,43,25.00,29.25
2605310642,Sunday,NA-Asia,7.85,-0.17,32.54,4.52,0,7,1,5.60,44.68,22.22,36.00,14.55,55,58.33,52.71
2606050839,Friday,Pre-Asia,7.67,0.19,33.12,6.74,3,21,1,4.42,36.11,29.58,35.85,30.19,53,66.67,88.84
2606060457,Saturday,Post-NA,7.87,0.10,28.66,4.21,0,7,3,5.69,22.22,27.14,38.09,11.11,45,58.33,44.35
2606070419,Sunday,Post-NA,7.96,0.16,33.65,7.08,1,12,0,4.53,32.14,22.22,50.00,30.56,36,60.00,66.20
2606110424,Thursday,Post-NA,8.13,-0.09,34.29,7.26,2,10,0,4.64,23.81,28.57,48.57,25.00,36,40.00,57.15
