Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601011011,Thursday,Pre-Asia,1.76,0.31,8.04,1.25,0,4,1,4.89,8.33,6.00,10.53,11.11,9,80.00,50.00
2601012239,Friday,EU-NA,2.06,-0.50,8.22,0.58,0,1,1,6.00,15.00,5.71,5.56,0.00,6,0.00,25.81
2601031038,Saturday,Pre-Asia,1.57,-0.19,12.40,2.01,0,3,1,5.40,28.12,6.78,6.67,20.00,15,33.33,65.39
2601050032,Monday,Pre-NA,1.37,-0.18,15.91,1.33,0,3,1,5.81,28.57,8.47,15.79,14.29,21,33.33,59.20
2601110529,Sunday,Post-NA,1.20,0.00,14.29,2.95,1,4,1,4.43,7.14,14.81,25.00,42.86,7,50.00,75.56
2601131037,Tuesday,Pre-Asia,1.20,0.29,11.32,0.86,0,1,0,6.17,33.33,8.70,0.00,16.67,6,100.00,49.91
2601171039,Saturday,Pre-Asia,1.49,0.20,13.97,1.32,1,9,0,3.95,23.33,8.93,14.00,26.32,19,66.67,75.11
2601201116,Tuesday,Pre-Asia,1.69,-0.56,11.40,1.32,1,2,0,5.38,31.58,1.67,17.14,7.69,13,0.00,34.64
2602020929,Monday,Pre-Asia,1.13,-0.07,16.54,2.06,0,8,0,4.96,33.33,8.77,13.95,9.09,22,41.67,69.69
2603011742,Monday,Pre-EU,1.06,0.10,11.11,3.56,1,1,0,4.50,0.00,8.33,50.00,50.00,2,100.00,63.92
2603020644,Monday,NA-Asia,1.16,0.01,20.69,3.11,1,6,4,5.54,34.48,18.52,12.12,16.67,24,50.00,80.41
2603030900,Tuesday,Pre-Asia,1.16,-0.21,13.82,1.97,1,3,0,5.41,20.00,8.00,15.79,17.65,17,33.33,41.93
2603091909,Tuesday,Pre-EU,0.96,0.17,14.60,2.30,2,4,4,4.90,12.90,16.67,11.77,15.00,20,66.67,71.85
2603191100,Thursday,Pre-Asia,1.13,-0.28,14.79,1.12,0,2,1,5.86,34.48,8.45,11.90,9.52,21,25.00,32.46
2603202204,Saturday,Post-EU,0.85,-0.18,20.13,2.68,1,10,1,5.13,35.71,15.07,11.77,20.00,30,33.33,64.05
2603221422,Sunday,Post-Asia,0.67,-0.10,17.04,1.82,0,4,0,5.70,32.35,14.75,7.50,17.39,23,40.00,50.13
2603231915,Tuesday,Pre-EU,0.57,0.29,9.09,0.77,0,1,2,5.91,13.33,5.36,11.43,0.00,11,80.00,36.04
2603241355,Tuesday,Post-Asia,0.86,0.18,22.14,2.34,1,6,0,5.34,33.33,14.06,27.03,13.79,29,66.67,84.74
2603261019,Thursday,Pre-Asia,1.03,0.03,20.67,2.21,1,6,0,5.23,32.56,13.12,19.57,19.35,31,50.00,64.88
2604141831,Wednesday,Pre-EU,1.06,0.38,13.38,1.55,0,3,5,5.53,20.45,7.14,14.29,15.79,19,83.33,36.19
