Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601011011,Thursday,Pre-Asia,9.05,-0.32,33.33,5.34,2,8,0,4.68,40.00,28.85,34.38,21.05,38,20.00,50.00
2601021357,Friday,Post-Asia,8.73,-0.10,31.86,4.85,0,8,2,5.11,46.15,30.19,23.53,8.33,36,40.00,44.08
2601061413,Tuesday,Post-Asia,8.63,0.41,36.13,6.61,0,15,0,4.91,33.33,42.86,26.67,7.14,56,83.33,87.83
2601141731,Thursday,Pre-EU,9.04,-0.10,34.88,8.79,6,20,1,3.84,55.56,28.57,30.77,31.11,45,40.00,62.47
2601151844,Friday,Pre-EU,8.94,-0.11,33.76,6.31,1,15,0,4.43,42.10,25.00,40.43,20.75,53,41.67,43.76
2601161832,Saturday,Pre-EU,8.83,-0.30,29.09,4.50,0,9,0,4.66,22.73,31.11,30.23,15.62,32,20.00,10.51
2601171053,Saturday,Pre-Asia,8.53,-0.10,32.87,7.53,2,14,1,4.70,28.57,38.36,25.71,19.15,47,41.67,64.38
2601181029,Sunday,Pre-Asia,8.43,0.09,32.20,7.15,2,15,0,4.26,29.63,32.20,34.38,28.95,38,60.00,64.47
2601191349,Monday,Post-Asia,8.52,0.40,33.33,6.19,4,15,1,4.60,35.29,31.51,35.13,29.17,48,83.33,69.66
2601221429,Thursday,Post-Asia,8.93,0.10,33.11,6.11,4,19,0,4.33,43.18,25.00,34.09,32.65,49,58.33,64.67
2601241100,Saturday,Pre-Asia,9.02,-0.59,34.75,8.01,3,15,0,4.22,42.31,32.08,33.33,26.83,41,0.00,49.97
2601250718,Sunday,NA-Asia,8.44,-0.01,36.36,6.72,0,8,0,5.04,40.00,30.16,45.45,11.36,44,50.00,55.32
2601250922,Sunday,Pre-Asia,8.42,-0.01,35.00,5.64,1,14,3,5.09,52.50,32.10,23.08,14.29,56,50.00,51.87
2601291637,Friday,Asia-EU,8.41,0.31,28.30,5.90,3,14,1,4.10,34.48,20.00,37.04,33.33,30,80.00,42.33
2601301932,Saturday,Post-EU,8.72,-0.21,34.71,5.43,1,11,1,4.88,32.00,32.79,40.00,21.43,42,33.33,30.40
2601310822,Saturday,NA-Asia,8.52,-0.20,38.89,5.78,0,9,0,5.37,44.44,38.18,36.36,16.33,49,30.00,41.21
2601311622,Sunday,Asia-EU,8.31,0.00,33.73,6.45,4,23,1,4.29,29.73,37.33,31.48,21.43,56,50.00,60.89
2602051504,Friday,Post-Asia,8.32,0.01,40.88,6.92,0,16,0,5.08,37.14,46.77,37.10,24.62,65,50.00,76.58
2602071029,Saturday,Pre-Asia,8.33,-0.01,29.51,5.78,2,13,0,4.31,34.62,29.31,26.32,27.78,36,50.00,36.05
2602101827,Wednesday,Pre-EU,8.31,0.19,37.58,6.45,3,18,1,4.66,46.81,33.85,33.33,25.42,59,66.67,82.44
2602201401,Friday,Post-Asia,8.50,-0.47,33.80,5.40,1,10,0,5.23,37.50,33.78,30.56,12.50,48,8.33,20.34
2602220742,Sunday,NA-Asia,8.03,0.18,28.03,5.33,1,11,4,4.89,15.15,26.67,41.03,8.11,37,66.67,32.80
2602221723,Monday,Asia-EU,8.21,0.18,36.94,8.51,4,22,0,4.24,40.74,37.21,34.09,17.24,58,66.67,91.76
2603011742,Monday,Pre-EU,8.39,0.07,34.82,6.07,5,10,0,4.82,43.33,26.32,44.00,20.51,39,60.00,56.89
2603020644,Monday,NA-Asia,8.47,0.37,36.70,6.00,0,13,2,4.95,46.43,36.36,26.92,10.00,40,83.33,53.67
2603021923,Tuesday,Pre-EU,8.84,-0.36,31.15,6.28,3,13,0,4.50,34.78,33.33,24.24,26.32,38,16.67,23.83
2603041445,Wednesday,Post-Asia,8.47,-0.07,33.78,6.29,0,17,0,4.56,33.33,31.82,36.96,30.00,50,41.67,40.89
2603061048,Friday,Pre-Asia,8.40,0.01,30.46,3.88,3,12,1,5.04,25.00,26.79,38.18,23.91,46,50.00,32.38
2603071352,Saturday,Post-Asia,8.41,-0.19,41.07,5.97,2,11,0,5.35,48.48,38.00,37.93,13.04,46,30.00,47.72
2603091433,Monday,Post-Asia,8.22,-0.38,29.08,5.86,2,9,1,4.98,20.59,35.82,25.00,21.95,41,16.67,18.21
2603091909,Tuesday,Pre-EU,7.84,0.38,34.44,6.30,4,16,1,4.63,38.46,31.34,35.56,26.92,52,83.33,81.87
2603101021,Tuesday,Pre-Asia,8.22,0.01,32.05,5.21,1,15,1,5.12,44.12,24.66,34.69,18.00,50,50.00,34.33
2603101904,Wednesday,Pre-EU,8.23,0.18,41.22,10.86,3,21,0,4.20,37.93,36.67,50.00,38.89,54,66.67,90.23
2603111035,Wednesday,Pre-Asia,8.41,0.18,38.46,5.50,2,8,0,5.29,45.45,28.81,45.10,14.55,55,66.67,68.31
2603161028,Monday,Pre-Asia,8.60,-0.29,40.59,7.33,6,13,1,5.19,53.57,34.85,33.33,13.04,69,25.00,64.92
2603161343,Monday,Post-Asia,8.31,0.19,29.81,6.93,4,15,0,3.97,28.00,26.67,35.29,51.61,31,66.67,60.15
2603161608,Tuesday,Asia-EU,8.50,-0.01,35.21,7.65,8,20,0,4.02,41.67,30.00,36.96,28.00,50,50.00,65.23
2603161905,Tuesday,Pre-EU,8.49,0.37,35.66,6.94,2,14,1,4.72,51.35,31.48,26.32,17.39,46,83.33,56.86
2603171003,Tuesday,Pre-Asia,8.86,0.08,33.79,6.99,4,19,0,4.49,34.78,35.59,30.00,36.73,49,58.33,49.64
2603181441,Wednesday,Post-Asia,8.95,-0.37,31.30,6.56,4,12,0,5.05,40.00,18.64,42.86,24.39,41,16.67,13.84
2603191100,Thursday,Pre-Asia,8.58,-0.26,30.99,4.89,2,13,1,4.64,37.93,30.99,26.19,22.73,44,25.00,6.97
2603191423,Thursday,Post-Asia,8.32,0.39,39.76,7.01,4,27,1,4.42,45.24,38.96,36.17,33.33,66,83.33,76.35
2603191900,Friday,Pre-EU,8.71,-0.36,31.08,5.37,0,11,1,4.76,46.88,30.56,20.45,13.04,46,16.67,5.46
2603201913,Saturday,Pre-EU,8.35,-0.01,37.09,8.06,3,16,0,4.71,40.48,35.48,36.17,21.43,56,50.00,78.14
2603211405,Saturday,Post-Asia,8.34,-0.09,30.26,5.02,1,8,0,5.00,21.62,35.90,27.03,15.22,46,40.00,15.65
2603230420,Monday,Post-NA,8.25,0.54,39.86,7.88,1,14,0,4.65,44.74,36.23,41.67,15.79,57,100.00,87.03
