Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2602200526,Friday,Post-NA,13.79,-0.45,42.03,8.23,1,20,0,4.72,52.63,43.33,30.00,25.86,58,16.67,50.00
2602220459,Sunday,Post-NA,13.34,0.22,43.31,11.94,7,27,1,3.65,34.21,46.15,48.65,41.82,55,66.67,77.54
2602231123,Monday,Pre-Asia,13.56,0.01,45.07,12.28,8,33,0,3.78,54.76,42.19,38.89,42.19,64,50.00,85.64
2602281106,Saturday,Pre-Asia,13.57,0.54,44.19,11.28,8,28,0,4.55,47.37,45.00,40.74,30.26,76,91.67,83.82
2603020644,Monday,NA-Asia,14.12,-0.21,47.11,8.81,1,21,0,4.95,68.97,44.44,31.03,24.56,57,33.33,26.36
2603060551,Friday,NA-Asia,13.91,0.01,42.10,12.11,7,26,1,4.23,48.00,43.84,37.04,29.69,64,50.00,54.38
2603090538,Monday,NA-Asia,13.92,-0.20,49.69,11.00,2,19,2,4.92,51.22,56.00,37.21,21.52,79,33.33,49.45
2603161905,Tuesday,Pre-EU,13.72,-0.62,44.54,8.21,1,15,0,4.85,50.00,48.33,29.63,26.42,53,0.00,15.58
2603201913,Saturday,Pre-EU,13.10,0.32,42.68,8.92,5,15,0,4.96,53.33,43.59,35.71,20.00,70,75.00,54.66
2603220743,Sunday,NA-Asia,13.41,-0.09,42.67,10.59,3,14,2,4.69,45.45,52.86,25.53,23.44,64,41.67,35.92
2603230420,Monday,Post-NA,13.32,-0.01,41.25,9.96,4,24,0,4.49,58.33,36.11,36.54,22.73,66,50.00,36.46
2603280947,Saturday,Pre-Asia,13.31,0.09,37.40,10.98,3,24,0,3.78,27.59,45.28,34.15,36.96,46,58.33,52.32
2603282207,Sunday,Post-EU,13.40,-0.11,43.75,11.73,3,21,1,4.16,40.54,54.35,31.03,38.78,49,40.00,44.49
2604050751,Sunday,NA-Asia,13.29,-0.09,42.48,10.46,2,20,1,4.66,55.26,40.58,34.78,15.38,65,41.67,50.18
2604100734,Friday,NA-Asia,13.20,0.20,48.20,12.48,5,29,0,4.16,58.97,54.10,28.20,29.85,67,70.00,93.07
2604111356,Saturday,Post-Asia,13.40,-0.01,35.95,7.28,1,12,0,4.86,40.91,37.93,29.41,12.73,55,50.00,29.68
2604121013,Sunday,Pre-Asia,13.39,-0.09,54.13,13.78,4,20,0,4.30,53.57,49.12,66.67,23.73,59,40.00,64.72
2604140505,Tuesday,Post-NA,13.30,0.29,48.00,11.66,7,21,1,4.37,54.05,57.38,18.52,21.67,60,80.00,86.00
2604210049,Tuesday,Pre-NA,13.60,-0.20,49.59,12.93,7,28,0,3.88,53.85,55.36,38.46,26.67,60,33.33,65.22
