Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601191349,Monday,Post-Asia,5.36,-0.64,21.31,2.68,1,4,0,5.23,26.67,18.03,22.58,15.38,26,0.00,50.00
2601291310,Thursday,Post-Asia,4.72,0.04,22.14,3.86,2,8,2,5.03,32.00,20.00,19.51,13.79,29,50.00,77.48
2601291637,Friday,Asia-EU,4.76,-0.10,17.80,3.33,2,7,0,4.43,20.83,15.52,19.44,23.81,21,40.00,50.70
2601312317,Sunday,EU-NA,4.66,-0.20,17.99,3.06,1,6,2,4.76,16.67,13.64,25.58,16.00,25,33.33,40.03
2602020040,Monday,Pre-NA,4.46,0.01,16.79,2.77,1,6,0,5.30,21.21,13.43,18.92,26.09,23,50.00,44.05
2602051504,Friday,Post-Asia,4.47,-0.22,25.33,2.36,0,2,2,6.08,17.65,14.49,46.81,7.89,38,33.33,46.45
2602061813,Saturday,Pre-EU,4.25,0.57,19.84,2.63,0,3,0,5.33,14.29,19.61,25.71,12.50,24,100.00,52.03
2602062111,Saturday,Post-EU,4.83,0.32,19.75,2.87,0,2,1,5.19,13.64,20.59,24.00,12.50,16,100.00,53.35
2602081905,Monday,Pre-EU,5.14,0.33,18.00,3.19,1,2,0,4.56,0.00,22.73,22.22,11.11,9,100.00,58.92
2602111343,Wednesday,Post-Asia,5.47,-0.20,17.14,2.16,0,3,2,5.75,16.13,18.84,15.00,12.50,24,33.33,16.48
2602151918,Monday,Pre-EU,5.27,0.00,18.03,3.53,3,6,1,4.54,29.17,14.06,17.65,27.27,22,50.00,46.92
2602231123,Monday,Pre-Asia,5.28,0.01,18.31,2.82,1,5,2,5.00,19.05,12.50,27.78,15.38,26,50.00,41.36
2602271913,Saturday,Pre-EU,5.29,-0.51,10.87,1.47,0,1,3,5.40,13.64,2.44,20.69,10.00,10,0.00,5.03
2603041445,Wednesday,Post-Asia,4.78,-0.00,25.00,4.38,0,11,2,4.84,25.64,24.61,25.00,29.73,37,50.00,65.28
2603091433,Monday,Post-Asia,4.78,0.29,24.82,4.21,1,8,2,5.40,21.88,20.31,33.33,20.00,35,75.00,87.80
2603101021,Tuesday,Pre-Asia,5.07,-0.28,18.95,2.94,0,5,0,4.90,18.18,13.16,29.55,10.34,29,25.00,39.57
2603161343,Monday,Post-Asia,4.78,0.19,20.87,5.04,5,10,0,3.96,14.81,18.42,26.00,37.50,24,66.67,88.49
2603161608,Tuesday,Asia-EU,4.98,0.20,29.41,4.84,3,14,1,4.53,8.82,25.37,48.08,22.22,45,66.67,91.59
2603181441,Wednesday,Post-Asia,5.17,0.19,16.80,4.41,3,8,1,4.67,14.29,11.32,25.00,33.33,21,66.67,62.11
2603191423,Thursday,Post-Asia,5.37,-0.40,24.43,5.15,2,15,0,4.03,34.78,14.52,32.61,43.75,32,16.67,62.94
2603191900,Friday,Pre-EU,4.97,0.40,22.22,4.08,2,9,1,5.06,12.90,22.73,27.66,25.00,32,83.33,78.53
2603241046,Tuesday,Pre-Asia,5.37,-0.38,22.14,3.54,0,9,0,4.90,21.21,14.29,34.09,16.13,31,16.67,32.26
2603241355,Tuesday,Post-Asia,4.99,-0.38,16.13,1.70,0,5,0,5.20,15.15,17.24,15.15,30.00,20,16.67,8.93
2603251007,Wednesday,Pre-Asia,4.61,-0.01,25.53,3.51,1,9,1,5.56,20.45,12.50,42.86,13.89,36,50.00,57.49
2603251345,Wednesday,Post-Asia,4.60,-0.20,18.42,2.42,1,4,3,5.86,31.58,10.45,19.15,7.14,28,33.33,10.74
2603261019,Thursday,Pre-Asia,4.41,-0.02,15.91,1.97,2,8,2,4.93,26.09,9.88,16.33,17.86,28,50.00,30.10
2603261351,Thursday,Post-Asia,4.38,0.18,21.38,3.43,1,5,3,5.52,24.24,14.49,30.23,16.13,31,66.67,58.58
2603291008,Sunday,Pre-Asia,4.56,-0.01,16.92,2.05,1,2,4,6.27,29.03,17.54,7.14,9.09,22,50.00,28.51
2603300940,Monday,Pre-Asia,4.56,-0.15,25.00,4.46,2,4,1,5.41,33.33,22.00,22.22,18.75,32,33.33,69.62
2603301356,Monday,Post-Asia,4.41,-0.28,15.66,1.69,0,6,1,5.73,14.89,17.07,13.51,7.69,26,25.00,12.65
2605101217,Sunday,Pre-Asia,4.12,-0.02,25.69,4.41,0,9,0,4.93,27.78,24.53,26.32,21.43,28,50.00,80.57
2605111054,Monday,Pre-Asia,4.11,0.20,27.82,3.77,3,13,1,5.31,20.59,25.35,36.96,21.43,42,66.67,93.56
2605111404,Monday,Post-Asia,4.31,-0.02,18.12,1.96,0,2,3,5.76,20.00,20.00,13.95,12.00,25,50.00,26.11
2605121405,Tuesday,Post-Asia,4.29,0.18,21.17,4.30,2,11,0,4.00,18.52,19.40,25.58,34.48,29,66.67,80.41
2605181101,Monday,Pre-Asia,4.47,0.27,21.54,3.38,1,8,1,4.79,13.79,20.97,28.20,25.00,28,75.00,70.02
2605181508,Tuesday,Post-Asia,4.75,-0.28,16.06,2.33,1,3,1,5.36,29.03,6.56,20.00,13.64,22,25.00,12.50
2605191412,Tuesday,Post-Asia,4.46,-0.00,26.19,4.90,0,13,0,4.70,23.08,20.00,37.50,27.27,33,50.00,77.59
2605200834,Wednesday,Pre-Asia,4.46,-0.17,19.71,2.79,0,7,0,5.30,21.88,20.25,15.38,18.52,27,33.33,17.98
2605201425,Wednesday,Post-Asia,4.30,0.10,19.70,2.61,1,6,2,5.08,19.36,14.81,25.53,11.54,26,60.00,38.05
2605221423,Friday,Post-Asia,4.40,-0.08,19.05,3.10,0,8,5,5.00,21.43,15.00,22.22,17.86,28,41.67,17.94
2605251249,Monday,Post-Asia,4.32,0.18,18.84,3.18,1,6,0,4.81,29.27,13.85,15.62,15.38,26,66.67,50.99
2605271100,Wednesday,Pre-Asia,4.51,0.20,16.90,3.00,0,5,0,5.04,15.15,15.79,21.21,12.50,24,66.67,45.91
2606091358,Tuesday,Post-Asia,4.70,0.19,20.31,3.14,2,7,1,5.31,16.67,13.33,31.82,15.38,26,66.67,60.01
2606100901,Wednesday,Pre-Asia,4.89,-0.08,19.59,2.42,0,4,2,5.45,16.22,15.79,25.93,6.90,29,41.67,30.15
2606182234,Friday,EU-NA,4.82,-0.00,24.46,4.93,3,13,1,4.24,19.23,18.46,35.42,20.59,34,50.00,78.52
2606201811,Sunday,Pre-EU,4.81,-0.09,22.50,3.83,2,7,4,5.36,19.36,25.35,20.69,19.44,36,41.67,58.18
2606222249,Tuesday,EU-NA,4.72,-0.09,26.50,3.74,1,6,0,5.48,33.33,15.69,36.67,19.35,31,40.00,65.59
2606232311,Wednesday,EU-NA,4.63,0.18,22.40,3.24,1,6,1,5.04,23.40,7.84,48.15,21.43,28,66.67,64.07
2606290938,Monday,Pre-Asia,4.80,0.08,18.07,2.73,1,5,0,5.07,18.75,17.07,19.23,26.67,15,66.67,36.41
2606301401,Tuesday,Post-Asia,4.89,0.18,22.60,4.12,2,10,0,4.61,9.68,21.88,31.37,30.30,33,66.67,83.90
2607011048,Wednesday,Pre-Asia,5.07,-0.27,18.87,3.15,1,3,1,4.30,9.09,16.67,27.78,10.00,10,0.00,15.93
2607011417,Wednesday,Post-Asia,4.80,0.00,23.33,5.96,2,7,0,3.71,26.67,20.83,23.81,42.86,14,16.67,59.29
2607011436,Wednesday,Post-Asia,4.80,0.20,22.63,4.80,3,13,0,4.19,23.68,17.24,29.27,32.26,31,16.67,74.82
2607061413,Monday,Post-Asia,5.00,-0.44,15.85,1.86,0,6,2,5.19,19.23,6.67,29.73,7.69,26,33.33,10.06
2607101409,Friday,Post-Asia,4.56,-0.03,13.08,2.93,2,5,1,4.00,10.00,10.42,20.69,35.71,14,50.00,31.44
2607111022,Saturday,Pre-Asia,4.53,-0.42,27.52,3.88,3,11,0,5.12,29.41,28.57,24.44,24.39,41,33.33,60.12
2607121142,Sunday,Pre-Asia,4.11,-0.36,21.09,3.84,2,12,2,4.48,16.13,11.32,36.36,33.33,27,33.33,45.86
2607130745,Monday,NA-Asia,3.75,0.19,20.97,2.34,1,3,0,5.31,25.00,14.81,26.32,15.38,13,66.67,51.40
2607130856,Monday,Pre-Asia,3.93,0.58,14.29,2.29,1,1,0,4.62,9.09,13.64,17.39,12.50,8,100.00,39.84
2607141028,Tuesday,Pre-Asia,4.52,0.77,20.16,3.39,2,10,0,4.92,26.83,17.31,16.67,19.23,26,83.33,72.65
2607141110,Tuesday,Pre-Asia,5.29,0.00,27.87,5.09,0,4,0,4.24,14.29,28.57,36.84,35.29,17,100.00,65.56
2607141113,Tuesday,Pre-Asia,5.29,0.54,27.87,5.09,0,4,0,4.24,14.29,28.57,36.84,35.29,17,100.00,77.99
2607171630,Saturday,Asia-EU,5.83,-0.37,8.57,0.82,0,0,1,5.00,16.67,7.69,6.25,0.00,3,0.00,6.82
2608011411,Saturday,Post-Asia,5.46,0.01,16.98,2.82,2,7,1,4.93,12.77,17.14,21.43,18.52,27,50.00,29.81
