Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601021357,Friday,Post-Asia,11.81,-0.29,40.00,7.62,2,14,0,4.91,56.41,38.60,25.64,20.37,54,20.00,50.00
2601051410,Monday,Post-Asia,11.52,-0.19,29.92,6.27,2,9,0,4.95,36.11,26.92,28.20,21.05,38,33.33,33.24
2601060529,Tuesday,Post-NA,11.32,0.01,29.73,5.38,1,10,0,4.75,40.00,31.94,17.07,13.64,44,50.00,38.00
2601061413,Tuesday,Post-Asia,11.33,-0.20,37.74,6.48,0,15,0,5.15,55.26,40.00,19.57,15.00,60,33.33,58.93
2601071400,Wednesday,Post-Asia,11.14,0.09,42.10,9.45,3,14,0,4.45,60.00,35.00,32.00,32.50,40,60.00,80.73
2601091400,Friday,Post-Asia,11.23,-0.01,38.93,8.19,2,13,0,4.75,52.00,38.57,30.56,21.57,51,50.00,82.93
2601140549,Wednesday,NA-Asia,11.21,0.36,36.49,6.04,0,13,0,5.30,50.00,37.50,25.00,18.52,54,83.33,56.97
2601170538,Saturday,NA-Asia,11.57,0.10,41.67,8.00,0,17,0,4.64,45.16,49.21,19.23,14.00,50,60.00,79.49
2601171640,Sunday,Asia-EU,11.67,0.00,34.43,8.84,5,18,0,4.12,42.31,38.89,23.81,40.48,42,60.00,57.12
2601171642,Sunday,Asia-EU,11.67,0.09,34.43,8.84,5,18,0,4.12,42.31,38.89,23.81,40.48,42,60.00,61.07
2601180726,Sunday,NA-Asia,11.76,0.20,31.62,5.02,0,9,0,5.23,40.74,36.92,18.18,13.95,43,66.67,33.57
2601181029,Sunday,Pre-Asia,11.96,0.09,49.61,12.09,7,27,0,4.11,66.67,44.62,45.71,34.92,63,60.00,84.17
2601190743,Monday,NA-Asia,12.05,0.18,33.59,8.58,1,23,0,3.63,50.00,34.29,20.59,41.86,43,66.67,49.53
2601191349,Monday,Post-Asia,12.24,-0.55,34.43,5.39,1,9,0,4.76,56.67,32.79,16.13,21.43,42,0.00,7.80
2601220918,Thursday,Pre-Asia,11.69,-0.36,35.37,6.49,2,14,0,4.71,50.00,41.27,18.00,26.92,52,16.67,22.70
2601221429,Thursday,Post-Asia,11.32,0.36,36.88,7.76,6,22,0,4.13,54.76,33.33,25.00,38.46,52,83.33,74.97
2601270546,Tuesday,NA-Asia,11.69,0.02,34.55,6.95,1,23,0,4.33,50.00,34.85,17.02,22.81,57,50.00,30.09
2601291637,Friday,Asia-EU,11.70,-0.06,37.50,7.21,1,18,0,4.19,62.50,29.27,25.64,30.95,42,40.00,30.60
2601310822,Saturday,NA-Asia,11.64,-0.19,41.27,8.23,1,14,1,5.00,48.15,54.55,20.45,19.23,52,30.00,56.15
2602021353,Monday,Post-Asia,11.44,0.00,28.46,6.75,1,13,1,4.59,62.50,27.12,12.77,21.62,37,50.00,27.49
2602041343,Wednesday,Post-Asia,11.45,-0.20,29.75,7.72,0,21,0,3.69,34.48,31.03,23.53,38.89,36,33.33,21.02
2602071029,Saturday,Pre-Asia,11.25,0.19,34.68,6.15,2,11,0,4.56,51.72,27.42,33.33,30.23,43,66.67,50.97
2602081133,Sunday,Pre-Asia,11.45,-0.17,44.60,8.64,7,24,0,4.34,58.00,39.66,32.26,33.87,62,33.33,71.87
2602111343,Wednesday,Post-Asia,11.27,-0.19,30.63,6.33,1,9,0,4.82,34.78,26.92,33.33,17.65,34,33.33,12.50
2602141404,Saturday,Post-Asia,11.09,-0.19,37.96,8.46,1,15,0,4.54,40.54,41.82,31.11,34.62,52,33.33,59.80
2603010710,Sunday,NA-Asia,10.90,0.09,35.19,5.70,0,15,3,5.05,43.59,40.00,24.14,14.04,57,58.33,47.87
2603071352,Saturday,Post-Asia,10.99,-0.27,31.16,5.42,2,12,0,4.95,35.71,36.36,20.45,23.26,43,20.00,16.23
2603091433,Monday,Post-Asia,10.72,-0.37,30.50,6.20,3,10,0,4.98,38.23,29.85,25.00,20.93,43,16.67,16.92
2603151901,Monday,Pre-EU,10.35,-0.16,46.40,8.40,1,12,1,4.84,69.05,28.30,46.67,20.69,58,33.33,65.33
2603161343,Monday,Post-Asia,10.19,0.18,39.13,9.14,6,21,0,3.84,51.85,44.74,28.00,37.78,45,66.67,84.77
2603161608,Tuesday,Asia-EU,10.37,-0.01,36.62,7.37,5,19,0,4.12,52.78,28.33,34.78,28.85,52,50.00,72.50
2603190419,Thursday,Post-NA,10.36,0.18,40.69,9.17,1,18,1,4.73,73.33,33.33,30.77,18.64,59,66.67,83.42
2603191423,Thursday,Post-Asia,10.54,-0.01,36.67,7.10,4,24,0,4.25,50.00,30.14,35.90,38.18,55,50.00,63.28
2603211405,Saturday,Post-Asia,10.53,-0.09,36.18,6.54,1,12,0,4.78,40.54,39.74,24.32,20.00,55,40.00,33.10
