Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2604021830,Friday,Pre-EU,12.00,-0.30,28.83,8.43,6,13,0,4.03,45.83,32.65,13.16,25.00,32,20.00,50.00
2604030641,Friday,NA-Asia,11.70,0.24,29.23,10.08,3,22,1,3.84,43.75,24.61,24.24,36.84,38,66.67,74.55
2604060410,Monday,Post-NA,11.94,-0.48,26.09,8.15,7,22,0,3.53,46.67,29.41,12.28,44.44,36,16.67,24.74
2604061807,Tuesday,Pre-EU,11.46,0.03,32.86,12.36,10,27,2,3.52,36.84,32.26,30.00,52.17,46,50.00,87.97
2604090014,Thursday,EU-NA,11.49,0.02,38.52,13.06,5,29,1,3.64,52.78,32.69,32.35,42.55,47,50.00,82.09
2604090720,Thursday,NA-Asia,11.51,0.46,34.68,12.04,15,29,1,3.14,50.00,37.50,26.00,62.79,43,83.33,92.74
2604100734,Friday,NA-Asia,11.97,0.56,34.62,10.09,3,22,0,3.84,51.61,32.35,22.58,40.00,45,100.00,66.47
2604110724,Saturday,NA-Asia,12.53,-0.01,35.04,11.24,3,22,6,3.94,30.30,47.06,16.67,37.50,48,50.00,54.30
2604120456,Sunday,Post-NA,12.52,-0.21,33.33,10.02,4,26,2,3.66,37.50,35.29,26.83,31.91,47,33.33,30.73
2604130424,Monday,Post-NA,12.30,-0.21,35.34,12.38,5,24,2,3.94,43.75,31.67,34.15,42.55,47,33.33,56.56
2604131902,Tuesday,Pre-EU,12.09,-0.42,33.56,11.12,4,26,1,3.68,40.00,36.21,26.79,42.00,50,16.67,40.69
2604140505,Tuesday,Post-NA,11.67,0.00,36.22,9.96,6,20,1,4.09,52.94,28.07,33.33,30.43,46,50.00,54.97
2604140736,Tuesday,NA-Asia,11.67,-0.00,32.62,8.68,5,19,2,4.20,45.16,30.43,26.83,28.26,46,16.67,22.14
2604141831,Wednesday,Pre-EU,11.67,-0.19,36.15,10.52,7,24,1,4.08,51.52,38.09,17.65,34.04,47,66.67,50.75
2604160039,Thursday,Pre-NA,11.48,0.10,40.43,10.36,6,30,1,4.00,55.81,30.30,40.62,42.11,57,60.00,70.39
2604160643,Thursday,NA-Asia,11.58,0.21,39.22,10.72,16,40,1,2.85,59.46,36.23,27.66,65.00,60,66.67,89.07
2604170729,Friday,NA-Asia,11.79,-0.01,36.43,11.18,12,28,2,3.45,56.25,28.36,34.15,47.06,51,50.00,77.02
2604171736,Saturday,Pre-EU,11.78,-0.21,32.67,11.88,5,25,2,2.82,42.10,39.58,17.65,60.61,33,30.00,30.71
2604180738,Saturday,NA-Asia,11.57,0.20,37.18,14.64,5,32,5,3.90,55.17,36.67,24.32,48.28,58,66.67,75.36
2604182112,Sunday,Post-EU,11.77,0.31,39.02,10.85,7,31,2,3.29,45.45,38.18,34.29,52.08,48,80.00,64.85
2604190454,Sunday,Post-NA,12.09,0.01,40.72,12.22,3,23,5,4.38,60.00,40.79,28.57,23.53,68,50.00,58.81
2604190732,Sunday,NA-Asia,12.10,0.20,37.81,11.06,12,30,0,3.00,36.00,39.62,36.59,62.22,45,66.67,64.10
2604200513,Monday,Post-NA,12.29,0.00,39.22,12.38,3,33,2,3.68,43.59,46.48,23.26,30.00,60,75.00,67.81
2604202224,Tuesday,Post-EU,12.29,-0.11,43.44,13.59,9,32,0,3.19,53.12,48.94,30.23,49.06,53,40.00,63.42
2604210049,Tuesday,Pre-NA,12.19,-0.20,31.41,10.37,7,22,3,3.37,57.69,30.36,15.38,36.84,38,33.33,7.70
2604211351,Tuesday,Post-Asia,11.99,0.00,33.59,13.97,11,31,1,2.86,40.74,36.07,25.58,54.55,44,50.00,47.20
2604220615,Wednesday,NA-Asia,11.99,0.57,41.24,12.39,4,18,2,4.17,64.52,36.84,21.43,35.00,40,80.00,66.89
2604230508,Thursday,Post-NA,12.56,0.32,41.91,13.29,11,30,2,3.07,61.11,36.54,40.00,56.82,44,80.00,81.70
2604240452,Friday,Post-NA,12.88,0.00,39.71,11.70,9,32,1,3.37,45.71,43.08,27.78,44.44,54,50.00,45.68
2604250626,Saturday,NA-Asia,12.88,0.11,39.26,14.46,8,27,5,3.85,48.28,33.33,44.12,41.51,53,58.33,63.95
2604260432,Sunday,Post-NA,12.99,0.28,40.00,12.57,5,25,7,4.20,65.71,39.66,21.28,35.71,56,75.00,62.72
2604270523,Monday,Post-NA,13.26,0.57,47.25,15.89,17,32,2,2.51,60.87,43.90,40.74,65.12,43,100.00,85.94
2604280507,Tuesday,Post-NA,13.83,0.01,43.14,13.81,7,44,1,3.20,61.77,46.27,26.92,65.15,66,50.00,61.42
2604300723,Thursday,NA-Asia,13.84,0.22,39.85,13.46,13,36,2,3.15,54.84,38.98,31.25,56.36,55,66.67,73.38
2605012120,Saturday,Post-EU,14.06,-0.00,41.13,13.38,10,40,2,3.12,57.50,37.29,30.95,58.62,58,50.00,44.04
2605020939,Saturday,Pre-Asia,14.06,-0.01,37.59,12.39,6,26,0,3.74,74.29,19.36,34.09,45.28,53,50.00,19.35
2605040627,Monday,NA-Asia,14.05,0.38,38.26,13.60,21,42,3,2.70,41.46,44.26,27.66,68.42,57,83.33,65.76
2605060545,Wednesday,NA-Asia,14.43,0.19,32.43,10.95,4,17,4,3.78,55.17,31.37,12.90,36.11,36,66.67,21.34
2605062100,Thursday,Post-EU,14.62,0.28,44.29,15.02,8,36,4,3.48,47.37,45.00,40.48,43.55,62,75.00,77.27
2605090627,Saturday,NA-Asia,14.90,0.00,37.75,11.32,7,33,1,3.70,25.93,41.25,38.64,42.11,57,50.00,22.45
2605121815,Wednesday,Pre-EU,14.90,0.18,47.54,15.54,14,34,4,3.36,47.06,53.85,38.89,58.62,58,70.00,80.56
2605150701,Friday,NA-Asia,15.08,0.56,41.96,13.43,17,34,0,2.83,61.11,37.29,40.00,65.96,47,100.00,78.38
2605161016,Saturday,Pre-Asia,15.64,0.71,43.85,13.78,4,26,1,3.77,45.71,43.75,41.94,29.82,57,83.33,84.59
2605180606,Monday,NA-Asia,16.35,0.18,42.98,19.19,15,31,4,3.08,53.85,48.39,19.23,61.22,49,66.67,56.88
2605200834,Wednesday,Pre-Asia,16.53,-0.17,42.34,14.83,12,38,3,3.31,65.62,36.71,30.77,56.90,58,33.33,57.33
2605210713,Thursday,NA-Asia,16.36,-0.00,43.09,15.97,17,37,1,2.79,44.00,46.43,38.09,66.04,53,50.00,60.68
2605222104,Saturday,Post-EU,16.36,0.28,44.00,14.63,8,30,0,3.23,66.67,43.90,25.00,52.27,44,80.00,64.09
2605230657,Saturday,NA-Asia,16.64,-0.10,42.28,13.00,8,34,2,3.86,51.35,39.34,39.22,38.10,63,40.00,23.02
2605250730,Monday,NA-Asia,16.55,0.36,39.39,12.71,7,31,0,3.46,57.14,41.94,23.81,40.38,52,83.33,37.42
2605270453,Wednesday,Post-NA,16.91,-0.19,39.85,14.79,7,32,1,3.64,34.78,42.86,37.50,50.94,53,33.33,22.17
2605290743,Friday,NA-Asia,16.72,0.19,44.12,13.57,18,42,1,3.02,58.33,43.48,29.03,63.33,60,50.00,53.23
2605310642,Sunday,NA-Asia,16.91,-0.19,44.30,14.75,7,35,2,3.97,56.67,48.10,30.61,42.86,70,50.00,42.66
2606050839,Friday,Pre-Asia,16.72,0.18,42.18,12.54,14,35,0,3.68,51.16,40.84,33.33,51.61,62,66.67,61.56
2606070809,Sunday,NA-Asia,16.89,,41.99,12.56,5,30,6,4.38,50.00,39.77,39.62,34.21,76,58.33,
