Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601020800,Friday,NA-Asia,10.44,0.00,37.58,7.41,1,20,1,4.57,46.51,38.33,28.26,14.29,56,50.00,50.00
2601030526,Saturday,Post-NA,10.44,0.38,32.43,8.10,6,21,0,4.00,35.48,35.06,25.00,41.67,48,83.33,61.46
2601040610,Sunday,NA-Asia,10.81,-0.24,28.66,6.28,6,16,0,4.17,29.41,27.38,30.43,34.04,47,33.33,16.09
2601060529,Tuesday,Post-NA,10.57,0.19,28.80,6.05,3,16,0,4.49,30.00,28.09,29.03,16.36,55,66.67,44.02
2601110529,Sunday,Post-NA,10.76,0.00,42.86,11.46,7,11,0,3.57,42.86,44.44,37.50,52.38,21,50.00,61.49
2601120530,Monday,NA-Asia,10.76,0.50,37.74,8.01,3,13,0,4.62,52.94,32.56,36.96,25.00,40,100.00,69.12
2601140549,Wednesday,NA-Asia,11.26,-0.38,27.35,5.38,1,8,1,5.03,45.00,25.81,20.00,21.88,32,16.67,4.10
2601170538,Saturday,NA-Asia,10.88,-0.50,28.80,4.54,1,8,1,5.36,35.48,26.87,25.93,13.89,36,0.00,4.70
2601180726,Sunday,NA-Asia,10.39,0.18,34.84,7.32,0,17,0,4.68,34.48,36.36,32.65,18.52,54,66.67,73.27
2601222213,Friday,Post-EU,10.57,0.01,38.14,8.03,5,19,0,4.02,45.45,33.93,40.00,33.33,45,50.00,73.26
2601240626,Saturday,NA-Asia,10.58,0.01,36.30,8.22,2,20,0,3.96,45.45,35.82,28.57,36.73,49,50.00,67.30
2601270546,Tuesday,NA-Asia,10.59,0.00,40.61,9.41,5,31,0,4.01,50.00,42.42,27.66,28.36,67,50.00,83.47
2601290015,Thursday,EU-NA,10.59,0.37,43.75,7.70,3,18,0,4.41,48.78,37.04,48.48,26.79,56,83.33,81.92
2602081133,Sunday,Pre-Asia,10.96,-0.19,33.33,6.84,7,19,0,4.04,58.82,26.39,25.00,26.00,50,33.33,28.97
2602130043,Friday,Pre-NA,10.77,-0.00,32.90,7.33,6,23,0,4.06,40.00,26.56,34.78,35.29,51,50.00,52.12
2602151918,Monday,Pre-EU,10.77,0.18,32.58,6.73,2,19,0,4.14,45.16,19.36,43.59,27.91,43,66.67,39.74
2602200526,Friday,Post-NA,10.95,-0.01,39.57,7.67,2,15,0,4.71,46.67,31.67,44.12,16.36,55,50.00,67.13
2602210737,Saturday,NA-Asia,10.93,0.29,41.04,8.31,1,22,0,4.93,54.05,37.66,37.29,23.94,71,75.00,82.01
2602220459,Sunday,Post-NA,11.22,-0.37,28.57,6.71,5,16,0,4.17,32.26,18.75,40.00,32.50,40,16.67,13.20
2602242110,Wednesday,Post-EU,10.85,0.18,38.52,7.19,1,24,0,4.21,61.29,32.26,30.95,34.62,52,66.67,53.02
2603070048,Saturday,Pre-NA,11.03,-0.33,31.30,6.91,3,14,0,4.53,33.33,32.73,26.67,25.00,36,16.67,10.65
2603122228,Friday,Post-EU,10.71,0.18,31.90,8.88,6,16,0,4.05,35.71,29.41,32.43,29.73,37,66.67,61.12
2603150014,Sunday,EU-NA,10.89,0.01,32.17,8.45,3,16,0,4.00,42.86,30.91,25.00,35.14,37,40.00,41.53
2603230420,Monday,Post-NA,10.89,-0.17,29.33,6.24,2,13,0,4.73,41.94,21.54,31.48,22.73,44,33.33,11.66
2603302139,Tuesday,Post-EU,10.72,-0.09,39.24,9.01,8,29,0,3.89,56.76,25.68,46.81,41.94,62,41.67,71.09
2604021830,Friday,Pre-EU,10.63,-0.11,37.50,9.63,4,12,0,4.46,68.42,37.50,17.24,33.33,33,40.00,56.64
2604061807,Tuesday,Pre-EU,10.53,0.00,39.85,9.07,2,21,0,4.44,36.84,45.90,33.33,30.91,55,50.00,78.54
2604090720,Thursday,NA-Asia,10.53,-0.36,27.27,4.56,2,8,0,4.63,38.09,18.37,32.50,20.00,30,16.67,8.18
2604091812,Friday,Pre-EU,10.17,0.09,38.46,7.70,2,13,0,4.60,47.83,40.82,31.11,24.44,45,60.00,70.17
2604100734,Friday,NA-Asia,10.26,-0.28,34.97,6.02,2,13,0,5.02,43.24,33.33,30.00,12.00,50,20.00,33.61
2604110724,Saturday,NA-Asia,9.98,0.19,41.35,7.92,1,12,0,5.00,50.00,33.33,51.85,16.36,55,66.67,78.48
2604120456,Sunday,Post-NA,10.17,-0.00,30.99,4.94,0,12,3,5.08,41.67,28.39,27.78,16.98,53,50.00,35.08
2604140505,Tuesday,Post-NA,10.17,0.01,41.96,9.44,4,16,0,4.47,72.73,33.33,36.67,25.53,47,50.00,81.44
2604180738,Saturday,NA-Asia,10.18,0.27,40.99,7.78,1,13,0,5.35,50.00,40.79,32.56,15.15,66,75.00,79.98
2604200513,Monday,Post-NA,10.45,0.00,33.85,6.70,2,8,1,4.77,45.16,26.23,36.84,11.36,44,33.33,21.44
2604202224,Tuesday,Post-EU,10.45,0.10,41.13,9.36,6,21,1,3.98,50.00,40.00,37.14,27.45,51,80.00,85.78
2604280507,Tuesday,Post-NA,10.55,-0.01,29.29,5.87,0,15,1,4.07,40.00,27.54,26.09,24.39,41,50.00,19.33
2605010408,Friday,Post-NA,10.55,0.34,36.21,8.54,10,21,0,3.48,42.86,34.55,35.00,47.62,42,83.33,71.69
2605012120,Saturday,Post-EU,10.89,-0.00,41.13,9.72,4,29,0,3.88,47.50,35.59,42.86,37.93,58,50.00,70.41
2605062100,Thursday,Post-EU,10.89,0.27,37.86,8.55,2,19,0,4.42,42.10,38.33,33.33,24.53,53,75.00,75.59
2605170727,Sunday,NA-Asia,11.16,0.10,41.67,9.02,9,23,0,3.80,60.87,37.50,36.59,42.00,50,60.00,72.74
2605172131,Monday,Post-EU,11.25,-0.37,40.57,9.63,3,18,0,3.88,52.38,30.61,47.22,30.23,43,16.67,46.26
2605241925,Monday,Pre-EU,10.88,-0.02,33.58,7.20,3,15,0,4.61,40.74,32.26,31.25,17.39,46,50.00,15.08
2605270453,Wednesday,Post-NA,10.86,-0.17,32.84,5.96,2,10,1,5.16,50.00,29.85,29.79,9.09,44,33.33,7.91
2606102120,Thursday,Post-EU,10.69,0.10,39.02,8.23,5,16,0,4.56,39.29,33.33,47.37,31.25,48,60.00,68.75
2606250018,Thursday,EU-NA,10.79,1.21,35.25,9.53,3,16,1,4.39,36.67,34.92,34.78,28.57,49,50.00,58.34
2607160414,Thursday,Post-NA,12.00,-0.94,31.86,5.92,1,9,0,4.94,38.71,26.19,32.50,13.89,36,16.67,6.01
2607220545,Wednesday,NA-Asia,11.06,-1.31,26.89,5.16,1,7,0,4.56,32.26,26.92,22.22,18.75,32,0.00,6.41
2608010452,Saturday,Post-NA,9.75,0.19,33.56,5.33,1,13,1,5.22,43.24,32.39,26.83,14.00,50,58.33,46.29
2608120606,Wednesday,NA-Asia,9.94,0.38,38.78,7.60,1,17,0,4.98,42.31,39.44,36.00,17.54,57,66.67,81.62
2608130431,Thursday,Post-NA,10.32,0.19,35.78,8.93,5,13,0,4.44,54.55,25.53,37.50,23.08,39,60.00,78.19
2608250800,Tuesday,NA-Asia,10.51,0.33,31.33,5.49,2,16,0,4.38,36.36,23.53,38.78,29.79,47,66.67,49.53
