Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601020057,Friday,Pre-NA,8.88,0.01,29.01,6.98,8,17,1,4.08,38.23,22.03,31.58,31.58,38,50.00,50.00
2601020800,Friday,NA-Asia,8.89,0.32,32.46,7.64,1,20,1,4.22,32.14,44.00,16.67,27.03,37,80.00,69.36
2601141731,Thursday,Pre-EU,9.21,0.11,29.94,5.99,4,16,2,4.55,26.83,40.30,18.37,23.40,47,60.00,33.73
2601161832,Saturday,Pre-EU,9.32,-0.11,31.96,8.05,3,15,0,3.87,28.00,41.30,19.23,38.71,31,40.00,47.40
2601171640,Sunday,Asia-EU,9.21,0.00,36.92,7.06,5,14,0,5.04,44.44,33.87,34.38,16.67,48,60.00,67.21
2601171642,Sunday,Asia-EU,9.21,0.11,36.92,7.06,5,14,0,5.04,44.44,33.87,34.38,16.67,48,60.00,71.36
2601181029,Sunday,Pre-Asia,9.32,-0.10,29.27,5.21,0,7,1,4.62,41.18,26.83,25.00,25.00,24,33.33,9.10
2601201915,Wednesday,Pre-EU,9.22,-0.43,30.95,5.13,1,10,1,4.92,38.46,32.39,20.69,17.95,39,16.67,15.08
2601250718,Sunday,NA-Asia,8.79,0.21,25.66,6.14,2,9,2,4.83,34.78,25.93,19.44,20.69,29,66.67,34.30
2601261925,Tuesday,Pre-EU,9.00,-0.20,27.18,5.48,2,9,1,4.68,39.29,26.19,18.18,14.29,28,30.00,10.36
2601271912,Wednesday,Pre-EU,8.80,-0.41,28.23,4.99,2,11,1,5.06,48.28,24.19,18.18,22.86,35,16.67,12.00
2601291637,Friday,Asia-EU,8.39,0.32,28.30,7.83,8,16,1,3.63,41.38,26.00,18.52,46.67,30,80.00,66.14
2601301932,Saturday,Post-EU,8.71,0.20,36.92,7.16,5,17,0,4.62,35.48,35.29,41.94,29.17,48,66.67,92.95
2602071029,Saturday,Pre-Asia,8.91,0.01,32.19,5.98,2,16,1,4.51,42.86,36.23,16.67,23.40,47,50.00,56.76
2602081905,Monday,Pre-EU,8.92,-0.12,24.49,5.18,1,16,0,4.08,39.29,25.35,14.58,33.33,36,41.67,19.06
2602091853,Tuesday,Pre-EU,8.80,-0.10,28.57,4.22,1,8,0,5.12,33.33,20.37,36.59,20.59,34,40.00,26.91
2602101827,Wednesday,Pre-EU,8.70,0.00,28.30,4.59,1,11,0,4.71,38.64,29.41,17.02,22.22,45,50.00,47.28
2602181622,Thursday,Asia-EU,8.70,-0.38,27.46,5.35,3,12,0,4.72,45.71,28.07,14.00,25.64,39,16.67,29.02
2602271913,Saturday,Pre-EU,8.32,0.39,33.64,7.45,1,14,0,4.46,39.39,29.79,33.33,27.03,37,90.00,79.93
2603011742,Monday,Pre-EU,8.71,-0.28,26.67,6.10,2,15,1,4.00,33.33,30.36,12.90,37.50,32,20.00,24.81
2603211405,Saturday,Post-Asia,8.43,-0.49,30.13,5.71,4,11,2,5.02,44.12,31.34,20.00,19.15,47,0.00,36.52
2603231915,Tuesday,Pre-EU,7.93,-0.30,34.75,5.86,2,11,0,4.80,51.52,25.49,32.35,12.20,41,20.00,51.24
