Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601011011,Thursday,Pre-Asia,1.65,-0.09,10.53,2.12,0,5,2,4.25,11.11,13.72,5.56,25.00,12,40.00,50.00
2601031038,Saturday,Pre-Asia,1.56,-0.01,14.38,2.17,0,4,6,5.43,21.21,12.16,12.82,19.05,21,50.00,66.04
2601041141,Sunday,Pre-Asia,1.55,-0.18,9.48,1.61,0,4,2,5.36,12.50,5.56,13.16,36.36,11,33.33,24.46
2601041434,Sunday,Post-Asia,1.36,-0.09,13.74,2.07,1,5,2,5.00,11.43,9.43,20.93,16.67,18,40.00,65.42
2601050723,Monday,NA-Asia,1.27,-0.18,11.59,1.71,1,7,1,4.25,8.82,11.29,14.29,37.50,16,33.33,40.61
2601060529,Tuesday,Post-NA,1.09,0.18,14.14,2.76,1,7,2,4.67,7.50,13.48,19.36,25.93,27,66.67,87.40
2601071634,Thursday,Asia-EU,1.27,0.17,16.53,4.00,4,7,1,4.45,7.14,11.86,32.35,30.00,20,66.67,93.37
2601091400,Friday,Post-Asia,1.44,-0.01,12.98,1.85,0,3,6,5.35,12.00,8.57,22.22,5.88,17,50.00,38.87
2601111925,Monday,Pre-EU,1.43,-0.02,9.52,2.13,1,6,4,4.14,2.70,6.06,20.45,28.57,14,50.00,35.03
2601141731,Thursday,Pre-EU,1.41,0.10,9.77,1.92,1,5,2,4.23,2.94,16.39,5.26,23.08,13,60.00,42.40
2601151844,Friday,Pre-EU,1.51,-0.10,9.55,2.23,1,6,4,4.27,13.16,8.33,8.51,26.67,15,41.67,25.56
2601160828,Friday,NA-Asia,1.41,-0.17,12.92,3.32,0,10,8,4.57,2.22,14.94,19.57,39.13,23,33.33,50.74
2601161832,Saturday,Pre-EU,1.24,0.27,9.62,2.06,2,3,0,4.40,12.00,10.87,6.06,20.00,10,80.00,49.68
2601170037,Saturday,Pre-NA,1.51,0.27,17.61,2.16,1,6,2,5.18,13.51,15.15,23.21,14.29,28,75.00,74.02
2601171039,Saturday,Pre-Asia,1.78,0.28,12.80,1.83,5,13,0,3.29,6.98,12.33,18.75,61.90,21,75.00,67.66
2601171640,Sunday,Asia-EU,2.07,0.00,15.52,4.30,1,9,5,3.89,6.25,12.96,30.00,44.44,18,20.00,55.34
2601171642,Sunday,Asia-EU,2.07,0.00,15.52,4.30,1,9,5,3.89,6.25,12.96,30.00,44.44,18,20.00,57.96
2601172250,Sunday,EU-NA,2.07,-0.46,12.69,1.70,1,4,3,5.18,15.15,6.35,21.05,11.76,17,33.33,24.14
2601201915,Wednesday,Pre-EU,1.61,0.36,15.56,2.15,0,5,3,5.24,23.33,12.33,15.62,14.29,21,83.33,66.32
2601222213,Friday,Post-EU,1.97,-0.55,10.83,2.16,2,5,1,4.92,9.68,10.91,11.77,38.46,13,40.00,18.98
2601231040,Friday,Pre-Asia,1.42,0.65,9.60,1.47,0,3,2,5.33,3.57,9.68,14.29,16.67,12,66.67,39.81
2601241100,Saturday,Pre-Asia,2.07,0.36,9.17,2.01,0,4,3,4.36,21.43,5.56,5.26,27.27,11,83.33,36.87
2601260005,Monday,EU-NA,2.43,-0.18,11.89,1.88,1,4,3,5.06,20.69,6.35,13.72,11.76,17,33.33,19.72
2601261925,Tuesday,Pre-EU,2.24,-0.27,15.04,1.72,0,3,1,5.70,8.82,13.12,23.68,5.00,20,20.00,40.25
2601291637,Friday,Asia-EU,1.97,-0.06,8.93,1.52,1,3,5,4.70,9.38,4.88,12.82,20.00,10,40.00,15.97
2601301932,Saturday,Post-EU,1.91,0.19,15.60,2.61,1,7,3,4.96,11.11,11.47,25.00,22.73,22,66.67,85.12
2601311622,Sunday,Asia-EU,2.10,-0.17,14.10,2.58,0,11,1,4.41,11.11,8.82,23.08,27.27,22,33.33,61.25
2601312317,Sunday,EU-NA,1.94,-0.17,11.20,1.46,1,1,2,5.43,10.35,9.68,14.71,7.14,14,33.33,22.63
2602020929,Monday,Pre-Asia,1.76,-0.26,10.13,1.13,0,3,5,5.19,5.13,6.76,20.00,18.75,16,25.00,16.34
2602022029,Tuesday,Post-EU,1.50,0.19,12.57,2.71,1,6,6,5.23,17.24,9.64,14.29,27.27,22,66.67,76.62
2602032022,Wednesday,Post-EU,1.69,0.19,11.50,2.58,0,8,4,4.31,10.35,13.46,9.38,38.46,13,66.67,61.46
2602052053,Friday,Post-EU,1.88,-0.20,9.40,1.80,0,3,1,4.73,4.00,8.62,14.71,27.27,11,33.33,23.91
2602061813,Saturday,Pre-EU,1.69,0.00,14.09,2.13,1,4,2,5.30,25.00,6.12,14.04,5.00,20,50.00,75.65
2602062111,Saturday,Post-EU,1.69,-0.09,14.10,1.02,0,1,3,6.36,6.67,14.71,17.24,0.00,11,33.33,34.46
2602071029,Saturday,Pre-Asia,1.60,-0.01,11.47,3.71,4,8,2,3.64,15.38,5.17,18.42,57.14,14,50.00,64.07
2602072212,Sunday,Post-EU,1.59,0.17,9.03,0.93,0,2,1,5.71,12.12,2.67,17.02,7.14,14,66.67,42.35
2602081905,Monday,Pre-EU,1.76,-0.11,13.61,2.73,2,7,1,4.45,10.71,15.49,12.50,25.00,20,41.67,68.91
2602151918,Monday,Pre-EU,1.65,0.19,12.61,2.46,1,5,1,4.43,5.56,12.96,15.38,42.86,14,66.67,73.14
2602172105,Wednesday,Post-EU,1.84,-0.08,7.50,1.22,1,1,3,5.00,3.85,8.47,8.57,11.11,9,40.00,14.30
2602231123,Monday,Pre-Asia,1.77,0.00,11.89,2.27,0,6,2,4.41,8.70,11.67,16.22,29.41,17,83.33,63.15
2602242110,Wednesday,Post-EU,1.77,0.36,10.78,1.47,0,3,2,5.00,6.90,9.43,20.00,27.27,11,50.00,37.25
2602251119,Wednesday,Pre-Asia,2.13,0.17,15.79,2.71,1,6,1,4.81,6.67,18.06,19.36,23.81,21,66.67,85.65
2602281808,Sunday,Pre-EU,2.30,-0.18,12.75,2.39,3,9,1,4.47,12.90,11.27,14.89,36.84,19,33.33,57.22
2603021923,Tuesday,Pre-EU,2.12,0.18,16.81,5.00,2,10,2,3.58,11.11,15.38,23.53,42.11,19,66.67,84.92
2603052048,Friday,Post-EU,2.30,-0.54,12.68,2.10,1,6,3,4.94,8.57,12.35,19.23,16.67,18,0.00,31.99
