Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601021357,Friday,Post-Asia,16.25,0.11,51.14,15.06,3,23,0,4.16,77.27,53.33,19.05,46.67,45,60.00,50.00
2601051410,Monday,Post-Asia,16.35,-0.23,48.36,11.57,1,20,0,4.39,82.14,54.00,20.45,30.51,59,33.33,24.77
2601250922,Sunday,Pre-Asia,16.12,-0.44,52.94,13.14,3,34,0,4.18,70.97,55.56,34.15,35.80,81,16.67,48.11
2601271912,Wednesday,Pre-EU,15.68,-0.21,42.24,11.84,8,21,0,4.04,76.00,40.68,18.75,40.82,49,33.33,24.87
2601291310,Thursday,Post-Asia,15.47,0.21,57.26,16.73,10,38,0,3.82,65.22,66.15,36.11,39.44,71,66.67,94.14
2602011015,Sunday,Pre-Asia,15.67,0.21,42.28,11.11,8,34,0,3.17,81.82,38.03,23.33,57.69,52,66.67,42.99
2602020929,Monday,Pre-Asia,15.89,-0.08,52.63,13.75,13,45,0,3.37,84.85,56.14,23.26,44.29,70,41.67,71.35
2602021353,Monday,Post-Asia,15.80,-0.02,48.59,13.96,6,30,0,4.19,66.67,50.00,34.88,24.64,69,50.00,65.30
2602041207,Wednesday,Pre-Asia,15.79,0.09,48.95,11.58,5,29,0,4.16,76.32,40.62,36.59,34.29,70,58.33,50.70
2602041343,Wednesday,Post-Asia,15.88,-0.00,54.03,19.28,16,39,0,3.10,78.57,57.38,28.57,62.69,67,50.00,85.35
2602051504,Friday,Post-Asia,15.88,0.02,56.29,14.68,10,30,0,4.37,81.39,49.30,40.54,27.06,85,50.00,86.35
2602061813,Saturday,Pre-EU,15.89,-0.17,55.00,14.79,4,29,0,3.80,81.25,48.08,41.67,34.85,66,33.33,49.62
2602091853,Tuesday,Pre-EU,15.72,0.31,57.26,15.89,13,33,0,3.99,80.77,56.60,44.44,43.66,71,80.00,93.30
2602101827,Wednesday,Pre-EU,16.03,0.00,62.26,16.69,16,52,0,3.66,86.36,61.77,40.43,47.47,99,50.00,72.29
2602111343,Wednesday,Post-Asia,16.03,0.20,51.45,13.41,3,26,0,4.32,76.67,48.48,38.09,16.90,71,66.67,37.83
2602181622,Thursday,Asia-EU,16.24,0.10,49.02,15.08,16,42,0,3.59,80.00,50.63,30.61,41.33,75,58.33,58.50
2602201401,Friday,Post-Asia,16.34,-0.50,47.89,11.56,4,24,0,4.49,68.75,48.65,27.78,30.88,68,8.33,5.31
2602210513,Saturday,Post-NA,15.84,0.10,55.07,16.01,3,35,0,3.87,68.97,56.34,42.10,36.84,76,58.33,72.52
2602210737,Saturday,NA-Asia,15.94,-0.11,58.17,17.23,7,39,1,4.10,81.82,57.75,42.86,31.46,89,41.67,58.50
2602210956,Saturday,Pre-Asia,15.83,0.19,65.96,19.29,11,44,0,3.86,84.00,79.03,42.59,37.63,93,66.67,91.40
2602220742,Sunday,NA-Asia,16.02,0.18,57.58,17.53,9,33,0,4.00,72.73,53.33,51.28,34.21,76,66.67,75.09
2602221723,Monday,Asia-EU,16.21,0.00,50.95,14.61,6,40,1,3.71,70.37,54.65,31.82,32.50,80,66.67,27.14
2602231123,Monday,Pre-Asia,16.21,0.19,55.24,17.46,13,44,0,3.34,67.39,58.33,35.13,50.63,79,83.33,72.95
2602250917,Wednesday,Pre-Asia,16.40,0.27,50.85,12.70,8,38,0,4.10,76.09,47.06,32.61,30.00,90,41.67,38.94
2602270633,Friday,NA-Asia,16.67,-0.29,54.48,14.31,5,28,0,4.22,70.00,58.62,30.56,38.36,73,25.00,16.64
2603021158,Monday,Pre-Asia,16.39,-0.40,46.32,15.46,9,27,0,3.98,69.23,46.30,25.58,38.10,63,16.67,20.43
2603041445,Wednesday,Post-Asia,15.99,-0.07,54.05,16.98,12,44,0,3.54,77.78,48.48,43.48,50.00,80,41.67,52.70
2606070419,Sunday,Post-NA,15.92,0.19,56.67,14.61,8,30,0,4.21,86.21,48.98,45.24,36.76,68,60.00,52.40
2606091358,Tuesday,Post-Asia,16.11,-0.19,50.00,12.42,9,31,0,4.05,72.73,49.18,37.50,38.67,75,66.67,23.62
2606092310,Wednesday,EU-NA,15.92,0.18,57.41,14.14,15,41,0,3.18,71.43,60.00,40.00,62.90,62,33.33,52.13
2606100901,Wednesday,Pre-Asia,16.10,-0.20,49.63,11.99,4,28,1,4.30,77.78,50.00,23.08,28.36,67,33.33,7.34
