Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601011011,Thursday,Pre-Asia,11.16,-0.24,43.80,7.01,1,17,0,4.65,48.15,43.48,41.46,28.33,60,20.00,50.00
2601041141,Sunday,Pre-Asia,10.92,0.20,33.87,9.37,7,20,1,3.93,16.67,44.44,29.03,33.33,42,66.67,61.39
2601041434,Sunday,Post-Asia,11.12,-0.11,40.40,10.24,5,22,0,3.80,43.75,37.84,40.00,35.00,40,40.00,55.29
2601061413,Tuesday,Post-Asia,11.01,-0.00,36.73,9.54,5,22,3,4.68,22.58,45.95,30.95,31.48,54,50.00,60.13
2601071634,Thursday,Asia-EU,11.01,0.39,36.77,9.28,7,22,0,4.12,22.22,43.48,38.71,40.00,50,83.33,69.84
2601091400,Friday,Post-Asia,11.40,0.21,38.85,10.89,5,27,1,4.16,30.00,44.00,36.54,37.70,61,66.67,77.67
2601121031,Monday,Pre-Asia,11.61,0.10,33.75,8.05,2,13,0,4.18,41.67,34.38,25.00,40.74,27,66.67,28.92
2601141731,Thursday,Pre-EU,11.70,0.11,34.15,9.28,6,22,0,3.67,34.38,41.18,25.00,42.86,42,60.00,47.99
2601170538,Saturday,NA-Asia,11.81,0.10,39.60,10.63,2,19,0,3.95,27.78,51.02,29.41,20.00,40,60.00,65.15
2601171053,Saturday,Pre-Asia,11.91,0.09,26.29,7.01,3,16,2,4.63,22.73,31.58,21.82,30.43,46,58.33,26.66
2601171640,Sunday,Asia-EU,12.00,0.00,35.38,7.09,3,17,2,4.85,33.33,41.94,25.00,23.91,46,60.00,28.44
2601171642,Sunday,Asia-EU,12.00,0.10,35.38,7.09,3,17,2,4.85,33.33,41.94,25.00,23.91,46,60.00,34.20
2601180507,Sunday,Post-NA,12.10,0.10,29.57,7.81,8,22,0,3.38,16.67,33.33,35.29,55.88,34,60.00,27.20
2601180726,Sunday,NA-Asia,12.19,0.21,37.50,10.35,5,20,0,4.39,14.81,47.69,36.36,33.33,51,66.67,84.51
2601181029,Sunday,Pre-Asia,12.40,-0.10,37.30,9.54,5,23,0,4.00,31.25,40.98,36.36,40.43,47,40.00,63.75
2601181222,Sunday,Pre-Asia,12.30,-0.28,34.36,6.86,6,23,0,4.48,41.46,30.00,35.71,32.14,56,25.00,35.82
2601220918,Thursday,Pre-Asia,12.02,-0.20,36.02,9.62,6,27,2,4.00,40.54,39.47,27.08,37.93,58,33.33,58.47
2602011015,Sunday,Pre-Asia,11.82,-0.01,37.75,10.44,9,41,0,3.05,36.00,46.43,21.43,64.91,57,50.00,77.14
2602061813,Saturday,Pre-EU,11.81,0.52,38.02,8.60,2,16,1,4.37,37.14,39.22,37.14,21.74,46,100.00,68.70
2602062111,Saturday,Post-EU,12.34,-0.09,25.00,5.00,0,6,1,4.90,33.33,40.74,6.25,25.00,20,33.33,9.40
2602071029,Saturday,Pre-Asia,12.24,0.20,40.32,9.77,8,19,1,3.98,44.83,41.94,33.33,42.00,50,66.67,89.74
2602101827,Wednesday,Pre-EU,12.44,0.19,40.13,8.37,4,25,2,4.25,48.94,41.54,28.89,33.33,63,66.67,64.20
2602111343,Wednesday,Post-Asia,12.63,-0.18,37.14,7.93,1,14,2,4.73,35.48,39.13,35.00,19.23,52,33.33,28.13
2602141404,Saturday,Post-Asia,12.45,-0.18,31.41,9.05,6,17,0,4.26,25.64,45.45,17.65,30.61,49,33.33,40.20
2602172105,Wednesday,Post-EU,12.27,0.06,36.15,8.20,3,16,0,4.17,28.00,43.75,29.27,31.91,47,60.00,50.58
2602210513,Saturday,Post-NA,12.33,-0.20,40.29,9.00,3,17,0,4.57,27.27,53.52,25.71,28.57,56,33.33,58.87
2602210737,Saturday,NA-Asia,12.13,0.29,36.99,7.41,2,20,1,5.02,35.13,42.86,30.51,20.31,64,75.00,57.50
2602210956,Saturday,Pre-Asia,12.42,-0.55,38.62,9.28,4,20,3,4.34,36.11,43.28,33.33,28.57,56,0.00,55.93
2602271913,Saturday,Pre-EU,11.87,0.37,41.82,13.19,6,21,1,3.83,21.21,61.70,33.33,45.65,46,90.00,83.90
2602281106,Saturday,Pre-Asia,12.24,0.46,40.70,8.67,3,22,0,4.80,36.84,47.50,33.33,25.71,70,91.67,70.15
2603021158,Monday,Pre-Asia,12.70,-0.38,23.53,5.51,2,9,1,4.72,17.95,35.19,13.95,21.88,32,16.67,7.47
2603021923,Tuesday,Pre-EU,12.32,0.18,33.06,9.23,4,19,0,3.80,28.00,38.18,29.27,47.50,40,66.67,60.19
2603030900,Tuesday,Pre-Asia,12.50,0.01,37.11,10.14,9,25,0,4.03,35.29,41.56,31.25,33.90,59,50.00,73.25
2603091433,Monday,Post-Asia,12.51,0.26,31.91,7.42,2,15,4,4.71,31.25,40.62,20.00,24.44,45,75.00,30.07
