Timestamp,Day,Zone,Elo,Elo Gain/Loss,Guess Rate,Usefulness,Solos,Threes,Sevens,Average Over-8,Opening Guess Rate,Ending Guess Rate,Insert Guess Rate,Contribution Rate,Corrects,Win Rate,Rating
2601012239,Friday,EU-NA,12.08,-0.12,35.29,10.61,7,19,0,3.40,30.77,31.43,45.83,50.00,30,40.00,50.00
2601040610,Sunday,NA-Asia,11.96,0.45,36.84,7.23,3,22,0,4.24,45.45,37.80,30.36,28.57,63,83.33,58.79
2601110220,Sunday,Pre-NA,12.41,-0.43,38.62,8.16,7,21,1,4.27,42.86,36.21,37.78,33.93,56,16.67,40.05
2601140549,Wednesday,NA-Asia,11.98,-0.43,34.46,8.10,1,18,1,4.69,36.36,35.21,31.82,25.49,51,16.67,17.19
2601170538,Saturday,NA-Asia,11.55,0.31,39.20,9.70,3,20,1,4.41,37.50,40.62,37.84,30.61,49,80.00,76.89
2601190743,Monday,NA-Asia,11.87,0.21,33.59,9.53,4,24,0,3.51,41.67,31.43,32.35,48.84,43,66.67,59.14
2601250718,Sunday,NA-Asia,12.07,0.21,31.86,8.29,2,11,0,4.64,39.13,31.48,27.78,33.33,36,66.67,36.47
2602020040,Monday,Pre-NA,12.29,-0.41,35.26,6.57,4,16,0,4.89,58.97,27.27,27.45,27.27,55,16.67,29.75
2602210737,Saturday,NA-Asia,11.88,0.40,34.45,8.06,1,15,0,4.68,40.00,33.33,30.00,21.95,41,83.33,43.58
2602260109,Thursday,Pre-NA,12.28,0.41,38.51,7.93,5,18,0,4.61,46.43,32.35,42.31,28.07,57,83.33,73.34
2603010710,Sunday,NA-Asia,12.69,0.11,33.55,7.21,1,20,2,4.65,28.95,32.26,38.46,25.49,51,58.33,31.26
2603020644,Monday,NA-Asia,12.79,-0.21,38.33,9.79,4,22,0,4.37,53.57,29.31,41.18,36.96,46,33.33,54.29
2603190419,Thursday,Post-NA,12.58,0.20,37.59,6.83,0,11,0,5.02,48.57,28.81,41.03,16.00,50,66.67,58.47
